Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
56203433.9498,0.2178416,0.3140945,2.960041,0.2224619,0.3803782,2.992896,0.2170756,0.7272135,2.980502,0.1964786,0.9115499,2.978394,0.04109342,0.6372153,3.027525,-0.17893,0.6484147,3.026189,-0.402723,0.6899351,2.983843,-0.4713072,0.7187217,2.979164,0.3910256,0.6409843,2.975806,0.6466489,0.6842152,2.93073,0.859794,0.740576,2.843235,0.9334794,0.7305841,2.83824,0.1413503,0.2326254,2.962367,0.12227,-0.2762988,3.032179,0.1181519,-0.6402965,3.042729,0.119106,-0.72889,2.981031,0.2945058,0.2374415,2.944085,0.3430321,-0.2653272,2.97437,0.3594834,-0.6382412,3.008546,0.365869,-0.7300835,2.957553,577,Wave-your-hand,
56203471.952,0.2178823,0.3139576,2.959561,0.2224286,0.3801973,2.99251,0.2163056,0.7266264,2.979836,0.1966816,0.9114558,2.978215,0.04134778,0.6368091,3.027282,-0.1788346,0.6464763,3.025147,-0.4018639,0.6854643,2.981182,-0.4704376,0.7142761,2.976525,0.3912392,0.6408697,2.975601,0.6478138,0.6826269,2.930501,0.8529134,0.7324544,2.849116,0.9011021,0.7291576,2.836492,0.1415012,0.2325167,2.962109,0.1224662,-0.2758213,3.031943,0.1182104,-0.6407097,3.042907,0.1174321,-0.7277529,2.977318,0.2946507,0.2372156,2.943323,0.3431042,-0.2653821,2.974417,0.3601283,-0.6381583,3.009095,0.3657908,-0.7287893,2.950593,577,Wave-your-hand,
56203501.9537,0.2182694,0.3135735,2.95924,0.2228889,0.3797552,2.992653,0.2189963,0.7275711,2.981476,0.1967423,0.9115311,2.978101,0.04259104,0.6349484,3.025666,-0.1787389,0.6454721,3.025036,-0.402708,0.6820478,2.981901,-0.4712769,0.7108682,2.977248,0.3918078,0.6405285,2.975036,0.6489974,0.6808683,2.930798,0.855929,0.7270414,2.852464,0.9027324,0.7256592,2.836784,0.1416742,0.2322184,2.961532,0.1226304,-0.2729586,3.030295,0.1180254,-0.6412282,3.042893,0.1151458,-0.7291123,2.975855,0.2949687,0.2368682,2.942986,0.3431363,-0.2653604,2.974381,0.3599059,-0.6386129,3.008975,0.3662806,-0.7287795,2.950863,577,Wave-your-hand,
56203534.9556,0.2183499,0.3134403,2.959067,0.2229894,0.3796259,2.992809,0.2189543,0.7275716,2.981451,0.1970063,0.9116646,2.978189,0.04301409,0.6346835,3.025568,-0.1791307,0.6445757,3.025188,-0.4028162,0.6771728,2.981607,-0.4713817,0.7059982,2.976959,0.39183,0.6404909,2.975029,0.6500376,0.6793492,2.930267,0.858615,0.7227502,2.855392,0.9023744,0.7200051,2.83919,0.1418038,0.2321602,2.961251,0.1224774,-0.2731981,3.030218,0.1181448,-0.6409264,3.04276,0.1121645,-0.731089,2.973881,0.295028,0.2368217,2.942912,0.3429006,-0.2655838,2.974039,0.3597193,-0.6388248,3.008837,0.3663462,-0.7286913,2.95062,577,Wave-your-hand,
56203570.9576,0.2182186,0.3129841,2.958786,0.2229488,0.379234,2.992871,0.2185739,0.7274886,2.981432,0.1976244,0.9116389,2.977438,0.04328467,0.6341776,3.025455,-0.178486,0.6421809,3.026239,-0.4022433,0.6713143,2.981159,-0.4708066,0.7001416,2.976514,0.3913648,0.6400859,2.974405,0.6507456,0.6744872,2.92838,0.8641958,0.7258617,2.840626,0.9351425,0.7277478,2.815108,0.1418508,0.2319696,2.96109,0.1216324,-0.2737961,3.030282,0.1179523,-0.6409801,3.042911,0.1095812,-0.7332618,2.974389,0.2947858,0.2365134,2.942574,0.3428611,-0.2659084,2.973841,0.3590873,-0.6386107,3.00771,0.3660915,-0.7288926,2.950268,577,Wave-your-hand,
56203602.9595,0.2182209,0.3121212,2.958278,0.2231595,0.3785812,2.992702,0.2187127,0.7275531,2.981197,0.1975286,0.9118083,2.977388,0.04317202,0.6329007,3.025775,-0.1794089,0.6377165,3.028107,-0.3997127,0.6585945,2.982549,-0.4644824,0.6764423,2.950306,0.3907662,0.6390625,2.97373,0.6503395,0.6660648,2.928771,0.8624313,0.7127457,2.851722,0.9346781,0.7156168,2.824652,0.1418407,0.2311378,2.960606,0.1217811,-0.2722864,3.02988,0.1177457,-0.6417195,3.042469,0.1094538,-0.7339548,2.975059,0.2946821,0.2359888,2.942197,0.3428494,-0.2662332,2.973522,0.3590162,-0.6387778,3.006533,0.3624075,-0.729176,2.944875,577,Wave-your-hand,
56203633.9612,0.218122,0.3118916,2.958052,0.2233148,0.3782688,2.992707,0.2192841,0.7268624,2.980945,0.1971062,0.9110642,2.97639,0.04286021,0.6309694,3.026848,-0.1880687,0.6294568,3.029542,-0.4427533,0.6309875,2.978498,-0.50245,0.6547019,2.940722,0.3906389,0.6383365,2.973525,0.6498107,0.6603789,2.92652,0.8595483,0.6988376,2.852333,0.9318576,0.7012171,2.825294,0.1416941,0.2308697,2.960578,0.1217171,-0.2719962,3.029775,0.1176999,-0.64319,3.042023,0.1122474,-0.7339172,2.961421,0.2942819,0.2355767,2.941409,0.3428871,-0.2661997,2.973519,0.3591646,-0.638711,3.00628,0.3656105,-0.7289763,2.947591,577,Wave-your-hand,
56203670.9634,0.2182347,0.3107589,2.957699,0.2235489,0.3771399,2.992549,0.2191971,0.7261025,2.980597,0.1973287,0.9108157,2.975879,0.04339936,0.6298614,3.027159,-0.1795212,0.6121183,3.034625,-0.4409243,0.6212533,2.977474,-0.5006776,0.6448286,2.939704,0.3911119,0.6366221,2.972825,0.6520486,0.6518047,2.924587,0.8673459,0.6709725,2.861778,0.9389176,0.6736628,2.841209,0.1418962,0.2298724,2.960354,0.1215673,-0.2719118,3.029837,0.1171725,-0.6440588,3.041378,0.1117957,-0.7357552,2.961871,0.2943463,0.234454,2.941033,0.3428611,-0.2661481,2.973505,0.3590355,-0.6387801,3.006194,0.3645926,-0.7289917,2.945602,577,Wave-your-hand,
56203702.9652,0.2183443,0.310168,2.957611,0.2237572,0.3765573,2.99273,0.2199095,0.725806,2.980771,0.1975263,0.9100634,2.974512,0.04401504,0.6288879,3.027043,-0.1837483,0.6002743,3.033865,-0.4436976,0.5948814,2.97182,-0.5035008,0.61835,2.934066,0.3922274,0.635483,2.973008,0.656349,0.6460876,2.924531,0.8800954,0.6569901,2.828062,0.9516656,0.6596803,2.807494,0.1418807,0.2291405,2.960198,0.1210498,-0.2759555,3.030941,0.1174008,-0.6445884,3.041425,0.1133026,-0.7369588,2.962621,0.2943704,0.2338357,2.940936,0.3428729,-0.2661435,2.973492,0.3591782,-0.6389666,3.006351,0.3666082,-0.7291623,2.945746,577,Wave-your-hand,
56203735.9671,0.2182075,0.3096463,2.957278,0.2236117,0.3759541,2.992451,0.219456,0.7245838,2.979788,0.1976614,0.9099492,2.973729,0.04443591,0.6270551,3.027521,-0.1862839,0.58912,3.032136,-0.4368463,0.5699377,2.981643,-0.4966432,0.5934432,2.943906,0.3937372,0.6340142,2.973453,0.6554825,0.6379368,2.924358,0.8670102,0.6371199,2.844496,0.9402373,0.6247238,2.838464,0.1416074,0.2283188,2.959713,0.1211058,-0.276361,3.031062,0.1178442,-0.645955,3.041709,0.1094682,-0.7367891,2.961466,0.2943522,0.2331921,2.940757,0.342774,-0.2658482,2.97361,0.3592502,-0.6386487,3.006456,0.3670293,-0.729857,2.944203,577,Wave-your-hand,
