Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
56268206.098,0.2569942,0.3050687,2.968388,0.2618696,0.3712578,3.01392,0.2525519,0.7284724,2.997828,0.2312716,0.9171336,2.99178,0.07843333,0.6237946,3.036145,-0.1572681,0.5508044,3.061291,-0.4039694,0.5228636,2.982775,-0.4712389,0.5154796,2.949824,0.4263305,0.6293055,2.991294,0.6851635,0.5855045,2.937843,0.8952642,0.576885,2.84378,0.9497921,0.5849715,2.792528,0.1804848,0.2233077,2.967183,0.1796453,-0.3068225,3.028335,0.1932175,-0.652424,3.023762,0.1819937,-0.7345694,2.93209,0.3351886,0.2300099,2.953456,0.3655908,-0.277815,2.988197,0.3549815,-0.6459991,3.00428,0.3631519,-0.7322506,2.961168,577,Bend-your-knee-while-raising-your-leg,
56268238.0998,0.2566446,0.3040106,2.967814,0.2615744,0.370488,3.013292,0.2525277,0.7284854,2.997347,0.2309803,0.9172143,2.991366,0.08025672,0.6220375,3.035424,-0.1557089,0.5328848,3.059021,-0.3994696,0.4894717,2.979255,-0.4632019,0.4808455,2.940153,0.4260412,0.6290638,2.991207,0.6755122,0.5703407,2.934941,0.8827741,0.5415266,2.838259,0.9372926,0.5495704,2.786993,0.1803827,0.2229227,2.967065,0.1795786,-0.3071836,3.02845,0.1932043,-0.6499481,3.023982,0.1817669,-0.7327039,2.932883,0.3345841,0.2294068,2.95279,0.3655477,-0.2787207,2.988115,0.3550383,-0.6460899,3.004332,0.3615831,-0.7330419,2.959454,577,Bend-your-knee-while-raising-your-leg,
56268270.1017,0.2565446,0.3025172,2.967379,0.261468,0.3689623,3.012463,0.2514879,0.7257838,2.995596,0.2310686,0.9171433,2.991387,0.08105035,0.6194795,3.035999,-0.1474071,0.5084443,3.057614,-0.3972016,0.4310054,2.962231,-0.4607504,0.425162,2.922327,0.4254554,0.6278495,2.990971,0.6693155,0.5487486,2.93157,0.8733416,0.5019262,2.833689,0.927861,0.5099859,2.782429,0.1805332,0.2218678,2.966767,0.1796296,-0.3072456,3.028426,0.193394,-0.6506355,3.024372,0.1838229,-0.7335657,2.933213,0.3344348,0.2285088,2.952632,0.3655492,-0.2788606,2.988098,0.3550021,-0.6461725,3.004375,0.3577979,-0.7320796,2.953903,577,Bend-your-knee-while-raising-your-leg,
56268306.1037,0.2564009,0.3017901,2.967315,0.2613923,0.3684812,3.012084,0.2513842,0.7257485,2.9951,0.231192,0.9173402,2.991473,0.08192534,0.6167973,3.036815,-0.1368212,0.4826997,3.054442,-0.3337526,0.3915389,2.980851,-0.4233277,0.3658051,2.939822,0.4251152,0.6275472,2.99149,0.6467493,0.5264295,2.929703,0.8439246,0.4591908,2.830721,0.8984438,0.4672504,2.779461,0.1806949,0.2212527,2.966766,0.1796034,-0.3073083,3.028425,0.1934558,-0.6505461,3.023816,0.1833643,-0.7365223,2.93558,0.3339858,0.2280487,2.952751,0.3656402,-0.2790357,2.988153,0.3548082,-0.6457087,3.004038,0.3508868,-0.7309892,2.951662,577,Bend-your-knee-while-raising-your-leg,
56268338.1056,0.2564457,0.2999044,2.967317,0.26143,0.3671444,3.01215,0.2509271,0.7260626,2.996262,0.2311912,0.9171106,2.99085,0.08272031,0.6112486,3.037632,-0.119041,0.4518556,3.061069,-0.3224106,0.3452663,2.970047,-0.3968317,0.3127709,2.937761,0.4230087,0.6265107,2.992324,0.6437898,0.49817,2.92653,0.8673233,0.3896013,2.799537,0.9218413,0.3976608,2.748278,0.1812067,0.2198803,2.966975,0.1795502,-0.3072777,3.028494,0.1930045,-0.6497246,3.024277,0.1851504,-0.7356634,2.935774,0.3337447,0.2270404,2.952338,0.3659031,-0.2792879,2.988423,0.3551113,-0.6444607,3.004419,0.3517611,-0.7300904,2.952059,577,Bend-your-knee-while-raising-your-leg,
56268378.1079,0.2566516,0.2986749,2.967381,0.2616836,0.3661453,3.012236,0.2509064,0.7260264,2.996698,0.2319341,0.9166812,2.990271,0.08290429,0.6082507,3.038718,-0.1054677,0.4299651,3.056383,-0.3018445,0.2988734,2.96383,-0.3799334,0.2551941,2.936304,0.420867,0.6258445,2.993031,0.6408441,0.4715542,2.923678,0.8463724,0.350733,2.801247,0.8982992,0.3168473,2.758587,0.1816992,0.2189506,2.966996,0.1795166,-0.3072094,3.028583,0.1928901,-0.6489621,3.024662,0.1853907,-0.7344182,2.935661,0.3337024,0.2265691,2.952333,0.3660187,-0.2799267,2.988403,0.3552971,-0.6466321,3.008126,0.3525956,-0.7312242,2.953643,577,Bend-your-knee-while-raising-your-leg,
56268395.708,0.2564034,0.2970876,2.967403,0.261454,0.3647167,3.012091,0.2508599,0.7255856,2.99641,0.2319005,0.9164789,2.990028,0.08418599,0.6065483,3.039177,-0.09435067,0.4126148,3.055331,-0.2644545,0.2701654,2.980452,-0.3417937,0.214032,2.945284,0.4199871,0.6245732,2.993873,0.6297725,0.4607321,2.926036,0.8284619,0.3242461,2.800681,0.886061,0.2734505,2.762139,0.1819481,0.2178931,2.96704,0.1793711,-0.307018,3.02866,0.192949,-0.6490554,3.02461,0.1779794,-0.7357064,2.937729,0.3329138,0.2255906,2.952616,0.3660725,-0.2802016,2.988384,0.3553787,-0.6448159,3.005161,0.3525383,-0.731304,2.953509,577,Bend-your-knee-while-raising-your-leg,
56268437.9087,0.256421,0.2939326,2.967175,0.2616159,0.3626159,3.011929,0.2511708,0.7259279,2.996523,0.2318187,0.9165364,2.989857,0.08585019,0.604726,3.038953,-0.0745659,0.3915402,3.049213,-0.2574055,0.2324796,2.96196,-0.3339908,0.1694624,2.938857,0.41451,0.6221669,2.994226,0.6183451,0.4500166,2.926536,0.7903148,0.303874,2.811866,0.8681515,0.2505445,2.763265,0.1825341,0.2166223,2.967185,0.1800838,-0.3062428,3.028512,0.1929134,-0.6475062,3.025712,0.1726869,-0.7365078,2.942341,0.3320434,0.2240928,2.952298,0.3664874,-0.2805535,2.988631,0.3539087,-0.6435493,3.004168,0.3504988,-0.7284309,2.94681,577,Bend-your-knee-while-raising-your-leg,
56268469.9105,0.2562502,0.2910534,2.967157,0.2616553,0.3601319,3.011724,0.2512953,0.7257222,2.99629,0.2319114,0.915946,2.988185,0.08712515,0.6032026,3.038357,-0.06599893,0.3850009,3.047969,-0.2486995,0.2089023,2.962073,-0.2917738,0.1456809,2.933427,0.4105953,0.6216269,2.993383,0.609921,0.4420951,2.928302,0.7791734,0.287846,2.811226,0.8469837,0.2095049,2.769085,0.1833183,0.2148207,2.968027,0.1800663,-0.3062907,3.028545,0.1929059,-0.6475078,3.025707,0.1864717,-0.7370368,2.971202,0.3307865,0.222342,2.951856,0.3661186,-0.2808624,2.98863,0.3551949,-0.6439602,3.005764,0.3479625,-0.7307632,2.961314,577,Bend-your-knee-while-raising-your-leg,
56268505.9126,0.2560485,0.289615,2.967273,0.2614221,0.3589754,3.011595,0.2509635,0.7256974,2.995801,0.2317318,0.9158791,2.987974,0.08784232,0.6022297,3.03835,-0.04766748,0.3739085,3.046109,-0.222931,0.1782378,2.946121,-0.2804655,0.1317264,2.932258,0.4097915,0.6214029,2.993381,0.6011688,0.4318519,2.929221,0.7606966,0.2624644,2.806336,0.8378119,0.1790507,2.770663,0.1837757,0.2134604,2.968787,0.180112,-0.3063125,3.028618,0.1927764,-0.6469113,3.026497,0.1885083,-0.7366467,2.951413,0.3301185,0.2213516,2.951784,0.366557,-0.2806542,2.988804,0.3549726,-0.6428779,3.006341,0.347091,-0.7306641,2.957008,577,Bend-your-knee-while-raising-your-leg,
