Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
56460581.4656,0.2170812,0.3049477,2.902284,0.224177,0.3709497,2.944322,0.2216091,0.7269204,2.930133,0.1969861,0.9134097,2.917044,0.04262095,0.6354194,2.968046,-0.1827528,0.6144435,3.045539,-0.4400991,0.6206757,3.072781,-0.5157073,0.6399332,3.078571,0.3845409,0.6427807,2.914625,0.6660314,0.6545221,2.898472,0.8749578,0.6809514,2.798249,0.9444999,0.6806955,2.762405,0.1401884,0.2241997,2.907406,0.1463084,-0.2868525,2.983721,0.1607024,-0.6437657,2.973292,0.1631839,-0.7348278,2.884757,0.2924992,0.2308594,2.882159,0.3273875,-0.2823548,2.937096,0.323779,-0.6520635,2.943364,0.2964026,-0.7438061,2.878103,577,Walk-in-place-as-fast-as-you-can,
56460613.4674,0.2171275,0.3046475,2.902638,0.2243276,0.3708062,2.94453,0.221623,0.726865,2.930042,0.1971162,0.9134704,2.916878,0.04255925,0.6352585,2.968297,-0.18387,0.6053945,3.045928,-0.4322767,0.5938547,3.07804,-0.5083922,0.6106451,3.084779,0.3848709,0.6401792,2.913588,0.6683704,0.6472857,2.896378,0.8775223,0.6747198,2.797016,0.9469345,0.6723626,2.760998,0.1401852,0.2238968,2.907841,0.1463776,-0.2879276,2.98427,0.1616325,-0.6449766,2.9727,0.1684479,-0.7353624,2.8837,0.292617,0.2302196,2.882826,0.326916,-0.2888629,2.938161,0.3199044,-0.672177,2.933566,0.3023663,-0.756901,2.867937,577,Walk-in-place-as-fast-as-you-can,
56460646.4693,0.2172929,0.3041358,2.903135,0.2246022,0.3704315,2.945022,0.2222527,0.7269209,2.930586,0.1972323,0.9132935,2.916354,0.04276134,0.6346089,2.968383,-0.1850188,0.5828971,3.042578,-0.4603049,0.5564619,3.078548,-0.5362344,0.5741009,3.085215,0.3851266,0.6384068,2.913157,0.6704282,0.6319162,2.891944,0.8786773,0.6313833,2.78623,0.9479806,0.6284796,2.750043,0.1402392,0.2235334,2.908035,0.1465386,-0.2881167,2.984492,0.1608912,-0.6451886,2.972443,0.1638797,-0.7369033,2.884597,0.2927142,0.2296791,2.883636,0.3257515,-0.2890728,2.938864,0.3234262,-0.6585141,2.936771,0.2937732,-0.7499281,2.879106,577,Walk-in-place-as-fast-as-you-can,
56460681.4713,0.2173008,0.3032064,2.903452,0.2248271,0.3698383,2.945223,0.2225224,0.7268975,2.930595,0.1972754,0.9134988,2.916249,0.042838,0.6333802,2.969275,-0.1849265,0.5632346,3.039524,-0.4411427,0.517881,3.07157,-0.5171383,0.5352384,3.078219,0.38427,0.6375109,2.912973,0.6677761,0.612254,2.887955,0.877403,0.6013941,2.786086,0.9467061,0.5984903,2.7499,0.1402435,0.2226673,2.908092,0.1469168,-0.2898827,2.985373,0.1602232,-0.6460921,2.973471,0.1613416,-0.7364702,2.884206,0.2925491,0.2292238,2.884247,0.3263246,-0.287449,2.938452,0.3236334,-0.6535448,2.938681,0.294467,-0.747516,2.881095,577,Walk-in-place-as-fast-as-you-can,
56460713.4731,0.2171886,0.3004811,2.90433,0.2247943,0.3678503,2.945941,0.2227676,0.7266871,2.930854,0.1976604,0.9136086,2.915879,0.04499583,0.6299165,2.968709,-0.1793302,0.5456806,3.039064,-0.446564,0.4691934,3.073519,-0.5246829,0.4733819,3.074331,0.384411,0.6345381,2.913112,0.6610355,0.5931737,2.889826,0.8690119,0.5818979,2.784183,0.9383146,0.5789942,2.747997,0.1401876,0.2211489,2.908114,0.146495,-0.2908885,2.986161,0.1598679,-0.6501372,2.973047,0.1604053,-0.7381585,2.881449,0.2921002,0.2265707,2.886289,0.326738,-0.2906997,2.93881,0.324138,-0.6556329,2.939428,0.3002208,-0.748364,2.855958,577,Walk-in-place-as-fast-as-you-can,
56460746.475,0.2174502,0.2989828,2.904493,0.2248987,0.3666949,2.946045,0.2227941,0.7266198,2.930884,0.1982637,0.9124733,2.914755,0.04907758,0.6237804,2.966913,-0.1762463,0.519606,3.036769,-0.4118629,0.4341318,3.048916,-0.4868391,0.4428676,3.069483,0.3843022,0.634395,2.913328,0.6490705,0.5721501,2.88913,0.8523411,0.5316269,2.781231,0.9216435,0.5287232,2.745045,0.1408267,0.2200577,2.907711,0.1464855,-0.2908967,2.986424,0.1593725,-0.6489488,2.972341,0.15935,-0.7371711,2.880932,0.2920361,0.2259043,2.88698,0.3266652,-0.2897978,2.938629,0.3242424,-0.6556836,2.939535,0.2931632,-0.7525174,2.868601,577,Walk-in-place-as-fast-as-you-can,
56460781.6753,0.2169233,0.2972977,2.904995,0.2247511,0.3653434,2.946337,0.2228198,0.7264578,2.930967,0.1986531,0.9124552,2.914587,0.05025462,0.6222599,2.969376,-0.1679826,0.4981705,3.038952,-0.4110442,0.4109344,3.055587,-0.4750614,0.3672138,3.066121,0.383414,0.6329844,2.913866,0.6324294,0.5522257,2.888177,0.8372539,0.4990059,2.790512,0.9065562,0.4961022,2.754326,0.1407114,0.2191784,2.907832,0.146551,-0.291322,2.986607,0.160108,-0.6499694,2.972932,0.1564706,-0.7384641,2.881857,0.2909693,0.2247622,2.888047,0.3265833,-0.2897429,2.938637,0.3243431,-0.6549034,2.940604,0.2893072,-0.749852,2.87008,577,Walk-in-place-as-fast-as-you-can,
56460812.6771,0.2169812,0.2937816,2.905287,0.2252626,0.3628474,2.946505,0.2233128,0.7265437,2.931224,0.1993376,0.9121444,2.914218,0.05097104,0.6204557,2.971717,-0.160939,0.476207,3.036007,-0.3981021,0.3558087,3.042152,-0.4744521,0.3407739,3.050218,0.3790276,0.629666,2.914131,0.6173145,0.5303547,2.884859,0.8391512,0.4546312,2.77579,0.908452,0.4517277,2.739604,0.1415029,0.2168465,2.908262,0.146887,-0.2954408,2.988843,0.1606117,-0.6529135,2.972519,0.1585841,-0.7390646,2.879176,0.2901219,0.2230104,2.888272,0.3255066,-0.2914543,2.940253,0.3246624,-0.6560732,2.940308,0.2828355,-0.7407277,2.855319,577,Walk-in-place-as-fast-as-you-can,
56460844.6789,0.2170057,0.2921027,2.905594,0.2254594,0.3614502,2.946748,0.2231652,0.7265376,2.931631,0.1994486,0.9117397,2.913855,0.05116491,0.6178542,2.973735,-0.1497443,0.4490653,3.036411,-0.3861116,0.329051,3.038749,-0.4530771,0.2896375,3.047826,0.3766054,0.6289461,2.914565,0.6117012,0.5209234,2.883449,0.7990649,0.4209248,2.787708,0.8683645,0.4180213,2.751523,0.1421678,0.2155964,2.9083,0.146915,-0.2955623,2.988946,0.1605669,-0.6529014,2.972674,0.1588674,-0.7389936,2.87927,0.2896983,0.2221201,2.888787,0.3257864,-0.2922896,2.940977,0.3244177,-0.6571714,2.939904,0.2845852,-0.7496581,2.862453,577,Walk-in-place-as-fast-as-you-can,
56460880.681,0.2169101,0.2909755,2.905407,0.2254848,0.3603029,2.946365,0.2230022,0.7260262,2.931198,0.1995097,0.9117618,2.913872,0.05116425,0.6148542,2.97502,-0.1452969,0.4401176,3.036843,-0.3711919,0.3018875,3.031082,-0.4429138,0.2714734,3.038231,0.3746653,0.6283145,2.914925,0.6009564,0.4916459,2.881293,0.792851,0.4024071,2.783638,0.867305,0.3581081,2.728996,0.1424849,0.214491,2.908204,0.1477098,-0.2967402,2.989406,0.1623899,-0.6536753,2.973179,0.156537,-0.7377115,2.878084,0.289394,0.2216929,2.888797,0.3253341,-0.2904397,2.941249,0.3234951,-0.6551124,2.93958,0.2905114,-0.740229,2.884132,577,Walk-in-place-as-fast-as-you-can,
