Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
56867958.76,0.2433476,0.3036627,2.803363,0.2527047,0.3687987,2.851827,0.2470375,0.7265186,2.837127,0.2280089,0.9086834,2.817466,0.06930695,0.6259297,2.876603,-0.1600558,0.6260511,2.926803,-0.3970312,0.6631121,2.902981,-0.47468,0.6779694,2.88639,0.4084814,0.6414197,2.812328,0.6803412,0.6684605,2.761606,0.8800812,0.7212248,2.646563,0.9523642,0.7241979,2.610624,0.1693057,0.2218591,2.810647,0.1832179,-0.3015461,2.875407,0.1964058,-0.6603328,2.850446,0.1961217,-0.7554481,2.76719,0.3168021,0.2308451,2.778867,0.3462181,-0.2940685,2.812342,0.3440696,-0.6587787,2.814965,0.3030431,-0.7581033,2.744643,577,Draw-the-letter-M,
56867985.7615,0.2437042,0.3040085,2.803451,0.253009,0.3691181,2.851981,0.2470683,0.7266213,2.837163,0.2281384,0.9092258,2.817527,0.06944045,0.6257062,2.876703,-0.1605285,0.6253128,2.926356,-0.4066358,0.6617651,2.906054,-0.4842839,0.6766223,2.889463,0.4089528,0.6414319,2.812493,0.680618,0.6672413,2.761482,0.8803267,0.7191468,2.645935,0.9530726,0.7223196,2.610961,0.1694735,0.2221202,2.810699,0.1832952,-0.3006494,2.875375,0.1960827,-0.6488965,2.852813,0.197812,-0.7488056,2.770118,0.317392,0.2310328,2.778945,0.3463564,-0.2945563,2.812669,0.3452251,-0.6567443,2.814264,0.3184696,-0.7537126,2.765365,577,Draw-the-letter-M,
56868018.7634,0.2438442,0.3040636,2.803518,0.2530977,0.3691605,2.852192,0.2470063,0.7269704,2.837628,0.2282773,0.9092099,2.817726,0.06984229,0.6247887,2.876467,-0.1593011,0.6223953,2.925681,-0.4108649,0.6552186,2.903937,-0.4885126,0.6700757,2.887346,0.4094562,0.641244,2.81278,0.6801987,0.6637728,2.761094,0.8827834,0.7109904,2.649009,0.8917878,0.7033775,2.645673,0.1695363,0.2221158,2.810697,0.1833249,-0.3007627,2.875418,0.19626,-0.6506922,2.853467,0.1964593,-0.7483779,2.767009,0.3176631,0.2311154,2.77903,0.3475229,-0.2914982,2.812388,0.3446134,-0.6569437,2.814384,0.3081504,-0.7526633,2.753635,577,Draw-the-letter-M,
56868053.7654,0.2441529,0.3038459,2.803565,0.2531963,0.368983,2.8524,0.2468802,0.7269098,2.837876,0.2291915,0.9090601,2.818542,0.06975494,0.6218268,2.875622,-0.1565334,0.6174586,2.924575,-0.4124966,0.6482799,2.901802,-0.4901437,0.6631369,2.885211,0.4101813,0.6404639,2.813003,0.6805898,0.6582575,2.761204,0.8838556,0.7008581,2.64842,0.8949691,0.6967906,2.645484,0.1697554,0.2217247,2.8105,0.1835511,-0.3006857,2.875446,0.1966828,-0.6534064,2.854452,0.2020583,-0.7510584,2.782785,0.3185243,0.2306757,2.779263,0.3478945,-0.2901158,2.811938,0.3459775,-0.6521673,2.815029,0.3065721,-0.751995,2.754469,577,Draw-the-letter-M,
56868086.7673,0.2443555,0.3033272,2.803741,0.2532688,0.3686842,2.852515,0.2469259,0.7267901,2.83739,0.2289755,0.9092008,2.818901,0.07040708,0.6216228,2.875062,-0.1546548,0.6046562,2.927849,-0.415732,0.6299006,2.899102,-0.4915354,0.6405358,2.873301,0.4103547,0.639681,2.813187,0.6811455,0.6483165,2.760771,0.8862321,0.6892001,2.651068,0.8978418,0.6862775,2.647632,0.1700703,0.2211301,2.810778,0.1835694,-0.3006432,2.875432,0.1979331,-0.6561825,2.854198,0.200702,-0.7510647,2.774499,0.3185911,0.2303428,2.779579,0.3477131,-0.2902895,2.811959,0.3463023,-0.6539838,2.815732,0.3053453,-0.7530933,2.753474,577,Draw-the-letter-M,
56868118.7691,0.2445098,0.3030881,2.803838,0.2532536,0.3685215,2.852639,0.2469019,0.7267813,2.837397,0.2293339,0.909358,2.820215,0.07077163,0.6199813,2.875305,-0.1516395,0.5938871,2.933259,-0.4157991,0.6129133,2.895017,-0.4906773,0.6267216,2.868044,0.4121048,0.638454,2.814202,0.6806166,0.6300334,2.763008,0.8837461,0.6640026,2.646672,0.9780295,0.6607597,2.591503,0.1701075,0.220717,2.810656,0.1836239,-0.3006105,2.875485,0.1978002,-0.6566697,2.854563,0.2019478,-0.7514724,2.777536,0.3190902,0.2298432,2.780075,0.3479595,-0.2899248,2.812039,0.3463415,-0.6531287,2.81555,0.3066117,-0.7513901,2.755953,577,Draw-the-letter-M,
56868153.7711,0.2448694,0.301629,2.804153,0.2539441,0.3675349,2.85291,0.2473562,0.7269318,2.837697,0.2293407,0.9094312,2.820233,0.07069686,0.6186804,2.876308,-0.1532096,0.5788906,2.935639,-0.4211499,0.591339,2.887222,-0.4967705,0.5910336,2.858826,0.4102876,0.6352139,2.813052,0.6814203,0.6220717,2.762071,0.8858294,0.6467278,2.645617,0.9801949,0.640295,2.590869,0.1704772,0.2197841,2.810666,0.184702,-0.3049345,2.876388,0.1977656,-0.6567739,2.854631,0.2028715,-0.7531457,2.774933,0.319042,0.2287383,2.780614,0.3493905,-0.307971,2.817758,0.3355075,-0.6796538,2.796793,0.2986813,-0.7677834,2.708116,577,Draw-the-letter-M,
56868186.773,0.2445568,0.3005365,2.804385,0.253718,0.3665405,2.853078,0.2466636,0.7262963,2.837672,0.2289045,0.9090643,2.820347,0.07255699,0.6166963,2.876836,-0.1511065,0.5688603,2.934353,-0.4177538,0.5646822,2.880574,-0.4938563,0.5693977,2.853909,0.4099466,0.6344051,2.813128,0.6845398,0.6080866,2.75928,0.8880005,0.6285889,2.640066,0.9824958,0.6226233,2.58549,0.1704904,0.2192222,2.810913,0.1847427,-0.3046538,2.876394,0.197815,-0.6565136,2.855182,0.2004027,-0.7509087,2.777763,0.3185281,0.2280359,2.780851,0.3497711,-0.2973024,2.814498,0.3440282,-0.657567,2.810978,0.3075807,-0.7478793,2.757643,577,Draw-the-letter-M,
56868217.7748,0.2448563,0.299061,2.804554,0.2540934,0.3654893,2.853259,0.2467099,0.7263252,2.837862,0.2281384,0.9089397,2.820579,0.07486632,0.6140025,2.877244,-0.1514245,0.5540252,2.934945,-0.4127951,0.5272856,2.882823,-0.4889459,0.5293084,2.855958,0.4099476,0.632668,2.813177,0.6817619,0.5880591,2.756788,0.8881817,0.5956333,2.641687,0.9826981,0.5895155,2.587166,0.1707866,0.2182939,2.810959,0.1847881,-0.305962,2.876784,0.1974284,-0.6558297,2.855377,0.1999673,-0.7509902,2.795287,0.3186666,0.2271691,2.781075,0.3505867,-0.2953212,2.813506,0.3442318,-0.6562465,2.812314,0.3069939,-0.7483438,2.757738,577,Draw-the-letter-M,
56868254.7769,0.2447571,0.2976714,2.804619,0.2543571,0.3641822,2.853253,0.2467041,0.7257794,2.837888,0.227827,0.9083487,2.820781,0.07568754,0.6130383,2.87904,-0.1531542,0.5290482,2.929922,-0.4150421,0.4873532,2.875401,-0.488599,0.4700671,2.846847,0.4077867,0.6301457,2.812961,0.6724856,0.5681413,2.757958,0.8760743,0.5529401,2.638097,0.9706069,0.5469145,2.583594,0.1708872,0.2177631,2.81092,0.1847852,-0.3055102,2.876968,0.197224,-0.6556007,2.855466,0.1982889,-0.7510109,2.786736,0.3182931,0.2263519,2.781377,0.3502316,-0.2960457,2.813791,0.3448992,-0.6567399,2.812301,0.3072299,-0.7482227,2.757198,577,Draw-the-letter-M,
56868285.7787,0.2445503,0.297153,2.804693,0.2542901,0.3636458,2.853237,0.2462915,0.7251957,2.837747,0.22602,0.9089212,2.822653,0.07587415,0.6118301,2.880469,-0.1557679,0.5051498,2.925965,-0.4113504,0.4377379,2.863956,-0.4967019,0.4308694,2.836994,0.4074178,0.6298957,2.813335,0.659934,0.548596,2.757352,0.8603456,0.5018374,2.640706,0.9548688,0.4957278,2.586196,0.170833,0.2173746,2.810948,0.1852064,-0.307406,2.877776,0.1954014,-0.6473397,2.857713,0.1992565,-0.7524939,2.783942,0.3179627,0.2259646,2.781611,0.3503789,-0.2982911,2.813885,0.3418343,-0.6620663,2.813637,0.3028356,-0.7562948,2.743912,577,Draw-the-letter-M,
56868318.7805,0.2448744,0.2949816,2.804542,0.2548498,0.3618583,2.853178,0.2464306,0.724925,2.837998,0.2261589,0.9088328,2.822992,0.07652312,0.6090073,2.881554,-0.1463229,0.4826889,2.921083,-0.3967466,0.393065,2.869045,-0.4683273,0.3687103,2.836249,0.4042777,0.6269774,2.813403,0.6535256,0.5392498,2.758419,0.8503945,0.4705289,2.647416,0.9343226,0.4380894,2.585392,0.1712959,0.2162013,2.810708,0.1852905,-0.3072985,2.877719,0.1947559,-0.6464247,2.859305,0.174203,-0.6965336,2.759631,0.3179507,0.2248435,2.781626,0.3507318,-0.297497,2.813622,0.3421184,-0.6617858,2.814105,0.3041331,-0.7568453,2.746109,577,Draw-the-letter-M,
