Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
36669070.3119,-0.06939444,0.1615972,2.967911,-0.07022596,0.2184055,3.027202,-0.08361919,0.5665687,3.046476,-0.08527358,0.7472929,3.029553,-0.2723622,0.4674823,3.034871,-0.4878796,0.4388063,3.008912,-0.6959182,0.4550993,2.934362,-0.7858018,0.4630549,2.904611,0.1099183,0.4759486,3.027024,0.3253822,0.4459231,3.015843,0.5486128,0.4719939,2.995675,0.6309009,0.4742473,2.987999,-0.1514396,0.07631707,2.945761,-0.1853855,-0.3291651,3.029278,-0.2167052,-0.6753034,3.066912,-0.2366603,-0.7748852,3.01096,0.01732123,0.07786804,2.950558,0.05499896,-0.346362,3.035503,0.1054201,-0.6951388,3.063448,0.1199154,-0.7813768,3.016852,604,Point-at-the-camera,
36669102.3137,-0.07022832,0.1601694,2.967121,-0.07083251,0.2170729,3.026574,-0.08394758,0.5663225,3.046588,-0.08690506,0.7458023,3.028644,-0.2725139,0.4661528,3.035811,-0.4868136,0.4295459,3.009886,-0.6951753,0.441486,2.935477,-0.7847895,0.4409941,2.903887,0.1083103,0.4740545,3.026264,0.3214823,0.4345829,3.015992,0.5388014,0.4378536,2.995536,0.6207281,0.4386473,2.991019,-0.1518604,0.07512958,2.946058,-0.1856583,-0.3309513,3.029737,-0.216684,-0.6753012,3.066917,-0.2367198,-0.7748838,3.010681,0.0160742,0.07710524,2.948288,0.05535484,-0.3468024,3.035546,0.1055107,-0.6951365,3.063148,0.1200116,-0.7813264,3.016924,604,Point-at-the-camera,
36669134.3156,-0.07067119,0.1592735,2.966469,-0.07136756,0.2162044,3.026061,-0.0846074,0.5661504,3.046802,-0.08738722,0.7458398,3.028546,-0.2726173,0.4655384,3.035809,-0.4860848,0.4244193,3.009691,-0.6950423,0.4196121,2.936398,-0.7836196,0.4218124,2.902055,0.107293,0.4724545,3.026221,0.3185763,0.4240597,3.016318,0.5437089,0.4109381,2.9938,0.6261352,0.4065895,2.98281,-0.1519546,0.07458346,2.945989,-0.1873605,-0.3309824,3.029986,-0.2168454,-0.6741472,3.066859,-0.2364932,-0.7741544,3.010271,0.0155612,0.07657591,2.946959,0.05546878,-0.3476298,3.035696,0.105825,-0.6954178,3.063055,0.1201915,-0.7816955,3.016466,604,Point-at-the-camera,
36669171.3177,-0.07089267,0.1583432,2.965683,-0.07140575,0.2154797,3.025445,-0.08394156,0.5663239,3.046701,-0.08764452,0.7454384,3.028707,-0.2725822,0.4646994,3.03592,-0.4844091,0.4159084,3.007744,-0.7129363,0.3932589,2.939042,-0.7811399,0.3906338,2.922477,0.1069774,0.4718741,3.026259,0.3170998,0.4182488,3.014782,0.5508028,0.393344,2.998065,0.635859,0.3758956,2.996323,-0.1524086,0.07358212,2.945395,-0.1870539,-0.3327624,3.030286,-0.2168511,-0.6742788,3.066943,-0.237491,-0.7752427,3.008028,0.01528034,0.07616111,2.946269,0.05496854,-0.3483794,3.035329,0.1050937,-0.6963295,3.062163,0.1201854,-0.7817117,3.016447,604,Point-at-the-camera,
36669210.3199,-0.07090642,0.157823,2.965235,-0.0715533,0.2149051,3.024894,-0.084572,0.5657189,3.045883,-0.08759893,0.7443886,3.029851,-0.2729201,0.4635567,3.03577,-0.4831418,0.4083239,3.007041,-0.6934326,0.3823288,2.945039,-0.7849822,0.3759118,2.920388,0.1057824,0.4714865,3.026458,0.316923,0.4110636,3.017048,0.5507766,0.3814936,3.00152,0.62983,0.3665793,3.001648,-0.1521841,0.07294805,2.945357,-0.1872456,-0.3333014,3.030284,-0.2176229,-0.6750805,3.06721,-0.2364917,-0.7763321,3.011065,0.01528148,0.07609107,2.945756,0.0552704,-0.3482463,3.035185,0.1050965,-0.6957824,3.06221,0.1203774,-0.7817184,3.016461,604,Point-at-the-camera,
36669227.92,-0.07095383,0.1572034,2.964404,-0.07170979,0.2141906,3.024096,-0.0848931,0.5652449,3.045565,-0.0880181,0.7436612,3.029627,-0.2726547,0.4620983,3.035731,-0.4811236,0.4005829,3.008438,-0.6956676,0.3718081,2.946494,-0.7809044,0.3625218,2.92329,0.1052311,0.4707982,3.026793,0.3193959,0.4017322,3.018322,0.5516696,0.3658119,3.000854,0.6303825,0.3480515,2.999146,-0.1522838,0.07249242,2.944552,-0.1870056,-0.332912,3.029993,-0.2176206,-0.6750831,3.067204,-0.2380446,-0.7751551,3.012019,0.01546813,0.07586543,2.945163,0.05581427,-0.3522916,3.035987,0.1051349,-0.6956218,3.062294,0.1203154,-0.7817354,3.016543,604,Point-at-the-camera,
36669270.1207,-0.07122193,0.1568456,2.963713,-0.07188921,0.2137215,3.023503,-0.08466788,0.564806,3.045477,-0.0879369,0.7435586,3.029715,-0.2723583,0.461235,3.035965,-0.4810206,0.3920509,3.007819,-0.693754,0.3619189,2.946621,-0.7790676,0.3534614,2.922102,0.104934,0.4706896,3.027203,0.3181332,0.3898306,3.021153,0.5516341,0.3467951,3.000524,0.6240509,0.335654,2.996592,-0.1524472,0.07238808,2.944247,-0.1863485,-0.3331215,3.030082,-0.2171165,-0.6734857,3.066927,-0.2383773,-0.7741265,3.012909,0.01485628,0.07561903,2.943785,0.05558704,-0.3523135,3.035917,0.1058615,-0.6945401,3.064688,0.1201385,-0.7822831,3.017039,604,Point-at-the-camera,
36669302.1226,-0.07140587,0.1559999,2.963136,-0.07214639,0.2129598,3.022993,-0.08490432,0.5646884,3.045381,-0.08779829,0.7433205,3.029837,-0.2712641,0.4597878,3.035983,-0.4782473,0.3791224,3.009708,-0.6877498,0.3388366,2.954693,-0.7440459,0.3168817,2.920027,0.1039134,0.4706503,3.027779,0.3190913,0.382324,3.019714,0.546616,0.3229253,2.996366,0.6202098,0.3050768,3.003953,-0.1522729,0.07203916,2.944109,-0.1866498,-0.3331255,3.029542,-0.2172799,-0.6735649,3.066852,-0.2383196,-0.7744371,3.012498,0.01442027,0.0753504,2.943127,0.05741698,-0.3545523,3.036629,0.1059984,-0.6954862,3.064232,0.120223,-0.7839031,3.011463,604,Point-at-the-camera,
36669334.1244,-0.0715227,0.1552593,2.96264,-0.07202639,0.2123127,3.022569,-0.08451491,0.5645509,3.045307,-0.08771686,0.7428593,3.029647,-0.2706223,0.4570878,3.036587,-0.474296,0.3635249,3.008445,-0.6848546,0.3247623,2.957569,-0.7564578,0.3034483,2.922805,0.1027221,0.4700591,3.02789,0.3146806,0.3654943,3.017815,0.5229946,0.303624,3.001078,0.6142599,0.2771557,3.00197,-0.1523129,0.07166328,2.943989,-0.1863316,-0.3329747,3.029325,-0.2169769,-0.674745,3.067884,-0.2383213,-0.7736677,3.013296,0.01402927,0.07504947,2.942438,0.05742418,-0.3545274,3.036671,0.1056108,-0.6948242,3.065863,0.1193204,-0.7830375,3.012895,604,Point-at-the-camera,
36669371.1265,-0.07128921,0.1542336,2.962289,-0.07189418,0.2114359,3.022464,-0.08435827,0.5651158,3.047508,-0.08751335,0.7433097,3.029417,-0.2702115,0.454864,3.037178,-0.4706873,0.345838,3.006976,-0.6776407,0.2820699,2.949282,-0.7414389,0.2749291,2.920772,0.1026503,0.4691375,3.028986,0.3129271,0.3516762,3.018253,0.5179242,0.279598,3.001379,0.605578,0.2432161,2.996414,-0.1518391,0.07051244,2.943089,-0.1859344,-0.3331608,3.029374,-0.2162533,-0.6764599,3.067641,-0.2366171,-0.7730697,3.010124,0.01414785,0.07444984,2.942115,0.05698472,-0.3540444,3.03639,0.1064461,-0.6945847,3.065002,0.1192655,-0.782917,3.012771,604,Point-at-the-camera,
