Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37118122.6963,-0.04413236,0.1549687,2.806487,-0.04283764,0.2123298,2.865076,-0.05252105,0.5611725,2.880848,-0.05881173,0.7358239,2.856915,-0.2463872,0.4700511,2.883132,-0.4626222,0.4321121,2.876725,-0.6748592,0.4185291,2.848434,-0.772482,0.4182567,2.842078,0.1380573,0.4744561,2.864819,0.3766052,0.4473104,2.885396,0.5958686,0.4618027,2.881081,0.6894062,0.4619872,2.90974,-0.1275677,0.06954209,2.788523,-0.1641674,-0.3420769,2.88133,-0.2021753,-0.6877458,2.913842,-0.2224608,-0.780665,2.869215,0.04253198,0.07150435,2.787342,0.07717452,-0.3396648,2.887374,0.1214849,-0.6853678,2.942049,0.148388,-0.7761622,2.899585,604,Throw-a-ball-,
37118155.6982,-0.04444728,0.1539382,2.806479,-0.04270252,0.2114875,2.865056,-0.05240823,0.561008,2.880832,-0.05836456,0.7353432,2.857229,-0.2473313,0.4669023,2.88582,-0.4624835,0.4110574,2.880207,-0.6727564,0.3824727,2.843852,-0.7643811,0.3689958,2.848962,0.1367578,0.4730967,2.86502,0.3712179,0.4331642,2.882185,0.5843748,0.4362483,2.869403,0.6795204,0.4335228,2.892003,-0.1278677,0.06828892,2.788933,-0.1643026,-0.3410241,2.880725,-0.2034014,-0.6918346,2.912888,-0.2240102,-0.7820467,2.868138,0.04201214,0.07079037,2.787163,0.0774731,-0.3399451,2.887645,0.1214135,-0.6854658,2.941814,0.1478126,-0.7752987,2.899387,604,Throw-a-ball-,
37118187.7,-0.04474698,0.1524708,2.80638,-0.0429143,0.2101275,2.864962,-0.05225977,0.5603521,2.880744,-0.05847511,0.7353975,2.856681,-0.2467097,0.4631755,2.886967,-0.4613887,0.3950211,2.87999,-0.6690539,0.3512348,2.846358,-0.7560741,0.3394828,2.849507,0.1360304,0.4687608,2.865832,0.3605588,0.4163191,2.881829,0.5713704,0.384385,2.866136,0.6637014,0.3670092,2.893412,-0.1281324,0.06698114,2.789053,-0.1643683,-0.341062,2.880846,-0.203282,-0.6918263,2.912859,-0.2246452,-0.7818106,2.868504,0.04156838,0.06967952,2.787047,0.07735141,-0.3396158,2.887513,0.1211182,-0.6862558,2.941179,0.1452858,-0.7695492,2.904029,604,Throw-a-ball-,
37118219.7019,-0.04523744,0.151342,2.806409,-0.04341095,0.2090138,2.865103,-0.05216544,0.5597193,2.881401,-0.05760925,0.73514,2.856066,-0.2456414,0.4609741,2.88779,-0.4614711,0.3774839,2.880136,-0.6657903,0.3177884,2.854958,-0.7467345,0.3007546,2.841672,0.1360853,0.4654186,2.867154,0.3627446,0.3980559,2.879994,0.5739651,0.3592448,2.861015,0.66829,0.3438139,2.881894,-0.1287878,0.06616221,2.789133,-0.164583,-0.3407627,2.880855,-0.2031731,-0.6908457,2.913256,-0.2250818,-0.7823957,2.866323,0.04110317,0.06871869,2.786902,0.07791649,-0.3405747,2.88794,0.121491,-0.685945,2.941572,0.1453581,-0.7699356,2.903983,604,Throw-a-ball-,
37118255.7039,-0.04540721,0.1480896,2.806493,-0.04358143,0.2058544,2.865277,-0.0518171,0.5575531,2.881931,-0.05927047,0.7286096,2.853546,-0.2441728,0.4572378,2.888323,-0.4575848,0.3590205,2.882088,-0.663136,0.3044636,2.853808,-0.7329394,0.2827028,2.846866,0.1351518,0.4628534,2.868444,0.3613635,0.3904276,2.879618,0.570008,0.3356692,2.860143,0.6502687,0.3105517,2.871477,-0.1286785,0.06347117,2.789315,-0.1646962,-0.3406603,2.880992,-0.2026469,-0.6910595,2.912928,-0.2253417,-0.7826229,2.865542,0.04053572,0.06666537,2.787004,0.07825541,-0.3407154,2.887992,0.1212631,-0.685957,2.941684,0.1443516,-0.7680942,2.904827,604,Throw-a-ball-,
37118287.7058,-0.04572462,0.1464122,2.806573,-0.04380935,0.2043547,2.865407,-0.05159799,0.5568811,2.88222,-0.05929048,0.7289426,2.853103,-0.2425131,0.4559375,2.888389,-0.4538918,0.3516338,2.882456,-0.6577266,0.291462,2.852319,-0.7241449,0.2660112,2.840236,0.1348734,0.4622938,2.86878,0.3516728,0.3771426,2.878561,0.561311,0.3280415,2.861001,0.6488268,0.3075738,2.873062,-0.1286036,0.06269155,2.789457,-0.1647609,-0.3406917,2.881087,-0.2017886,-0.6883794,2.913643,-0.2249665,-0.7812897,2.864221,0.03944129,0.06506658,2.787147,0.07741569,-0.3404777,2.887739,0.1226522,-0.6798955,2.940955,0.1436189,-0.7666761,2.905521,604,Throw-a-ball-,
37118319.7076,-0.04607629,0.1459143,2.806669,-0.04414431,0.2037376,2.865541,-0.0517509,0.5560661,2.882679,-0.06010293,0.7282304,2.85059,-0.2409759,0.4546512,2.88849,-0.4517939,0.3466984,2.883775,-0.6553457,0.2853563,2.854481,-0.718038,0.2604524,2.8385,0.1344392,0.4618456,2.869062,0.3493955,0.3712373,2.880034,0.5570132,0.3232846,2.860194,0.6473395,0.3038584,2.872952,-0.1287015,0.06240347,2.789851,-0.1647604,-0.3406991,2.881086,-0.2010432,-0.6870885,2.916591,-0.2244213,-0.7795278,2.863984,0.03862115,0.06480317,2.78691,0.07766792,-0.3402762,2.887578,0.1232601,-0.6803465,2.940506,0.1431975,-0.7661651,2.908507,604,Throw-a-ball-,
37118355.7096,-0.0462322,0.1456081,2.806789,-0.04419668,0.2033354,2.865663,-0.05168599,0.5552791,2.882859,-0.06043857,0.7287326,2.849144,-0.2395352,0.4549528,2.889982,-0.451172,0.3418377,2.88491,-0.653282,0.2760213,2.855127,-0.714578,0.2567741,2.837291,0.1343448,0.4610993,2.86969,0.3482832,0.3685243,2.880575,0.554733,0.3162737,2.857427,0.6497388,0.2972475,2.870963,-0.1286414,0.06216062,2.790333,-0.1647795,-0.340748,2.881102,-0.2007862,-0.6873711,2.916259,-0.2235774,-0.7772436,2.864982,0.03807884,0.06457744,2.786824,0.07893857,-0.340723,2.888027,0.1238555,-0.6826652,2.940104,0.1447566,-0.7678509,2.907117,604,Throw-a-ball-,
37118387.7115,-0.04636397,0.1448892,2.806937,-0.04424405,0.2026302,2.865757,-0.05126033,0.5543829,2.882601,-0.05887054,0.7291098,2.846754,-0.2378738,0.4548769,2.890481,-0.4488437,0.3333579,2.884865,-0.6509857,0.2666122,2.860035,-0.7157081,0.2446313,2.838293,0.1336453,0.4605483,2.8701,0.3505754,0.3636323,2.883292,0.5561328,0.3082225,2.858809,0.6504166,0.2852973,2.871312,-0.1284374,0.06186646,2.79076,-0.1665265,-0.3459288,2.886368,-0.2008045,-0.6861578,2.916728,-0.2241884,-0.7769592,2.864824,0.03738083,0.06417668,2.786983,0.07894655,-0.3407291,2.888025,0.1236432,-0.6826316,2.940342,0.1438683,-0.7650582,2.907347,604,Throw-a-ball-,
37118419.7133,-0.04648902,0.1443895,2.807229,-0.04429484,0.2023043,2.86595,-0.05117428,0.554343,2.882536,-0.05958251,0.7308035,2.84442,-0.2379127,0.4540648,2.890924,-0.4471765,0.3186184,2.888801,-0.64835,0.249516,2.861196,-0.7153929,0.2262019,2.843282,0.1335806,0.4603115,2.87053,0.3498704,0.3609627,2.884307,0.5535017,0.2991373,2.858291,0.6415634,0.2806601,2.870786,-0.1285638,0.06120372,2.791194,-0.166806,-0.3451015,2.885853,-0.200687,-0.6847194,2.918036,-0.2230819,-0.7756387,2.864852,0.0371076,0.06369518,2.787521,0.07718478,-0.3416793,2.889307,0.122635,-0.6796604,2.941037,0.1436287,-0.764228,2.907306,604,Throw-a-ball-,
