Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37204922.6688,-0.04069011,0.1485251,2.769181,-0.04290777,0.2076574,2.824483,-0.04648475,0.5569261,2.832089,-0.04993099,0.7358167,2.803686,-0.2410302,0.46031,2.824955,-0.4519931,0.3986706,2.810132,-0.6564467,0.3798768,2.742738,-0.7522292,0.3754857,2.723304,0.1404513,0.4686911,2.836747,0.3448771,0.4156386,2.831363,0.5570679,0.4107229,2.82006,0.6285263,0.4146902,2.830398,-0.1239665,0.06321123,2.751507,-0.1628287,-0.3443151,2.829847,-0.2039559,-0.6880585,2.855148,-0.2211085,-0.7845635,2.793848,0.04493035,0.06539099,2.754125,0.09031779,-0.3419123,2.835387,0.1384467,-0.6905143,2.872688,0.1553233,-0.7695608,2.839428,604,Put-your-hands-on-your-hips-and-lean-to-the-side,
37204947.6702,-0.04111706,0.1475202,2.767803,-0.04318808,0.2066156,2.823345,-0.04731289,0.556197,2.831255,-0.05102976,0.7354488,2.80268,-0.2410652,0.4569703,2.824344,-0.4517033,0.3815763,2.806091,-0.6536513,0.3422786,2.740334,-0.7411604,0.3277113,2.726235,0.1376116,0.4692802,2.834963,0.3437475,0.4095052,2.829973,0.5588909,0.3794069,2.811424,0.6304483,0.381435,2.821637,-0.1240041,0.0623613,2.750203,-0.161914,-0.3448582,2.829103,-0.2039111,-0.68586,2.855305,-0.2183077,-0.7794682,2.795723,0.04446023,0.06515966,2.753239,0.09031981,-0.3414612,2.834936,0.1391416,-0.68976,2.87295,0.1551249,-0.7692227,2.839637,604,Put-your-hands-on-your-hips-and-lean-to-the-side,
37204979.672,-0.04237511,0.1455756,2.766345,-0.04387137,0.2049073,2.822393,-0.04770954,0.5558839,2.831298,-0.05172412,0.7331296,2.799839,-0.2418091,0.4555288,2.825554,-0.4512097,0.3650149,2.806803,-0.6506594,0.3122566,2.743365,-0.7353199,0.2999699,2.726881,0.1326027,0.4674025,2.832931,0.3476064,0.392175,2.827175,0.5790579,0.338673,2.798218,0.6732239,0.3345218,2.824426,-0.1246012,0.06128832,2.749312,-0.1621647,-0.3438974,2.827819,-0.2036009,-0.6861391,2.855362,-0.2167409,-0.7795842,2.797211,0.04241795,0.0638626,2.751241,0.09014164,-0.3401776,2.833764,0.1388658,-0.6896576,2.873282,0.1542412,-0.7693087,2.84113,604,Put-your-hands-on-your-hips-and-lean-to-the-side,
37205014.674,-0.04288069,0.1450379,2.76584,-0.04438039,0.2043408,2.821974,-0.04853644,0.555429,2.830665,-0.05181275,0.7334776,2.799648,-0.2427018,0.4524137,2.826495,-0.4502246,0.3446484,2.809389,-0.644137,0.2806529,2.73792,-0.7155993,0.2547071,2.726948,0.1330082,0.4656867,2.833601,0.3499544,0.3795284,2.827447,0.559477,0.3239478,2.795609,0.6322495,0.3034459,2.805305,-0.1251866,0.06034451,2.748834,-0.1626923,-0.3425039,2.827162,-0.2016072,-0.6917593,2.85503,-0.2184991,-0.782375,2.79524,0.04194174,0.063309,2.75066,0.09008694,-0.3398483,2.833276,0.1393352,-0.6860432,2.875165,0.1533562,-0.7674904,2.839861,604,Put-your-hands-on-your-hips-and-lean-to-the-side,
37205047.6759,-0.0437022,0.143418,2.765025,-0.04511435,0.2028212,2.821355,-0.04876265,0.5548098,2.830412,-0.05217114,0.7321802,2.796862,-0.2426839,0.4503159,2.826834,-0.446599,0.3337801,2.808712,-0.6415474,0.2582218,2.741727,-0.713534,0.2397171,2.726692,0.133446,0.4615985,2.833729,0.3463793,0.3661344,2.827044,0.5526372,0.3112888,2.796539,0.6300409,0.2934654,2.803629,-0.1261856,0.05873223,2.748114,-0.1628658,-0.3425125,2.82682,-0.2015736,-0.6933758,2.854952,-0.2185495,-0.7828457,2.795138,0.04100194,0.06150446,2.749638,0.09038951,-0.33809,2.831873,0.1396266,-0.6855525,2.876646,0.1533623,-0.765648,2.839721,604,Put-your-hands-on-your-hips-and-lean-to-the-side,
37205078.6777,-0.04456708,0.1415985,2.764543,-0.04583129,0.2009729,2.821003,-0.04998907,0.5532408,2.830219,-0.05513472,0.7286792,2.79353,-0.24334,0.4479222,2.827209,-0.4412354,0.3197741,2.806532,-0.6370279,0.2430922,2.740424,-0.7023168,0.2146446,2.727901,0.1307054,0.456631,2.831854,0.3400048,0.3592405,2.825389,0.5401404,0.2905544,2.795111,0.6039476,0.2672031,2.796224,-0.1266525,0.05738253,2.747578,-0.1628076,-0.3421948,2.826398,-0.2018376,-0.6918872,2.854304,-0.2187275,-0.7815506,2.795129,0.04002038,0.06010807,2.749396,0.09005002,-0.3384393,2.831286,0.1423835,-0.6876369,2.875741,0.1536557,-0.7659999,2.839409,604,Put-your-hands-on-your-hips-and-lean-to-the-side,
37205114.6797,-0.04489882,0.1399574,2.763875,-0.04634337,0.1994283,2.820487,-0.05086153,0.5523417,2.829906,-0.05580265,0.7266442,2.791363,-0.2416351,0.4446656,2.826082,-0.4372625,0.3089001,2.804535,-0.6318539,0.2242543,2.737444,-0.6947545,0.191135,2.724206,0.1304154,0.4551894,2.831642,0.3334858,0.3506981,2.824316,0.5321659,0.2782204,2.792745,0.5946028,0.2420839,2.787804,-0.1265813,0.05626298,2.746738,-0.1629318,-0.3414664,2.825994,-0.2019674,-0.6917156,2.854407,-0.2199295,-0.781008,2.796132,0.03959007,0.05909084,2.749179,0.09010264,-0.3390323,2.830986,0.1421009,-0.6875442,2.874738,0.1529815,-0.7655922,2.837617,604,Put-your-hands-on-your-hips-and-lean-to-the-side,
37205146.6816,-0.04502528,0.1397702,2.763624,-0.04659643,0.1992423,2.820255,-0.0513556,0.5519625,2.829072,-0.05629058,0.7258482,2.787773,-0.2417119,0.4439336,2.826404,-0.4329237,0.3045963,2.805284,-0.6237686,0.2131033,2.739208,-0.6881174,0.1818194,2.724259,0.1308043,0.4539369,2.832439,0.3306615,0.3458218,2.823053,0.5304061,0.2757454,2.793926,0.5609433,0.2518012,2.789603,-0.1267025,0.0558848,2.746335,-0.1630672,-0.3417905,2.826078,-0.2019379,-0.692611,2.853923,-0.2195897,-0.7826329,2.794391,0.03948916,0.05893999,2.749087,0.09005959,-0.3382422,2.830495,0.1416045,-0.6872098,2.874213,0.1539661,-0.7654818,2.836425,604,Put-your-hands-on-your-hips-and-lean-to-the-side,
37205178.6834,-0.04523692,0.1395292,2.763396,-0.04679123,0.1989957,2.820129,-0.05138034,0.5518848,2.828988,-0.0567822,0.7262033,2.787676,-0.2415658,0.4436807,2.82653,-0.4290715,0.2993278,2.805265,-0.6212034,0.2009171,2.738315,-0.6872259,0.1739608,2.726364,0.130702,0.4542078,2.832806,0.3284366,0.3424915,2.823558,0.5271002,0.2694542,2.794223,0.5925723,0.2394917,2.787584,-0.1268611,0.05562942,2.74619,-0.1629745,-0.3417322,2.826078,-0.2025206,-0.6929613,2.853954,-0.2184472,-0.7835993,2.790994,0.0390908,0.05883194,2.748772,0.08996961,-0.3382874,2.830396,0.1411519,-0.6861801,2.874282,0.1531165,-0.7652381,2.836289,604,Put-your-hands-on-your-hips-and-lean-to-the-side,
37205214.6855,-0.04536485,0.1392692,2.763091,-0.04702758,0.1987288,2.819832,-0.05161207,0.551456,2.828235,-0.05718547,0.7268243,2.783651,-0.2413055,0.4426861,2.82618,-0.4260066,0.295888,2.805725,-0.6084945,0.190156,2.744542,-0.6696605,0.1567707,2.725239,0.1312816,0.4535714,2.833181,0.3269263,0.3376582,2.823788,0.5224534,0.2573493,2.790999,0.608865,0.2115776,2.788095,-0.1270951,0.05525118,2.745983,-0.1628893,-0.3415872,2.825874,-0.201835,-0.6925411,2.853714,-0.2187405,-0.7837929,2.792644,0.03904049,0.05853258,2.748417,0.08989028,-0.3384152,2.830406,0.1411309,-0.6857088,2.872949,0.1533431,-0.7671099,2.835967,604,Put-your-hands-on-your-hips-and-lean-to-the-side,
