Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37219163.8755,-0.04623197,0.1474607,2.753546,-0.04813203,0.2050407,2.810747,-0.05643449,0.550023,2.816486,-0.05807284,0.7281637,2.77047,-0.2469446,0.4614192,2.816632,-0.4552238,0.4204053,2.799721,-0.6797726,0.4153973,2.728967,-0.7684966,0.4177953,2.709475,0.1342803,0.473015,2.820694,0.3422402,0.4431475,2.824689,0.551582,0.47822,2.815738,0.6237269,0.473083,2.81339,-0.1294094,0.06183392,2.735026,-0.1642946,-0.3338182,2.813358,-0.2036383,-0.6856069,2.853814,-0.2233085,-0.7827898,2.796532,0.04080098,0.06413192,2.739367,0.08509083,-0.3377996,2.822577,0.1399662,-0.6874758,2.871014,0.1554616,-0.7702472,2.837555,604,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
37219194.8773,-0.04650458,0.1471909,2.753248,-0.04814465,0.2047963,2.810447,-0.05650761,0.5498417,2.816273,-0.05898359,0.7277098,2.768653,-0.248441,0.4587974,2.817417,-0.4531012,0.4030706,2.799975,-0.657281,0.3895964,2.729821,-0.7522933,0.3901078,2.706197,0.1337346,0.4721429,2.820065,0.4050047,0.4453128,2.824471,0.6158273,0.4700471,2.815062,0.6871754,0.458434,2.811689,-0.12975,0.06136981,2.734992,-0.164442,-0.3338169,2.813313,-0.2036375,-0.6859239,2.853482,-0.2224792,-0.7823915,2.795334,0.04046399,0.06388782,2.738695,0.0849809,-0.3372583,2.822289,0.139532,-0.6864801,2.870028,0.1541014,-0.7705107,2.84051,604,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
37219230.8794,-0.04724603,0.1466703,2.752183,-0.04853322,0.2043731,2.809566,-0.0565199,0.549913,2.816132,-0.05939672,0.7281477,2.768463,-0.2491497,0.4568144,2.818414,-0.4525385,0.38204,2.801507,-0.6560363,0.3619478,2.730868,-0.7488251,0.3397321,2.708905,0.1333525,0.4714143,2.820046,0.3340013,0.4056863,2.815679,0.5562539,0.4174073,2.801368,0.6277642,0.4068246,2.798042,-0.1306122,0.06071974,2.734427,-0.1648188,-0.3334737,2.812957,-0.2032821,-0.6850971,2.853416,-0.2219946,-0.782114,2.794789,0.03944253,0.06345961,2.736568,0.08450056,-0.3367822,2.821664,0.1386644,-0.6849689,2.869382,0.1540373,-0.7703629,2.840416,604,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
37219262.8812,-0.04750292,0.1457804,2.751865,-0.048621,0.2036978,2.809364,-0.05647629,0.5498502,2.816289,-0.05982952,0.7282028,2.768419,-0.2492812,0.4542805,2.81885,-0.4497252,0.3668713,2.80127,-0.6492933,0.3132148,2.739068,-0.7252377,0.2972997,2.724316,0.1322858,0.470987,2.820202,0.3345413,0.4031405,2.818177,0.5580093,0.3746592,2.795984,0.6295187,0.3640766,2.792658,-0.1307096,0.06004178,2.734231,-0.1645414,-0.3340443,2.813328,-0.204871,-0.6869073,2.853823,-0.2213485,-0.7829002,2.795008,0.03901841,0.06296106,2.736193,0.0843621,-0.3372248,2.821804,0.1384508,-0.6864574,2.865247,0.1553364,-0.7805973,2.832049,604,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
37219295.8831,-0.04794011,0.1443583,2.751073,-0.04877407,0.2024024,2.808682,-0.05618137,0.5493575,2.816216,-0.06013528,0.7277828,2.767292,-0.2496482,0.4479766,2.820115,-0.4402711,0.3423361,2.802946,-0.639954,0.2744932,2.734547,-0.7134468,0.245653,2.717823,0.131456,0.4689045,2.821316,0.34467,0.3852776,2.820192,0.5726666,0.326515,2.793932,0.6674213,0.3062801,2.80799,-0.1312993,0.05866089,2.733847,-0.1646284,-0.3343668,2.813195,-0.2047864,-0.686537,2.853538,-0.2214976,-0.7827703,2.794768,0.03839301,0.06164088,2.734858,0.08475126,-0.3362756,2.821663,0.1388667,-0.685831,2.864678,0.1569671,-0.7788385,2.834267,604,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
37219330.8851,-0.04834761,0.1436485,2.750388,-0.04927697,0.2016638,2.808037,-0.05606941,0.5489298,2.816,-0.060108,0.727784,2.767408,-0.2494131,0.4464454,2.821017,-0.4415418,0.3267519,2.800746,-0.6353282,0.2309583,2.73444,-0.7043277,0.1906959,2.718562,0.1318195,0.465481,2.82325,0.3433612,0.3557185,2.817418,0.5489456,0.2921535,2.786476,0.6329201,0.2696787,2.790701,-0.1317817,0.05785325,2.732993,-0.1649028,-0.3344105,2.813063,-0.2036506,-0.6845462,2.853835,-0.2212682,-0.7826636,2.794179,0.03784817,0.06097097,2.734232,0.08474295,-0.3362523,2.821553,0.1390547,-0.6864257,2.864308,0.155515,-0.7788804,2.833146,604,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
37219362.8869,-0.04835294,0.1416374,2.749626,-0.04948761,0.1997338,2.807312,-0.05584699,0.5477972,2.81574,-0.06017039,0.726764,2.76676,-0.248194,0.4430121,2.821238,-0.4297739,0.2974661,2.799096,-0.6248637,0.1791003,2.737325,-0.6869342,0.1435685,2.726307,0.1321575,0.4603142,2.824861,0.3334495,0.3419674,2.82034,0.5275975,0.2580319,2.78852,0.5940271,0.2291021,2.784662,-0.1318251,0.0559454,2.732597,-0.1649216,-0.3344536,2.813081,-0.2033423,-0.6863822,2.854087,-0.2212629,-0.7826635,2.794183,0.03784156,0.05942411,2.733277,0.08502257,-0.3345782,2.820725,0.1389659,-0.6864395,2.864442,0.1532914,-0.7749295,2.832029,604,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
37219394.8887,-0.04875676,0.1397064,2.748894,-0.04967358,0.1982459,2.806763,-0.05550372,0.5476593,2.815789,-0.06052388,0.7267796,2.766185,-0.2475252,0.4422592,2.822066,-0.4273832,0.2900705,2.799327,-0.6136482,0.1657014,2.746217,-0.6724992,0.1265382,2.730742,0.131308,0.4549181,2.824703,0.3273653,0.327163,2.820681,0.5205324,0.2404166,2.791845,0.6075625,0.1960502,2.7853,-0.1321773,0.05448414,2.731979,-0.1651102,-0.3345035,2.813051,-0.2031341,-0.6868703,2.853698,-0.2214709,-0.7826054,2.79429,0.0370721,0.05798831,2.73258,0.08518127,-0.3345447,2.820691,0.1391243,-0.6850587,2.864923,0.1530515,-0.7736437,2.83331,604,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
37219430.8908,-0.04922882,0.1365972,2.747831,-0.04993125,0.1955382,2.805859,-0.05536325,0.5471218,2.815741,-0.06037083,0.726878,2.765931,-0.2461493,0.4399688,2.821737,-0.4247417,0.2782518,2.800915,-0.596249,0.1497901,2.751215,-0.659938,0.09889109,2.729476,0.1294026,0.4521306,2.82348,0.3206067,0.3169534,2.820413,0.5125574,0.2273335,2.792895,0.5984497,0.1809461,2.785386,-0.1322322,0.05264188,2.730992,-0.1650543,-0.3345722,2.813091,-0.2032329,-0.6869516,2.853657,-0.221537,-0.7825423,2.794125,0.03610473,0.05587924,2.731941,0.08642597,-0.3392924,2.822003,0.1391529,-0.684635,2.864888,0.1538984,-0.7736526,2.833703,604,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
37219462.8926,-0.04910295,0.1341606,2.747236,-0.04961871,0.1934962,2.805287,-0.05527823,0.5468445,2.815587,-0.05997631,0.7265363,2.764249,-0.2445861,0.4382277,2.821421,-0.4184003,0.2730051,2.799289,-0.5838979,0.1434252,2.755887,-0.6458954,0.09352669,2.72913,0.1268917,0.4494371,2.821263,0.315723,0.3118002,2.819788,0.503247,0.2128732,2.795291,0.5834871,0.1586671,2.780833,-0.1317415,0.05127388,2.730505,-0.1649708,-0.3374211,2.814189,-0.2030227,-0.687109,2.853284,-0.2215277,-0.782577,2.793955,0.03578901,0.0544893,2.731761,0.08630313,-0.339644,2.822004,0.1389478,-0.6904103,2.867365,0.1549181,-0.7749349,2.836993,604,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
37219494.8945,-0.04915408,0.1339722,2.747077,-0.04966195,0.1933104,2.805139,-0.05497801,0.5468143,2.815543,-0.05979751,0.7267001,2.764092,-0.2443613,0.4381539,2.821827,-0.4157143,0.2692088,2.799342,-0.5782265,0.1361139,2.75502,-0.6387523,0.08782807,2.728095,0.1272926,0.448322,2.82171,0.3132548,0.3079307,2.821176,0.4983823,0.2046071,2.796518,0.5796528,0.1527584,2.779406,-0.1318647,0.05101797,2.730307,-0.1651253,-0.3391986,2.81451,-0.2041795,-0.6891133,2.852687,-0.2196647,-0.7840641,2.792191,0.03563312,0.05412865,2.73147,0.0863492,-0.3395655,2.821975,0.1388508,-0.6884083,2.868286,0.1559027,-0.7740411,2.835108,604,Put-your-hands-on-your-hips-and-lean-to-the-other-side,
