Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37281730.6265,-0.04221987,0.1546946,2.768186,-0.04204672,0.2135801,2.824142,-0.05470333,0.5583309,2.823176,-0.06256455,0.7362883,2.781677,-0.2452063,0.4683112,2.838939,-0.4564383,0.4346363,2.856946,-0.6686478,0.4399388,2.842114,-0.7661323,0.4382777,2.833746,0.1346475,0.4814323,2.825095,0.4079253,0.4702333,2.84656,0.6193057,0.4676418,2.852364,0.6914661,0.4725698,2.85205,-0.1249259,0.068027,2.756036,-0.1531755,-0.3554619,2.850816,-0.1846936,-0.7029175,2.867357,-0.1968839,-0.7945731,2.815966,0.04528192,0.07325056,2.750765,0.08226307,-0.3537922,2.832364,0.1172266,-0.7093245,2.854318,0.1280444,-0.7866792,2.785741,604,Lift-your-leg-to-one-side,
37281763.6284,-0.04291345,0.1542162,2.767699,-0.04251383,0.2131815,2.823607,-0.05483951,0.5580927,2.822541,-0.06260973,0.7362848,2.781748,-0.2462559,0.46722,2.839265,-0.4568734,0.4278026,2.855386,-0.6691354,0.4300443,2.84339,-0.7665031,0.4265262,2.83427,0.1337315,0.480087,2.824282,0.4045649,0.4493755,2.840679,0.6151863,0.4489623,2.853613,0.6873573,0.4537183,2.853107,-0.1255791,0.06738115,2.755844,-0.1534161,-0.3550746,2.849942,-0.1846199,-0.7028854,2.867688,-0.1969192,-0.7946542,2.815855,0.04424069,0.07268137,2.750128,0.08217469,-0.3538444,2.831802,0.1175657,-0.7097363,2.854155,0.1284542,-0.7863269,2.785623,604,Lift-your-leg-to-one-side,
37281798.6304,-0.04312253,0.1538417,2.767282,-0.0426929,0.2128369,2.823256,-0.05530437,0.5579882,2.822527,-0.06254022,0.736414,2.781165,-0.2483428,0.4629017,2.839482,-0.4612424,0.4144961,2.857544,-0.6723703,0.3932315,2.838102,-0.7701684,0.3899835,2.839106,0.132033,0.4794949,2.824484,0.3329867,0.4184255,2.828725,0.5653111,0.4118246,2.844501,0.6374777,0.4166352,2.843898,-0.1257487,0.06681611,2.755651,-0.1531629,-0.3546474,2.848787,-0.1845548,-0.7023592,2.867267,-0.1964562,-0.7946743,2.814266,0.04415309,0.07250486,2.74932,0.08215955,-0.3541013,2.83166,0.1181534,-0.7097383,2.854707,0.1293557,-0.785428,2.782682,604,Lift-your-leg-to-one-side,
37281830.6322,-0.04365236,0.153218,2.766851,-0.04311875,0.2123038,2.82287,-0.05554699,0.557906,2.822429,-0.06412579,0.7368187,2.781619,-0.2496262,0.4610865,2.840143,-0.4608482,0.3993595,2.85954,-0.6714008,0.3737875,2.837332,-0.7682903,0.3601337,2.835916,0.130411,0.4773295,2.824536,0.3375235,0.4145419,2.829401,0.5668171,0.3803498,2.830943,0.6608098,0.368199,2.85531,-0.1262588,0.06606852,2.755589,-0.1536266,-0.3523376,2.846588,-0.1844136,-0.7024693,2.867191,-0.1965122,-0.7946655,2.813425,0.04354819,0.07188398,2.748458,0.08207744,-0.353862,2.831389,0.1180479,-0.7096473,2.854687,0.1294284,-0.7852972,2.782748,604,Lift-your-leg-to-one-side,
37281872.6346,-0.04443979,0.1507353,2.766244,-0.04349495,0.2101219,2.822238,-0.05571605,0.5568837,2.821949,-0.06509092,0.7359104,2.782176,-0.2502039,0.4579475,2.841177,-0.4604263,0.3867997,2.859319,-0.6692519,0.3500498,2.835662,-0.7537056,0.328546,2.835355,0.1269646,0.4747481,2.823398,0.3400292,0.3988065,2.828138,0.5656957,0.3584685,2.829528,0.6581236,0.338142,2.854431,-0.1266036,0.06382042,2.755934,-0.153657,-0.3521498,2.846165,-0.1843499,-0.7034927,2.867048,-0.1965246,-0.7956649,2.814447,0.04225188,0.07016949,2.747377,0.08285105,-0.3586971,2.830863,0.1179806,-0.7093248,2.854607,0.1295857,-0.7852856,2.785902,604,Lift-your-leg-to-one-side,
37281889.2347,-0.04466598,0.1500651,2.765515,-0.04370144,0.2095158,2.821649,-0.0557351,0.556827,2.821907,-0.06537863,0.7354845,2.78171,-0.2495647,0.4556597,2.841949,-0.4604924,0.3765532,2.861338,-0.6645025,0.3179237,2.846017,-0.7446071,0.2952544,2.836226,0.1268927,0.4727394,2.824364,0.343418,0.3844515,2.828879,0.54567,0.3201977,2.820464,0.6388552,0.299511,2.842028,-0.1269234,0.0630827,2.755431,-0.1538364,-0.3525006,2.845685,-0.1841659,-0.7029199,2.867282,-0.1961931,-0.7954769,2.8137,0.04205845,0.06973211,2.746264,0.0821467,-0.3563277,2.829648,0.1187092,-0.707929,2.855125,0.1317472,-0.7849063,2.788366,604,Lift-your-leg-to-one-side,
37281920.4347,-0.04547684,0.1485727,2.765145,-0.0440232,0.2082633,2.821349,-0.05540378,0.556408,2.821946,-0.06646223,0.7333366,2.780196,-0.2496464,0.4527791,2.8441,-0.4548452,0.3514729,2.864534,-0.6619165,0.3051646,2.844873,-0.7273647,0.2759941,2.836488,0.1264174,0.470257,2.825016,0.3370207,0.3704416,2.829257,0.5398178,0.3077258,2.81641,0.6234623,0.2748835,2.833217,-0.1277901,0.06181002,2.755166,-0.1539524,-0.354645,2.847018,-0.1839128,-0.7042412,2.867655,-0.1963182,-0.7955112,2.813708,0.04057789,0.06799118,2.745733,0.0823056,-0.3559722,2.829378,0.118238,-0.707041,2.85497,0.1315131,-0.7842794,2.787427,604,Lift-your-leg-to-one-side,
37281951.6348,-0.04560467,0.1478223,2.764948,-0.04410657,0.2075782,2.821215,-0.05535619,0.5561976,2.8221,-0.06618981,0.7331651,2.780107,-0.2491036,0.4516366,2.845801,-0.4490739,0.3453366,2.864149,-0.652583,0.285735,2.841025,-0.7263814,0.2549057,2.827505,0.1268533,0.4671175,2.826181,0.3314524,0.358372,2.828046,0.5318601,0.288428,2.812334,0.5904238,0.2459808,2.812763,-0.1278352,0.06128764,2.754842,-0.1531147,-0.352904,2.845884,-0.1831028,-0.7013739,2.868864,-0.1981059,-0.7933527,2.818821,0.04030812,0.06715927,2.745625,0.08092062,-0.3535019,2.828433,0.1178334,-0.7056044,2.854454,0.1319268,-0.7839484,2.786129,604,Lift-your-leg-to-one-side,
37281998.4349,-0.04565628,0.1466322,2.764767,-0.04375573,0.2064955,2.821045,-0.05500907,0.5557094,2.822186,-0.06529749,0.7326578,2.779287,-0.248813,0.450479,2.848047,-0.4481816,0.3411659,2.863558,-0.6488411,0.2723669,2.842123,-0.7202734,0.2470863,2.830261,0.1253753,0.4649674,2.825749,0.3302906,0.3521998,2.827808,0.5268127,0.2719733,2.812648,0.6126293,0.2258818,2.822,-0.1277237,0.0606683,2.754577,-0.1533328,-0.3529016,2.845583,-0.183155,-0.7015487,2.868421,-0.1981459,-0.7931469,2.818309,0.03992208,0.06630504,2.745698,0.08090942,-0.3535166,2.828389,0.118715,-0.7071324,2.854956,0.1302083,-0.7863455,2.781654,604,Lift-your-leg-to-one-side,
37282029.6349,-0.04616921,0.1448235,2.764472,-0.04381635,0.204958,2.820873,-0.0544958,0.5552468,2.822618,-0.06542977,0.7326583,2.779274,-0.2482863,0.4496801,2.849064,-0.4461431,0.336345,2.863386,-0.6463352,0.2662526,2.841496,-0.7190773,0.2342555,2.830968,0.1235429,0.4626286,2.824869,0.3228149,0.3445131,2.827156,0.5188611,0.2631549,2.816128,0.6074271,0.2222015,2.823571,-0.1278954,0.0598697,2.754174,-0.1537086,-0.3552113,2.846987,-0.1843903,-0.7039623,2.869831,-0.1983385,-0.7937833,2.819562,0.03864483,0.064816,2.745648,0.08116041,-0.352544,2.827658,0.1184142,-0.7059178,2.854928,0.130308,-0.7859703,2.781759,604,Lift-your-leg-to-one-side,
