Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37335792.0633,-0.04200615,0.1494499,2.772775,-0.04381166,0.2081979,2.830754,-0.05508441,0.5600711,2.841421,-0.06173782,0.7454827,2.818014,-0.2467516,0.4576682,2.837054,-0.4539856,0.380038,2.822208,-0.663002,0.3465512,2.789905,-0.748906,0.3407973,2.780658,0.1353424,0.474547,2.838688,0.3353952,0.3970873,2.833368,0.5725401,0.3498967,2.795988,0.644744,0.3473888,2.801547,-0.1250867,0.06233457,2.754734,-0.1493859,-0.3589365,2.846199,-0.1742421,-0.7081032,2.873977,-0.1898777,-0.7918083,2.8111,0.04613476,0.0680808,2.756989,0.07669859,-0.3441854,2.836322,0.111298,-0.6927941,2.86876,0.123399,-0.7808729,2.819629,604,Run-in-place,
37335823.065,-0.04232127,0.1484542,2.772901,-0.04413835,0.2071391,2.830963,-0.0554236,0.5592753,2.842335,-0.061828,0.7451942,2.817858,-0.2469913,0.4565816,2.837866,-0.4487508,0.3669995,2.822661,-0.654394,0.3156909,2.793658,-0.7239473,0.297732,2.780042,0.1351238,0.4738159,2.839527,0.3398847,0.3843386,2.830791,0.5498364,0.3328695,2.795181,0.628299,0.3196518,2.79354,-0.1253393,0.06144197,2.754936,-0.1494962,-0.3590938,2.846218,-0.1752057,-0.7099932,2.875273,-0.1903251,-0.7921412,2.811156,0.04579276,0.06699805,2.756769,0.07490804,-0.3470053,2.837927,0.1103303,-0.697275,2.872738,0.1234932,-0.7846074,2.813221,604,Run-in-place,
37335855.0669,-0.04234928,0.1481529,2.773058,-0.04432868,0.2066146,2.831183,-0.05466219,0.5583919,2.843588,-0.05959935,0.7432193,2.815878,-0.2465112,0.4548903,2.839411,-0.4439477,0.3486522,2.824514,-0.6488121,0.2956779,2.791359,-0.7273448,0.2811701,2.78138,0.1365561,0.4663038,2.841612,0.3437205,0.3652151,2.829689,0.549112,0.3056293,2.79507,0.6192008,0.2873687,2.792922,-0.1253532,0.0611089,2.755192,-0.1492059,-0.3588931,2.845899,-0.1744713,-0.7067461,2.875479,-0.1908192,-0.7905568,2.812983,0.04560445,0.06663842,2.756672,0.07536657,-0.3467096,2.837784,0.1100134,-0.6922687,2.869743,0.1249561,-0.7787456,2.817735,604,Run-in-place,
37335891.0689,-0.04279738,0.1457044,2.772724,-0.04429723,0.2046153,2.831091,-0.05430006,0.5579597,2.844263,-0.05790649,0.7403915,2.814523,-0.2451396,0.4524968,2.841289,-0.441503,0.3400694,2.824389,-0.6389143,0.2637515,2.791759,-0.7081673,0.2471682,2.778367,0.1345316,0.4650112,2.841553,0.3370707,0.3563984,2.830858,0.5678141,0.2799376,2.792314,0.6360106,0.2560624,2.786878,-0.1254268,0.05992036,2.754627,-0.1493479,-0.3570639,2.844827,-0.1744559,-0.706072,2.875741,-0.192852,-0.7907524,2.822738,0.0445036,0.06501204,2.756584,0.07597173,-0.3458233,2.837623,0.1107364,-0.6879364,2.871201,0.124744,-0.777787,2.817584,604,Run-in-place,
37335938.0716,-0.04288706,0.1449663,2.772717,-0.04433711,0.2037775,2.831207,-0.05378463,0.557634,2.845903,-0.05805235,0.7398933,2.813085,-0.2450376,0.4502398,2.843153,-0.4370654,0.3275269,2.824344,-0.6336178,0.2466348,2.793346,-0.703199,0.2308856,2.780671,0.1340082,0.4641778,2.84383,0.330563,0.3369271,2.829374,0.5250418,0.2550937,2.790515,0.5957514,0.2393296,2.791891,-0.1254788,0.05934782,2.754451,-0.1494585,-0.35721,2.84482,-0.1747476,-0.7066205,2.875764,-0.1929021,-0.7907141,2.822603,0.04417001,0.06420157,2.756368,0.07628044,-0.3518045,2.839631,0.1111015,-0.6997983,2.868884,0.1233401,-0.7844819,2.811673,604,Run-in-place,
37335941.0718,-0.04327836,0.1443928,2.772613,-0.04451691,0.2032047,2.831188,-0.05360267,0.5573565,2.846282,-0.05907001,0.7393602,2.812888,-0.2444731,0.4494965,2.845115,-0.4318848,0.3157604,2.823058,-0.6259892,0.2307717,2.793399,-0.6934242,0.1984516,2.772145,0.1336358,0.4614593,2.844658,0.327628,0.3328942,2.829845,0.5216915,0.2495593,2.792767,0.6089322,0.2058051,2.783538,-0.1258343,0.05900744,2.754185,-0.1495375,-0.3562845,2.844388,-0.1745684,-0.7060189,2.875392,-0.191847,-0.788785,2.821222,0.0433792,0.0634975,2.756234,0.07661225,-0.3523493,2.839717,0.1094954,-0.6922234,2.869967,0.1241215,-0.7812288,2.807088,604,Run-in-place,
37335987.8719,-0.04364507,0.1428364,2.772456,-0.04435699,0.2017439,2.831165,-0.0532494,0.5567291,2.846824,-0.05828561,0.738254,2.811954,-0.2442152,0.44853,2.846671,-0.4275427,0.3098602,2.824456,-0.6203476,0.2214448,2.79795,-0.6923279,0.1907345,2.779124,0.1313177,0.4581095,2.842752,0.3238378,0.3291686,2.830252,0.5179175,0.245512,2.794492,0.5792797,0.2041707,2.785765,-0.1260118,0.05803279,2.753662,-0.1497335,-0.3558613,2.844437,-0.1745551,-0.706038,2.875236,-0.1933992,-0.7884564,2.82277,0.04257191,0.06234925,2.756351,0.07705677,-0.3506461,2.83877,0.1097262,-0.6918219,2.870218,0.1242788,-0.7764455,2.814595,604,Run-in-place,
37336019.0719,-0.04393384,0.1417292,2.772201,-0.04445844,0.2007388,2.831047,-0.05311406,0.556455,2.847226,-0.05884342,0.7379955,2.812254,-0.2436048,0.4466867,2.847243,-0.4253212,0.3055765,2.8254,-0.6183891,0.217968,2.797426,-0.6895882,0.1867564,2.77798,0.1312768,0.4574248,2.842805,0.317181,0.3271848,2.829612,0.5108174,0.2417195,2.797114,0.5429077,0.2161818,2.793198,-0.1261856,0.05721761,2.753276,-0.1508306,-0.3561406,2.84545,-0.1745124,-0.706773,2.875009,-0.1920954,-0.7908823,2.816686,0.04195431,0.06127403,2.756004,0.07690163,-0.3504262,2.838498,0.1104867,-0.6897643,2.871586,0.1240129,-0.7764473,2.816176,604,Run-in-place,
37336050.272,-0.04399314,0.1407357,2.77209,-0.04447652,0.1998021,2.831031,-0.05295596,0.556148,2.847643,-0.05872973,0.7373827,2.8118,-0.2426222,0.4457508,2.847391,-0.4239219,0.3034399,2.824876,-0.6164893,0.2147023,2.797127,-0.6891879,0.1855813,2.77865,0.1306266,0.4563772,2.842879,0.3172331,0.3261949,2.82979,0.5107867,0.240767,2.796314,0.5602067,0.2105705,2.784066,-0.1260838,0.056701,2.75316,-0.1521562,-0.357511,2.847255,-0.174575,-0.7071218,2.874849,-0.1909687,-0.7911732,2.813069,0.04167281,0.06081448,2.755894,0.07648139,-0.3499925,2.838342,0.1104817,-0.6884233,2.870016,0.1247538,-0.7738822,2.815504,604,Run-in-place,
37336081.472,-0.04439733,0.140178,2.771983,-0.04442084,0.199303,2.830966,-0.05298363,0.5560681,2.847744,-0.05849825,0.7363594,2.811214,-0.2426785,0.445951,2.849318,-0.4232256,0.3011344,2.82491,-0.616193,0.2132445,2.797333,-0.6886488,0.1832994,2.779753,0.1289817,0.4551238,2.841555,0.3164348,0.3259425,2.830527,0.5100728,0.2408962,2.796262,0.5586767,0.2127269,2.784572,-0.126295,0.05636781,2.753253,-0.1524878,-0.3570938,2.847059,-0.1753004,-0.7084689,2.875211,-0.1908965,-0.7914193,2.811922,0.04086271,0.06043253,2.755458,0.07555903,-0.3425959,2.833553,0.1108119,-0.6871731,2.86965,0.1251443,-0.7726081,2.815898,604,Run-in-place,
