Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37381605.9585,-0.04608614,0.1579261,2.718444,-0.04665745,0.215199,2.773229,-0.05892782,0.563586,2.792324,-0.06065102,0.7467008,2.784328,-0.2423362,0.4669793,2.79259,-0.4546991,0.4504865,2.79335,-0.660327,0.4982656,2.75943,-0.7572268,0.4972237,2.74492,0.139521,0.4695905,2.780607,0.3961707,0.4846566,2.799603,0.6073223,0.5040594,2.790546,0.6715545,0.5187612,2.809854,-0.1261607,0.07386198,2.698499,-0.1471475,-0.3450294,2.796821,-0.166226,-0.6919959,2.847881,-0.1857883,-0.78698,2.783189,0.03893795,0.07518845,2.701872,0.06998023,-0.3421045,2.783029,0.09713968,-0.6924379,2.828895,0.1045968,-0.7770824,2.763936,604,Jump-as-high-as-you-can,
37381638.9604,-0.0461911,0.1579183,2.718545,-0.04671692,0.2151381,2.773733,-0.05946712,0.5636182,2.792705,-0.06066884,0.7466274,2.784338,-0.2427535,0.4665813,2.793265,-0.4543599,0.4454187,2.794265,-0.6902757,0.4596736,2.752013,-0.7764828,0.4770765,2.737773,0.1390285,0.4697677,2.780523,0.4024889,0.478041,2.799639,0.6134593,0.4995426,2.78287,0.6718526,0.5051916,2.794238,-0.12621,0.07380009,2.69862,-0.148142,-0.3476993,2.799549,-0.1657226,-0.6935794,2.847689,-0.1867075,-0.7896405,2.785254,0.03887244,0.07521435,2.701936,0.06978387,-0.3422215,2.783131,0.09707376,-0.6917312,2.829,0.1045923,-0.7770693,2.763935,604,Jump-as-high-as-you-can,
37381670.9622,-0.04643156,0.1578758,2.718654,-0.04696266,0.215152,2.774204,-0.06013868,0.5645345,2.793119,-0.06080427,0.7477842,2.783881,-0.2426143,0.4662495,2.794103,-0.4514214,0.435066,2.794663,-0.688371,0.4523386,2.75128,-0.7639347,0.4519345,2.734877,0.1389532,0.4690704,2.780944,0.4014526,0.4662209,2.801443,0.6129231,0.4798836,2.779272,0.6658763,0.4810266,2.784273,-0.1263249,0.07379345,2.698675,-0.1478544,-0.3470464,2.799462,-0.1658699,-0.6931145,2.847585,-0.1863556,-0.7878809,2.785168,0.03855408,0.07508866,2.70215,0.07001866,-0.3430898,2.784797,0.09671156,-0.6915165,2.828496,0.1044497,-0.7771803,2.763093,604,Jump-as-high-as-you-can,
37381707.9643,-0.04678214,0.1573982,2.718937,-0.04722581,0.2147853,2.774755,-0.06037388,0.5643972,2.793222,-0.0608316,0.7473991,2.78361,-0.2426384,0.4659505,2.794802,-0.4487075,0.4206381,2.792992,-0.6899074,0.4214717,2.752875,-0.7639158,0.4164736,2.73442,0.1386192,0.4681747,2.78106,0.361282,0.4281111,2.790307,0.5785512,0.4574771,2.778651,0.6632915,0.4636233,2.781315,-0.1266106,0.07341895,2.698862,-0.1481527,-0.3472631,2.800098,-0.1655788,-0.693544,2.847251,-0.1874573,-0.7887669,2.785434,0.03817537,0.07444248,2.702712,0.06924789,-0.3421102,2.784188,0.09670267,-0.6915293,2.828523,0.1045574,-0.7770729,2.76278,604,Jump-as-high-as-you-can,
37381737.966,-0.047077,0.1573088,2.719113,-0.04739555,0.2147129,2.775175,-0.06037892,0.5643836,2.793255,-0.06111964,0.7475286,2.783024,-0.2426025,0.4653964,2.795253,-0.4483023,0.4056807,2.79377,-0.684567,0.3927878,2.754647,-0.7637527,0.3824171,2.733953,0.1383511,0.4678615,2.781129,0.3582001,0.4212846,2.788146,0.5709035,0.4139164,2.770237,0.6688221,0.4111348,2.772573,-0.1271354,0.07339115,2.699384,-0.1484029,-0.3476074,2.800984,-0.1651041,-0.6930881,2.847549,-0.1870762,-0.788213,2.785567,0.03789213,0.07434229,2.702766,0.06938653,-0.3441805,2.784959,0.09685104,-0.6926081,2.828502,0.1041713,-0.7770704,2.762541,604,Jump-as-high-as-you-can,
37381769.9678,-0.0473628,0.1570682,2.719573,-0.04766883,0.2145014,2.775867,-0.06032293,0.5642325,2.793557,-0.06098982,0.7480602,2.782007,-0.2428463,0.4643096,2.796412,-0.4480647,0.395664,2.794756,-0.658043,0.3511445,2.754574,-0.75196,0.3409773,2.739246,0.1379619,0.4667355,2.782717,0.3595603,0.4116475,2.788765,0.5771763,0.3872127,2.773985,0.6741744,0.3734362,2.775712,-0.1274367,0.07310264,2.700124,-0.1481559,-0.3484255,2.80172,-0.1656038,-0.6937475,2.848385,-0.1869449,-0.7879614,2.786388,0.03747832,0.0740481,2.703108,0.06853522,-0.3456855,2.786465,0.09670684,-0.6934845,2.827792,0.1042273,-0.7770725,2.762629,604,Jump-as-high-as-you-can,
37381807.97,-0.04762873,0.1561509,2.720028,-0.04777674,0.2137031,2.776617,-0.05999446,0.5641341,2.795,-0.0621805,0.7473092,2.781654,-0.2423679,0.4625767,2.796537,-0.447402,0.3818886,2.793726,-0.6607623,0.3395446,2.754719,-0.7391613,0.3191327,2.736975,0.1354623,0.4646944,2.782407,0.356451,0.401318,2.788178,0.5756109,0.3609825,2.770879,0.6717168,0.3444103,2.78039,-0.1274101,0.07265057,2.700337,-0.1480618,-0.3508748,2.80303,-0.1657352,-0.6938446,2.84861,-0.1870893,-0.7891055,2.788699,0.03677583,0.0736445,2.70362,0.06753767,-0.3436511,2.785815,0.09686146,-0.6933842,2.827174,0.1054309,-0.7764373,2.763531,604,Jump-as-high-as-you-can,
37381837.9717,-0.04794141,0.1556814,2.720423,-0.04780992,0.2133174,2.777154,-0.05995435,0.5638857,2.79508,-0.06277513,0.7469053,2.781178,-0.2432323,0.459157,2.797657,-0.4463085,0.3696634,2.79412,-0.6591427,0.3233619,2.752689,-0.7374278,0.3039572,2.736025,0.1349494,0.4646179,2.782632,0.3413623,0.3868846,2.785316,0.5494483,0.3460356,2.768528,0.6246283,0.3178195,2.771621,-0.1278165,0.07178994,2.701143,-0.1485983,-0.3498078,2.802755,-0.1648376,-0.6915179,2.848511,-0.1863178,-0.7882728,2.78795,0.03640116,0.07341403,2.7039,0.06756591,-0.3435062,2.786429,0.0968044,-0.6932371,2.827166,0.1053563,-0.7764504,2.763633,604,Jump-as-high-as-you-can,
37381869.9736,-0.04836563,0.1545063,2.720994,-0.04809412,0.2123514,2.777888,-0.05954439,0.5633919,2.795493,-0.06294312,0.746982,2.778726,-0.2433475,0.4582539,2.798069,-0.4466063,0.3641635,2.794173,-0.6489805,0.3067278,2.753728,-0.7347547,0.2858745,2.735701,0.1340296,0.4632925,2.783274,0.3406775,0.3786906,2.785099,0.5489953,0.3391249,2.767462,0.6290573,0.3123112,2.769645,-0.1283146,0.07051709,2.70204,-0.148568,-0.3497919,2.802754,-0.1658734,-0.6919808,2.847511,-0.1858186,-0.7880288,2.787004,0.03574404,0.07257742,2.704273,0.06791728,-0.3450091,2.78737,0.09721803,-0.6929066,2.827868,0.105344,-0.7763497,2.763631,604,Jump-as-high-as-you-can,
37381906.9757,-0.04853878,0.1539649,2.721057,-0.04826378,0.2118593,2.778092,-0.05957881,0.5630252,2.795372,-0.0637961,0.7468094,2.777629,-0.2428385,0.457269,2.798327,-0.4509275,0.349766,2.796002,-0.6549186,0.3011292,2.750844,-0.7382571,0.2768218,2.737771,0.1332246,0.4624455,2.783763,0.3371216,0.3738105,2.786039,0.5440556,0.3280068,2.764854,0.6174031,0.306896,2.76615,-0.1285381,0.07012263,2.702364,-0.1485366,-0.3497266,2.802737,-0.1656961,-0.6914184,2.84754,-0.1857997,-0.7878217,2.787199,0.03565734,0.07238702,2.704251,0.06796237,-0.3439544,2.787242,0.09727615,-0.6930638,2.827923,0.1060365,-0.7764681,2.765099,604,Jump-as-high-as-you-can,
