Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
61808986.7241,-0.150949,0.2000878,3.064019,-0.1530747,0.258118,3.118139,-0.1522663,0.5903802,3.10624,-0.1403978,0.785998,3.098932,-0.3493277,0.5032459,3.131048,-0.5862982,0.5565553,3.102546,-0.801055,0.5614198,3.036904,-0.8740448,0.5797782,3.024431,0.0384942,0.5058189,3.145372,0.2624213,0.5404654,3.152669,0.4807201,0.5749418,3.135167,0.5539153,0.5740246,3.128172,-0.2338195,0.1147817,3.049033,-0.2230408,-0.4237134,3.103806,-0.2440608,-0.7868571,3.09392,-0.2974757,-0.8579961,3.040618,-0.0671312,0.1124365,3.053148,-0.04190788,-0.4513631,3.098102,0.01176278,-0.8003304,3.087375,0.0491873,-0.8638241,3.008548,734,Raise-your-arm-to-the-other-side,
61809018.7259,-0.1506044,0.1992033,3.063257,-0.1527771,0.2573522,3.117667,-0.151716,0.5904375,3.106884,-0.1392715,0.7879229,3.100167,-0.3482987,0.4988175,3.130013,-0.5902583,0.5385777,3.093621,-0.8058563,0.5339912,3.031582,-0.8783393,0.5526459,3.019002,0.03865943,0.5046298,3.145153,0.2641447,0.5232927,3.146042,0.4839886,0.5461593,3.131323,0.5571813,0.5452421,3.124328,-0.2335784,0.1139874,3.04815,-0.22191,-0.4269435,3.105297,-0.2443215,-0.7873534,3.093777,-0.3183814,-0.8689342,3.05669,-0.06686732,0.1117007,3.05208,-0.04175532,-0.4512707,3.098141,0.01251789,-0.8008566,3.086181,0.0491548,-0.8639106,3.008226,734,Raise-your-arm-to-the-other-side,
61809054.728,-0.1506932,0.1962132,3.061283,-0.1524646,0.2548832,3.115986,-0.1506292,0.5902202,3.106436,-0.1382666,0.7914541,3.1012,-0.347551,0.4961545,3.130048,-0.5944434,0.5214412,3.088154,-0.80969,0.5108624,3.025529,-0.8795482,0.5299765,3.013583,0.03834867,0.5011954,3.144585,0.2577292,0.5020459,3.144909,0.4776495,0.5189519,3.11717,0.5508393,0.5180348,3.110175,-0.2340829,0.1119858,3.046846,-0.223129,-0.4275233,3.104539,-0.2446991,-0.7870293,3.093297,-0.2961293,-0.8565356,3.025626,-0.0673679,0.1087089,3.049648,-0.04112685,-0.4517199,3.097977,0.01183163,-0.8010626,3.087008,0.04905424,-0.8634564,3.007892,734,Raise-your-arm-to-the-other-side,
61809086.7298,-0.1511435,0.1932025,3.059201,-0.1523801,0.2522075,3.114225,-0.1508319,0.590023,3.10629,-0.1383682,0.7915472,3.101262,-0.3480136,0.4917459,3.131113,-0.6070075,0.4962578,3.077904,-0.8206866,0.467544,3.015685,-0.8931522,0.4627495,2.984423,0.03695919,0.4937364,3.141062,0.3039148,0.4846008,3.140287,0.5231378,0.5035977,3.105931,0.5963256,0.5026805,3.098936,-0.2348917,0.1089338,3.044142,-0.2212782,-0.4232866,3.103834,-0.2445406,-0.7820503,3.090568,-0.2948358,-0.8483326,3.02894,-0.06739344,0.1060034,3.047794,-0.04007587,-0.4529046,3.098196,0.01212612,-0.8020908,3.086832,0.04868046,-0.8634854,3.007301,734,Raise-your-arm-to-the-other-side,
61809118.7316,-0.1511095,0.1901679,3.057774,-0.1524817,0.2491597,3.112923,-0.1511475,0.5886644,3.106183,-0.1348268,0.7915148,3.103502,-0.3468988,0.4898819,3.131309,-0.6052692,0.4858217,3.077738,-0.8146724,0.4409927,3.00951,-0.8818615,0.4229735,2.985708,0.03787256,0.4896183,3.141391,0.2544023,0.454924,3.142401,0.4734473,0.4715725,3.104527,0.546631,0.4706555,3.097532,-0.2348717,0.1058372,3.041663,-0.2227677,-0.4266508,3.104082,-0.2449578,-0.7830279,3.090567,-0.2949322,-0.8497254,3.029279,-0.06717727,0.1033539,3.046942,-0.04030612,-0.4532886,3.098272,0.01104275,-0.8026115,3.087554,0.04925138,-0.8636158,3.006809,734,Raise-your-arm-to-the-other-side,
61809154.7337,-0.1497451,0.1871326,3.055838,-0.1510863,0.2466107,3.111291,-0.1504281,0.5885679,3.105967,-0.1354954,0.7914032,3.10429,-0.3457242,0.4854281,3.130563,-0.6248876,0.4595271,3.068461,-0.8327879,0.4094603,2.999069,-0.9026326,0.4020485,2.977348,0.03740974,0.4882521,3.140287,0.2537971,0.4524904,3.141024,0.4725932,0.4333783,3.102753,0.5457728,0.4324612,3.095759,-0.2334393,0.1024336,3.039041,-0.2196077,-0.4307507,3.106423,-0.2455696,-0.7836722,3.09092,-0.3022892,-0.8579985,3.033314,-0.06620032,0.1016899,3.045659,-0.03969479,-0.4519374,3.097957,0.01055859,-0.8025943,3.087763,0.04918363,-0.8632467,3.006376,734,Raise-your-arm-to-the-other-side,
61809186.7355,-0.1494795,0.1835099,3.053306,-0.1510644,0.2428824,3.109455,-0.150856,0.5866187,3.107255,-0.1347453,0.7868438,3.107521,-0.3439475,0.4797008,3.12948,-0.5831257,0.4402112,3.086533,-0.7946361,0.3810642,2.999238,-0.8609762,0.3523995,2.969928,0.03758544,0.4860591,3.140567,0.2513389,0.4357532,3.138957,0.4697876,0.4150239,3.099051,0.542964,0.4141069,3.092057,-0.2328134,0.0991119,3.034242,-0.219371,-0.4320863,3.107082,-0.2449093,-0.7849256,3.091481,-0.3008671,-0.858649,3.036211,-0.06572244,0.0979084,3.043099,-0.03911586,-0.4531718,3.098722,0.01086601,-0.8035835,3.085388,0.05729282,-0.8672653,3.012772,734,Raise-your-arm-to-the-other-side,
61809218.7374,-0.1495475,0.1820904,3.052151,-0.1512946,0.2417843,3.108661,-0.1506043,0.5869936,3.107665,-0.1344656,0.7872391,3.107528,-0.341884,0.4773013,3.128032,-0.5752001,0.432309,3.083385,-0.7875146,0.3520922,2.999079,-0.8668714,0.3145637,2.957887,0.03774429,0.4834509,3.140996,0.2496657,0.4235954,3.133059,0.486364,0.3560979,3.070664,0.559539,0.3551809,3.06367,-0.2325451,0.09819011,3.032521,-0.2192999,-0.4338651,3.107412,-0.2437855,-0.7889151,3.09274,-0.3023937,-0.8593574,3.031141,-0.06624734,0.09677756,3.042196,-0.03948067,-0.4540022,3.098335,0.01220536,-0.803408,3.084018,0.05581881,-0.8666583,3.012331,734,Raise-your-arm-to-the-other-side,
61809254.7394,-0.1490089,0.1781849,3.05119,-0.1507418,0.2383195,3.108055,-0.1489407,0.5864745,3.109317,-0.1299823,0.7776479,3.105752,-0.3411554,0.4737715,3.126557,-0.5544193,0.4012975,3.075195,-0.7854647,0.3103074,2.988707,-0.8625424,0.2885931,2.949803,0.03706246,0.4792014,3.14084,0.298705,0.3852473,3.124227,0.5088405,0.3289363,3.071801,0.582013,0.3280194,3.064807,-0.2322412,0.09490639,3.031107,-0.2182318,-0.4356186,3.107698,-0.2438481,-0.7869657,3.094986,-0.3121112,-0.8632795,3.049167,-0.06612365,0.09377065,3.041247,-0.03939152,-0.4544706,3.098405,0.01273129,-0.8034734,3.084539,0.05599807,-0.8667197,3.012528,734,Raise-your-arm-to-the-other-side,
61809286.7413,-0.1497657,0.1753453,3.050377,-0.1515225,0.2354745,3.107472,-0.1491835,0.585518,3.110327,-0.1294202,0.7730836,3.108025,-0.3399017,0.4703792,3.125353,-0.6096069,0.3582093,3.051643,-0.7977394,0.2591378,2.977836,-0.8623364,0.23086,2.932021,0.03686521,0.4775805,3.140844,0.2554546,0.3752952,3.125193,0.4632629,0.3094085,3.075379,0.5364329,0.3084916,3.068386,-0.2327467,0.09311099,3.030257,-0.2168645,-0.437588,3.107245,-0.2441255,-0.7865586,3.095442,-0.3092395,-0.8623804,3.046226,-0.06714737,0.09081987,3.040052,-0.03823385,-0.455028,3.097755,0.01336098,-0.8031869,3.083662,0.05364457,-0.8659347,3.011187,734,Raise-your-arm-to-the-other-side,
