Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
61976833.2811,-0.1739504,0.2053537,3.057704,-0.1761332,0.2611398,3.112843,-0.1757418,0.588541,3.107555,-0.1543071,0.7801523,3.094486,-0.3711604,0.4996504,3.127431,-0.61746,0.5239741,3.079257,-0.8298295,0.5327151,3.008212,-0.9250599,0.5372918,2.974002,0.02100155,0.5034306,3.142656,0.3182143,0.5237821,3.115803,0.5348305,0.549368,3.07214,0.6087593,0.5599924,3.066956,-0.2567648,0.1201365,3.036535,-0.215294,-0.4989671,3.100752,-0.2504359,-0.7785019,3.087291,-0.2073129,-0.8617885,3.014847,-0.09033668,0.1161814,3.049123,-0.1437184,-0.4599931,3.08702,-0.1408956,-0.8106822,3.064755,-0.1343402,-0.8715186,3.002077,734,Kick-a-ball,
61976869.2832,-0.1733671,0.2039979,3.057202,-0.1751886,0.2597549,3.112573,-0.1752962,0.5876791,3.108561,-0.1535594,0.7795639,3.094615,-0.3702245,0.4936925,3.12826,-0.6165341,0.5193396,3.07895,-0.8285689,0.5256711,3.006385,-0.9010187,0.5108901,2.994661,0.0209674,0.5001224,3.14064,0.2421753,0.5030468,3.121651,0.4587069,0.5331848,3.081857,0.5326337,0.5438088,3.076673,-0.2563297,0.1188727,3.036298,-0.2163613,-0.500204,3.101583,-0.2509272,-0.779868,3.086788,-0.2093735,-0.862479,3.012674,-0.08949818,0.1150504,3.047782,-0.1436687,-0.4600008,3.086981,-0.1393097,-0.8106303,3.065001,-0.1347654,-0.8715209,3.002199,734,Kick-a-ball,
61976901.285,-0.1714574,0.1987377,3.056089,-0.173302,0.254892,3.111709,-0.1743912,0.585501,3.108924,-0.1539058,0.7765929,3.095302,-0.367728,0.490352,3.128068,-0.5931642,0.5008522,3.077106,-0.8138886,0.5076809,3.005134,-0.8879681,0.5029767,2.995403,0.02194152,0.4967706,3.139369,0.2434805,0.4986722,3.120957,0.460858,0.5190628,3.078903,0.5347826,0.5296866,3.07372,-0.2533799,0.113482,3.035331,-0.2148159,-0.5055264,3.101887,-0.2482075,-0.7853909,3.085582,-0.205468,-0.8664138,3.011223,-0.08848287,0.1112843,3.04656,-0.1434442,-0.4613349,3.087434,-0.1425623,-0.8188742,3.064472,-0.1369433,-0.8791505,3.001168,734,Kick-a-ball,
61976933.2868,-0.170937,0.1983768,3.056016,-0.1722946,0.2543752,3.111593,-0.1712575,0.5841573,3.108731,-0.1519793,0.7800235,3.096302,-0.3664237,0.4871275,3.128971,-0.630069,0.4869457,3.072369,-0.8344021,0.4579602,2.982095,-0.9085195,0.4550628,2.971971,0.02276634,0.495367,3.13916,0.2444883,0.4907579,3.119434,0.4723397,0.4889088,3.067019,0.5462623,0.4995323,3.061835,-0.2531536,0.1133056,3.035515,-0.2149494,-0.5057414,3.102009,-0.2483442,-0.7856112,3.085508,-0.207692,-0.8654467,3.010094,-0.08804789,0.1107228,3.046179,-0.1434586,-0.4613318,3.087489,-0.1404541,-0.8176185,3.064882,-0.1311799,-0.8766301,3.000822,734,Kick-a-ball,
61976969.2889,-0.1704277,0.1955885,3.055937,-0.171624,0.2522296,3.111529,-0.171241,0.584028,3.108757,-0.1524895,0.7787728,3.09579,-0.3661906,0.4846843,3.130343,-0.6325835,0.4831459,3.07011,-0.8369497,0.4505464,2.981396,-0.9110653,0.447649,2.971272,0.02257519,0.4939524,3.13878,0.2412041,0.4700037,3.122641,0.4574471,0.4775082,3.068325,0.5313679,0.4881314,3.063142,-0.2520479,0.1078516,3.036747,-0.214524,-0.5112888,3.10289,-0.2479215,-0.7911616,3.086246,-0.2081328,-0.8646483,3.011195,-0.08786517,0.1097945,3.045722,-0.1435602,-0.4612443,3.087617,-0.1401651,-0.8160022,3.065056,-0.135601,-0.8765401,3.00192,734,Kick-a-ball,
61977002.2908,-0.1696824,0.1949708,3.055849,-0.1709446,0.2517518,3.111425,-0.1707772,0.5842173,3.108686,-0.1515817,0.7791302,3.096146,-0.3647399,0.4837031,3.129979,-0.6295365,0.4723217,3.067226,-0.8292592,0.4243923,2.974364,-0.9033732,0.4214951,2.964241,0.0231699,0.4922065,3.138556,0.2413984,0.4648482,3.122373,0.4569326,0.4599412,3.064113,0.5308518,0.4705642,3.058929,-0.2516929,0.1078394,3.036748,-0.2143185,-0.5112938,3.103084,-0.2481401,-0.7911123,3.08649,-0.2074859,-0.8644678,3.010594,-0.08679636,0.1087709,3.045626,-0.1434558,-0.4611773,3.087733,-0.1384484,-0.8153292,3.065095,-0.1325049,-0.8745306,3.000819,734,Kick-a-ball,
61977033.2926,-0.1666778,0.1914546,3.056242,-0.1679782,0.2484789,3.111756,-0.16815,0.5825237,3.10888,-0.1485153,0.772115,3.100228,-0.3600847,0.4790197,3.1292,-0.6293551,0.4555414,3.065411,-0.8274312,0.4023199,2.971802,-0.9015439,0.3994227,2.961679,0.02468333,0.4893654,3.138691,0.2422508,0.4563237,3.11933,0.4573133,0.4437393,3.060313,0.5312312,0.4543621,3.05513,-0.2489116,0.1051284,3.037466,-0.2086934,-0.5137451,3.104499,-0.2457833,-0.7931539,3.087712,-0.2511196,-0.8658836,3.006134,-0.08437358,0.1062503,3.045901,-0.143172,-0.4620762,3.088532,-0.1384384,-0.8156483,3.06511,-0.1322109,-0.8751947,3.001182,734,Kick-a-ball,
61977069.2946,-0.1659658,0.189227,3.056348,-0.1671051,0.2464189,3.111912,-0.1674342,0.5815528,3.109293,-0.1485866,0.7727568,3.100765,-0.3595042,0.4772853,3.128874,-0.6304506,0.4346959,3.06049,-0.8221668,0.3657915,2.963438,-0.8883705,0.3410586,2.938762,0.02596203,0.4852917,3.136963,0.2437792,0.4397599,3.118162,0.45748,0.416036,3.047527,0.5313976,0.4266588,3.042344,-0.2483966,0.1017565,3.038321,-0.2003525,-0.5164099,3.106565,-0.2564098,-0.7927805,3.083969,-0.2010257,-0.8671085,3.010147,-0.08350215,0.1048473,3.0454,-0.1428364,-0.4614732,3.088737,-0.138213,-0.815441,3.065422,-0.126409,-0.8756438,3.002912,734,Kick-a-ball,
61977101.2965,-0.1653211,0.1880682,3.056538,-0.1667684,0.2453389,3.112119,-0.1674685,0.5809777,3.109636,-0.1458956,0.7743421,3.099138,-0.3582171,0.4756767,3.128721,-0.634008,0.4025115,3.053631,-0.8350904,0.3392036,2.976567,-0.9205009,0.3111508,2.929927,0.02696453,0.4818423,3.13782,0.2416661,0.4332152,3.115402,0.4707008,0.3781599,3.020141,0.5446193,0.3887829,3.014957,-0.2480634,0.1015914,3.038331,-0.209668,-0.5173783,3.105656,-0.2900429,-0.7876899,3.076206,-0.2131184,-0.856889,3.018446,-0.08191327,0.102286,3.045834,-0.1420193,-0.460851,3.089082,-0.1378903,-0.8156217,3.06449,-0.08240501,-0.8654386,3.000604,734,Kick-a-ball,
61977133.2983,-0.1645496,0.1869048,3.05668,-0.1656803,0.2447594,3.112179,-0.1603153,0.5834787,3.108472,-0.137588,0.7818336,3.097497,-0.3539664,0.4758596,3.129197,-0.6305975,0.385112,3.050272,-0.8190095,0.3073675,2.953455,-0.873866,0.2834853,2.915817,0.02817715,0.4782442,3.13827,0.3017474,0.4023106,3.100323,0.5022517,0.3642652,3.004146,0.5761694,0.374888,2.998962,-0.2477763,0.1015837,3.038549,-0.2099879,-0.5173914,3.106171,-0.2888366,-0.7881485,3.076728,-0.2123927,-0.8578257,3.018901,-0.0818376,0.1008018,3.046225,-0.1415634,-0.4609782,3.089604,-0.1386332,-0.815952,3.064321,-0.1073206,-0.8693662,2.998033,734,Kick-a-ball,
