Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
62070169.7574,-0.1690141,0.2013623,2.96283,-0.1747357,0.2569401,3.018717,-0.1791526,0.5881935,3.018332,-0.1584635,0.7915641,3.011834,-0.3646995,0.5037591,3.031514,-0.5722084,0.5762315,2.994178,-0.8547731,0.6407493,2.912513,-0.9223731,0.6565236,2.883412,0.02085106,0.5035144,3.060976,0.2381474,0.5687902,3.067328,0.4554959,0.6041664,3.050662,0.5306873,0.6074556,3.049702,-0.2489033,0.115687,2.94048,-0.194638,-0.4284878,2.996025,-0.1829505,-0.8046628,2.96414,-0.2306353,-0.8651596,2.891578,-0.08358593,0.1159255,2.954209,-0.1264017,-0.4488885,2.986568,-0.1349973,-0.8210331,2.968578,-0.1390819,-0.8769072,2.902864,734,Punch,
62070200.7592,-0.1687684,0.2015682,2.962888,-0.1744538,0.2571483,3.01876,-0.178138,0.5882571,3.018357,-0.1580636,0.7921349,3.012525,-0.3642739,0.5031887,3.031496,-0.5726756,0.5726829,2.992035,-0.8055979,0.607029,2.91396,-0.8724996,0.6227486,2.883263,0.02245146,0.5033345,3.061769,0.2387466,0.5554777,3.067189,0.4906693,0.6057434,3.038992,0.5658593,0.6090325,3.038033,-0.2488401,0.1159219,2.940524,-0.1921771,-0.4264678,2.995516,-0.1821031,-0.8059011,2.963593,-0.2285511,-0.8629891,2.889187,-0.08345935,0.1158856,2.954255,-0.1261214,-0.4482488,2.986766,-0.1347683,-0.8210967,2.968105,-0.1391441,-0.8768695,2.902324,734,Punch,
62070236.7612,-0.1675976,0.1993421,2.963417,-0.1733717,0.2550702,3.01942,-0.1773857,0.5872328,3.019891,-0.1542971,0.7823026,3.020379,-0.3618499,0.5005072,3.030792,-0.5717005,0.5643014,2.986362,-0.8002419,0.6010896,2.911582,-0.8671426,0.6168089,2.880885,0.02237988,0.5025895,3.061644,0.2377557,0.5496414,3.065861,0.5320418,0.5921304,3.037194,0.6072307,0.5954194,3.036235,-0.2477946,0.1144503,2.940313,-0.1934851,-0.4284801,2.997424,-0.185997,-0.8145717,2.966616,-0.2072812,-0.8625244,2.896676,-0.08255462,0.1140552,2.955293,-0.1260801,-0.4482388,2.986815,-0.1317184,-0.8219894,2.968728,-0.1413877,-0.8763165,2.902308,734,Punch,
62070268.7631,-0.1663052,0.1990582,2.964069,-0.172094,0.2549198,3.02003,-0.176368,0.5875553,3.020337,-0.1552239,0.7820655,3.02167,-0.3605108,0.4992352,3.030638,-0.5718755,0.5571854,2.98428,-0.7999386,0.586048,2.907331,-0.866838,0.601767,2.876635,0.0234164,0.5017377,3.061659,0.2454664,0.5439912,3.063032,0.4662949,0.567977,3.039029,0.5414823,0.5712659,3.03807,-0.2465328,0.1141713,2.941056,-0.1934591,-0.4285049,2.997545,-0.1860319,-0.8146014,2.966652,-0.2110031,-0.8630386,2.898669,-0.0812047,0.1136637,2.956077,-0.1256309,-0.4477583,2.986945,-0.1322033,-0.8213806,2.969509,-0.1469191,-0.877843,2.905855,734,Punch,
62070300.7649,-0.1654262,0.198335,2.964422,-0.1712594,0.2543658,3.020395,-0.1750463,0.5879644,3.021014,-0.1539484,0.7840219,3.022017,-0.3584513,0.4978541,3.030172,-0.5712137,0.5488979,2.979364,-0.7802176,0.5532328,2.897099,-0.8471155,0.5689514,2.866404,0.02420311,0.5007591,3.061966,0.2447451,0.5337422,3.064198,0.4643335,0.5619279,3.035417,0.5395192,0.5652168,3.034457,-0.245523,0.1137562,2.941091,-0.1929037,-0.4290791,2.998073,-0.1854441,-0.8151772,2.966989,-0.1986611,-0.8740973,2.905267,-0.08068684,0.1127456,2.956847,-0.1255969,-0.4486767,2.987433,-0.1322086,-0.8223599,2.96893,-0.1477517,-0.8781708,2.904902,734,Punch,
62070336.7669,-0.1639703,0.1964703,2.964977,-0.1700997,0.2531633,3.020841,-0.174286,0.5883242,3.021186,-0.1516159,0.7873678,3.021554,-0.3573069,0.4963181,3.029623,-0.5727251,0.5429425,2.977411,-0.7831443,0.5488443,2.899745,-0.8500406,0.5645625,2.86905,0.02524257,0.5001729,3.062618,0.2458687,0.527653,3.065027,0.4668587,0.5575811,3.033895,0.5420426,0.5608699,3.032935,-0.242959,0.110025,2.942069,-0.1703391,-0.4762626,3.003713,-0.1691874,-0.8516881,2.964892,-0.198104,-0.870805,2.885809,-0.07997178,0.1119103,2.957368,-0.1285123,-0.4617846,2.990563,-0.1317517,-0.8230172,2.967635,-0.1449382,-0.8719041,2.897693,734,Punch,
62070368.7688,-0.1621563,0.1940333,2.965214,-0.1681643,0.2511507,3.021021,-0.1716583,0.5879582,3.021028,-0.1499946,0.7859577,3.022315,-0.3569251,0.4951526,3.029268,-0.5883272,0.531539,2.974109,-0.7976261,0.5475025,2.894529,-0.8645209,0.5632204,2.863835,0.0259106,0.4980194,3.06257,0.2446782,0.5216905,3.063615,0.4648416,0.5466965,3.029736,0.5400238,0.5499853,3.028776,-0.2415313,0.1065253,2.942449,-0.1734116,-0.4697359,3.000423,-0.1673019,-0.8342606,2.965689,-0.1954509,-0.8714989,2.893048,-0.07851319,0.1105082,2.957766,-0.1275864,-0.4618858,2.990751,-0.1044227,-0.7760671,2.981131,-0.140096,-0.8607847,2.909036,734,Punch,
62070400.7706,-0.1620763,0.1940294,2.965207,-0.1680695,0.2511728,3.021007,-0.1711304,0.5882125,3.020949,-0.1491399,0.78792,3.024917,-0.3561586,0.4947174,3.029181,-0.6034817,0.5229272,2.963364,-0.8146474,0.5277275,2.888123,-0.8815408,0.5434451,2.857429,0.02658507,0.4968841,3.062731,0.2442998,0.5160681,3.061612,0.4647815,0.5408479,3.030176,0.539962,0.5441366,3.029217,-0.2413976,0.1068667,2.942558,-0.1734148,-0.4691487,2.999231,-0.1658241,-0.8256,2.964826,-0.1904935,-0.8713114,2.895852,-0.0784517,0.1103515,2.957716,-0.1263812,-0.4617453,2.991241,-0.1043263,-0.7759799,2.981239,-0.1267188,-0.8627151,2.935704,734,Punch,
62070436.7727,-0.1608164,0.1929247,2.96546,-0.1664204,0.2500844,3.021347,-0.1670707,0.5881264,3.02198,-0.1489007,0.7880845,3.025256,-0.3552807,0.4937962,3.029052,-0.603364,0.5212348,2.963517,-0.8145508,0.5232393,2.888201,-0.8814427,0.5389566,2.857508,0.02754009,0.4952667,3.062431,0.245535,0.5108367,3.061363,0.4646428,0.5212988,3.03049,0.5398216,0.5245875,3.02953,-0.2407946,0.1063164,2.942667,-0.1724347,-0.4694668,2.998405,-0.1650932,-0.8247344,2.964401,-0.2176973,-0.8599986,2.884852,-0.07746254,0.1090918,2.95801,-0.1224344,-0.4622079,2.992395,-0.1025843,-0.7761576,2.981858,-0.126258,-0.8664131,2.911569,734,Punch,
62070469.7746,-0.1601877,0.1921046,2.965772,-0.1656779,0.2493268,3.02173,-0.1644278,0.5884445,3.02315,-0.1477783,0.7895344,3.0264,-0.3526858,0.4895382,3.028415,-0.6064609,0.5154454,2.961902,-0.8177294,0.5046399,2.887798,-0.8846196,0.5203569,2.857106,0.02928403,0.492226,3.063022,0.2478317,0.4861314,3.06122,0.4658682,0.5107714,3.031247,0.5410452,0.51406,3.030287,-0.2404212,0.1058603,2.942971,-0.1727876,-0.4678766,2.998155,-0.165747,-0.8236045,2.963877,-0.1937353,-0.8664079,2.894305,-0.07723059,0.1082695,2.958163,-0.1222972,-0.4620936,2.992426,-0.101312,-0.7769738,2.982024,-0.1298686,-0.8655975,2.911473,734,Punch,
