Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
62536098.8405,-0.2392361,0.2243484,3.321432,-0.2431369,0.2763878,3.37785,-0.250384,0.5939711,3.380151,-0.2485347,0.7901682,3.375824,-0.4418624,0.5159358,3.397378,-0.6485065,0.5845432,3.369356,-0.8569022,0.6333041,3.320304,-0.9252854,0.6381137,3.292742,-0.06122254,0.5192864,3.412316,0.1839179,0.5867144,3.418621,0.4057885,0.643427,3.362067,0.4696164,0.6464722,3.324975,-0.3138695,0.138787,3.299821,-0.320341,-0.4372366,3.342954,-0.3393134,-0.7788551,3.317569,-0.3646484,-0.8582062,3.24159,-0.1591779,0.1412271,3.309602,-0.152959,-0.4359459,3.322538,-0.118544,-0.7835969,3.309159,-0.09779523,-0.8576964,3.263118,734,Signal-someone-to-stop,
62536108.8411,-0.2392664,0.2240535,3.320684,-0.2426516,0.2760782,3.377269,-0.2485136,0.5939674,3.380152,-0.2482197,0.7900698,3.376655,-0.4415459,0.5161055,3.397455,-0.6521907,0.5871637,3.369367,-0.8610228,0.6329598,3.31896,-0.9294056,0.6377695,3.291399,-0.0608404,0.5184317,3.409864,0.183125,0.5851109,3.416415,0.4622537,0.6558487,3.345978,0.5260811,0.6588938,3.308887,-0.3141315,0.1386558,3.299177,-0.3203037,-0.4369879,3.342626,-0.3416862,-0.7757895,3.316576,-0.3645911,-0.8573427,3.242172,-0.1597311,0.140916,3.308188,-0.1527537,-0.4355559,3.322394,-0.1184728,-0.784075,3.308918,-0.09793153,-0.8577355,3.263268,734,Signal-someone-to-stop,
62536141.843,-0.2386866,0.223836,3.319674,-0.2419133,0.2758422,3.376214,-0.2462484,0.5938672,3.379254,-0.2475187,0.7886465,3.375768,-0.4402337,0.5151391,3.396435,-0.6520917,0.5862851,3.369468,-0.8612748,0.6308693,3.319572,-0.929657,0.635679,3.292011,-0.05940364,0.5175292,3.409751,0.180923,0.5827351,3.41398,0.3912873,0.6320759,3.380981,0.4551142,0.635121,3.34389,-0.3138789,0.1384186,3.298135,-0.3202356,-0.4372012,3.342085,-0.3411469,-0.7772951,3.31697,-0.3647606,-0.8577849,3.241636,-0.1593926,0.1407227,3.307285,-0.1529064,-0.4353278,3.322367,-0.1180829,-0.7836235,3.309077,-0.09794537,-0.8574826,3.262672,734,Signal-someone-to-stop,
62536174.8449,-0.2380471,0.2234454,3.318778,-0.2409022,0.2757407,3.375314,-0.2429221,0.5956793,3.378208,-0.2450813,0.7919012,3.375998,-0.439741,0.5152456,3.39645,-0.6501306,0.5840546,3.367717,-0.8594501,0.6224356,3.311994,-0.9278317,0.6272452,3.284433,-0.05845144,0.5166433,3.409036,0.1916408,0.5819969,3.40837,0.452576,0.6249645,3.367857,0.5164025,0.6280097,3.330766,-0.3135433,0.1381101,3.297327,-0.3201942,-0.4371927,3.342063,-0.3389673,-0.773253,3.318382,-0.3647017,-0.8560687,3.246334,-0.1591689,0.1403386,3.3066,-0.1529231,-0.4353302,3.322391,-0.116567,-0.789801,3.305084,-0.09675912,-0.8577639,3.260024,734,Signal-someone-to-stop,
62536204.8466,-0.2369985,0.2222041,3.317778,-0.2402571,0.2747486,3.374515,-0.2428519,0.5956914,3.378192,-0.2427393,0.7890137,3.372516,-0.4364804,0.5126386,3.39397,-0.6497151,0.5811625,3.365767,-0.8598858,0.6171576,3.312234,-0.9282668,0.6219671,3.284673,-0.05703196,0.5155643,3.408786,0.1906768,0.5786827,3.40759,0.400853,0.6133814,3.352955,0.4646791,0.6164265,3.315865,-0.3121406,0.1368956,3.29541,-0.3202678,-0.4369698,3.341753,-0.3405851,-0.7725129,3.316889,-0.3665789,-0.859084,3.249499,-0.1583018,0.1391993,3.306139,-0.1539423,-0.4369357,3.322255,-0.1178173,-0.7889674,3.303793,-0.09574859,-0.8580031,3.261593,734,Signal-someone-to-stop,
62536241.8487,-0.2369905,0.222315,3.317368,-0.2394942,0.2746509,3.374268,-0.2399551,0.5976084,3.380332,-0.2428959,0.7893071,3.372457,-0.4380624,0.5130906,3.396253,-0.6511365,0.5744694,3.365029,-0.86092,0.6079785,3.307503,-0.9293005,0.6127881,3.279942,-0.05871217,0.5150691,3.406375,0.1961151,0.5745281,3.40642,0.4538318,0.6131738,3.352994,0.5176575,0.6162189,3.315904,-0.312304,0.1371297,3.295035,-0.3203999,-0.4368896,3.341384,-0.3417678,-0.7691326,3.317278,-0.3739265,-0.8406852,3.236298,-0.1589848,0.1395427,3.304446,-0.1526558,-0.4364682,3.321343,-0.1180348,-0.7903124,3.304959,-0.09587888,-0.859314,3.262131,734,Signal-someone-to-stop,
62536274.8506,-0.2362589,0.221035,3.316144,-0.2389899,0.2734155,3.373306,-0.239811,0.5970956,3.380344,-0.2424076,0.7882612,3.372086,-0.4369317,0.5116189,3.395284,-0.6519987,0.5712401,3.364925,-0.8629159,0.5927724,3.305376,-0.9312962,0.5975819,3.277815,-0.05598628,0.5121844,3.406964,0.1892462,0.5606841,3.406645,0.3991314,0.598188,3.353006,0.4629565,0.6012331,3.315916,-0.3118182,0.1359925,3.293563,-0.3204315,-0.4367653,3.341288,-0.3396102,-0.7719966,3.317743,-0.3713108,-0.8431094,3.236195,-0.1578936,0.1376413,3.302842,-0.1534249,-0.4375372,3.321483,-0.1187905,-0.7880723,3.305691,-0.09589679,-0.8589918,3.261986,734,Signal-someone-to-stop,
62536304.8523,-0.2361839,0.2204063,3.315228,-0.2388912,0.272497,3.372388,-0.239981,0.5942552,3.379566,-0.2404229,0.7894015,3.371632,-0.4356951,0.5108474,3.395138,-0.6490363,0.5491762,3.359538,-0.8636666,0.5730356,3.325269,-0.9320462,0.5778451,3.297709,-0.05560516,0.5125031,3.407418,0.1955781,0.5542406,3.406011,0.4468399,0.5834326,3.354256,0.5106646,0.5864776,3.317167,-0.3117356,0.1357763,3.293114,-0.3201703,-0.4369487,3.340838,-0.3373379,-0.7748795,3.320103,-0.3683998,-0.8497384,3.241724,-0.1579809,0.1369693,3.301349,-0.152525,-0.4377702,3.321055,-0.1188736,-0.7877999,3.305629,-0.09573625,-0.858928,3.262948,734,Signal-someone-to-stop,
62536343.8545,-0.2348678,0.2183582,3.313663,-0.2377578,0.2708188,3.371272,-0.2392356,0.5943142,3.379882,-0.2358115,0.7904537,3.369261,-0.43204,0.5096221,3.393503,-0.6506037,0.5435472,3.360373,-0.8634071,0.5479758,3.30487,-0.9317862,0.5527852,3.27731,-0.05351207,0.5089321,3.40642,0.2036411,0.5395343,3.392852,0.4433168,0.5744432,3.348673,0.5071409,0.5774882,3.311584,-0.3107272,0.1345459,3.291808,-0.3201252,-0.4367185,3.340914,-0.3369486,-0.7778698,3.319734,-0.3677237,-0.8528808,3.241386,-0.156842,0.1351956,3.299462,-0.1499947,-0.433658,3.318481,-0.118433,-0.7837657,3.308343,-0.09608475,-0.8588895,3.262554,734,Signal-someone-to-stop,
62536374.8563,-0.2334011,0.21602,3.312428,-0.2364486,0.2689809,3.370368,-0.2377482,0.5948221,3.380409,-0.2334542,0.7970358,3.370956,-0.4297703,0.5075963,3.392066,-0.6873781,0.5258584,3.348609,-0.9005653,0.5128001,3.297037,-0.968944,0.5176095,3.269476,-0.05003266,0.5029524,3.405624,0.2110046,0.5310199,3.39017,0.444404,0.5478975,3.339957,0.5082278,0.5509424,3.302868,-0.3096386,0.1324093,3.290623,-0.3201721,-0.4369664,3.340768,-0.3417301,-0.7726152,3.311246,-0.3687463,-0.8547124,3.238841,-0.1553019,0.1327834,3.297791,-0.1501523,-0.4340022,3.31854,-0.1174152,-0.7843558,3.308774,-0.09589599,-0.8590445,3.262773,734,Signal-someone-to-stop,
