Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37033073.2121,-0.1354414,0.2065977,3.093803,-0.1390124,0.2635536,3.154564,-0.1520554,0.6172402,3.171912,-0.1568342,0.8151028,3.140262,-0.3412838,0.5181278,3.129758,-0.5693543,0.5112233,3.090082,-0.7915261,0.480351,3.03249,-0.8898138,0.4521266,3.001682,0.04154624,0.5298176,3.138657,0.3086446,0.5302163,3.094462,0.5335569,0.5323069,3.040168,0.603098,0.5166858,3.006236,-0.2175819,0.1192883,3.068606,-0.1813788,-0.4133886,3.159513,-0.1631707,-0.7679627,3.137764,-0.1322132,-0.8223841,3.09619,-0.04658496,0.1251889,3.081407,-0.09456898,-0.4018674,3.167044,-0.08173345,-0.7632857,3.150437,-0.1400392,-0.8250489,3.094999,876,Wave-your-other-hand,
37033109.2142,-0.1355343,0.2069193,3.09411,-0.1391147,0.2638846,3.154886,-0.1520253,0.6175488,3.172231,-0.1568159,0.8145049,3.14051,-0.3413969,0.5188502,3.129867,-0.569432,0.510844,3.090336,-0.7915285,0.4800865,3.032318,-0.8652717,0.4669795,3.007394,0.04163714,0.5297007,3.138776,0.3094118,0.5308002,3.095564,0.534147,0.5322954,3.040307,0.6036864,0.5166746,3.006375,-0.2177512,0.1195138,3.068689,-0.1813009,-0.4128776,3.159391,-0.1639999,-0.7677453,3.135571,-0.1291935,-0.8224906,3.097973,-0.04659826,0.1254901,3.081933,-0.09524356,-0.4032369,3.1673,-0.08476286,-0.7634919,3.149133,-0.1410855,-0.8255395,3.094907,876,Wave-your-other-hand,
37033141.216,-0.1359836,0.2070792,3.094274,-0.1393557,0.2639702,3.154974,-0.1517314,0.6172292,3.172074,-0.1570642,0.8148449,3.140816,-0.3412999,0.5197108,3.129979,-0.5693166,0.5105384,3.091086,-0.7908627,0.4791854,3.030807,-0.8652683,0.4666623,3.007618,0.04154228,0.5298802,3.13881,0.3080758,0.5310986,3.095856,0.5330248,0.531813,3.0418,0.6025624,0.5161926,3.007869,-0.2184569,0.1198662,3.069067,-0.1815017,-0.4104894,3.158749,-0.1630967,-0.7661267,3.139076,-0.1296495,-0.8222251,3.099658,-0.04751486,0.1257054,3.082107,-0.0902708,-0.3980075,3.166314,-0.08131637,-0.7630591,3.1525,-0.1371534,-0.8222506,3.102235,876,Wave-your-other-hand,
37033174.2179,-0.1360643,0.2073431,3.094499,-0.1395003,0.2641008,3.15512,-0.1517277,0.6168379,3.17207,-0.1571303,0.8148629,3.140695,-0.3416744,0.5206673,3.130238,-0.5696251,0.5104029,3.091103,-0.7913484,0.4780776,3.032406,-0.8833294,0.4534992,3.010077,0.04136509,0.5302998,3.139608,0.308233,0.5311253,3.095647,0.5332583,0.5318294,3.042064,0.6027932,0.5162096,3.008135,-0.2185189,0.1200816,3.069305,-0.1820593,-0.409231,3.158221,-0.1630071,-0.7666588,3.140259,-0.1292482,-0.8222049,3.100166,-0.04758952,0.1259467,3.08229,-0.09040423,-0.3992162,3.166628,-0.07692946,-0.7639519,3.152965,-0.1258826,-0.8212224,3.099769,876,Wave-your-other-hand,
37033200.2194,-0.1361871,0.2074494,3.094706,-0.1396273,0.2641757,3.155309,-0.151697,0.6167359,3.172168,-0.1573571,0.8149912,3.140548,-0.3418097,0.520805,3.130419,-0.5697321,0.5103133,3.091072,-0.7913888,0.4775969,3.032366,-0.8644905,0.4617368,3.007176,0.04177685,0.530254,3.139989,0.3085287,0.5313061,3.095665,0.5335106,0.5316302,3.041872,0.6030437,0.5160108,3.007943,-0.2187714,0.120153,3.069609,-0.1799555,-0.4120819,3.15911,-0.1636875,-0.7682517,3.139879,-0.1257086,-0.8238577,3.096108,-0.04762455,0.1259367,3.082348,-0.09188057,-0.4012279,3.166749,-0.08149739,-0.7635502,3.151021,-0.1294076,-0.8237489,3.097697,876,Wave-your-other-hand,
37033231.4194,-0.1362579,0.2074446,3.094778,-0.1394941,0.264141,3.155416,-0.1519067,0.6165646,3.172421,-0.1575789,0.815146,3.140979,-0.3429107,0.5205278,3.132003,-0.5707411,0.5102494,3.090955,-0.7926056,0.476743,3.033934,-0.8654912,0.4625667,3.007169,0.04146469,0.5299798,3.13982,0.3097723,0.5315712,3.095546,0.535093,0.5315014,3.043762,0.6046245,0.5158824,3.009835,-0.2188287,0.1201865,3.069653,-0.1805187,-0.4122637,3.15884,-0.1630169,-0.7652453,3.138766,-0.1255641,-0.8235281,3.096014,-0.04766379,0.1258518,3.082391,-0.09157412,-0.4011199,3.166721,-0.0812757,-0.7628939,3.1507,-0.1169201,-0.8138641,3.10266,876,Wave-your-other-hand,
37033262.6195,-0.1363059,0.2075037,3.094867,-0.1395524,0.2642069,3.155522,-0.1519399,0.6166177,3.17253,-0.157542,0.8150932,3.140936,-0.343099,0.5206496,3.132054,-0.5709093,0.5100848,3.091005,-0.7928579,0.4766175,3.034428,-0.8662654,0.4630868,3.008785,0.04147318,0.5298461,3.139838,0.3100727,0.5315597,3.095543,0.5353958,0.5314934,3.043816,0.6049255,0.5158748,3.00989,-0.2188734,0.1202218,3.06969,-0.1807106,-0.4128026,3.158833,-0.1612946,-0.766559,3.138211,-0.1255745,-0.8235659,3.095942,-0.0476792,0.1258477,3.082458,-0.09207529,-0.4028348,3.167419,-0.08373201,-0.76219,3.149882,-0.1316155,-0.8215822,3.095797,876,Wave-your-other-hand,
37033309.4196,-0.1363002,0.2075179,3.09498,-0.1394658,0.2642107,3.155673,-0.151522,0.6168012,3.172969,-0.1578322,0.8153071,3.141051,-0.3434149,0.5204898,3.132525,-0.5712162,0.5099391,3.091434,-0.7935824,0.4762395,3.037329,-0.8867966,0.451304,3.009071,0.04155543,0.5297252,3.139937,0.3102115,0.5316234,3.095631,0.5355915,0.5321609,3.044293,0.6051188,0.5165429,3.010368,-0.2189042,0.1202126,3.069709,-0.1799956,-0.4141298,3.159798,-0.1617314,-0.7697955,3.138348,-0.1264203,-0.8243363,3.096507,-0.04765938,0.1257643,3.082624,-0.09323731,-0.4050565,3.167928,-0.08369494,-0.7621675,3.149848,-0.1333116,-0.8234376,3.096535,876,Wave-your-other-hand,
37033340.6196,-0.1364646,0.2076365,3.095132,-0.1394414,0.2642806,3.155782,-0.151289,0.6166155,3.172991,-0.1592769,0.8156102,3.144121,-0.3436332,0.5228058,3.133892,-0.5712184,0.5096988,3.091577,-0.7936763,0.4760405,3.037991,-0.8704196,0.468183,3.02134,0.04160494,0.5300696,3.140062,0.3105206,0.5314974,3.09532,0.535941,0.5322567,3.044274,0.6054664,0.5166391,3.01035,-0.219198,0.1205246,3.069975,-0.179971,-0.4141127,3.159878,-0.1603677,-0.7682362,3.137917,-0.1257059,-0.8251593,3.093982,-0.04794008,0.1257004,3.082734,-0.09293453,-0.4051617,3.16804,-0.08303235,-0.7633691,3.149655,-0.08335142,-0.8212782,3.10206,876,Wave-your-other-hand,
37033371.8197,-0.1364491,0.207621,3.095132,-0.1394702,0.2642662,3.155786,-0.1513466,0.6166691,3.173081,-0.1593753,0.8155259,3.14405,-0.3437147,0.522481,3.133992,-0.5712968,0.5095543,3.091582,-0.7937981,0.4757696,3.038392,-0.8706232,0.4683343,3.021935,0.04126549,0.5301025,3.140495,0.3083678,0.5322311,3.096304,0.5333826,0.5311962,3.042916,0.6029061,0.515579,3.008992,-0.2191647,0.1205077,3.069942,-0.1801228,-0.4141827,3.159803,-0.1619543,-0.7707888,3.13585,-0.12673,-0.8252786,3.092815,-0.04789288,0.1256874,3.082741,-0.09295477,-0.4052571,3.167973,-0.08713593,-0.7629399,3.148993,-0.1379784,-0.8276459,3.094527,876,Wave-your-other-hand,
