Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37046857.9703,-0.138492,0.2072771,3.0828,-0.1407,0.2639626,3.142974,-0.1490981,0.6142311,3.157036,-0.1569446,0.813812,3.130105,-0.3435426,0.5171862,3.120119,-0.5710978,0.5030105,3.076076,-0.7936622,0.4648932,3.026453,-0.8851886,0.445611,2.997247,0.04110749,0.5282642,3.125242,0.30146,0.5305653,3.0888,0.5281334,0.5354409,3.045616,0.6032875,0.5171772,3.030081,-0.221971,0.1202407,3.059217,-0.1781697,-0.4055293,3.157563,-0.1637164,-0.7510021,3.137171,-0.130681,-0.818705,3.092702,-0.05024884,0.1247638,3.070088,-0.09469575,-0.3959925,3.164731,-0.08897495,-0.7536865,3.150038,-0.1327932,-0.8101721,3.108399,876,Bow,
37046889.9721,-0.1385285,0.2073091,3.082771,-0.1407976,0.2639713,3.142955,-0.1490961,0.6141081,3.156988,-0.1568574,0.8139098,3.130275,-0.3434259,0.5179429,3.119866,-0.5709436,0.5030435,3.076046,-0.7933232,0.4651343,3.025115,-0.8851935,0.4455149,2.996772,0.04119306,0.5283671,3.125441,0.301829,0.5304986,3.088953,0.5285051,0.5351657,3.045812,0.6036589,0.5169021,3.030277,-0.2220612,0.1202947,3.059081,-0.1785779,-0.4061391,3.157426,-0.1641952,-0.7508909,3.136708,-0.1348596,-0.815875,3.098035,-0.05029548,0.1247915,3.070082,-0.09531663,-0.3948555,3.163992,-0.09227128,-0.7516989,3.150471,-0.1662408,-0.8089896,3.1114,876,Bow,
37046924.9741,-0.1385299,0.2073298,3.082774,-0.140788,0.2639858,3.14296,-0.1489222,0.6140605,3.156993,-0.1568311,0.8143789,3.130452,-0.343323,0.5178151,3.119866,-0.5708039,0.5029473,3.075604,-0.793276,0.4651786,3.025132,-0.8852472,0.4455301,2.996864,0.04129602,0.528344,3.125466,0.3018436,0.5305684,3.08905,0.5286536,0.5347683,3.046953,0.603807,0.5165048,3.031418,-0.2220772,0.1203172,3.059051,-0.1783345,-0.4063528,3.157533,-0.162726,-0.751865,3.1371,-0.1463757,-0.8208112,3.095823,-0.05033163,0.1248217,3.07011,-0.0956637,-0.3948373,3.163937,-0.09541726,-0.761847,3.143136,-0.1684498,-0.8186499,3.10166,876,Bow,
37046956.976,-0.1385483,0.2078096,3.082881,-0.140866,0.2643253,3.143099,-0.1492589,0.6141015,3.15735,-0.1568685,0.8143802,3.130439,-0.3434464,0.517739,3.119856,-0.5709209,0.5029674,3.075516,-0.7920721,0.463362,3.019428,-0.8700155,0.4643984,3.007347,0.0415361,0.5282726,3.125626,0.303561,0.5303775,3.090036,0.5304631,0.5358898,3.048987,0.6056122,0.5176274,3.033453,-0.2221118,0.1205507,3.058956,-0.1775279,-0.4042405,3.157097,-0.1660682,-0.7458853,3.136656,-0.1283974,-0.8087169,3.09735,-0.05021632,0.1252054,3.070211,-0.09577151,-0.3960414,3.164814,-0.09497514,-0.7572224,3.145656,-0.07746148,-0.8160876,3.102701,876,Bow,
37046988.9778,-0.1385795,0.2078209,3.082867,-0.1408416,0.2643327,3.14309,-0.1492932,0.6140646,3.157329,-0.1570839,0.8146266,3.130452,-0.3437378,0.5172941,3.119915,-0.57127,0.5029526,3.076083,-0.7941883,0.4673513,3.026246,-0.8940585,0.4446506,2.996246,0.04149798,0.5281559,3.125383,0.3034629,0.5302678,3.089795,0.5304604,0.5350054,3.049466,0.6056092,0.5167429,3.033931,-0.222177,0.1205246,3.058874,-0.1774686,-0.404181,3.157159,-0.1661003,-0.7464626,3.136766,-0.1220647,-0.813134,3.096915,-0.05024891,0.1252177,3.070212,-0.09578119,-0.3977626,3.165552,-0.09363688,-0.7567001,3.145832,-0.0814258,-0.8158135,3.101413,876,Bow,
37047017.9794,-0.1387203,0.2078019,3.0828,-0.1410546,0.2642998,3.14304,-0.1496587,0.6139886,3.157363,-0.1571424,0.8138413,3.130116,-0.3438763,0.5173987,3.119834,-0.5714074,0.502964,3.076165,-0.7937952,0.467267,3.023296,-0.8948904,0.445327,2.997065,0.04098571,0.5284422,3.125772,0.303804,0.5303605,3.089679,0.5307555,0.5355746,3.049105,0.6059054,0.517312,3.033571,-0.2222787,0.120522,3.058811,-0.1779181,-0.4052582,3.157146,-0.1677777,-0.7517765,3.13695,-0.1378596,-0.8083995,3.098025,-0.05041036,0.1252572,3.070091,-0.09592494,-0.3974307,3.165249,-0.09418208,-0.75616,3.145765,-0.1508703,-0.8141514,3.094108,876,Bow,
37047049.1795,-0.1386869,0.207904,3.082756,-0.1410511,0.2642976,3.143017,-0.1492972,0.6134831,3.157516,-0.1576804,0.8144377,3.131752,-0.344247,0.5178065,3.120251,-0.571708,0.5029146,3.076109,-0.7939312,0.4663466,3.023149,-0.894792,0.4446399,2.995842,0.04089089,0.5286732,3.126429,0.305037,0.5298297,3.090097,0.5318538,0.5357537,3.048593,0.6070039,0.517491,3.033058,-0.2223084,0.120637,3.058604,-0.178123,-0.4047796,3.156975,-0.1674334,-0.751335,3.137088,-0.146153,-0.807978,3.092865,-0.05038039,0.1253456,3.070051,-0.09270443,-0.3911752,3.163413,-0.09427624,-0.7552034,3.146171,-0.1246156,-0.8068508,3.101126,876,Bow,
37047080.3796,-0.1388422,0.2078628,3.082743,-0.1412839,0.2642324,3.143022,-0.1493527,0.6133404,3.157614,-0.1576545,0.8145261,3.132081,-0.3437144,0.5180403,3.120063,-0.5712144,0.5029587,3.07674,-0.7933421,0.4664697,3.023203,-0.8942307,0.4444659,2.996238,0.04101454,0.5296458,3.127272,0.3052676,0.5297615,3.090055,0.5320686,0.5344539,3.048239,0.6072189,0.5161911,3.032705,-0.2223693,0.1206977,3.058564,-0.1781446,-0.4047625,3.157028,-0.1658198,-0.7500967,3.136159,-0.1285716,-0.8069347,3.09755,-0.05090968,0.1252545,3.070014,-0.09246914,-0.3931857,3.163888,-0.0913752,-0.7550329,3.146773,-0.1192564,-0.807628,3.101233,876,Bow,
37047111.5796,-0.1387801,0.2079215,3.082743,-0.1412588,0.2642409,3.14302,-0.1493521,0.6129127,3.157547,-0.1581666,0.814128,3.13247,-0.3439339,0.5177367,3.120034,-0.5714557,0.5028754,3.07691,-0.793362,0.467985,3.020805,-0.8953066,0.4454801,2.998645,0.04075378,0.5298691,3.127454,0.3067385,0.5285841,3.088428,0.5337222,0.5328151,3.048126,0.6088739,0.5145521,3.032591,-0.2223226,0.1207249,3.058557,-0.1785305,-0.4037221,3.156666,-0.1653083,-0.7502404,3.137104,-0.1353316,-0.8073083,3.098871,-0.05075796,0.1254172,3.069998,-0.0928178,-0.392852,3.163693,-0.09131251,-0.7550182,3.147351,-0.1247869,-0.8074931,3.102773,876,Bow,
37047142.7797,-0.1387869,0.2079967,3.082715,-0.1413081,0.2643214,3.142986,-0.1492095,0.6127939,3.157197,-0.1582647,0.814055,3.132436,-0.3439411,0.5177376,3.120126,-0.571475,0.5029384,3.077204,-0.7936628,0.4683625,3.022376,-0.8953526,0.4457523,2.999166,0.04108369,0.5293032,3.127849,0.3120049,0.5269725,3.087965,0.5383334,0.5291473,3.042345,0.6134868,0.5108837,3.02681,-0.2223697,0.1207814,3.058467,-0.1784762,-0.4048179,3.157189,-0.1643419,-0.7562101,3.138241,-0.130418,-0.8145634,3.096307,-0.0507606,0.1254512,3.070026,-0.09527322,-0.4009618,3.16622,-0.08838274,-0.7633588,3.15037,-0.1289964,-0.8161658,3.10199,876,Bow,
