Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37229722.7,-0.1347403,0.2047657,3.063785,-0.1349958,0.2630781,3.124266,-0.1474699,0.6182067,3.135634,-0.1698349,0.8141307,3.124367,-0.3431206,0.5239996,3.121188,-0.5727407,0.5089849,3.087181,-0.7987956,0.4772331,3.043417,-0.8754773,0.4561943,3.030362,0.04140686,0.526068,3.108601,0.269724,0.5334412,3.052585,0.500622,0.5318422,2.998424,0.5826952,0.5120402,2.973658,-0.2181673,0.1172998,3.042512,-0.1746427,-0.4108613,3.135471,-0.1783545,-0.7588762,3.119962,-0.1586956,-0.8183295,3.070749,-0.04687145,0.1233345,3.048659,-0.09449589,-0.3959111,3.129921,-0.1054121,-0.7603384,3.12211,-0.1583113,-0.8133774,3.075312,876,Draw-the-letter-K,
37229755.7019,-0.1354187,0.2047378,3.063724,-0.1355516,0.2632993,3.124031,-0.1475292,0.6184576,3.133824,-0.1699678,0.8141972,3.1237,-0.3436938,0.5242072,3.120723,-0.5732809,0.5091067,3.085996,-0.799453,0.4770886,3.043482,-0.8761359,0.4563952,3.029902,0.04064181,0.5259406,3.108007,0.268917,0.5320978,3.05142,0.5007421,0.5306982,2.998674,0.5828152,0.5108963,2.973908,-0.2190533,0.1171959,3.04273,-0.1750176,-0.4113197,3.135895,-0.1785924,-0.75889,3.121101,-0.1615658,-0.8180438,3.070999,-0.04778638,0.1232401,3.04897,-0.09479857,-0.3967533,3.131538,-0.1056249,-0.7603935,3.121948,-0.158718,-0.8141232,3.075423,876,Draw-the-letter-K,
37229787.7038,-0.1355126,0.2047955,3.063576,-0.1355737,0.2634468,3.123745,-0.1477039,0.6182796,3.132874,-0.1700318,0.8140854,3.123609,-0.3446117,0.5240393,3.120285,-0.5742128,0.5090261,3.085925,-0.8003359,0.4767999,3.04328,-0.8771818,0.4567834,3.029617,0.04020116,0.5260954,3.106767,0.3041619,0.5242509,3.04056,0.5320332,0.5301512,2.994453,0.5836856,0.5095617,2.973968,-0.2191225,0.117201,3.042692,-0.1739998,-0.4134739,3.13796,-0.1795224,-0.7588856,3.121927,-0.1634327,-0.8196558,3.071836,-0.04780017,0.12322,3.048924,-0.09484015,-0.3976103,3.133123,-0.1060358,-0.7603315,3.121969,-0.1560798,-0.8150507,3.076611,876,Draw-the-letter-K,
37229822.7058,-0.1356339,0.2047045,3.063334,-0.135652,0.2634318,3.123334,-0.1476353,0.6179635,3.131669,-0.170013,0.812876,3.122889,-0.3450076,0.5232891,3.119145,-0.5746551,0.5088545,3.085211,-0.8010541,0.475967,3.045697,-0.8776329,0.4568844,3.029452,0.0397988,0.5258994,3.105313,0.3052032,0.5241755,3.03971,0.5332043,0.5193787,2.994371,0.595686,0.4999889,2.972295,-0.2193414,0.11685,3.042472,-0.1740213,-0.4130493,3.138199,-0.180548,-0.7585433,3.122474,-0.1634823,-0.8172656,3.074487,-0.04782514,0.1232245,3.048891,-0.09467542,-0.3970585,3.133757,-0.1063957,-0.7596833,3.122516,-0.1527212,-0.8073287,3.081363,876,Draw-the-letter-K,
37229855.7077,-0.1358947,0.2049188,3.063135,-0.1358568,0.2637068,3.12304,-0.1474017,0.6181619,3.130938,-0.170953,0.8130848,3.12226,-0.3454196,0.5235332,3.118499,-0.5750256,0.5084824,3.084604,-0.8014459,0.4742205,3.047206,-0.8779097,0.4575179,3.028065,0.03969798,0.5257342,3.104567,0.3042877,0.5235912,3.03952,0.5322506,0.5171577,2.994219,0.5991378,0.4977843,2.971536,-0.219766,0.1170128,3.042224,-0.1745577,-0.412893,3.138436,-0.1802531,-0.7602969,3.121325,-0.1613407,-0.8163528,3.075114,-0.04800155,0.1232994,3.048922,-0.09413789,-0.3966045,3.134776,-0.1062261,-0.7594934,3.123073,-0.1537168,-0.8118716,3.079908,876,Draw-the-letter-K,
37229882.7092,-0.1361151,0.204934,3.063031,-0.1360947,0.263943,3.122766,-0.1489904,0.6180403,3.129025,-0.1709404,0.8134211,3.122083,-0.3453373,0.5237679,3.117618,-0.5749305,0.5083921,3.084265,-0.8012435,0.4717407,3.049677,-0.8776506,0.4575825,3.028385,0.04005874,0.5249711,3.102373,0.2677244,0.5190696,3.041391,0.510646,0.5106422,2.996094,0.5927191,0.4908403,2.971329,-0.2198775,0.117033,3.042194,-0.1745501,-0.4128681,3.138499,-0.1793962,-0.7634498,3.120545,-0.1627853,-0.8183869,3.072158,-0.04809303,0.1232116,3.049022,-0.0952073,-0.3980475,3.135751,-0.1062792,-0.7593897,3.123197,-0.1535851,-0.8106019,3.07883,876,Draw-the-letter-K,
37229913.9093,-0.136304,0.2049518,3.062621,-0.1364824,0.264576,3.121963,-0.1519238,0.6196241,3.124916,-0.1713587,0.8143574,3.122813,-0.3456278,0.524017,3.116878,-0.5750849,0.5070601,3.082693,-0.8021584,0.4720054,3.05484,-0.8778009,0.4568107,3.031624,0.03945902,0.5248045,3.100988,0.312931,0.5136133,3.033728,0.5414748,0.5085762,2.992771,0.5927493,0.4894531,2.971632,-0.2198895,0.1169992,3.042029,-0.1739991,-0.4133875,3.138851,-0.1727676,-0.7649148,3.121627,-0.11537,-0.8283197,3.076134,-0.04809255,0.1232124,3.049021,-0.09521595,-0.3980715,3.135794,-0.1075587,-0.7602161,3.122856,-0.1478991,-0.8117635,3.078863,876,Draw-the-letter-K,
37229976.3094,-0.1363598,0.2049475,3.062227,-0.1367869,0.2647912,3.121239,-0.1521041,0.6194045,3.122564,-0.1712954,0.8151029,3.122576,-0.3458118,0.5237313,3.115238,-0.5752637,0.5062817,3.082368,-0.8019719,0.4676345,3.058808,-0.8770474,0.4495557,3.035822,0.03943141,0.5249116,3.100817,0.3121934,0.5121595,3.033576,0.5406649,0.5007803,2.993997,0.6000719,0.4821073,2.971764,-0.2199592,0.1168152,3.041474,-0.1739582,-0.4131245,3.138515,-0.1744198,-0.7668468,3.119488,-0.1433498,-0.8222809,3.079527,-0.04803971,0.1232036,3.049079,-0.09565965,-0.3987098,3.135159,-0.107445,-0.7602066,3.122815,-0.1565511,-0.8167316,3.075063,876,Draw-the-letter-K,
37229976.3094,-0.1362973,0.2048121,3.061951,-0.1368538,0.2648467,3.12082,-0.1515005,0.6201273,3.121414,-0.1707671,0.8153414,3.122503,-0.3454875,0.5228736,3.11362,-0.5743925,0.4997676,3.079097,-0.7995586,0.4520397,3.066461,-0.8741074,0.432339,3.043099,0.0393336,0.5246836,3.100544,0.3118072,0.5053672,3.031729,0.539988,0.4904096,2.991426,0.6026149,0.4718824,2.968898,-0.2198438,0.1165948,3.041237,-0.1739018,-0.4131437,3.137894,-0.1748604,-0.7693572,3.119633,-0.1427179,-0.8233629,3.078581,-0.0480173,0.1231775,3.04911,-0.09612247,-0.3984987,3.133295,-0.1075197,-0.7600682,3.123074,-0.1532009,-0.8179628,3.075577,876,Draw-the-letter-K,
37230007.5094,-0.136366,0.2048443,3.06179,-0.1373347,0.2651531,3.120438,-0.1534454,0.6204346,3.119437,-0.1711257,0.8159398,3.12235,-0.3462555,0.5209633,3.111307,-0.5743749,0.4903344,3.082224,-0.7922845,0.4182957,3.050725,-0.8659231,0.3960915,3.026733,0.03875,0.5245401,3.100238,0.3118616,0.4986584,3.030815,0.5384252,0.4729342,2.985369,0.5919182,0.4563772,2.964564,-0.2198204,0.1165763,3.041121,-0.1745165,-0.4108921,3.137064,-0.1749968,-0.7693846,3.119627,-0.1508438,-0.8244982,3.074749,-0.04790957,0.1232446,3.049295,-0.09008183,-0.3898414,3.128182,-0.107272,-0.7599616,3.122738,-0.1573783,-0.8187795,3.075416,876,Draw-the-letter-K,
37230056.1113,-0.1365387,0.2045133,3.061304,-0.1374,0.2648262,3.119869,-0.153195,0.620174,3.119074,-0.1715657,0.816236,3.121634,-0.3462314,0.5204635,3.111141,-0.5725655,0.4788594,3.079075,-0.7895038,0.4039621,3.047526,-0.8408151,0.3644958,3.020544,0.03804092,0.5239198,3.099519,0.3167798,0.4841234,3.025513,0.5407155,0.4453641,2.975016,0.585997,0.4319301,2.956239,-0.2199376,0.1163972,3.040659,-0.1743986,-0.4110473,3.13707,-0.17496,-0.7686366,3.119582,-0.1500994,-0.8236354,3.074952,-0.04803082,0.1230117,3.049261,-0.09127955,-0.391224,3.12771,-0.107495,-0.7619109,3.121574,-0.1586913,-0.8198406,3.074524,876,Draw-the-letter-K,
37230090.1133,-0.1363788,0.2034068,3.060686,-0.1372454,0.2639195,3.119307,-0.1528107,0.6199778,3.119033,-0.1723725,0.8167808,3.121596,-0.3455513,0.5183617,3.110413,-0.5709593,0.4612861,3.076933,-0.7844533,0.3795039,3.036243,-0.8564581,0.3455482,3.02386,0.03767561,0.5235403,3.099295,0.3235984,0.4653097,3.020102,0.5492928,0.4359389,2.971745,0.5716934,0.4239024,2.956051,-0.2194614,0.1153368,3.03966,-0.1743922,-0.4096514,3.136553,-0.1740136,-0.7676764,3.121139,-0.1497109,-0.822999,3.076604,-0.04808286,0.122264,3.049336,-0.09244523,-0.3940567,3.127873,-0.1075939,-0.7623906,3.121363,-0.1416958,-0.8199734,3.087365,876,Draw-the-letter-K,
37230120.115,-0.1369851,0.2019985,3.059881,-0.1377709,0.2625494,3.118569,-0.1524666,0.6191022,3.11903,-0.1722974,0.8177589,3.121986,-0.3446645,0.5168022,3.10938,-0.5830664,0.4315566,3.071981,-0.7839748,0.3237273,3.026554,-0.8491405,0.2841821,3.000468,0.03721045,0.5216559,3.098823,0.2526938,0.4511114,3.031673,0.4747464,0.4134844,2.970163,0.5536501,0.3942195,2.946075,-0.2199584,0.1141436,3.038635,-0.1739809,-0.4096727,3.136664,-0.1764413,-0.76456,3.118829,-0.1479019,-0.8195611,3.076463,-0.04885563,0.1211937,3.049118,-0.09391356,-0.3964439,3.129269,-0.1069655,-0.761982,3.121856,-0.1509835,-0.819014,3.080567,876,Draw-the-letter-K,
37230156.1171,-0.137895,0.2008314,3.059001,-0.1386391,0.2616226,3.117815,-0.1527735,0.6191775,3.119028,-0.1720519,0.8172651,3.121496,-0.3444247,0.5165868,3.109403,-0.5762734,0.4223446,3.073315,-0.7763959,0.3139589,3.024951,-0.8383676,0.2691243,2.999653,0.0362225,0.518202,3.098558,0.2520368,0.4479201,3.032793,0.474384,0.3821751,2.95558,0.542188,0.3519732,2.924258,-0.2203693,0.113742,3.037835,-0.1740812,-0.4101016,3.136874,-0.1756884,-0.7644306,3.118364,-0.1448705,-0.8194626,3.07767,-0.05015144,0.119653,3.048642,-0.09445235,-0.3991244,3.130496,-0.1035768,-0.7643494,3.122465,-0.1508301,-0.8199283,3.079639,876,Draw-the-letter-K,
37230188.1189,-0.1379826,0.1999911,3.058257,-0.1390359,0.2608668,3.117298,-0.1541331,0.619274,3.119808,-0.1719452,0.8171923,3.121385,-0.3425109,0.5125058,3.107835,-0.5605856,0.4094177,3.07156,-0.7471008,0.2793317,3.02199,-0.8069673,0.231136,2.997834,0.03614581,0.5175164,3.098704,0.2499095,0.4406998,3.034031,0.4664505,0.3427238,2.940496,0.5382721,0.3205633,2.911499,-0.2201808,0.1129759,3.036923,-0.1748718,-0.4110541,3.137562,-0.1775094,-0.7649393,3.118237,-0.1461927,-0.8203321,3.078117,-0.05004225,0.1192567,3.048036,-0.09510347,-0.399399,3.131406,-0.1052366,-0.7639086,3.12303,-0.151096,-0.8181375,3.080179,876,Draw-the-letter-K,
37230220.1207,-0.1386027,0.1990813,3.057835,-0.1396189,0.2600808,3.117016,-0.1547745,0.619432,3.120512,-0.1721283,0.8171379,3.121606,-0.3420932,0.5120186,3.107646,-0.5546132,0.3977289,3.068804,-0.7389298,0.2647472,3.018512,-0.8035369,0.1797714,2.996483,0.0353406,0.5170711,3.098379,0.2432002,0.4259607,3.032549,0.4625685,0.3265628,2.939276,0.5323287,0.2995107,2.909409,-0.2204052,0.1126783,3.036647,-0.1743972,-0.4133029,3.13986,-0.1778361,-0.7651997,3.118172,-0.1478651,-0.8209555,3.077021,-0.05078709,0.1186217,3.047591,-0.09608572,-0.3996176,3.13367,-0.1060822,-0.7634621,3.123159,-0.1549959,-0.8196286,3.07874,876,Draw-the-letter-K,
37230256.1228,-0.1383762,0.1982656,3.057392,-0.1396462,0.2594176,3.116709,-0.1548741,0.619431,3.120735,-0.1725881,0.8177192,3.122353,-0.3411597,0.5093796,3.107141,-0.5526661,0.384163,3.068438,-0.7304024,0.2399485,3.030289,-0.8026096,0.1628857,3.003315,0.03363866,0.5148699,3.098937,0.2373823,0.4151521,3.032459,0.4574229,0.2954167,2.937019,0.5276231,0.2698624,2.906866,-0.2198363,0.1120435,3.035652,-0.1747637,-0.4128188,3.139935,-0.1724436,-0.7565387,3.127485,-0.1707247,-0.8193877,3.08648,-0.05070779,0.1183673,3.047554,-0.09494781,-0.3986114,3.136418,-0.1008804,-0.7591335,3.123934,-0.1540285,-0.8177648,3.081141,876,Draw-the-letter-K,
