Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37252111.946,-0.1309406,0.2075851,3.093244,-0.13277,0.2648132,3.153779,-0.1457666,0.6171386,3.168511,-0.1642756,0.8111746,3.13132,-0.335026,0.5277066,3.140021,-0.5640289,0.5232037,3.091134,-0.7931778,0.4758483,3.038494,-0.8690456,0.4574849,3.011695,0.04349632,0.5284431,3.137792,0.3226594,0.5129421,3.062337,0.5480954,0.4959781,3.005772,0.6020305,0.4493851,2.968563,-0.2130943,0.1225673,3.069005,-0.1746802,-0.4113267,3.13702,-0.1770765,-0.7586188,3.118476,-0.1485637,-0.8211792,3.080594,-0.04360418,0.1260028,3.081023,-0.08742668,-0.3932882,3.13107,-0.09951392,-0.7611616,3.124294,-0.1382897,-0.8170523,3.08319,876,Draw-the-letter-X,
37252143.9479,-0.1308924,0.207635,3.093343,-0.1328296,0.2648028,3.153858,-0.1458984,0.6168529,3.168685,-0.1648817,0.8103732,3.127412,-0.3369914,0.5250839,3.140949,-0.5659528,0.5179601,3.09235,-0.7880818,0.4702033,3.04233,-0.8608394,0.4517409,3.013527,0.04251362,0.5287001,3.13986,0.3189816,0.5084308,3.062822,0.5421014,0.4763744,3.002882,0.5960354,0.4297825,2.965674,-0.2129703,0.122493,3.069254,-0.1744028,-0.4119519,3.136571,-0.177186,-0.7586625,3.118404,-0.1480049,-0.8210196,3.080085,-0.0434651,0.1261114,3.081034,-0.08718824,-0.3923209,3.127717,-0.09995749,-0.7608541,3.123946,-0.1383454,-0.8171119,3.083251,876,Draw-the-letter-X,
37252179.9499,-0.1311027,0.2076593,3.09326,-0.1332043,0.2646874,3.153767,-0.1462866,0.6154243,3.168509,-0.165747,0.8090903,3.123984,-0.3372902,0.5241365,3.140745,-0.5658427,0.5081205,3.092606,-0.7876536,0.4547352,3.049141,-0.8609519,0.4410935,3.019055,0.04245011,0.5282509,3.140765,0.3293387,0.4940409,3.059771,0.5523948,0.4646342,2.997796,0.6063279,0.418043,2.960588,-0.2131759,0.122466,3.069176,-0.1751104,-0.4118153,3.136047,-0.1783024,-0.758643,3.118282,-0.1495192,-0.8207681,3.079421,-0.04364679,0.1261231,3.080867,-0.08776399,-0.3925943,3.127106,-0.09993329,-0.7605693,3.124102,-0.137892,-0.8169417,3.08395,876,Draw-the-letter-X,
37252211.9518,-0.1312378,0.207563,3.093165,-0.1334067,0.2644232,3.153666,-0.1465614,0.6142269,3.168591,-0.1662582,0.8080454,3.12266,-0.3378804,0.5227074,3.140702,-0.5651772,0.4920465,3.095533,-0.783294,0.4279694,3.046375,-0.852051,0.3979809,3.017447,0.04193316,0.5279151,3.14108,0.2628511,0.472207,3.081789,0.5333726,0.429534,2.997941,0.5873047,0.3829437,2.960734,-0.2133611,0.1222587,3.069004,-0.175111,-0.4118749,3.136033,-0.1784201,-0.758697,3.118115,-0.1517764,-0.8216,3.077981,-0.04371977,0.1261067,3.080743,-0.08910808,-0.3933368,3.126911,-0.1000724,-0.760749,3.124022,-0.1401571,-0.8176153,3.083832,876,Draw-the-letter-X,
37252243.9536,-0.1315741,0.2071617,3.093095,-0.1336666,0.2639833,3.15358,-0.1468167,0.6138285,3.16841,-0.1658363,0.8086292,3.118089,-0.3393197,0.5211346,3.142377,-0.5646948,0.479862,3.094449,-0.7763051,0.4004855,3.037598,-0.8426585,0.3674685,3.006445,0.0411996,0.5242392,3.141425,0.2619828,0.4671553,3.083715,0.5270857,0.4233418,3.000095,0.5810167,0.3767524,2.962888,-0.2139069,0.1216636,3.068887,-0.1750596,-0.412054,3.136,-0.1785089,-0.7587983,3.118188,-0.1465278,-0.8211051,3.078319,-0.04389581,0.125536,3.08068,-0.09111972,-0.3995487,3.127974,-0.1006825,-0.7621917,3.125251,-0.139804,-0.818338,3.083616,876,Draw-the-letter-X,
37252295.9566,-0.1320373,0.2066072,3.092679,-0.1344509,0.2632469,3.15305,-0.1488899,0.6116771,3.167055,-0.167421,0.8076302,3.117288,-0.340874,0.5191389,3.142028,-0.5806649,0.4490712,3.09061,-0.787876,0.3591201,3.033174,-0.8601587,0.3424203,3.0022,0.03989538,0.5226529,3.141729,0.2584421,0.4570306,3.085146,0.507722,0.3713392,2.991337,0.5616514,0.3247511,2.954132,-0.2142224,0.1209646,3.068566,-0.1750999,-0.4119498,3.136106,-0.1785204,-0.7589549,3.118158,-0.1421452,-0.820724,3.077165,-0.04410088,0.1251245,3.080271,-0.09114028,-0.3995018,3.12802,-0.1009566,-0.7608415,3.125746,-0.1397377,-0.8183989,3.083592,876,Draw-the-letter-X,
37252297.9567,-0.1326321,0.2053086,3.092011,-0.1350298,0.2619981,3.15251,-0.1502456,0.6111368,3.167135,-0.1696907,0.8059546,3.112206,-0.3418785,0.5163302,3.142469,-0.5754375,0.4384842,3.091124,-0.7823459,0.3473557,3.034729,-0.8387521,0.2968076,3.007782,0.03707099,0.5215547,3.141229,0.245991,0.4299058,3.084296,0.4861973,0.3466643,2.983684,0.5401261,0.3000768,2.946478,-0.2143236,0.1198342,3.068225,-0.1751269,-0.4116111,3.136424,-0.1771555,-0.7589701,3.117775,-0.1416064,-0.8207495,3.075916,-0.04460544,0.1244815,3.079342,-0.09118386,-0.3989078,3.129143,-0.09960435,-0.76223,3.126619,-0.1430453,-0.8186349,3.079747,876,Draw-the-letter-X,
37252329.1567,-0.1339718,0.2025684,3.08988,-0.1363111,0.2595934,3.150572,-0.1515476,0.6106119,3.166085,-0.1702149,0.8049763,3.109919,-0.3425971,0.5132671,3.142227,-0.5663854,0.4198591,3.093076,-0.7598462,0.3051845,3.030757,-0.8351132,0.2837168,3.012404,0.03348461,0.5204419,3.14046,0.2439827,0.4226691,3.083516,0.4724447,0.3190264,2.985084,0.526373,0.2724392,2.94788,-0.2148778,0.1174833,3.066777,-0.1746604,-0.4136553,3.13858,-0.1718991,-0.7578201,3.12016,-0.1398478,-0.8197658,3.075941,-0.04612117,0.1229748,3.07712,-0.0913571,-0.3987332,3.130721,-0.09964397,-0.7621134,3.128163,-0.1376022,-0.8133061,3.082848,876,Draw-the-letter-X,
37252380.7588,-0.1344747,0.1998736,3.088192,-0.1373637,0.2571153,3.148975,-0.1545075,0.6092182,3.164695,-0.1714367,0.8039862,3.109382,-0.3429132,0.5096059,3.140633,-0.562771,0.4031706,3.091138,-0.7555606,0.2714851,3.033675,-0.8195254,0.2319299,3.005277,0.03020409,0.5188845,3.140457,0.2373884,0.4079029,3.081284,0.4596132,0.2806393,2.975928,0.539371,0.2335149,2.958643,-0.2143901,0.1145078,3.065113,-0.1740834,-0.4150415,3.140713,-0.1718801,-0.7597169,3.11956,-0.1476569,-0.8220185,3.075988,-0.0465589,0.1219436,3.075904,-0.09257475,-0.3991123,3.134439,-0.0997741,-0.7621225,3.128052,-0.139037,-0.813601,3.083634,876,Draw-the-letter-X,
37252411.7606,-0.1349173,0.199156,3.08728,-0.1378647,0.2564573,3.148199,-0.1557761,0.6092747,3.164502,-0.1754718,0.8040925,3.109431,-0.3433371,0.5084574,3.14078,-0.5549145,0.3845939,3.089196,-0.7424404,0.2562,3.039739,-0.8182356,0.1843023,3.009476,0.02620132,0.5187143,3.140347,0.2291874,0.3941801,3.079168,0.4544793,0.2626404,2.974609,0.5409527,0.1966857,2.973078,-0.2142857,0.1140938,3.06483,-0.1733845,-0.4165375,3.144298,-0.170664,-0.7600529,3.120854,-0.1400663,-0.8174907,3.076128,-0.04766798,0.121886,3.073739,-0.09084675,-0.3986824,3.1408,-0.09856281,-0.7615396,3.1288,-0.1391042,-0.8147887,3.081988,876,Draw-the-letter-X,
