Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37545135.2031,-0.1524701,0.2169087,3.311565,-0.1513458,0.27457,3.370309,-0.1616464,0.6225345,3.376751,-0.1707165,0.8069984,3.351685,-0.3559983,0.5326214,3.373109,-0.5843856,0.5387754,3.351727,-0.8112839,0.5117161,3.333227,-0.8432097,0.5182022,3.325176,0.0235997,0.5412003,3.357144,0.2509363,0.5504267,3.351342,0.4790782,0.5527665,3.318314,0.5515718,0.5568891,3.352271,-0.2351994,0.1308107,3.295832,-0.203105,-0.3991423,3.378281,-0.1773385,-0.7461171,3.363642,-0.1795419,-0.8149722,3.32848,-0.0668888,0.134881,3.294173,-0.1046339,-0.3746588,3.340311,-0.1088546,-0.759798,3.364172,-0.1322117,-0.8148786,3.315154,876,Walk-in-place,
37545165.2048,-0.1530388,0.2166118,3.310483,-0.1517044,0.2742734,3.369267,-0.1627528,0.6222879,3.375981,-0.1712404,0.8083475,3.352797,-0.3562089,0.5323908,3.372824,-0.5857932,0.5358981,3.354374,-0.8182851,0.5110608,3.334392,-0.8920093,0.5328308,3.311673,0.02252317,0.5407836,3.354314,0.2496187,0.5502084,3.350814,0.4790735,0.5528069,3.318375,0.5515667,0.5569294,3.352332,-0.2354635,0.1306894,3.295031,-0.2038006,-0.399624,3.378724,-0.1784561,-0.7453258,3.364716,-0.1789906,-0.8136912,3.328547,-0.06738691,0.134664,3.292868,-0.1046767,-0.3750885,3.341094,-0.09927865,-0.7580762,3.366478,-0.1414539,-0.8072777,3.324255,876,Walk-in-place,
37545196.2066,-0.1538603,0.2160148,3.309189,-0.1523875,0.273621,3.368353,-0.1635246,0.6220794,3.376327,-0.1713087,0.807303,3.35058,-0.3562191,0.5323774,3.372814,-0.5892351,0.5343164,3.356269,-0.8177283,0.5108377,3.334972,-0.8964299,0.5223292,3.325007,0.02190769,0.5402831,3.353402,0.2488936,0.5501862,3.350716,0.4779308,0.5518902,3.318502,0.5504237,0.5560127,3.352459,-0.2360136,0.1303566,3.293645,-0.2042811,-0.4002387,3.379186,-0.1787436,-0.7446143,3.364857,-0.177233,-0.8133208,3.329367,-0.06838227,0.1342841,3.290863,-0.1052399,-0.375114,3.342092,-0.09622294,-0.758903,3.368183,-0.1317899,-0.81017,3.322476,876,Walk-in-place,
37545230.2085,-0.153869,0.2160051,3.308248,-0.1523661,0.2735366,3.367645,-0.1635628,0.6221363,3.376325,-0.1710965,0.8080643,3.353306,-0.3563057,0.5324283,3.373098,-0.5893451,0.5339642,3.357134,-0.8159075,0.5051383,3.334706,-0.8959281,0.5060425,3.330118,0.02166789,0.5401922,3.353082,0.248773,0.5500588,3.349276,0.4770494,0.5517548,3.318924,0.5495417,0.5558773,3.352881,-0.2359247,0.1303411,3.293328,-0.2028379,-0.3997022,3.378507,-0.1760357,-0.7477028,3.363509,-0.1872213,-0.8145292,3.326205,-0.06843339,0.1346201,3.288082,-0.1051136,-0.3749584,3.343216,-0.09161262,-0.7554145,3.371422,-0.1388709,-0.7990395,3.328456,876,Walk-in-place,
37545278.2113,-0.1540302,0.2158756,3.307516,-0.1525145,0.2733146,3.367193,-0.1635014,0.6220816,3.37664,-0.1712499,0.8083549,3.351734,-0.3564973,0.5322189,3.373083,-0.5895112,0.5337046,3.356991,-0.8163663,0.506159,3.339846,-0.894509,0.5135581,3.323596,0.02193649,0.5397982,3.353276,0.2491038,0.5501116,3.348649,0.477073,0.5512564,3.318521,0.549565,0.5553788,3.352477,-0.2363218,0.1300611,3.291903,-0.2030454,-0.3996589,3.378592,-0.1768539,-0.7459624,3.365553,-0.1865838,-0.8118297,3.32619,-0.06850838,0.1343924,3.287179,-0.105222,-0.3745863,3.345137,-0.0952595,-0.7567089,3.371965,-0.1427174,-0.7986631,3.327578,876,Walk-in-place,
37545280.2114,-0.154016,0.2160383,3.307095,-0.1526628,0.273367,3.366868,-0.1636026,0.6220854,3.376691,-0.1714358,0.808222,3.352192,-0.3566458,0.5320963,3.373127,-0.5900687,0.5332189,3.358201,-0.8168792,0.5056279,3.339039,-0.8957344,0.5091031,3.325082,0.02215802,0.5401192,3.354219,0.2495025,0.5499815,3.347948,0.4774519,0.5499208,3.317531,0.5499436,0.5540432,3.351487,-0.2362791,0.1300432,3.291831,-0.2023332,-0.3998008,3.37815,-0.1781446,-0.7433957,3.365561,-0.1792312,-0.8091313,3.324814,-0.06834976,0.1348491,3.285795,-0.1045476,-0.3751691,3.347147,-0.09844641,-0.7562903,3.371485,-0.1427225,-0.8008615,3.326366,876,Walk-in-place,
37545327.0115,-0.1539967,0.2160763,3.306758,-0.1526965,0.2733618,3.366578,-0.1636204,0.6221005,3.376694,-0.1722705,0.8084219,3.35151,-0.3570142,0.5318564,3.37284,-0.5902798,0.5327838,3.358718,-0.8170318,0.504572,3.340516,-0.8957485,0.4932928,3.350585,0.02215354,0.5401084,3.354134,0.2496584,0.5496549,3.346199,0.4776444,0.549044,3.316338,0.5501357,0.5531664,3.350293,-0.2362262,0.129977,3.291664,-0.2000854,-0.3992916,3.377807,-0.1787401,-0.7427734,3.365986,-0.1668911,-0.8082752,3.326592,-0.06828417,0.1349342,3.285228,-0.1041614,-0.3770738,3.353739,-0.1040432,-0.7561121,3.37158,-0.1282452,-0.8080394,3.319613,876,Walk-in-place,
37545358.2115,-0.153969,0.2160815,3.306459,-0.1524195,0.2733434,3.366255,-0.1636636,0.6220816,3.376607,-0.1724535,0.8087673,3.35179,-0.3572578,0.5321028,3.37474,-0.5903998,0.5326085,3.359339,-0.8171647,0.5043745,3.342218,-0.8964804,0.4957611,3.349937,0.02217228,0.5396092,3.353761,0.2496345,0.5497432,3.346004,0.4776429,0.5491669,3.316494,0.5501332,0.5532894,3.350448,-0.2361856,0.1299611,3.291655,-0.1972878,-0.3999493,3.378572,-0.1802034,-0.7393032,3.365488,-0.1674025,-0.8060099,3.328486,-0.06823213,0.134918,3.284425,-0.1021256,-0.3787518,3.358181,-0.1060177,-0.7546238,3.371637,-0.1431527,-0.8071247,3.328655,876,Walk-in-place,
37545389.4116,-0.1539213,0.2160069,3.306208,-0.1523588,0.2732341,3.366079,-0.1635441,0.6220343,3.376783,-0.1723648,0.808568,3.351824,-0.3572205,0.5319836,3.374781,-0.5891119,0.532604,3.359246,-0.8158354,0.5043176,3.350241,-0.8545357,0.5004541,3.347764,0.02220658,0.5394065,3.35364,0.249659,0.5499344,3.345767,0.4775717,0.5488343,3.314962,0.5500618,0.5529566,3.348917,-0.2361293,0.1298952,3.291562,-0.1958247,-0.4002694,3.378526,-0.1800305,-0.7391013,3.365456,-0.1657573,-0.8056855,3.328772,-0.06821298,0.1348744,3.283866,-0.1018034,-0.3787836,3.360201,-0.1086624,-0.7559974,3.372026,-0.1028683,-0.8125609,3.319587,876,Walk-in-place,
37545420.6116,-0.1537595,0.216017,3.306104,-0.1520679,0.2731412,3.366017,-0.163558,0.6221576,3.377646,-0.1725174,0.8084897,3.351687,-0.357364,0.5321162,3.375858,-0.5893736,0.5324486,3.361243,-0.8161036,0.5038411,3.348922,-0.8535416,0.5012299,3.348915,0.02213779,0.5393985,3.353146,0.2496011,0.5498731,3.345153,0.4775513,0.5488036,3.314888,0.550041,0.5529261,3.348842,-0.2357398,0.1298764,3.291243,-0.1951624,-0.4000897,3.378774,-0.1792042,-0.7402235,3.365137,-0.1678461,-0.8066761,3.327216,-0.06802213,0.1349458,3.283787,-0.1012692,-0.3793838,3.363197,-0.1080334,-0.7549734,3.372447,-0.1117395,-0.8084533,3.316687,876,Walk-in-place,
37545451.8117,-0.1536884,0.2159992,3.305947,-0.1517637,0.2731918,3.365776,-0.1634274,0.6222305,3.377059,-0.1724178,0.8086539,3.352131,-0.3570716,0.5320303,3.377546,-0.5878564,0.5320953,3.363516,-0.8148091,0.5053504,3.351517,-0.8525519,0.5013421,3.350839,0.02220144,0.5391595,3.353116,0.2496636,0.5501183,3.344844,0.4776309,0.5496711,3.314817,0.5501201,0.5537934,3.348772,-0.235586,0.1297802,3.291371,-0.194951,-0.400391,3.378901,-0.1789015,-0.7380189,3.367765,-0.1687518,-0.8040172,3.328723,-0.06798907,0.1349806,3.283431,-0.09579229,-0.3819651,3.371063,-0.1084437,-0.7543448,3.374148,-0.1218187,-0.8135661,3.326222,876,Walk-in-place,
