Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37632620.5127,-0.1657721,0.2186304,3.239577,-0.1669493,0.2762143,3.297803,-0.1726511,0.6209899,3.300195,-0.1874249,0.8050597,3.274189,-0.3671564,0.5419079,3.292586,-0.5946985,0.5620744,3.258912,-0.8208975,0.5479097,3.215702,-0.898707,0.5658629,3.218573,0.00578358,0.545359,3.293154,0.2347215,0.5705124,3.276308,0.4624922,0.5889702,3.261464,0.5417535,0.5950481,3.253366,-0.2466494,0.1344562,3.221107,-0.2118309,-0.4149295,3.306125,-0.1899241,-0.7818938,3.282719,-0.1421026,-0.8324288,3.245237,-0.08207809,0.1382945,3.227615,-0.1098886,-0.4034528,3.309819,-0.1109877,-0.7688093,3.290051,-0.07904486,-0.8322846,3.257614,876,Do-two-jumping-jacks,
37632656.5148,-0.1657692,0.2186052,3.239553,-0.1668036,0.2761995,3.297794,-0.1726473,0.6210797,3.30028,-0.1873148,0.8052831,3.274168,-0.3671192,0.5422325,3.292852,-0.5950971,0.5577755,3.263275,-0.8202664,0.5464004,3.212018,-0.9274057,0.5319656,3.212235,0.005182793,0.544916,3.292229,0.2333012,0.5671123,3.276474,0.4612164,0.5831215,3.266789,0.5404778,0.5891996,3.258691,-0.2466112,0.1344523,3.221047,-0.2116023,-0.4151424,3.306351,-0.190999,-0.7805727,3.283477,-0.1459799,-0.8293444,3.241903,-0.08209895,0.1382852,3.227592,-0.1090594,-0.4023936,3.30939,-0.1110973,-0.7668375,3.290646,-0.08670291,-0.8313115,3.253908,876,Do-two-jumping-jacks,
37632688.5166,-0.1658061,0.2185779,3.239491,-0.1667179,0.2762164,3.297747,-0.1727523,0.62156,3.300264,-0.1867356,0.8055435,3.273114,-0.3673676,0.5424137,3.293311,-0.5957143,0.5492142,3.260318,-0.8217642,0.5426303,3.213514,-0.9290915,0.5296683,3.21384,0.004710459,0.5439869,3.291629,0.2334111,0.56243,3.27488,0.4613537,0.5775194,3.266705,0.5406151,0.5835973,3.258606,-0.2466296,0.1344348,3.220923,-0.2117151,-0.4152447,3.306312,-0.1898616,-0.780658,3.283759,-0.1467719,-0.8291287,3.240222,-0.08216306,0.1382376,3.227553,-0.1108068,-0.4055578,3.309812,-0.1116294,-0.7694594,3.289654,-0.156354,-0.8399046,3.243037,876,Do-two-jumping-jacks,
37632720.5184,-0.1659778,0.2182443,3.239434,-0.1668513,0.2759619,3.297706,-0.1734034,0.6215852,3.300346,-0.1859026,0.8053008,3.272019,-0.3669631,0.542043,3.292865,-0.5954527,0.5389527,3.266608,-0.8211071,0.5138831,3.226741,-0.8849484,0.5117665,3.229892,0.004700167,0.5430413,3.290543,0.2324164,0.5525578,3.279627,0.4715022,0.5537806,3.258542,0.550763,0.5598584,3.250443,-0.2466817,0.1342493,3.220673,-0.2115015,-0.4154295,3.306583,-0.1893583,-0.780781,3.283183,-0.1486799,-0.8304921,3.238735,-0.08234362,0.1378197,3.227729,-0.1114572,-0.4060896,3.310207,-0.1112767,-0.7705871,3.288929,-0.1369625,-0.8313532,3.247106,876,Do-two-jumping-jacks,
37632758.5206,-0.1656909,0.2183217,3.239323,-0.1666348,0.2760146,3.297608,-0.1733702,0.621593,3.300325,-0.1857495,0.8054006,3.271753,-0.367058,0.5419174,3.292893,-0.5954016,0.5333337,3.263678,-0.8216105,0.5099105,3.227367,-0.8955604,0.4801472,3.232872,0.005851674,0.5418018,3.29043,0.234051,0.5414792,3.274929,0.4669217,0.5386583,3.258687,0.546182,0.5447361,3.250587,-0.2464408,0.1342633,3.220479,-0.2114757,-0.415413,3.306617,-0.1893137,-0.7808704,3.283148,-0.1497086,-0.831296,3.238537,-0.08172689,0.1376077,3.227568,-0.111851,-0.406467,3.310286,-0.1105792,-0.7718543,3.28898,-0.134663,-0.8331937,3.247041,876,Do-two-jumping-jacks,
37632789.5224,-0.1657041,0.2182723,3.239288,-0.1666725,0.2759368,3.297589,-0.1739664,0.6216953,3.300716,-0.1856243,0.8054435,3.271679,-0.3671931,0.5418437,3.292823,-0.5951574,0.526297,3.268113,-0.8162631,0.4749909,3.227734,-0.8959408,0.4780215,3.232922,0.005895869,0.5413012,3.290298,0.2377178,0.5283291,3.272979,0.4658721,0.5176109,3.252096,0.5451318,0.5236887,3.243997,-0.2463977,0.1341863,3.220298,-0.2112105,-0.4155759,3.306607,-0.1894158,-0.782446,3.284798,-0.1486599,-0.8317038,3.239922,-0.08170345,0.1374305,3.227509,-0.1105008,-0.4062702,3.310414,-0.1111886,-0.772641,3.289167,-0.1388355,-0.8340443,3.249587,876,Do-two-jumping-jacks,
37632812.5237,-0.165631,0.2173565,3.238831,-0.1668246,0.275165,3.297142,-0.1740688,0.62135,3.300283,-0.1855083,0.8056582,3.271884,-0.3659152,0.5375698,3.290861,-0.5952777,0.5176905,3.26682,-0.8137664,0.4408919,3.231004,-0.8927807,0.4372841,3.242328,0.005940579,0.5407767,3.290338,0.2434709,0.5103863,3.266756,0.4703587,0.4855362,3.24179,0.5496177,0.4916138,3.233691,-0.2460683,0.1334859,3.219412,-0.2119322,-0.4168928,3.307601,-0.1891495,-0.7824848,3.284724,-0.1509159,-0.8327357,3.238744,-0.08177741,0.1363588,3.227525,-0.1105695,-0.4066156,3.310431,-0.110795,-0.7734851,3.288985,-0.1488573,-0.836547,3.243251,876,Do-two-jumping-jacks,
37632843.7237,-0.1655276,0.2173013,3.238711,-0.16677,0.2751506,3.297023,-0.173723,0.6215354,3.300103,-0.1852473,0.8064338,3.271582,-0.3662288,0.5366361,3.290917,-0.6008738,0.4954173,3.26196,-0.819277,0.4307407,3.229739,-0.8876179,0.3977116,3.233882,0.006308181,0.5397019,3.290847,0.2459674,0.5006096,3.267325,0.4720596,0.470823,3.238826,0.5513181,0.4769006,3.230727,-0.2460157,0.1333345,3.219289,-0.212193,-0.416037,3.307427,-0.1907227,-0.7804784,3.285836,-0.1577597,-0.8322082,3.237477,-0.08164132,0.1362671,3.227357,-0.1113387,-0.4023444,3.309471,-0.110965,-0.7681629,3.292393,-0.1779387,-0.8317663,3.241042,876,Do-two-jumping-jacks,
37632874.9238,-0.1655718,0.2165989,3.238463,-0.1670171,0.2747081,3.296861,-0.1734906,0.6216704,3.300127,-0.1854285,0.8063884,3.270302,-0.3669592,0.534112,3.290905,-0.6047266,0.4826613,3.262289,-0.8163787,0.3983199,3.230839,-0.8867614,0.3652793,3.228749,0.006919526,0.5350761,3.292388,0.2495896,0.4834195,3.263605,0.4716897,0.4330756,3.230855,0.5509478,0.4391532,3.222756,-0.2462677,0.1325042,3.219063,-0.2119066,-0.4158209,3.307209,-0.1875146,-0.780759,3.284827,-0.1517954,-0.8302757,3.236109,-0.081697,0.1350747,3.226852,-0.1100333,-0.4030201,3.309374,-0.1103287,-0.7687542,3.292116,-0.194923,-0.8176187,3.251817,876,Do-two-jumping-jacks,
37632906.1238,-0.1650529,0.2136238,3.237683,-0.1668095,0.2723237,3.295978,-0.1734717,0.620927,3.298871,-0.1855544,0.8063902,3.270081,-0.3667923,0.5257713,3.288874,-0.602258,0.4577202,3.257906,-0.8144633,0.3742921,3.228972,-0.8756201,0.3517194,3.229907,0.007243678,0.5311436,3.292531,0.250823,0.4631795,3.263292,0.4738662,0.4168717,3.231361,0.5531235,0.4229493,3.223262,-0.245424,0.1288645,3.217696,-0.2118478,-0.4156942,3.307139,-0.1872584,-0.7814314,3.284156,-0.1562031,-0.8332815,3.234674,-0.08121707,0.1321756,3.227037,-0.1105389,-0.4043128,3.309434,-0.1118626,-0.7730575,3.287183,-0.09412669,-0.8358867,3.244297,876,Do-two-jumping-jacks,
