Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37812953.1173,-0.1094734,0.2096672,3.171264,-0.1109269,0.2684593,3.230417,-0.1158596,0.6241505,3.239476,-0.1359531,0.8093637,3.237341,-0.2998865,0.5339909,3.221477,-0.5270981,0.5587082,3.191635,-0.7501765,0.557064,3.127894,-0.7923456,0.551445,3.124556,0.0638032,0.543682,3.225332,0.347886,0.5731713,3.203717,0.5799063,0.5899901,3.1773,0.6480742,0.58033,3.133062,-0.1895074,0.1277159,3.153399,-0.16985,-0.4003283,3.240318,-0.1526532,-0.7691506,3.217576,-0.1510683,-0.8071457,3.132114,-0.02667441,0.1304315,3.158396,-0.05408463,-0.393699,3.251022,-0.05762998,-0.7605311,3.232758,-0.05604507,-0.7985262,3.147295,876,Throw-a-ball-as-far-as-you-can,
37812984.1191,-0.1095141,0.2100325,3.171664,-0.1109281,0.2687373,3.230728,-0.1161583,0.6239574,3.239486,-0.135511,0.8099515,3.236892,-0.3006691,0.5344886,3.222165,-0.5280398,0.5578102,3.194223,-0.7508554,0.5570319,3.129299,-0.7918004,0.5514818,3.125188,0.06386972,0.5436741,3.225418,0.3479944,0.5726042,3.203397,0.5755954,0.5757621,3.168685,0.5816628,0.5652403,3.130101,-0.189512,0.1278683,3.153495,-0.1698163,-0.4002725,3.240316,-0.1516753,-0.7715625,3.215653,-0.1502093,-0.8095657,3.130192,-0.02663432,0.1306373,3.159004,-0.05355143,-0.3935539,3.251417,-0.06108113,-0.7608137,3.231571,-0.05961519,-0.7988169,3.14611,876,Throw-a-ball-as-far-as-you-can,
37813018.121,-0.1095282,0.210068,3.171706,-0.1108162,0.2687641,3.230753,-0.116278,0.623543,3.239304,-0.1351824,0.8098972,3.236893,-0.3009119,0.5343689,3.222878,-0.5283514,0.5570109,3.195386,-0.7508111,0.5564422,3.128929,-0.8578172,0.5476878,3.119502,0.06386694,0.5435224,3.225247,0.3476797,0.5722922,3.202601,0.5859289,0.5798295,3.161174,0.6540967,0.5701694,3.116935,-0.1895726,0.1278986,3.153678,-0.1697497,-0.3997276,3.240136,-0.1519222,-0.7713899,3.215645,-0.1506631,-0.8094003,3.130183,-0.02662819,0.1306732,3.158981,-0.05373183,-0.3928119,3.251372,-0.06315215,-0.7610569,3.231007,0.01137279,-0.7887691,3.231161,876,Throw-a-ball-as-far-as-you-can,
37813052.1229,-0.1090465,0.2102289,3.171758,-0.1104844,0.2690018,3.230754,-0.1163489,0.6238148,3.238801,-0.1352276,0.8102051,3.237339,-0.3009225,0.534234,3.222842,-0.5285921,0.554366,3.196937,-0.7506471,0.556212,3.128822,-0.7888899,0.5507815,3.135161,0.06397127,0.5436295,3.225356,0.3482685,0.5706243,3.201027,0.5859143,0.5794702,3.162151,0.6540821,0.56981,3.117913,-0.1891063,0.1279005,3.153571,-0.1688955,-0.3993234,3.240145,-0.1515421,-0.7713956,3.21596,-0.1502593,-0.8094177,3.130503,-0.02561186,0.1309995,3.159419,-0.05359812,-0.39285,3.251372,-0.06110195,-0.761104,3.232792,0.01216579,-0.7916512,3.22824,876,Throw-a-ball-as-far-as-you-can,
37813084.1248,-0.1084583,0.2097277,3.17166,-0.1100281,0.268608,3.230679,-0.1162561,0.6236694,3.238726,-0.1348201,0.8106564,3.237936,-0.299063,0.5325202,3.222288,-0.5267501,0.5524315,3.196562,-0.7568168,0.5466899,3.127766,-0.8339274,0.5564707,3.145205,0.06397899,0.543614,3.225329,0.3437524,0.5679941,3.198289,0.5858551,0.5786437,3.161397,0.6540229,0.5689836,3.117159,-0.1882776,0.1275753,3.15352,-0.1683771,-0.3989718,3.239957,-0.1515809,-0.7710474,3.215504,-0.1502512,-0.8090693,3.130048,-0.02526678,0.1308244,3.159303,-0.05398492,-0.3928097,3.251089,-0.06104944,-0.7609666,3.232236,-0.1450713,-0.818164,3.197011,876,Throw-a-ball-as-far-as-you-can,
37813111.1263,-0.1083494,0.2095123,3.171837,-0.1099638,0.268607,3.230763,-0.1163449,0.6239641,3.238302,-0.1340755,0.8112767,3.238144,-0.2991061,0.5325182,3.22235,-0.526853,0.5517306,3.196598,-0.7506099,0.5446852,3.136521,-0.7859258,0.5506481,3.135308,0.06385278,0.5433631,3.225281,0.3433412,0.5668359,3.198455,0.5705454,0.569874,3.159772,0.5935137,0.5596095,3.120446,-0.1881143,0.1273117,3.153763,-0.1685596,-0.3992715,3.239968,-0.1518784,-0.7701278,3.215991,-0.1505616,-0.8081648,3.130543,-0.02513187,0.1306154,3.159648,-0.05351437,-0.3925358,3.25107,-0.05882691,-0.7611676,3.233719,-0.140636,-0.8217848,3.19901,876,Throw-a-ball-as-far-as-you-can,
37813142.3264,-0.1079714,0.209484,3.171847,-0.109666,0.2686128,3.230786,-0.1163777,0.624006,3.238309,-0.1327592,0.8139141,3.237642,-0.2990925,0.5324918,3.222498,-0.5269983,0.5497537,3.196213,-0.7510636,0.5418662,3.137804,-0.7856417,0.5450226,3.136178,0.06391944,0.5431676,3.225144,0.3423471,0.5643053,3.197388,0.5879481,0.5678242,3.164101,0.6561159,0.5581641,3.119863,-0.187616,0.1271994,3.153774,-0.168833,-0.3993463,3.24018,-0.1526947,-0.7696375,3.215266,-0.1514376,-0.8076761,3.129817,-0.02452543,0.1307112,3.159567,-0.05197511,-0.3918547,3.250739,-0.05640646,-0.759349,3.235453,-0.04279188,-0.828833,3.199279,876,Throw-a-ball-as-far-as-you-can,
37813183.527,-0.1080187,0.2093616,3.171873,-0.1097193,0.2685494,3.230804,-0.1163666,0.6240136,3.238292,-0.1326588,0.8140025,3.237525,-0.2991736,0.5324567,3.22259,-0.5272154,0.5472822,3.199296,-0.7631087,0.5212954,3.135081,-0.8394899,0.5437498,3.132366,0.0639302,0.5399565,3.224872,0.3445942,0.5607799,3.194853,0.5708401,0.5564204,3.148705,0.5923999,0.5476584,3.111092,-0.1876895,0.1271015,3.153743,-0.1686292,-0.3993525,3.240262,-0.1533889,-0.769612,3.214732,-0.1520721,-0.8076512,3.129283,-0.02463444,0.1304817,3.159667,-0.05245815,-0.3922914,3.250757,-0.05641485,-0.7590467,3.235159,-0.07005695,-0.8295963,3.20112,876,Throw-a-ball-as-far-as-you-can,
37813215.5288,-0.1079876,0.209344,3.171931,-0.1096571,0.2685244,3.230899,-0.1163081,0.6243266,3.238698,-0.1323107,0.8144962,3.237681,-0.3000242,0.5322436,3.22366,-0.5374132,0.5337532,3.196447,-0.7648479,0.5144039,3.136211,-0.8437185,0.5248861,3.132325,0.0641517,0.5381414,3.225527,0.3447181,0.5525734,3.191992,0.5705978,0.5497855,3.143205,0.6019489,0.5405798,3.104639,-0.1876762,0.1270814,3.153746,-0.1686483,-0.3994529,3.240322,-0.1534749,-0.7697251,3.215736,-0.152183,-0.8077587,3.130285,-0.02459997,0.1303853,3.159715,-0.05264166,-0.3925053,3.250967,-0.05638751,-0.7590371,3.23516,-0.09578859,-0.8243788,3.199635,876,Throw-a-ball-as-far-as-you-can,
37813251.5309,-0.1079946,0.2093955,3.17194,-0.1095375,0.2685058,3.230907,-0.1158838,0.6237589,3.238874,-0.1327418,0.8150728,3.237958,-0.3012862,0.5318395,3.225905,-0.5358522,0.529976,3.197547,-0.7577294,0.4893905,3.146634,-0.7981595,0.506688,3.137813,0.06502651,0.5365871,3.226786,0.3419037,0.5425099,3.18634,0.5665894,0.5340265,3.131308,0.5983897,0.5257395,3.093713,-0.1877802,0.127085,3.153758,-0.1686352,-0.3996826,3.240621,-0.1534769,-0.7697553,3.215753,-0.1523647,-0.8077867,3.130297,-0.02460021,0.1303523,3.1596,-0.05265698,-0.3925052,3.250961,-0.05631021,-0.7584108,3.235505,-0.06030216,-0.8280252,3.197295,876,Throw-a-ball-as-far-as-you-can,
