Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37845923.9703,-0.07770332,0.164846,2.94286,-0.08161389,0.2259665,2.995265,-0.09887584,0.5770765,3.001169,-0.09067989,0.7473241,2.962465,-0.2479634,0.4789905,3.012414,-0.4964856,0.4329402,3.003368,-0.7347738,0.3478144,3.000336,-0.7946694,0.3375767,3.006904,0.06503332,0.5055113,3.020475,0.3021644,0.4175599,3.008403,0.5097315,0.3235198,2.992922,0.5906337,0.307901,2.999879,-0.1444002,0.09272842,2.930093,-0.1367712,-0.3614609,2.99114,-0.1487119,-0.6857483,3.015808,-0.1422292,-0.751789,2.978801,-0.00385698,0.09812784,2.93148,-0.002917832,-0.3687247,3.013671,-0.01562022,-0.697157,3.02614,-0.005878081,-0.7729824,2.990702,888,Raise-your-other-hand,
37845947.9717,-0.07791615,0.1641975,2.942509,-0.08191123,0.2253705,2.994941,-0.09888486,0.5769615,3.001104,-0.09150697,0.7474474,2.965029,-0.2481295,0.4772203,3.011416,-0.4939959,0.4183045,3.00122,-0.7278067,0.3215541,2.998368,-0.7962413,0.2880665,2.986506,0.06498128,0.5052398,3.020538,0.2987241,0.408631,3.008527,0.5100074,0.2995111,2.999464,0.580319,0.2559931,2.998962,-0.1446747,0.09220198,2.929848,-0.1369572,-0.3603322,2.990194,-0.1489523,-0.6833943,3.01679,-0.1435467,-0.7304361,2.954806,-0.004092532,0.09717472,2.930944,-0.002934297,-0.3696014,3.01355,-0.01954534,-0.6952517,3.027375,-0.01241285,-0.7690845,2.987941,888,Raise-your-other-hand,
37845982.9737,-0.07941736,0.1637245,2.94217,-0.08312053,0.2248772,2.99456,-0.09968209,0.5764883,3.000695,-0.092747,0.7485871,2.965337,-0.2488084,0.4784686,3.012657,-0.492034,0.4088604,2.999284,-0.6979417,0.3084053,2.987112,-0.7672132,0.2789547,2.978475,0.06461278,0.5045139,3.020013,0.2933961,0.3966167,3.007542,0.5020401,0.270436,2.995806,0.5744942,0.231156,2.989047,-0.1461547,0.09185282,2.929852,-0.1371031,-0.3604611,2.990006,-0.1490959,-0.6836137,3.016616,-0.142032,-0.745874,2.992645,-0.005988977,0.09642556,2.930274,-0.003194259,-0.3702655,3.013306,-0.01931196,-0.6953974,3.027512,-0.01181332,-0.7691607,2.988068,888,Raise-your-other-hand,
37846015.9756,-0.08029043,0.1636414,2.941911,-0.0836528,0.2248125,2.994321,-0.09970357,0.5765313,3.000615,-0.09315109,0.7493271,2.966556,-0.2493091,0.4787865,3.013657,-0.4881449,0.3951082,2.99842,-0.7075999,0.2688236,2.990221,-0.7762114,0.222934,2.985165,0.06452951,0.5044623,3.020087,0.2836143,0.3779174,3.006522,0.4841529,0.2575801,2.997555,0.554718,0.2152011,2.989584,-0.1473524,0.09203816,2.929574,-0.1369102,-0.3596137,2.989552,-0.1488225,-0.682936,3.016763,-0.1383686,-0.7433128,2.990477,-0.007148712,0.09590019,2.929981,-0.004869591,-0.3709105,3.01248,-0.019377,-0.6937367,3.02696,-0.01042691,-0.7694184,2.987584,888,Raise-your-other-hand,
37846047.9774,-0.08044332,0.1631034,2.941618,-0.08402117,0.2244683,2.994121,-0.09972606,0.5767542,3.00065,-0.09501286,0.7530564,2.968096,-0.2486686,0.475677,3.01127,-0.482473,0.3788977,2.996974,-0.6994376,0.2542551,2.993027,-0.7688649,0.2094935,2.989037,0.06458677,0.5040127,3.019914,0.277737,0.3678522,3.008202,0.4720377,0.2273885,2.996058,0.5425785,0.1851944,2.98693,-0.1475036,0.09140737,2.929288,-0.1367095,-0.3609374,2.989576,-0.1485761,-0.6900991,3.01289,-0.144224,-0.7450129,2.95804,-0.007298791,0.09550314,2.929669,-0.005388414,-0.3714023,3.011751,-0.01919624,-0.6943079,3.02734,-0.009994187,-0.7694161,2.988607,888,Raise-your-other-hand,
37846082.9794,-0.08074326,0.1630532,2.941462,-0.08435279,0.2243738,2.993999,-0.1010627,0.5771366,3.001176,-0.09530993,0.7530481,2.967629,-0.2495977,0.4759427,3.011945,-0.4779727,0.3667957,2.995796,-0.6768451,0.2244064,2.989498,-0.7480074,0.1825316,2.984741,0.06431367,0.5023303,3.019692,0.2683804,0.3528684,3.007769,0.461357,0.1888839,2.99382,0.5355099,0.1532632,2.985291,-0.1479105,0.09128569,2.928871,-0.1369137,-0.3611297,2.989606,-0.1479554,-0.6892506,3.013886,-0.1422686,-0.7480931,2.974585,-0.0073907,0.09542157,2.92959,-0.006392641,-0.3715111,3.011599,-0.01913334,-0.6942582,3.027498,-0.009206067,-0.7697682,2.987487,888,Raise-your-other-hand,
37846129.9821,-0.08102838,0.1629438,2.941282,-0.08459586,0.2242879,2.993827,-0.101217,0.577237,3.001092,-0.09528586,0.7530428,2.967469,-0.2501111,0.4764939,3.012795,-0.4696499,0.3551747,2.994262,-0.6711182,0.2068317,2.991114,-0.7270247,0.1459143,2.993165,0.06558184,0.4983862,3.019472,0.2633324,0.3405941,3.006805,0.4559728,0.1761995,2.995633,0.5214861,0.1267782,2.985326,-0.1483351,0.09106455,2.928824,-0.1368852,-0.3611546,2.98951,-0.1486215,-0.6886785,3.013801,-0.1423782,-0.7473146,2.975678,-0.007626132,0.09500962,2.929091,-0.006349915,-0.3718769,3.011366,-0.01906356,-0.6943169,3.027345,-0.009141298,-0.7698667,2.987459,888,Raise-your-other-hand,
37846147.5823,-0.08155024,0.1624717,2.940959,-0.08450396,0.2239271,2.993554,-0.101233,0.5772469,3.001044,-0.09544694,0.7530421,2.966871,-0.250359,0.4766282,3.01272,-0.4596578,0.3455044,2.991811,-0.6441081,0.1722804,2.990045,-0.7228072,0.1134983,2.985619,0.06468137,0.492993,3.014829,0.2569168,0.3290777,3.008423,0.4317067,0.1538669,3.002384,0.4986809,0.1066441,2.991179,-0.1489579,0.0906201,2.92858,-0.1370086,-0.3610179,2.989474,-0.1475759,-0.6852798,3.014111,-0.1389781,-0.7458277,2.979329,-0.008178459,0.09439306,2.928659,-0.005981747,-0.3724087,3.011377,-0.01886271,-0.6942154,3.027544,-0.00676115,-0.7713721,2.98716,888,Raise-your-other-hand,
37846178.7823,-0.08256599,0.1616663,2.940921,-0.08562472,0.2234449,2.993478,-0.1012626,0.5775642,3.000881,-0.09551609,0.7534569,2.966648,-0.250803,0.4745471,3.009924,-0.4472236,0.3147131,2.989816,-0.6405098,0.1513089,2.986664,-0.6961778,0.09018323,2.984009,0.06469534,0.4906993,3.014647,0.2458094,0.314541,3.008053,0.4198712,0.1381334,2.997582,0.4746723,0.07920115,2.978447,-0.1501737,0.08985326,2.928786,-0.1383839,-0.3635581,2.989992,-0.1468765,-0.6861743,3.015221,-0.1388856,-0.7472528,2.979316,-0.009460008,0.09323113,2.928566,-0.00599409,-0.3735214,3.011528,-0.01837544,-0.6932228,3.02809,-0.00654565,-0.7714761,2.987311,888,Raise-your-other-hand,
37846241.1824,-0.08272565,0.1608361,2.94049,-0.08628853,0.2227207,2.99301,-0.1012861,0.5774707,3.000363,-0.09550124,0.7534408,2.966634,-0.2494769,0.4714287,3.006267,-0.4456342,0.3113187,2.98814,-0.6154671,0.1234207,2.976897,-0.6758667,0.06693232,2.978773,0.06506597,0.4883084,3.014511,0.2365,0.3025943,3.006737,0.4052252,0.1137024,2.993084,0.4644669,0.0578336,2.978535,-0.1503584,0.08927692,2.928621,-0.1385704,-0.3668164,2.990838,-0.146946,-0.6862095,3.015343,-0.1409059,-0.7504666,2.973314,-0.009500191,0.09248004,2.928095,-0.00623448,-0.3742325,3.011307,-0.0181116,-0.6913469,3.028662,-0.00698462,-0.7698391,2.985616,888,Raise-your-other-hand,
37846241.1824,-0.08269808,0.1602927,2.940173,-0.08641801,0.2223927,2.992783,-0.1010731,0.5779055,3.000281,-0.09594658,0.7533004,2.965089,-0.2496151,0.4681598,3.003518,-0.4382085,0.2992976,2.987832,-0.5984843,0.1032051,2.979268,-0.6448406,0.035337,2.969849,0.06531155,0.4851943,3.012875,0.2292383,0.2926828,3.003554,0.3891481,0.09625916,2.989979,0.4450762,0.03613923,2.979912,-0.1505367,0.08863671,2.928527,-0.1389072,-0.3666739,2.990766,-0.1461609,-0.6854568,3.015212,-0.1402073,-0.7494447,2.977132,-0.009231328,0.0918542,2.927394,-0.006973859,-0.3744955,3.010887,-0.01775545,-0.6916518,3.028913,-0.008969298,-0.7691485,2.986881,888,Raise-your-other-hand,
37846272.3825,-0.08457336,0.1579308,2.939725,-0.08689891,0.2207534,2.992196,-0.1011509,0.578014,2.999147,-0.09573773,0.7540411,2.965458,-0.249969,0.4677326,3.003174,-0.4264462,0.286123,2.984763,-0.5703387,0.08773433,2.982616,-0.6203007,0.02253035,2.972754,0.05984968,0.4773469,3.004359,0.2218664,0.2840633,3.003628,0.3768581,0.08372518,2.989762,0.4328722,0.02411855,2.977333,-0.1524583,0.08701237,2.928769,-0.1389046,-0.3669126,2.990698,-0.1445747,-0.6856599,3.015664,-0.1403398,-0.7504088,2.979689,-0.01134591,0.08979241,2.927003,-0.007066269,-0.3746458,3.011072,-0.01767408,-0.6914773,3.028785,-0.008597087,-0.7726219,2.997777,888,Raise-your-other-hand,
37846303.5825,-0.08476894,0.1577034,2.939551,-0.08742283,0.2205474,2.992059,-0.1005222,0.5781078,2.999062,-0.09526579,0.7539635,2.963789,-0.2507308,0.4652513,3.00178,-0.4209421,0.2777446,2.983472,-0.5455555,0.07874133,2.985619,-0.585381,0.008705176,2.96677,0.06067631,0.4779171,3.006424,0.2129784,0.2768487,3.00546,0.3576495,0.06903081,2.986212,0.4090015,0.004327737,2.981428,-0.1530303,0.08660844,2.928256,-0.1392111,-0.3663861,2.990378,-0.1439478,-0.6852669,3.01557,-0.1405772,-0.749567,2.975772,-0.01163309,0.08936784,2.926911,-0.007070764,-0.3725233,3.01109,-0.01810923,-0.6914067,3.028449,-0.009280269,-0.7728771,2.995937,888,Raise-your-other-hand,
37846334.7826,-0.08519053,0.1574251,2.939346,-0.08801193,0.2202954,2.99191,-0.1004614,0.5781677,2.999092,-0.09552619,0.7539467,2.96363,-0.2511359,0.4642454,3.000946,-0.4061226,0.2638691,2.976594,-0.5200182,0.04511621,2.975294,-0.5642749,-0.02409675,2.965397,0.0618161,0.4779142,3.0077,0.2037082,0.2689516,3.002778,0.3444122,0.05833068,2.986864,0.3950513,-0.007058673,2.984227,-0.154108,0.08594106,2.927877,-0.1394014,-0.3664525,2.99057,-0.1460908,-0.688272,3.014106,-0.1351036,-0.7513916,2.979449,-0.01194804,0.08894688,2.926625,-0.00729685,-0.3726311,3.011193,-0.01810112,-0.691557,3.028519,-0.009283773,-0.7728885,2.99595,888,Raise-your-other-hand,
37846381.5827,-0.08551989,0.1533072,2.938214,-0.08675142,0.2171171,2.990825,-0.100552,0.5780696,2.998552,-0.09533554,0.754253,2.96344,-0.2509643,0.4631714,2.999803,-0.3894951,0.2510705,2.975154,-0.4997856,0.02449296,2.988818,-0.5319709,-0.05165303,2.985081,0.05161712,0.4677669,2.993842,0.1887151,0.2571892,3.001844,0.3174143,0.0389823,2.989629,0.3645603,-0.02896596,2.986738,-0.1537012,0.08392133,2.927085,-0.1393406,-0.3665191,2.990523,-0.1461022,-0.6883029,3.014077,-0.1361197,-0.752085,2.980253,-0.01279988,0.08682456,2.926363,-0.009467239,-0.3773865,3.012699,-0.01751639,-0.6915675,3.028835,-0.009056188,-0.773288,2.995798,888,Raise-your-other-hand,
37846412.7827,-0.08613293,0.1535996,2.938184,-0.08787984,0.2172197,2.990802,-0.1005585,0.5780674,2.998548,-0.09500088,0.7534142,2.960525,-0.2519439,0.4639653,3.000626,-0.3759303,0.2430298,2.975952,-0.4782004,0.01219842,2.984656,-0.5087629,-0.06469382,2.986085,0.0550902,0.4715841,2.999589,0.1777679,0.2515416,3.002132,0.2997955,0.02952959,2.9875,0.3368806,-0.05222812,2.961124,-0.1545258,0.08408958,2.926853,-0.1393508,-0.3664246,2.990491,-0.1461255,-0.686443,3.013243,-0.134699,-0.7487463,2.979648,-0.01339124,0.0867112,2.926367,-0.009832118,-0.3745518,3.011545,-0.01780211,-0.6913409,3.028602,-0.0005081967,-0.774393,2.997917,888,Raise-your-other-hand,
37846443.9828,-0.08650981,0.1527497,2.93767,-0.087796,0.2164873,2.990407,-0.1006312,0.5780964,2.998561,-0.09608576,0.7538903,2.961236,-0.2522256,0.4636686,3.000412,-0.3611227,0.2349037,2.976708,-0.439233,-0.006113857,2.963142,-0.4647011,-0.0847747,2.96677,0.05174699,0.4690444,2.995958,0.162664,0.2434657,3.003411,0.2690233,0.01357295,2.985662,0.2972998,-0.03148325,2.955458,-0.1546445,0.08362238,2.926433,-0.1396239,-0.3663771,2.99034,-0.1463589,-0.6829076,3.015291,-0.1341699,-0.7476726,2.982211,-0.01398236,0.08615997,2.925843,-0.010995,-0.3741628,3.011705,-0.01717067,-0.6905842,3.029367,-0.0002748705,-0.7726454,2.995916,888,Raise-your-other-hand,
37846475.1828,-0.08733457,0.1503638,2.936411,-0.08774645,0.2146252,2.989294,-0.1009265,0.5782816,2.998181,-0.09598597,0.7539093,2.961112,-0.2524065,0.4632884,2.999742,-0.3358575,0.2240569,2.97734,-0.4234903,-0.0136303,2.960057,-0.4404206,-0.0945969,2.957352,0.04581795,0.4623221,2.988809,0.1541841,0.2366568,3.003706,0.2507046,0.002486244,2.998224,0.2780865,-0.07396551,2.982259,-0.1547834,0.08223973,2.925137,-0.1397471,-0.3672841,2.990545,-0.1476089,-0.6845056,3.014968,-0.1329457,-0.7569407,2.979084,-0.01533799,0.08467261,2.925202,-0.0125095,-0.3742721,3.011863,-0.0175527,-0.6906418,3.029159,-0.005924637,-0.7709693,2.989775,888,Raise-your-other-hand,
37846515.3834,-0.08830723,0.1490103,2.935543,-0.08849486,0.2135142,2.988642,-0.1008847,0.5783617,2.998181,-0.09651309,0.754038,2.959929,-0.2525207,0.4624757,2.998962,-0.3319114,0.2218508,2.976412,-0.3830646,-0.02632076,2.963536,-0.3964619,-0.1076661,2.95624,0.04521723,0.4617741,2.988311,0.1418106,0.2311792,3.005332,0.2316247,-0.005746737,2.995345,0.2512771,-0.0858689,2.988712,-0.1554508,0.0815943,2.924213,-0.1405253,-0.3671883,2.990199,-0.147163,-0.6919593,3.014707,-0.1369181,-0.7645996,2.977091,-0.0171991,0.08316518,2.924241,-0.01314063,-0.3732792,3.010975,-0.01734191,-0.6906381,3.029142,-0.005630307,-0.7710389,2.989929,888,Raise-your-other-hand,
