Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37918994.4578,-0.08775562,0.1662767,2.933576,-0.08677177,0.227404,2.987459,-0.0971138,0.5799208,2.996134,-0.1037432,0.7559237,2.9586,-0.2515799,0.4963455,3.0204,-0.485823,0.4968244,3.000606,-0.7447125,0.4808218,2.994032,-0.831009,0.4754876,2.996055,0.05808609,0.4964578,3.002229,0.3176055,0.4681923,3.010833,0.5693924,0.4070181,3.02176,0.6313447,0.4015471,3.020001,-0.1561918,0.09641226,2.924502,-0.1382701,-0.3624187,2.985936,-0.1453661,-0.6931455,3.011549,-0.1401218,-0.7551761,2.986814,-0.01596089,0.09935524,2.917795,-0.009027954,-0.3771266,3.01046,-0.02039481,-0.6916908,3.025214,-0.005547717,-0.7691193,2.980516,888,Raise-your-arm-to-one-side,
37919026.4597,-0.0874402,0.1659764,2.933589,-0.08651567,0.2270973,2.987514,-0.09716436,0.5798721,2.996376,-0.1007276,0.7523239,2.958802,-0.2515109,0.4962656,3.020398,-0.4862404,0.4891927,2.998929,-0.7406883,0.4647956,2.994906,-0.8255043,0.4566633,2.99778,0.05893058,0.4959927,3.00208,0.3168809,0.4536099,3.007812,0.5561379,0.3873923,3.022208,0.6180891,0.3819214,3.020449,-0.1558048,0.09596762,2.924521,-0.1381053,-0.364208,2.986102,-0.147107,-0.6898375,3.012104,-0.1369179,-0.7544711,2.985447,-0.01539444,0.09873874,2.917626,-0.009218261,-0.3777175,3.010483,-0.02033869,-0.6978705,3.022272,-0.00624676,-0.7709743,2.980306,888,Raise-your-arm-to-one-side,
37919062.4617,-0.08645938,0.165107,2.933449,-0.08699864,0.2261973,2.987559,-0.0969839,0.5796322,2.99687,-0.09936826,0.7555863,2.961467,-0.2476079,0.4876625,3.011611,-0.4876136,0.4802451,2.997888,-0.7379528,0.4525641,2.993902,-0.8213992,0.443337,2.996789,0.06078053,0.4973052,3.004061,0.3159945,0.4392066,3.006819,0.553385,0.3607166,3.009296,0.6153352,0.3552457,3.007536,-0.1547061,0.0950395,2.924139,-0.1379774,-0.3641286,2.986061,-0.1469699,-0.6896721,3.012153,-0.1481432,-0.7229494,2.940726,-0.01422433,0.09776393,2.917426,-0.008722167,-0.378678,3.010414,-0.01948715,-0.6982102,3.022448,-0.004381095,-0.7738801,2.981402,888,Raise-your-arm-to-one-side,
37919095.4636,-0.08613576,0.1650436,2.933448,-0.08674017,0.2261208,2.987553,-0.0972029,0.5795563,2.996864,-0.0991155,0.7556961,2.961513,-0.2478185,0.4880413,3.013115,-0.4869519,0.4674909,2.997518,-0.7354352,0.4314072,2.995084,-0.8182629,0.4193793,2.998487,0.06190063,0.497884,3.005104,0.313379,0.4239244,3.003969,0.5401595,0.3406847,3.00121,0.6021086,0.3352139,2.999451,-0.1543316,0.09488019,2.923996,-0.1380588,-0.3624634,2.985634,-0.1465773,-0.6864718,3.010836,-0.1436529,-0.7498491,2.989348,-0.01345906,0.09747643,2.917581,-0.009972356,-0.3773847,3.009651,-0.01983872,-0.6957657,3.022633,-0.006738584,-0.7664431,2.985737,888,Raise-your-arm-to-one-side,
37919126.4654,-0.08518596,0.1642696,2.933376,-0.08721879,0.2253414,2.987541,-0.09693897,0.5794034,2.997001,-0.09787077,0.7540531,2.962498,-0.2450306,0.4816769,3.007678,-0.4858726,0.4622291,2.996647,-0.7343217,0.4074638,2.992742,-0.817138,0.3892087,2.995655,0.06681637,0.4973337,3.009863,0.3154981,0.4131127,3.003445,0.5114563,0.3219427,2.997839,0.5734043,0.3164721,2.99608,-0.1533818,0.0938393,2.923304,-0.1380567,-0.3624571,2.985637,-0.1477504,-0.6835449,3.011098,-0.1431518,-0.7468133,2.989584,-0.01210498,0.09620801,2.917977,-0.009283754,-0.3767317,3.009633,-0.01943736,-0.695734,3.023698,-0.006831429,-0.7693199,2.987188,888,Raise-your-arm-to-one-side,
37919162.4674,-0.08391298,0.162561,2.933349,-0.08606385,0.2240337,2.987639,-0.09514346,0.5801997,2.997948,-0.09705468,0.7556092,2.963269,-0.2444028,0.4809218,3.006447,-0.4853214,0.4549601,2.997446,-0.735532,0.3895538,2.993548,-0.8189355,0.3677517,2.996464,0.06658611,0.4972171,3.009593,0.3100264,0.4025375,3.006199,0.503481,0.3167275,2.999228,0.5654278,0.3112568,2.997468,-0.1520739,0.09254707,2.922935,-0.137988,-0.3626336,2.985816,-0.1487401,-0.6862099,3.009724,-0.1419123,-0.7484666,2.985968,-0.01153415,0.09515007,2.918208,-0.009048043,-0.377309,3.010319,-0.01924436,-0.6952793,3.023711,-0.007039873,-0.7696729,2.986267,888,Raise-your-arm-to-one-side,
37919181.4685,-0.08385472,0.1625094,2.933339,-0.08574583,0.2240104,2.987633,-0.09524965,0.580348,2.997942,-0.09623467,0.7560121,2.963279,-0.244726,0.4824915,3.008357,-0.4866656,0.4427299,2.998561,-0.7082256,0.3696434,2.98932,-0.7820789,0.3452813,2.990455,0.06660409,0.4970603,3.009292,0.30646,0.3913663,3.005095,0.4984702,0.2881854,2.998807,0.5696388,0.2432564,2.999946,-0.1519779,0.09249651,2.922911,-0.1382712,-0.3618075,2.985646,-0.1481964,-0.6855186,3.0104,-0.1411863,-0.7477164,2.986545,-0.01145063,0.09500321,2.918217,-0.009157727,-0.3779217,3.010658,-0.01932726,-0.6949156,3.023743,-0.006298381,-0.7701223,2.984635,888,Raise-your-arm-to-one-side,
37919212.6686,-0.08353726,0.1623949,2.933533,-0.08531854,0.2238948,2.987848,-0.09458375,0.5806139,2.998297,-0.09496561,0.7563496,2.963693,-0.2446571,0.4828748,3.008552,-0.4873242,0.4324502,2.995893,-0.7012511,0.3619269,2.989962,-0.7725601,0.3384191,2.9922,0.06675984,0.4969887,3.009212,0.2964602,0.3864948,3.005129,0.4897284,0.2788939,2.997157,0.5632352,0.2381425,3.001763,-0.1516687,0.09241614,2.922993,-0.1382093,-0.3618204,2.985636,-0.1470413,-0.6839094,3.009319,-0.141008,-0.7459517,2.984802,-0.01122612,0.09474164,2.918537,-0.009081969,-0.3778396,3.010633,-0.01921557,-0.6947041,3.023658,-0.006083302,-0.7704679,2.984374,888,Raise-your-arm-to-one-side,
37919264.4689,-0.08317747,0.1596106,2.933019,-0.0827654,0.2218396,2.987446,-0.09312859,0.5806787,2.998441,-0.09377716,0.7562386,2.964028,-0.2446065,0.482997,3.008487,-0.484151,0.4207857,2.997165,-0.6975675,0.3488933,2.989585,-0.7687063,0.3249292,2.991274,0.05729269,0.4819255,2.993646,0.2922634,0.3792889,3.002863,0.4874469,0.2636614,2.995409,0.5596247,0.2204201,2.997833,-0.1511116,0.09111079,2.92245,-0.1381261,-0.3614658,2.985479,-0.1466924,-0.6840478,3.009432,-0.1382771,-0.7451122,2.983221,-0.01185365,0.09282985,2.918499,-0.009071577,-0.3803053,3.011463,-0.01934789,-0.694442,3.023134,-0.005649505,-0.7699041,2.982068,888,Raise-your-arm-to-one-side,
37919294.4707,-0.08342222,0.1587454,2.932687,-0.08286538,0.2210868,2.98719,-0.09319939,0.5806643,2.998474,-0.09281021,0.7564525,2.96456,-0.2443171,0.4834856,3.009208,-0.4835843,0.4147215,2.99753,-0.6925093,0.325295,2.990506,-0.762151,0.2954861,2.99238,0.05706792,0.481411,2.993526,0.2923328,0.3685017,3.003134,0.4801611,0.2474281,2.994932,0.552676,0.2049546,2.999738,-0.1510935,0.09079844,2.92205,-0.1375438,-0.3614405,2.985474,-0.1439129,-0.6828179,3.010724,-0.1378877,-0.7438108,2.983701,-0.0124238,0.09201746,2.918386,-0.008829615,-0.3809205,3.011083,-0.02055973,-0.6933602,3.023791,-0.005639597,-0.7699662,2.980687,888,Raise-your-arm-to-one-side,
