Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
37977090.659,-0.09198425,0.1680886,2.916124,-0.09034979,0.2284071,2.97049,-0.1043221,0.5738288,2.977224,-0.1055964,0.751843,2.942169,-0.2663481,0.4949583,3.00007,-0.4914336,0.4922116,2.973848,-0.759703,0.4666218,2.961889,-0.8469035,0.4485246,2.95975,0.03595511,0.4831091,2.974114,0.3022086,0.4784225,2.990362,0.5256546,0.4321152,2.981478,0.6100403,0.4311933,2.979008,-0.1578032,0.09798466,2.906448,-0.144723,-0.3618619,2.975124,-0.153875,-0.6980429,2.980094,-0.1102468,-0.7778088,2.982045,-0.02160483,0.1028327,2.901074,-0.01793632,-0.3653926,2.998053,-0.02169487,-0.6967664,3.023044,-0.02795104,-0.7598807,3.000787,888,Push-an-imaginary-button-in-front-of-you,
37977121.6608,-0.09137487,0.1665259,2.915436,-0.09338244,0.2268428,2.970114,-0.1043504,0.5738417,2.97742,-0.1059955,0.7518858,2.94199,-0.2557706,0.4704172,2.983997,-0.4942833,0.4806645,2.972497,-0.7621111,0.4510562,2.963783,-0.8421332,0.4410789,2.961882,0.04991678,0.4973801,2.987732,0.3106683,0.4595054,2.990906,0.5293137,0.3899569,2.979509,0.6137041,0.38993,2.977003,-0.1570535,0.09506195,2.905393,-0.1441641,-0.3636638,2.975257,-0.1530063,-0.6993142,2.979507,-0.1122132,-0.7796526,2.967191,-0.02079038,0.101447,2.900078,-0.01658707,-0.3770696,3.001809,-0.02078794,-0.6966664,3.023795,-0.0188165,-0.7748361,2.994027,888,Push-an-imaginary-button-in-front-of-you,
37977158.6629,-0.09150652,0.1632698,2.914205,-0.09125868,0.2237946,2.968824,-0.1042092,0.5733697,2.977039,-0.1071609,0.7504621,2.942772,-0.2562947,0.4743021,2.985895,-0.4951237,0.4675256,2.973626,-0.7603115,0.4204429,2.970073,-0.8361274,0.4124839,2.969101,0.03809387,0.4831998,2.97264,0.300952,0.434046,2.980934,0.5307688,0.3641068,2.977948,0.611062,0.3380314,2.976789,-0.1567911,0.09384342,2.904738,-0.1443231,-0.3644289,2.975128,-0.1524611,-0.6999866,2.979479,-0.1551201,-0.7334068,2.90786,-0.02166214,0.09937264,2.899301,-0.0177816,-0.3676324,2.998238,-0.02025004,-0.6916648,3.024224,-0.05166298,-0.770303,2.991068,888,Push-an-imaginary-button-in-front-of-you,
37977190.6647,-0.09142909,0.1633837,2.914135,-0.09253936,0.2238353,2.968796,-0.1041818,0.5737237,2.976979,-0.1075237,0.7506818,2.942218,-0.2564089,0.475533,2.986901,-0.4995722,0.4572318,2.975844,-0.7578866,0.4004636,2.977422,-0.8158264,0.3721908,2.968519,0.04996134,0.4889251,2.982701,0.3100393,0.4229613,2.982813,0.5137051,0.3358227,2.974544,0.5937132,0.3103018,2.983262,-0.1568058,0.09385858,2.9044,-0.1439487,-0.3633227,2.975059,-0.1524739,-0.7001836,2.979623,-0.1530337,-0.7335573,2.907935,-0.02142015,0.09917782,2.899311,-0.01785074,-0.3695483,2.998458,-0.01984479,-0.6919082,3.024994,-0.03683206,-0.7735871,2.992882,888,Push-an-imaginary-button-in-front-of-you,
37977224.6667,-0.09172291,0.1611634,2.913733,-0.09140374,0.2223422,2.968443,-0.1038648,0.5740792,2.97696,-0.1079251,0.7504007,2.942516,-0.2567016,0.4764583,2.988105,-0.5015634,0.4488236,2.976476,-0.7587836,0.3693645,2.976081,-0.8175799,0.3522337,2.964087,0.04423053,0.4832531,2.974761,0.3015954,0.4103617,2.982506,0.5052737,0.32016,2.975555,0.5543727,0.2817223,2.978036,-0.1568146,0.09268278,2.904245,-0.1437228,-0.3643205,2.975255,-0.1525018,-0.7007935,2.979468,-0.119351,-0.7787282,2.969472,-0.0225657,0.09664045,2.898809,-0.01623701,-0.376609,3.003147,-0.0205706,-0.6906868,3.025745,-0.02541773,-0.7730314,2.987455,888,Push-an-imaginary-button-in-front-of-you,
37977248.668,-0.09119571,0.1606131,2.913542,-0.09111018,0.2217906,2.968275,-0.1036947,0.5741172,2.976978,-0.1077602,0.7504866,2.943052,-0.2567067,0.4768199,2.988329,-0.4990771,0.4365253,2.978101,-0.7508887,0.3521147,2.983981,-0.799745,0.3135881,2.979187,0.04365082,0.4844692,2.976329,0.2972019,0.3972232,2.978253,0.5004325,0.2883749,2.966238,0.5748547,0.2485067,2.966134,-0.1558731,0.09207371,2.903345,-0.1435836,-0.3643986,2.975197,-0.1520371,-0.7016637,2.980424,-0.1542641,-0.7350748,2.908785,-0.02222994,0.09619121,2.899042,-0.01570138,-0.377429,3.003063,-0.02088774,-0.6897739,3.026145,-0.02331269,-0.7722996,2.988016,888,Push-an-imaginary-button-in-front-of-you,
37977279.8681,-0.0918826,0.1598236,2.913267,-0.09089832,0.2213901,2.968071,-0.102388,0.5755981,2.977002,-0.1082638,0.751745,2.943957,-0.2567755,0.477263,2.988851,-0.5004851,0.4245964,2.977611,-0.7431099,0.3374953,2.986915,-0.8036686,0.3229209,2.983122,0.04184899,0.4838505,2.973426,0.2903574,0.3848741,2.973669,0.4903527,0.2767439,2.964946,0.5605015,0.2297812,2.963634,-0.1563488,0.09184819,2.903238,-0.1437809,-0.3639152,2.97484,-0.15208,-0.7008213,2.979159,-0.155112,-0.7342503,2.907558,-0.0240733,0.09493362,2.898631,-0.01591677,-0.3755971,3.002106,-0.02128438,-0.6893826,3.025877,-0.02529838,-0.7636477,2.991392,888,Push-an-imaginary-button-in-front-of-you,
37977322.0688,-0.09196861,0.1578646,2.912914,-0.08972949,0.2199614,2.967739,-0.1018153,0.57594,2.977134,-0.1083504,0.7515497,2.944035,-0.2567276,0.4776145,2.989411,-0.5001047,0.4107906,2.979852,-0.7393904,0.3183712,2.988941,-0.7991395,0.2817895,2.97504,0.03870574,0.4780108,2.965925,0.2816478,0.3748765,2.969461,0.4748462,0.2532205,2.962282,0.5500379,0.2149317,2.965217,-0.1563061,0.09088028,2.903232,-0.1437899,-0.363499,2.974745,-0.1525916,-0.7014458,2.978736,-0.1110208,-0.7822788,2.975877,-0.02465597,0.09316152,2.898083,-0.01594335,-0.3755767,3.002104,-0.02082578,-0.6904346,3.025953,-0.02256915,-0.7611392,2.996066,888,Push-an-imaginary-button-in-front-of-you,
37977358.0708,-0.09205255,0.1568621,2.912515,-0.09009769,0.2192054,2.967504,-0.1012213,0.5767051,2.977515,-0.108309,0.7514313,2.944357,-0.2549456,0.4741554,2.986564,-0.5007622,0.4004555,2.979427,-0.7297732,0.3012161,2.984345,-0.7713066,0.2717761,2.948253,0.03909617,0.477856,2.966161,0.279945,0.3608093,2.971506,0.4736688,0.2323421,2.964942,0.5464287,0.1895481,2.963186,-0.1564329,0.09026699,2.902762,-0.1438177,-0.3640993,2.975046,-0.1527224,-0.702059,2.978764,-0.1275739,-0.7713266,2.964999,-0.02488533,0.09212789,2.897783,-0.01530682,-0.3792437,3.003422,-0.02091883,-0.6958663,3.02536,-0.01396931,-0.7748365,3.000712,888,Push-an-imaginary-button-in-front-of-you,
37977391.0727,-0.09305371,0.1535282,2.911739,-0.08826006,0.2166408,2.966727,-0.1007657,0.5768064,2.977727,-0.1077546,0.7519091,2.945142,-0.2554445,0.4764013,2.9887,-0.4950683,0.3919502,2.98122,-0.7107391,0.2766669,2.989472,-0.766543,0.2531549,2.974391,0.02452127,0.4651626,2.951777,0.2431016,0.3590163,2.976737,0.455979,0.1937323,2.965159,0.5339407,0.1619291,2.958921,-0.1565682,0.08930629,2.902528,-0.1442601,-0.3667073,2.975406,-0.1537112,-0.7034773,2.97783,-0.161703,-0.7369944,2.906652,-0.02727835,0.08972697,2.896983,-0.01586541,-0.3790146,3.003253,-0.02091224,-0.6958382,3.02538,-0.02890411,-0.7293552,2.954203,888,Push-an-imaginary-button-in-front-of-you,
