Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38020238.3245,-0.09315034,0.1750576,2.929503,-0.09412836,0.2340869,2.982688,-0.1050921,0.5754721,2.981494,-0.1075639,0.7548928,2.944628,-0.2621239,0.4983986,3.00517,-0.4901282,0.518334,2.997102,-0.7624295,0.5253019,3.00129,-0.8129932,0.55445,3.024776,0.05204746,0.5216259,3.002401,0.2524076,0.5217411,3.000567,0.4624645,0.5080734,2.98474,0.5027905,0.4922878,3.035734,-0.160095,0.1025521,2.920462,-0.1477845,-0.3645713,2.984066,-0.1561844,-0.7045048,2.982767,-0.1546794,-0.765896,2.955182,-0.02197971,0.1071563,2.914996,-0.01780409,-0.37829,3.010763,-0.01951683,-0.6934024,3.028919,-0.01115942,-0.7776812,2.995409,888,Fly-like-a-bird,
38020270.3264,-0.0931988,0.174951,2.928909,-0.09403766,0.2340857,2.98196,-0.1055595,0.5751467,2.979875,-0.107738,0.754886,2.944551,-0.2635437,0.4980484,3.006741,-0.4935314,0.5109684,2.997347,-0.7602727,0.513972,3.005133,-0.8108361,0.54312,3.028618,0.05246796,0.5185938,3.00216,0.2529358,0.5105399,2.997877,0.5244492,0.4922183,3.005763,0.5775547,0.4755703,3.057734,-0.1602027,0.1022726,2.920138,-0.1478279,-0.3646739,2.984105,-0.1570535,-0.7029893,2.981595,-0.1344643,-0.7624258,2.95948,-0.02183814,0.1068466,2.914222,-0.01831824,-0.3784929,3.010505,-0.01954881,-0.6932158,3.029056,-0.01087303,-0.7777128,2.996183,888,Fly-like-a-bird,
38020301.3281,-0.09274604,0.174604,2.92866,-0.09643062,0.233719,2.981764,-0.1055587,0.5750926,2.979907,-0.1090255,0.7535849,2.944196,-0.2633556,0.4940498,3.005785,-0.4987751,0.4989333,2.999774,-0.7692622,0.4670692,3.004457,-0.8198252,0.496217,3.027942,0.04090343,0.5337417,3.022118,0.3021305,0.4767386,2.999079,0.5402838,0.461628,3.006319,0.5806098,0.4458423,3.057313,-0.1589101,0.101878,2.919822,-0.1476843,-0.3660384,2.984528,-0.1567487,-0.7036588,2.98094,-0.1353826,-0.7639753,2.960026,-0.02175342,0.1069382,2.914131,-0.01830162,-0.3784679,3.010133,-0.01993766,-0.6930996,3.029007,-0.01181882,-0.7761926,2.992604,888,Fly-like-a-bird,
38020337.3302,-0.09269774,0.1737885,2.928217,-0.09459645,0.2332131,2.981439,-0.1055272,0.5751576,2.979827,-0.1091955,0.7538165,2.944242,-0.2622346,0.4930042,3.005858,-0.498908,0.4869598,3.000695,-0.7504743,0.4457538,3.01698,-0.801037,0.4749013,3.040465,0.04895648,0.5160258,3.007903,0.3052771,0.472228,3.00007,0.5324095,0.4209576,3.008098,0.5727355,0.4051719,3.059092,-0.1588463,0.1014859,2.919688,-0.1474849,-0.3649716,2.983704,-0.1566353,-0.7037557,2.980982,-0.1560286,-0.7373467,2.909261,-0.02183129,0.1062446,2.913619,-0.01879186,-0.3790904,3.009967,-0.01904158,-0.6922567,3.028162,-0.01339366,-0.7740529,2.988501,888,Fly-like-a-bird,
38020369.332,-0.09360018,0.1731988,2.927515,-0.09502633,0.2327382,2.980903,-0.1056656,0.5752224,2.979847,-0.1099021,0.7527028,2.944394,-0.2637676,0.49153,3.006123,-0.5026839,0.4671238,3.001117,-0.7635278,0.4151602,3.023316,-0.8320962,0.3862252,3.016234,0.05218161,0.5090168,3.00539,0.314563,0.4440431,2.998412,0.5326971,0.3663469,3.003287,0.5730231,0.3505612,3.054281,-0.1608996,0.1003581,2.91845,-0.1475077,-0.3647952,2.983566,-0.1555845,-0.7005132,2.98146,-0.1298471,-0.7617354,2.970445,-0.02253692,0.1047303,2.912642,-0.0186835,-0.3797835,3.00995,-0.01956256,-0.6917019,3.028031,-0.01337112,-0.7735425,2.988544,888,Fly-like-a-bird,
38020401.3339,-0.09320994,0.1726525,2.927189,-0.09537572,0.2321727,2.980556,-0.1057724,0.5747892,2.979551,-0.1102282,0.7521065,2.944775,-0.2627991,0.4903637,3.005087,-0.5050175,0.4564813,3.003173,-0.7582279,0.3814461,3.023262,-0.825552,0.3619435,3.01522,0.04301038,0.5235966,3.011184,0.298896,0.4297816,3.000445,0.5299021,0.3333145,2.992504,0.5702281,0.3175288,3.043498,-0.1595475,0.1001363,2.918301,-0.1467832,-0.360854,2.98182,-0.1593986,-0.6842192,2.976641,-0.1582349,-0.7177824,2.904914,-0.0225423,0.1047541,2.912557,-0.01734373,-0.3793319,3.010029,-0.01912179,-0.6918886,3.027836,-0.009805754,-0.7747238,2.991133,888,Fly-like-a-bird,
38020431.3356,-0.09608513,0.1643341,2.925089,-0.09204654,0.2262925,2.978671,-0.1061865,0.5747761,2.97954,-0.1100539,0.7521412,2.944988,-0.2624169,0.4894597,3.00524,-0.504948,0.431406,3.00625,-0.7497498,0.3424541,3.028047,-0.8138803,0.3207204,3.022318,0.02551033,0.4795574,2.969419,0.2841936,0.4095975,2.995914,0.4875892,0.3004194,2.993033,0.5279152,0.2846337,3.044027,-0.1600463,0.09753434,2.91805,-0.1467192,-0.3604698,2.981425,-0.1591403,-0.6848696,2.97752,-0.166759,-0.7186107,2.906273,-0.0276703,0.0987277,2.909932,-0.01756046,-0.3798012,3.009939,-0.01944563,-0.6928981,3.028122,-0.009146607,-0.7767634,2.994119,888,Fly-like-a-bird,
38020462.5356,-0.09587829,0.1585794,2.923943,-0.09256685,0.2216698,2.977823,-0.1062412,0.5747996,2.979586,-0.1101066,0.749986,2.945165,-0.2593245,0.4819702,3.000427,-0.5033284,0.4193335,3.007301,-0.7362713,0.3083696,3.02757,-0.7931278,0.2817414,3.023574,0.02543417,0.4795056,2.969576,0.2791203,0.3928089,2.99549,0.4863173,0.2744004,2.992477,0.5562776,0.2275693,3.004997,-0.1589706,0.09372286,2.917054,-0.1466007,-0.3598014,2.981099,-0.1589939,-0.6862236,2.978384,-0.1657572,-0.7199408,2.907039,-0.02855934,0.09564707,2.909455,-0.01778644,-0.3795158,3.009629,-0.01949761,-0.692681,3.0281,-0.01417526,-0.7749858,2.989456,888,Fly-like-a-bird,
38020540.5358,-0.09571417,0.1571425,2.923651,-0.09240643,0.2200781,2.977595,-0.1061466,0.5745533,2.979902,-0.1100969,0.7499827,2.945183,-0.2593818,0.4820738,3.000612,-0.5034802,0.4024477,3.009485,-0.7232924,0.2897582,3.026564,-0.7804421,0.2634897,3.025329,0.02561198,0.4787618,2.969627,0.2724049,0.3754508,2.998345,0.4908112,0.2212879,2.997365,0.5709747,0.1994403,2.993944,-0.1586461,0.0922716,2.916312,-0.1470256,-0.361484,2.981539,-0.1589377,-0.694929,2.978697,-0.1656924,-0.7286371,2.907346,-0.02872669,0.09423677,2.90942,-0.01761443,-0.3805948,3.009326,-0.01948953,-0.6926753,3.028188,-0.01359597,-0.7751324,2.989953,888,Fly-like-a-bird,
38020540.5358,-0.09714492,0.1551909,2.923143,-0.0933753,0.2181317,2.977067,-0.1068395,0.5742451,2.979993,-0.109392,0.7468625,2.946772,-0.2598951,0.4823951,3.001878,-0.4953395,0.3838639,3.012886,-0.7087021,0.2504846,3.038189,-0.7785439,0.2058564,3.039227,0.02521885,0.4754921,2.967656,0.2397069,0.3668499,2.997253,0.4679305,0.2174304,2.993532,0.5340483,0.1638422,2.992343,-0.1595567,0.09097466,2.915776,-0.145745,-0.3651992,2.982325,-0.158099,-0.6990443,2.979266,-0.165515,-0.7327579,2.907984,-0.03122122,0.09141869,2.908927,-0.01794595,-0.3806673,3.008951,-0.01977516,-0.6926067,3.02825,-0.01207954,-0.7762734,2.993087,888,Fly-like-a-bird,
