Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38107232.0625,-0.1001914,0.1727334,2.94336,-0.1068525,0.2318926,2.99756,-0.118232,0.5760695,2.99937,-0.1130999,0.7496983,2.972087,-0.2712051,0.4929581,3.001841,-0.5006779,0.5034267,2.995694,-0.7504357,0.489691,2.994169,-0.8151388,0.4905611,2.986101,0.04857288,0.5140707,3.030279,0.3061721,0.4795638,3.038213,0.5054084,0.4409187,3.057256,0.5684215,0.4322969,3.062993,-0.1678982,0.09979725,2.930263,-0.1602582,-0.3587035,2.992996,-0.1738413,-0.6864755,3.013826,-0.164028,-0.7476879,2.987464,-0.02620837,0.1030924,2.931849,-0.02764304,-0.364548,3.024905,-0.03408901,-0.6841289,3.049408,-0.01362166,-0.7585287,3.026132,888,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
38107265.0643,-0.09941587,0.1720261,2.943132,-0.1063652,0.2313886,2.997229,-0.1187245,0.575813,2.998438,-0.1129397,0.7510142,2.971956,-0.2708802,0.4922712,3.00157,-0.5005106,0.4946252,2.9947,-0.7448488,0.4756729,2.993554,-0.8094345,0.4768087,2.985521,0.04887379,0.5134125,3.030049,0.3060972,0.4678502,3.038945,0.5023884,0.4180638,3.060682,0.565441,0.4104971,3.067385,-0.166575,0.09868944,2.929697,-0.1596455,-0.3604763,2.993128,-0.1738744,-0.6883357,3.013986,-0.1614879,-0.7514894,2.984339,-0.02515993,0.1025423,2.932161,-0.02729697,-0.3655337,3.024948,-0.03397223,-0.6838179,3.049457,-0.01308117,-0.7595692,3.020445,888,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
38107298.0662,-0.09886163,0.1639596,2.940717,-0.1011145,0.2257819,2.995287,-0.1187088,0.5759169,2.997987,-0.1127997,0.7508157,2.971545,-0.2711389,0.4922882,3.002282,-0.5020323,0.487287,2.994628,-0.7420346,0.4645439,2.997527,-0.8065377,0.4657021,2.989505,0.02131776,0.4807975,2.993185,0.290103,0.4551654,3.033808,0.5169426,0.3765097,3.058515,0.5799577,0.3691933,3.065817,-0.1651965,0.09424994,2.927908,-0.1611063,-0.3695172,2.996156,-0.1744644,-0.6916361,3.012571,-0.1606059,-0.7532588,2.98289,-0.02583131,0.09896145,2.93132,-0.02705442,-0.3665488,3.024625,-0.03343434,-0.6838579,3.050009,-0.01260198,-0.7605611,3.020191,888,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
38107330.0681,-0.09750661,0.1580581,2.938694,-0.1016192,0.2200606,2.993681,-0.1187959,0.5749394,2.998318,-0.1123838,0.7500756,2.971547,-0.2610487,0.479174,2.991389,-0.5065573,0.4780524,2.995329,-0.7547975,0.4426491,3.00413,-0.8192187,0.4438617,2.996104,0.02258548,0.4813777,2.99431,0.2891661,0.4423051,3.037253,0.5132228,0.3709224,3.056185,0.5762187,0.3634245,3.063463,-0.1620427,0.09005266,2.925035,-0.1611193,-0.3694479,2.996193,-0.1727803,-0.6941627,3.014087,-0.1586567,-0.7548399,2.981312,-0.0260822,0.09610154,2.930316,-0.02697941,-0.3662318,3.024299,-0.03262151,-0.6830651,3.05051,-0.0198732,-0.7461085,3.025415,888,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
38107364.07,-0.09682087,0.1584773,2.93873,-0.1057821,0.2200268,2.993369,-0.1193785,0.5748301,2.998176,-0.1122169,0.7552688,2.974,-0.2604766,0.4785318,2.991996,-0.5019981,0.4715064,2.995875,-0.7629772,0.426047,3.004831,-0.8252075,0.4141211,2.996913,0.04817722,0.5052575,3.028944,0.2966154,0.4325019,3.041414,0.5070218,0.355013,3.054878,0.5645141,0.3278316,3.060651,-0.1610352,0.09006694,2.925145,-0.16088,-0.3694229,2.996171,-0.1722555,-0.6961699,3.013772,-0.1585565,-0.7559301,2.980137,-0.02496775,0.09620369,2.930082,-0.02694145,-0.3662147,3.024219,-0.03244609,-0.68359,3.051151,-0.02036469,-0.7457686,3.028219,888,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
38107395.2701,-0.09657881,0.154708,2.937503,-0.0998114,0.2172834,2.992538,-0.1193873,0.5748327,2.998003,-0.1115955,0.7502478,2.97266,-0.2612385,0.4778379,2.992486,-0.5016467,0.4645035,2.995523,-0.746793,0.4133109,3.007,-0.8097511,0.3899252,2.998369,0.01869909,0.4753071,2.987201,0.2814806,0.4227315,3.03559,0.5001158,0.3311512,3.056741,0.5752059,0.2907025,3.070495,-0.1601278,0.08788396,2.924078,-0.1610148,-0.3694896,2.996079,-0.1723748,-0.696659,3.013284,-0.1584569,-0.7560526,2.980562,-0.02576305,0.09289768,2.929171,-0.02680715,-0.3664772,3.024015,-0.03215153,-0.6835357,3.051845,-0.0183624,-0.7507474,3.026931,888,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
38107426.4701,-0.09565029,0.1509344,2.936487,-0.09962399,0.2140302,2.991673,-0.1193356,0.5747474,2.997987,-0.1119125,0.7506394,2.973008,-0.2546917,0.4751278,2.989295,-0.5046998,0.4556265,2.999252,-0.747684,0.3965392,3.007469,-0.8086246,0.3779825,3.003058,0.01925069,0.4759996,2.988406,0.2526452,0.4141403,3.029449,0.4938229,0.3176891,3.053032,0.5651053,0.2741036,3.066397,-0.1580953,0.08598097,2.923541,-0.1585582,-0.3629223,2.994458,-0.1744412,-0.678866,3.014313,-0.1550049,-0.7407202,2.996029,-0.02621597,0.09141035,2.928403,-0.02676992,-0.3649244,3.022948,-0.03180217,-0.6831066,3.05137,-0.02225108,-0.746923,3.029348,888,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
38107457.6702,-0.09542169,0.1538824,2.937208,-0.1026255,0.2157884,2.991828,-0.1186346,0.5749317,2.997323,-0.1115798,0.7519385,2.974041,-0.2604398,0.4817909,2.999224,-0.5050101,0.4452972,3.003615,-0.7305603,0.372269,2.998484,-0.7873601,0.3443628,3.007,0.04533088,0.5017419,3.023302,0.2765575,0.3927348,3.033271,0.4961958,0.2791839,3.049698,0.5756125,0.2496082,3.066488,-0.1582932,0.08682556,2.923955,-0.1587759,-0.3652765,2.995206,-0.1740966,-0.6901785,3.013336,-0.1581273,-0.7528561,2.984447,-0.02592096,0.09182719,2.928561,-0.0257747,-0.3662547,3.023506,-0.03196761,-0.6832565,3.052294,-0.01701386,-0.7533233,3.017926,888,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
38107488.8702,-0.09589987,0.1533244,2.93705,-0.0979325,0.2156259,2.991798,-0.1184276,0.5748268,2.997163,-0.1109603,0.7509828,2.974008,-0.2631803,0.4825591,3.00071,-0.5045896,0.4314682,3.003174,-0.7458078,0.3368769,3.015152,-0.8101726,0.3119278,3.004947,0.02073365,0.4688312,2.987628,0.2752869,0.3804855,3.030521,0.4881266,0.2740439,3.053641,0.5638111,0.2332512,3.062103,-0.1586896,0.08649538,2.92373,-0.1591221,-0.3650979,2.994825,-0.1725339,-0.6897325,3.014889,-0.1580402,-0.7522556,2.984099,-0.02690125,0.09067606,2.928448,-0.02576794,-0.3653937,3.022902,-0.03183884,-0.6828759,3.052843,-0.02706667,-0.7463605,3.03082,888,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
38107520.0703,-0.09571954,0.1525674,2.936867,-0.09822513,0.2151366,2.991686,-0.1182794,0.5750819,2.997174,-0.1108104,0.7508871,2.974279,-0.2632271,0.4786586,2.997612,-0.5019821,0.4175639,3.004612,-0.7412924,0.3197854,3.016308,-0.8055238,0.2946225,3.010913,0.02103663,0.4689751,2.987913,0.2706302,0.3669848,3.030105,0.480881,0.2527354,3.054947,0.5559965,0.2106777,3.06221,-0.1584458,0.08572717,2.92324,-0.158805,-0.3655095,2.994899,-0.1735409,-0.688473,3.016706,-0.1632388,-0.7493054,2.983793,-0.02677348,0.0902722,2.928492,-0.02573579,-0.3653873,3.022905,-0.03195841,-0.6826318,3.05244,-0.02700923,-0.7462304,3.030786,888,Kick-a-ball-as-far-as-you-can-with-the-other-leg,
