Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38692928.7784,-0.1327827,0.1638734,2.957709,-0.1313241,0.2254953,3.012631,-0.1395133,0.579979,3.008363,-0.134079,0.7558106,2.980746,-0.2906566,0.5062025,3.025992,-0.4974833,0.5703202,3.034825,-0.7545447,0.6199396,3.048281,-0.8167355,0.6296883,3.069639,-6.492669E-05,0.5002414,3.009945,0.2202501,0.5486599,3.018878,0.4566375,0.5862473,3.019815,0.5191917,0.5812489,3.041744,-0.1966554,0.09758596,2.946818,-0.189252,-0.3691122,3.015529,-0.1865322,-0.7016955,3.030816,-0.1898427,-0.7643043,3.004433,-0.06705794,0.1006244,2.947989,-0.05825967,-0.3694917,3.033079,-0.06036465,-0.6939117,3.046582,-0.07277451,-0.7523775,3.00977,888,Make-the-letter-A,
38692964.7804,-0.1329029,0.1633393,2.957314,-0.1305631,0.2252057,3.01229,-0.1392254,0.5802106,3.008235,-0.1332422,0.75579,2.979735,-0.290546,0.5061585,3.026012,-0.4981465,0.5669206,3.03619,-0.7546544,0.6193343,3.046871,-0.8168442,0.6290829,3.068228,-0.00331016,0.4968912,3.004972,0.2205466,0.547757,3.018454,0.456158,0.586041,3.019892,0.5187113,0.5810427,3.041821,-0.1966471,0.0973872,2.946425,-0.1890953,-0.3678473,3.014767,-0.186466,-0.701223,3.0306,-0.1904915,-0.7353245,2.958318,-0.06732963,0.1004547,2.947873,-0.05740311,-0.373244,3.034468,-0.0605044,-0.6951643,3.048209,-0.07138964,-0.7637186,3.022597,888,Make-the-letter-A,
38692997.7823,-0.1323115,0.1636116,2.95677,-0.130102,0.2254473,3.011785,-0.1385372,0.5805063,3.008084,-0.133093,0.7567209,2.979887,-0.2902104,0.5056303,3.025532,-0.498127,0.5659291,3.03464,-0.7550089,0.6189476,3.046476,-0.8171978,0.628696,3.067834,-0.00280191,0.4972904,3.005458,0.2201194,0.5473633,3.0182,0.4569535,0.5855566,3.023593,0.5195059,0.5805583,3.045521,-0.1961251,0.09771784,2.945688,-0.1893572,-0.3672801,3.014328,-0.1885943,-0.7017121,3.030421,-0.1800538,-0.7629685,3.002107,-0.06665542,0.1007724,2.947425,-0.05757713,-0.3725342,3.03432,-0.0604662,-0.6945961,3.048167,-0.07113197,-0.7540844,3.011258,888,Make-the-letter-A,
38693028.7841,-0.1313742,0.1639632,2.956156,-0.1294547,0.2257266,3.011216,-0.1382904,0.580646,3.007857,-0.1321461,0.7568614,2.98132,-0.290052,0.5054996,3.025405,-0.4982522,0.5658102,3.03276,-0.7563661,0.6179197,3.047377,-0.8445357,0.6248295,3.05176,-0.001761366,0.4979202,3.006254,0.2201085,0.5469114,3.018045,0.4570776,0.5851618,3.025111,0.5196298,0.5801636,3.047039,-0.195329,0.09795021,2.94496,-0.1882894,-0.3684105,3.014841,-0.1903027,-0.6948413,3.027289,-0.1842568,-0.7580957,3.003017,-0.06523623,0.1011848,2.946849,-0.05790904,-0.37239,3.033889,-0.05613312,-0.6832039,3.050909,-0.07179375,-0.7509854,3.011053,888,Make-the-letter-A,
38693064.7861,-0.1318405,0.1634305,2.955674,-0.1297246,0.2253702,3.010863,-0.1382973,0.5807547,3.00786,-0.1319011,0.7573465,2.982102,-0.2899714,0.5052083,3.025142,-0.5252941,0.5775056,3.032116,-0.7577581,0.6134366,3.047704,-0.8456581,0.6220912,3.050556,-0.002060959,0.4975119,3.005697,0.2197734,0.5465674,3.018047,0.4450602,0.5698482,3.023988,0.5076122,0.56485,3.045917,-0.1956513,0.09775952,2.94485,-0.1882131,-0.3685021,3.014687,-0.1877405,-0.7044009,3.025743,-0.1793319,-0.7653667,2.996774,-0.06603462,0.1005201,2.945769,-0.05788571,-0.3721814,3.033659,-0.05611154,-0.6834593,3.050877,-0.07221726,-0.7513824,3.011313,888,Make-the-letter-A,
38693107.7886,-0.1323872,0.1625047,2.955384,-0.1299834,0.2247522,3.010645,-0.1381268,0.5808289,3.007886,-0.1322179,0.7565641,2.982324,-0.289963,0.5052463,3.025101,-0.5090269,0.5682638,3.03445,-0.7560782,0.6089363,3.046613,-0.844058,0.6182909,3.048155,-0.002327809,0.4968455,3.005206,0.2199755,0.5458958,3.017697,0.4448486,0.5663476,3.022722,0.5074005,0.5613493,3.04465,-0.1961423,0.09729676,2.944405,-0.1882327,-0.3696582,3.014351,-0.185275,-0.710347,3.025867,-0.1806416,-0.7705165,2.994481,-0.06703053,0.09918457,2.945768,-0.05778527,-0.3770275,3.034795,-0.06115712,-0.7378373,3.057544,-0.0649076,-0.7718989,2.985226,888,Make-the-letter-A,
38693123.7895,-0.1325255,0.1623921,2.955383,-0.1300768,0.2246604,3.010652,-0.1380683,0.5809751,3.008098,-0.1322969,0.7578754,2.981092,-0.2899002,0.5051928,3.025191,-0.5079092,0.5660004,3.033666,-0.755175,0.6065013,3.047026,-0.84328,0.6164131,3.047916,-0.002297157,0.4970108,3.005298,0.2202053,0.5446647,3.017885,0.4917396,0.5748083,3.040701,0.5542914,0.5698101,3.062629,-0.196188,0.09721011,2.944494,-0.1880318,-0.3700589,3.014117,-0.1856027,-0.709913,3.027023,-0.1810867,-0.7715988,2.998718,-0.06749026,0.09908416,2.945573,-0.05865962,-0.3772242,3.034142,-0.05476268,-0.694919,3.053091,-0.07741643,-0.7579928,3.023496,888,Make-the-letter-A,
38693164.9901,-0.1326137,0.1624402,2.955349,-0.1301754,0.2246969,3.010602,-0.1379485,0.5809247,3.007906,-0.1322427,0.7578756,2.981002,-0.289937,0.5051868,3.025158,-0.5235586,0.5702089,3.030323,-0.7569727,0.6044096,3.04751,-0.8449529,0.6146305,3.047851,-0.002034735,0.4976037,3.005557,0.2194672,0.5437045,3.018597,0.4704278,0.5693802,3.037064,0.5329794,0.564382,3.058991,-0.196323,0.09721326,2.944439,-0.188486,-0.3702432,3.013795,-0.1856644,-0.7098625,3.027136,-0.189368,-0.743921,2.954817,-0.06759162,0.09913474,2.945589,-0.05820562,-0.3754047,3.033143,-0.05542031,-0.6945537,3.052975,-0.07597138,-0.7569683,3.018729,888,Make-the-letter-A,
38693196.992,-0.1316584,0.1624921,2.954993,-0.1297421,0.2246935,3.010333,-0.1379625,0.5809526,3.007898,-0.1327522,0.7603523,2.984677,-0.289485,0.5047455,3.024199,-0.5149021,0.5653157,3.030912,-0.7568567,0.6041325,3.047416,-0.8448309,0.6143612,3.047587,-0.001958056,0.4978304,3.005777,0.2165244,0.5401361,3.018711,0.4946648,0.5727999,3.050446,0.5572164,0.5678017,3.072374,-0.1947223,0.09745137,2.943819,-0.1885496,-0.3652193,3.011467,-0.1869682,-0.694708,3.029794,-0.1979006,-0.765776,3.005627,-0.06649887,0.09929076,2.945346,-0.05765661,-0.3742219,3.032073,-0.05537531,-0.6938075,3.052598,-0.06205286,-0.7504592,3.00614,888,Make-the-letter-A,
38693228.9938,-0.1314843,0.1622269,2.954786,-0.1294395,0.2244049,3.010076,-0.1376867,0.5806903,3.007636,-0.1320516,0.755606,2.986072,-0.2894045,0.5046624,3.024227,-0.499706,0.5560947,3.033105,-0.7569656,0.6028929,3.047249,-0.8449546,0.6132028,3.047167,-0.002375748,0.4969211,3.0051,0.2165112,0.5401024,3.018717,0.4761546,0.5676979,3.031092,0.5387059,0.5626998,3.05302,-0.1944903,0.09730702,2.943583,-0.1890515,-0.3653646,3.011609,-0.188558,-0.6906443,3.029587,-0.1977643,-0.7614637,3.007128,-0.06645792,0.09918236,2.945296,-0.05764872,-0.3743064,3.032158,-0.05505872,-0.6932257,3.052007,-0.06219808,-0.7529251,3.004944,888,Make-the-letter-A,
