Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38572783.8946,0.04218297,0.2812694,2.976914,0.04700831,0.3481245,3.002896,0.05798278,0.6931987,2.989172,0.05004685,0.8644227,2.944543,-0.1330733,0.6364976,3.03926,-0.3927116,0.6318048,3.042654,-0.6252546,0.628224,3.000399,-0.7057963,0.6435521,2.985663,0.2458075,0.6178293,3.006926,0.525874,0.6114519,2.993503,0.758182,0.6206459,2.950598,0.8329138,0.5841433,2.955263,-0.04478753,0.1977396,2.977436,-0.0269191,-0.3131579,3.030998,-0.01728711,-0.7005533,3.006073,-0.06059721,-0.7668191,2.962538,0.1223946,0.1935142,2.964904,0.1122508,-0.3288389,3.020451,0.1183065,-0.7016929,3.012068,0.116629,-0.7692576,2.959924,921,Signal-someone-to-come-here,
38572817.8965,0.04215076,0.2813465,2.976903,0.04699939,0.3482343,3.002799,0.05817926,0.6935577,2.989163,0.04976655,0.8647292,2.944331,-0.1332734,0.6368235,3.039424,-0.3929932,0.6253797,3.044459,-0.6253,0.6262413,3.000147,-0.7073573,0.6293824,2.986165,0.245797,0.6178089,3.006887,0.5250242,0.6065844,2.992528,0.7574274,0.6134882,2.949751,0.8321493,0.5769681,2.954407,-0.04485597,0.1978331,2.977454,-0.02664088,-0.3130489,3.031081,-0.0138256,-0.7004869,3.005198,-0.06014132,-0.7659846,2.962429,0.1223505,0.1935688,2.964894,0.1124057,-0.3291505,3.020769,0.1181388,-0.701435,3.011858,0.1119487,-0.7693568,2.960214,921,Signal-someone-to-come-here,
38572851.8985,0.04178168,0.2814338,2.9769,0.0466367,0.3483278,3.002791,0.05763768,0.6938174,2.989516,0.04961794,0.8649018,2.944257,-0.1333152,0.6368078,3.039427,-0.4166713,0.6100416,3.046588,-0.6481292,0.6120645,2.996452,-0.7600749,0.6028203,2.9873,0.2458435,0.6174651,3.006493,0.5208998,0.5968653,2.990319,0.7532731,0.5913607,2.947007,0.8279865,0.554822,2.951654,-0.04524308,0.1979736,2.977666,-0.02662113,-0.3133461,3.031247,-0.01543358,-0.7015624,3.004728,-0.06393068,-0.7681746,2.962663,0.1219267,0.1935403,2.964602,0.1110567,-0.3298182,3.02092,0.1179565,-0.7023587,3.013021,0.1138555,-0.7705649,2.964183,921,Signal-someone-to-come-here,
38572884.9003,0.04169772,0.2813722,2.97691,0.04661935,0.348258,3.002874,0.05744876,0.6943707,2.990326,0.04963362,0.864315,2.943844,-0.1333045,0.6364753,3.039413,-0.4222722,0.6009456,3.051109,-0.6530964,0.5908227,2.998391,-0.7625765,0.5643528,2.994541,0.2462916,0.6159978,3.005584,0.521229,0.5853313,2.989223,0.7536268,0.5772933,2.946686,0.8283435,0.5407588,2.951332,-0.04540484,0.1978486,2.977836,-0.0269218,-0.3131005,3.031195,-0.01583201,-0.7017809,3.005249,-0.06399966,-0.7690911,2.961622,0.1218133,0.193366,2.9643,0.1110674,-0.3293174,3.020659,0.1179964,-0.7023416,3.013293,0.1145695,-0.7702505,2.963841,921,Signal-someone-to-come-here,
38572916.9022,0.04136435,0.281205,2.976898,0.04633809,0.348115,3.002937,0.0573479,0.6943085,2.990405,0.04990093,0.8636327,2.942972,-0.1332919,0.6363235,3.039503,-0.4116953,0.5876422,3.052306,-0.639542,0.5572435,2.993146,-0.7510758,0.541889,2.998211,0.2467066,0.6149209,3.005637,0.5210895,0.5643887,2.984448,0.7521715,0.5317796,2.949699,0.8268877,0.4952453,2.954344,-0.04591903,0.1977869,2.977839,-0.02667428,-0.3124817,3.031736,-0.01548484,-0.7015275,3.005105,-0.06347339,-0.768072,2.964066,0.1214982,0.1929442,2.96424,0.1103853,-0.3305726,3.021354,0.1180018,-0.7023477,3.012643,0.08706478,-0.7739432,2.967993,921,Signal-someone-to-come-here,
38572951.9042,0.04090175,0.2800088,2.976872,0.04594093,0.3470418,3.003002,0.05657367,0.6936417,2.990582,0.04968455,0.8634273,2.942743,-0.1347103,0.6344594,3.040562,-0.4074621,0.5712646,3.053597,-0.6288763,0.5104058,2.993238,-0.7411371,0.5049859,2.984925,0.2448857,0.6118811,3.005053,0.5191088,0.5495969,2.982102,0.7471601,0.5058615,2.937015,0.8218752,0.4693265,2.94166,-0.04626399,0.1967589,2.977597,-0.02731943,-0.3123745,3.031932,-0.01536535,-0.7017258,3.005654,-0.06180661,-0.767441,2.966338,0.1212124,0.1918156,2.964435,0.1094242,-0.3308446,3.021315,0.1181505,-0.7023742,3.012565,0.1206601,-0.770568,2.966247,921,Signal-someone-to-come-here,
38572983.906,0.04032898,0.2784998,2.976615,0.04551765,0.3458852,3.003074,0.05654914,0.6934764,2.99107,0.04985437,0.8628688,2.942657,-0.1348512,0.6306423,3.040406,-0.408168,0.5434885,3.054228,-0.6291547,0.4787893,2.995812,-0.7378885,0.449168,2.995198,0.2443562,0.6102633,3.005276,0.5243857,0.507397,2.976066,0.7522728,0.4610222,2.93368,0.8561425,0.4354677,2.898199,-0.04702321,0.1952097,2.976935,-0.02728973,-0.3123757,3.031914,-0.01554631,-0.6910392,3.006976,-0.06100778,-0.766345,2.966458,0.1207554,0.1907955,2.964246,0.1095173,-0.3308395,3.021308,0.1180318,-0.7022034,3.012487,0.1137324,-0.770115,2.965765,921,Signal-someone-to-come-here,
38573015.9078,0.03981589,0.2766404,2.976486,0.0452913,0.3442183,3.00315,0.05663169,0.6928695,2.991271,0.04972651,0.8625866,2.942182,-0.1351584,0.629198,3.04136,-0.4026213,0.5173463,3.050403,-0.6202464,0.4266055,2.992742,-0.7219096,0.390897,2.988852,0.2423256,0.6068869,3.004008,0.5119278,0.4922064,2.977967,0.7212717,0.395789,2.922015,0.8243586,0.3579238,2.896707,-0.04728201,0.1941431,2.976769,-0.02689711,-0.312556,3.031853,-0.01592202,-0.6932139,3.006893,-0.06078129,-0.766259,2.966628,0.1198576,0.1889342,2.964157,0.1095001,-0.3310488,3.021491,0.1179123,-0.7022267,3.012303,0.1161699,-0.7700304,2.969532,921,Signal-someone-to-come-here,
38573051.9099,0.03850695,0.2743763,2.976746,0.04449097,0.3426226,3.003817,0.05659551,0.693416,2.992739,0.04961966,0.8631949,2.941871,-0.1358903,0.6230363,3.041532,-0.3943697,0.486095,3.049988,-0.5970401,0.3793317,2.986958,-0.6783057,0.3436517,2.974029,0.2406795,0.605283,3.002947,0.5045094,0.4648418,2.974591,0.6976737,0.3414707,2.912166,0.7879443,0.302464,2.879059,-0.04844227,0.1926421,2.977077,-0.02716922,-0.3130858,3.032306,-0.01489679,-0.6941848,3.006153,-0.06010645,-0.7669143,2.966893,0.1181592,0.1867042,2.96388,0.1093608,-0.331076,3.021328,0.117888,-0.7021123,3.012185,0.1164364,-0.7693424,2.967509,921,Signal-someone-to-come-here,
38573083.9117,0.03767342,0.2704664,2.976105,0.04358745,0.3394959,3.003732,0.05609259,0.6932966,2.992957,0.04954644,0.8631418,2.941878,-0.1365029,0.6155534,3.040138,-0.3751586,0.4560738,3.050057,-0.5710527,0.3326528,2.978187,-0.6511623,0.2909604,2.962837,0.2392624,0.6035895,3.002636,0.483676,0.4380182,2.968304,0.6637146,0.2953871,2.908233,0.7487192,0.2308426,2.872045,-0.04886057,0.1890299,2.976404,-0.02735078,-0.313588,3.032651,-0.01554606,-0.6929262,3.005315,-0.06422138,-0.7665775,2.959441,0.1173228,0.1837174,2.963213,0.1092687,-0.3311982,3.021614,0.1180742,-0.7021581,3.012584,0.1157205,-0.7690526,2.967103,921,Signal-someone-to-come-here,
