Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38585301.6105,0.0359525,0.285976,2.974137,0.03958093,0.3523167,2.999559,0.05064294,0.6952599,2.986114,0.0407395,0.8638579,2.939623,-0.1444666,0.6391336,3.025267,-0.4267023,0.633453,3.024542,-0.6577263,0.6302914,2.971247,-0.7345436,0.6596911,2.958021,0.2346977,0.6229334,3.00679,0.5217795,0.6152759,2.997324,0.7534768,0.6289393,2.950768,0.8162849,0.6228064,2.924654,-0.05094925,0.2028128,2.972802,-0.02791892,-0.3148693,3.019355,-0.01195954,-0.7061178,3.003173,-0.06469136,-0.7707272,2.959321,0.1165074,0.1986425,2.964425,0.09708278,-0.3271122,3.014018,0.1099768,-0.7028106,3.006352,0.115429,-0.7694666,2.95283,921,Draw-a-circle,
38585331.6122,0.03622076,0.2855997,2.974124,0.03978824,0.3521054,2.999568,0.05061711,0.6954892,2.986479,0.04068164,0.8641891,2.93947,-0.1440991,0.6385311,3.025519,-0.4315773,0.6107914,3.028546,-0.6605705,0.6176727,2.965197,-0.7232661,0.5959234,2.947351,0.2350654,0.6218422,3.006364,0.5194403,0.590239,2.990879,0.7507828,0.5857536,2.939618,0.7933356,0.5811994,2.917037,-0.0504596,0.2022984,2.972907,-0.02801152,-0.3148686,3.01939,-0.0119912,-0.705809,3.003189,-0.06343859,-0.770075,2.960574,0.1168262,0.1982807,2.964186,0.09957981,-0.3271509,3.013493,0.1106348,-0.7028725,3.007107,0.1144001,-0.7692534,2.952945,921,Draw-a-circle,
38585366.6143,0.03556378,0.2846766,2.974002,0.03906028,0.3512461,2.999523,0.04815666,0.6948752,2.986799,0.04054811,0.8642735,2.939637,-0.1442173,0.6369911,3.026906,-0.4382945,0.5870606,3.029092,-0.6615233,0.5380373,2.963273,-0.7358323,0.5297621,2.944907,0.235182,0.6183794,3.006274,0.5103372,0.5606394,2.982353,0.7392774,0.527593,2.930637,0.8190348,0.5360402,2.908113,-0.05081713,0.2014011,2.973195,-0.02813127,-0.3150505,3.019483,-0.01163071,-0.7062231,3.003078,-0.06131111,-0.7701869,2.962772,0.1162311,0.1970561,2.963442,0.09989726,-0.3279829,3.013531,0.1066528,-0.7027804,3.006078,0.115523,-0.7685125,2.952497,921,Draw-a-circle,
38585399.6161,0.03734246,0.2816459,2.97444,0.04053142,0.3491906,3.000139,0.04820934,0.6950657,2.987719,0.04038566,0.8645957,2.940097,-0.1448634,0.6318061,3.029434,-0.4382825,0.5564854,3.019737,-0.6579124,0.4902956,2.957739,-0.7250704,0.4835874,2.93465,0.2343531,0.6136838,3.005448,0.4946808,0.557242,2.983769,0.7097142,0.4754192,2.92516,0.8143007,0.4475958,2.893678,-0.04856964,0.1978607,2.974039,-0.028642,-0.3146399,3.019637,-0.01157372,-0.7062144,3.003091,-0.06338404,-0.7711827,2.961447,0.118667,0.1941752,2.963176,0.09985362,-0.3290504,3.013614,0.1074162,-0.7028922,3.006437,0.1159142,-0.7688377,2.95232,921,Draw-a-circle,
38585433.6181,0.03661137,0.2784313,2.974231,0.04050205,0.3465911,3.000458,0.04894494,0.6947751,2.989037,0.0402033,0.8647675,2.94049,-0.1449157,0.6260165,3.032285,-0.4372483,0.5173026,3.023453,-0.6518972,0.4434761,2.951208,-0.7232534,0.4177141,2.946988,0.2330759,0.6089492,3.004255,0.4949271,0.4856618,2.978536,0.7106628,0.4125061,2.904425,0.7781571,0.384993,2.864083,-0.04951874,0.1948308,2.97453,-0.02877103,-0.3148847,3.019674,-0.01186345,-0.7063055,3.002681,-0.0607428,-0.7712151,2.96419,0.1174486,0.1911376,2.961555,0.09979111,-0.3289622,3.013546,0.1086598,-0.7030989,3.007,0.1164995,-0.7686325,2.952763,921,Draw-a-circle,
38585464.6199,0.03523759,0.2749411,2.973623,0.0395252,0.3432203,3.000405,0.04840332,0.6936002,2.989665,0.03985074,0.8648087,2.940916,-0.1449237,0.6217874,3.034497,-0.4120874,0.5015126,3.025984,-0.6213322,0.4113385,2.957166,-0.7166709,0.3542759,2.938259,0.2313984,0.6046151,3.003261,0.4948226,0.4730207,2.974369,0.6864339,0.3505575,2.903743,0.7793595,0.2987509,2.866541,-0.05050487,0.1924372,2.974235,-0.02780309,-0.3167963,3.020664,-0.01154619,-0.7077662,3.00252,-0.06050616,-0.7712314,2.964467,0.1157654,0.1877703,2.960305,0.09982601,-0.3308263,3.013921,0.1091798,-0.7034281,3.006466,0.1179764,-0.7695173,2.953685,921,Draw-a-circle,
38585500.6219,0.03433167,0.2714319,2.973672,0.03932508,0.3404473,3.001144,0.04946525,0.6935564,2.991297,0.03949396,0.8651704,2.941242,-0.145015,0.6173422,3.035891,-0.3993415,0.4842842,3.025283,-0.6053111,0.361342,2.959463,-0.6995186,0.3169101,2.943799,0.2282774,0.6009664,3.002137,0.4820715,0.4615625,2.971412,0.6644017,0.3264073,2.899044,0.7405601,0.2522988,2.861484,-0.05148824,0.1898766,2.974715,-0.02693458,-0.3195836,3.021233,-0.01135845,-0.7071605,3.00191,-0.06321819,-0.7717627,2.961919,0.114282,0.1849298,2.959408,0.09751121,-0.3310531,3.013971,0.1092921,-0.7037214,3.006721,0.1243886,-0.7708188,2.958874,921,Draw-a-circle,
38585531.6237,0.03251707,0.2680352,2.973454,0.03764149,0.3370483,3.00152,0.04821435,0.6922822,2.991869,0.03970245,0.8650047,2.9416,-0.1443962,0.6160358,3.036768,-0.3855765,0.4708267,3.023274,-0.5886717,0.3557194,2.96549,-0.6505387,0.3034103,2.946096,0.2262051,0.59915,3.001846,0.4737102,0.4465723,2.967136,0.6491548,0.3022386,2.895639,0.7338756,0.2354498,2.863008,-0.05238427,0.1877845,2.97523,-0.02678696,-0.3198261,3.021279,-0.01119137,-0.7072126,3.002012,-0.06375631,-0.7726068,2.961937,0.111767,0.1820141,2.958233,0.0977146,-0.3314089,3.013914,0.1096087,-0.7035002,3.007104,0.1237044,-0.76903,2.954048,921,Draw-a-circle,
38585566.6257,0.0322576,0.2647983,2.973103,0.03733703,0.3342236,3.00166,0.04743234,0.6917509,2.991855,0.03941276,0.8642523,2.942325,-0.1434282,0.6138222,3.036757,-0.3792644,0.4621885,3.023225,-0.5791286,0.3406202,2.9674,-0.6452865,0.2962631,2.942994,0.2242215,0.5970312,3.001029,0.4613917,0.4375749,2.965338,0.63027,0.2863021,2.892052,0.7167029,0.221221,2.860473,-0.05208201,0.1853663,2.975192,-0.02692411,-0.3211402,3.022264,-0.005762058,-0.7092542,3.001973,-0.06434654,-0.7727088,2.961594,0.1113828,0.1799635,2.957903,0.09842118,-0.3324037,3.014429,0.1100968,-0.7038341,3.005752,0.1236496,-0.7712528,2.957939,921,Draw-a-circle,
38585600.6276,0.03262399,0.2627679,2.972871,0.03760519,0.3325153,3.002025,0.04737264,0.6916488,2.9921,0.03947111,0.8644719,2.943466,-0.1422753,0.6118708,3.035794,-0.3757248,0.4564867,3.023118,-0.5770814,0.3357281,2.968871,-0.6447026,0.2926207,2.9463,0.2235954,0.596315,3.000821,0.457613,0.4363199,2.96479,0.6276245,0.2863797,2.891357,0.7137812,0.2207652,2.860122,-0.05142324,0.1838487,2.974942,-0.02709613,-0.3210832,3.022337,-0.008150463,-0.7086002,3.001775,-0.0651473,-0.772876,2.961746,0.111482,0.1783503,2.957633,0.09959896,-0.333977,3.014887,0.1102783,-0.7035528,3.00573,0.123484,-0.7709623,2.95668,921,Draw-a-circle,
