Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38621972.8976,0.03732505,0.281665,2.978227,0.04170903,0.3485246,3.004619,0.05675672,0.6951706,2.992385,0.04863624,0.8628928,2.946929,-0.1354185,0.6372041,3.030102,-0.42156,0.6152257,3.002341,-0.6501201,0.6047593,2.937112,-0.7146133,0.5907922,2.910505,0.2464108,0.6176349,3.012214,0.5170923,0.576447,2.989458,0.7483062,0.5547622,2.942996,0.8302066,0.5442879,2.933813,-0.05077389,0.1999386,2.975222,-0.02445646,-0.3202856,3.027617,-0.0121102,-0.7073879,3.003432,-0.06272887,-0.7671286,2.964727,0.117209,0.1927631,2.969596,0.09436808,-0.3286116,3.016806,0.1012839,-0.7085104,3.002125,0.1205254,-0.7717427,2.950983,921,Draw-the-letter-A,
38622003.8994,0.03712353,0.2816001,2.97818,0.04158637,0.3483451,3.004996,0.0552085,0.6958549,2.994602,0.04840441,0.8632351,2.94797,-0.1364425,0.6360022,3.032168,-0.4296964,0.590068,3.002551,-0.6510898,0.5451169,2.925844,-0.7598722,0.521154,2.910833,0.2464209,0.6173503,3.01226,0.5140852,0.5508758,2.985867,0.7406,0.50894,2.928157,0.8224822,0.4983279,2.918973,-0.05108665,0.1997191,2.975272,-0.0262138,-0.3190325,3.027537,-0.01175897,-0.7073845,3.00326,-0.06064752,-0.7671911,2.965877,0.1170774,0.1924182,2.968764,0.094256,-0.3278573,3.01639,0.1016083,-0.7081733,3.002186,0.1201409,-0.7707388,2.951253,921,Draw-the-letter-A,
38622035.9012,0.03680341,0.2804386,2.978136,0.04147433,0.3475267,3.005386,0.05509706,0.6958287,2.994866,0.04825972,0.8648185,2.949091,-0.1371845,0.6354392,3.033539,-0.4312339,0.5711859,3.001913,-0.6434687,0.5055431,2.913018,-0.7260069,0.5052541,2.903584,0.2443518,0.612663,3.011394,0.5224253,0.5076907,2.975824,0.7433454,0.4470532,2.911896,0.8100923,0.4400392,2.885121,-0.05132316,0.1986983,2.975595,-0.02444677,-0.3207674,3.02763,-0.01218829,-0.7078188,3.003547,-0.06267677,-0.768801,2.963754,0.1167113,0.1907398,2.967939,0.09431413,-0.3299641,3.015933,0.1028143,-0.7093062,3.002059,0.1191075,-0.771778,2.950973,921,Draw-the-letter-A,
38622075.9035,0.0354418,0.2783706,2.978245,0.04068583,0.3457924,3.006042,0.05473483,0.6954015,2.995687,0.04779343,0.8657399,2.950629,-0.1389416,0.6303444,3.036558,-0.4253205,0.5412134,2.997009,-0.6344441,0.4677949,2.906597,-0.7128226,0.4452533,2.905602,0.2417135,0.6073942,3.009763,0.5058973,0.489058,2.976087,0.7095014,0.3894892,2.90207,0.7757387,0.371472,2.855278,-0.05306251,0.1964341,2.976221,-0.02460076,-0.3202493,3.027773,-0.01117352,-0.7066654,3.003222,-0.06336565,-0.7688283,2.961656,0.1155095,0.1889647,2.967226,0.09477494,-0.3304809,3.016098,0.1037193,-0.7086457,3.00213,0.1188317,-0.7715017,2.95167,921,Draw-the-letter-A,
38622103.9051,0.03527109,0.275033,2.978052,0.04086217,0.3435629,3.006695,0.05517522,0.6961339,2.99725,0.04700213,0.8673486,2.951056,-0.1399412,0.6262584,3.037812,-0.4276848,0.5054702,2.99047,-0.6293112,0.4065397,2.909187,-0.7333579,0.3663982,2.895203,0.23875,0.6028894,3.008086,0.496135,0.4616396,2.969675,0.6877413,0.3372523,2.894898,0.7817074,0.2831598,2.865285,-0.05281286,0.1934117,2.976472,-0.02462535,-0.3201388,3.027731,-0.01090129,-0.7064303,3.003029,-0.06565002,-0.770178,2.963954,0.1148647,0.1861737,2.965944,0.09469688,-0.3344504,3.017039,0.1052947,-0.710183,3.002084,0.1184605,-0.771846,2.95064,921,Draw-the-letter-A,
38622142.9074,0.03543149,0.2718025,2.978025,0.04131537,0.3404817,3.007782,0.05519525,0.6952592,2.999782,0.04665083,0.8677526,2.952727,-0.1392249,0.6227646,3.039237,-0.381379,0.4835147,3.001781,-0.5899063,0.382196,2.914351,-0.6643915,0.3303174,2.896433,0.2356032,0.5970291,3.005274,0.4795898,0.4371211,2.966679,0.6541676,0.2934611,2.890589,0.7399579,0.2287094,2.857726,-0.05236841,0.1912522,2.976746,-0.02535459,-0.3197851,3.027874,-0.01106883,-0.7063154,3.00289,-0.05834358,-0.7702832,2.963112,0.1149059,0.1837626,2.964844,0.09470293,-0.3353345,3.017206,0.1070211,-0.7073813,3.002572,0.1185979,-0.7715783,2.950556,921,Draw-the-letter-A,
38622174.9092,0.03280733,0.2677923,2.978526,0.03931211,0.3369066,3.009257,0.05473642,0.6946669,3.001193,0.04656808,0.8678867,2.954173,-0.1387153,0.6194381,3.040147,-0.3762252,0.4763416,3.000001,-0.5774586,0.3318605,2.908453,-0.6427431,0.2825723,2.893957,0.2340047,0.5958441,3.00481,0.467298,0.4283301,2.967379,0.6203529,0.2616065,2.892151,0.6993312,0.1885933,2.859526,-0.05442835,0.1887893,2.977484,-0.02538345,-0.3196278,3.027805,-0.01082866,-0.705606,3.002481,-0.0618568,-0.7691168,2.962127,0.1116753,0.1800427,2.964522,0.1002128,-0.3363123,3.016279,0.1073639,-0.7071618,3.002362,0.09890004,-0.7712744,2.953727,921,Draw-the-letter-A,
38622206.911,0.03415066,0.2642042,2.978387,0.04028857,0.3338739,3.010424,0.05462842,0.6945132,3.003396,0.0463452,0.8680704,2.95547,-0.1380692,0.6147045,3.039341,-0.3634779,0.4425022,2.99283,-0.5557297,0.3049916,2.915204,-0.6166788,0.2347594,2.90789,0.2329514,0.5940371,3.004526,0.4490228,0.406656,2.964339,0.5971975,0.2352647,2.889994,0.6697591,0.1547922,2.860126,-0.05226436,0.1846148,2.977344,-0.02624572,-0.3186976,3.028157,-0.012008,-0.7051733,3.002247,-0.07028858,-0.7760768,2.969469,0.1127836,0.1777539,2.963775,0.1000134,-0.3366264,3.016339,0.108111,-0.7070668,3.002664,0.09230076,-0.7726963,2.95703,921,Draw-the-letter-A,
38622241.913,0.03597349,0.2606189,2.978391,0.04169641,0.3304405,3.011343,0.05454319,0.6935952,3.003775,0.04694759,0.8690403,2.956042,-0.1363544,0.6109809,3.038223,-0.3527954,0.43586,2.993459,-0.5275994,0.287771,2.921914,-0.6048079,0.2165013,2.909586,0.23136,0.5916038,3.004761,0.4328273,0.3881168,2.959941,0.5888272,0.223369,2.886819,0.656833,0.1388273,2.857468,-0.04928362,0.1811792,2.977811,-0.02622794,-0.3186938,3.028138,-0.01310986,-0.7051542,3.002113,-0.06696125,-0.774374,2.968663,0.1140827,0.1756241,2.963508,0.09986446,-0.3361129,3.016362,0.1085093,-0.7068939,3.002802,0.09666352,-0.7713881,2.955763,921,Draw-the-letter-A,
38622273.9149,0.0361065,0.257719,2.978335,0.04174677,0.3278125,3.012345,0.05434351,0.6931343,3.004698,0.04685455,0.8692617,2.956151,-0.1351822,0.6073861,3.036058,-0.3439875,0.4254791,2.991083,-0.5159193,0.2745224,2.925807,-0.5915325,0.1924812,2.912193,0.2282057,0.5887451,3.004019,0.4297821,0.3778446,2.957267,0.5767274,0.2052489,2.883343,0.6433331,0.1191557,2.855324,-0.04884167,0.1796426,2.977864,-0.02710459,-0.3186127,3.028136,-0.01264113,-0.7048525,3.002635,-0.06717662,-0.7722061,2.969784,0.1140412,0.1736007,2.963155,0.09986316,-0.3361092,3.016364,0.109359,-0.706866,3.003539,0.1037466,-0.7704892,2.957474,921,Draw-the-letter-A,
