Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
38741013.6848,0.04696107,0.2906509,2.970862,0.0516412,0.3562018,2.992552,0.06652996,0.6937591,2.97978,0.0602437,0.8634422,2.928295,-0.1257988,0.6397108,3.021075,-0.3587904,0.6662545,3.002348,-0.5878824,0.7049321,2.955709,-0.6957576,0.7209528,2.930147,0.2577017,0.6200148,2.993078,0.530291,0.6404253,2.980909,0.7631115,0.6548518,2.941725,0.8394771,0.6555429,2.909749,-0.04110125,0.2087873,2.972923,-0.01364288,-0.3051706,3.008957,0.01276533,-0.7153993,2.996031,-0.024562,-0.7757133,2.96112,0.1272657,0.1998882,2.959289,0.08265004,-0.3212537,3.00464,0.09802546,-0.7135642,3.001683,0.1241116,-0.7698894,2.95419,921,Make-the-letter-C,
38741031.6858,0.04688876,0.2905905,2.970804,0.05157253,0.3561729,2.99248,0.06640653,0.6937842,2.979817,0.06023375,0.8634663,2.928248,-0.1259541,0.6396638,3.020973,-0.3589439,0.6659222,3.003126,-0.5876528,0.7056623,2.955122,-0.6969916,0.7162811,2.933229,0.2576372,0.6197867,2.993141,0.530147,0.6390646,2.980803,0.7630081,0.6506723,2.940578,0.8393734,0.6513634,2.908602,-0.04125461,0.2086619,2.972747,-0.01394764,-0.3057431,3.009358,0.012598,-0.715511,2.99604,-0.06703029,-0.769155,2.959793,0.1272068,0.1998034,2.959235,0.08245456,-0.3212746,3.004777,0.09888449,-0.7129903,3.002573,0.123572,-0.7699047,2.953104,921,Make-the-letter-C,
38741067.6878,0.04652596,0.2905867,2.970767,0.05128373,0.3561859,2.992414,0.06636117,0.693776,2.979787,0.06030693,0.8637278,2.927846,-0.1259001,0.6396827,3.020819,-0.3588713,0.6656613,3.004133,-0.5873871,0.7053994,2.954868,-0.6522714,0.7531404,2.935753,0.2576828,0.6199203,2.993422,0.5321798,0.637696,2.980752,0.7648494,0.6477094,2.938294,0.8412144,0.6484006,2.906318,-0.04168668,0.2086602,2.972675,-0.01478984,-0.3063737,3.009969,0.01248784,-0.7155151,2.996075,-0.06462184,-0.7740496,2.962015,0.1265687,0.1998073,2.959232,0.08227934,-0.3213006,3.004966,0.09617622,-0.7138076,3.00177,0.08658507,-0.7741705,2.950446,921,Make-the-letter-C,
38741099.6897,0.04642199,0.2905121,2.970652,0.05117856,0.3561238,2.992324,0.06613918,0.6936877,2.979838,0.06029702,0.8635353,2.927924,-0.1259515,0.6397399,3.020819,-0.3589849,0.6649937,3.004497,-0.5878097,0.7024643,2.954767,-0.6527847,0.7502497,2.936077,0.2574552,0.6196318,2.993517,0.5311027,0.636499,2.980279,0.7637455,0.6441661,2.936905,0.8401101,0.6448572,2.904929,-0.041848,0.208609,2.972219,-0.01362523,-0.3081334,3.0104,0.0123976,-0.7152886,2.995987,-0.03351508,-0.7767897,2.956724,0.1264966,0.1997424,2.959208,0.08233668,-0.3211712,3.004988,0.09596375,-0.7141154,3.001642,0.1093498,-0.7719069,2.950753,921,Make-the-letter-C,
38741135.6917,0.04639541,0.290457,2.97063,0.05117749,0.3560838,2.992354,0.06622594,0.6938416,2.980231,0.06031421,0.8633886,2.928288,-0.1259552,0.6398363,3.020909,-0.3596309,0.663573,3.004912,-0.5886634,0.6984985,2.95397,-0.654579,0.7450026,2.935344,0.2574258,0.6192737,2.993494,0.5276205,0.631107,2.978707,0.7603186,0.6341917,2.934947,0.836683,0.6348829,2.902972,-0.04189868,0.2085777,2.972146,-0.01374617,-0.3080812,3.010584,0.01268517,-0.7154877,2.995615,-0.03331389,-0.7762239,2.957939,0.1264243,0.1996004,2.95912,0.08213702,-0.3212042,3.005052,0.09577996,-0.7142683,3.001029,0.1184144,-0.7724695,2.946573,921,Make-the-letter-C,
38741167.6936,0.04602549,0.2897744,2.970417,0.05094286,0.3556503,2.992326,0.06622604,0.693866,2.980358,0.06037088,0.8633729,2.928202,-0.1259756,0.6396352,3.021005,-0.3664051,0.6569554,3.006228,-0.5958978,0.677185,2.94795,-0.6637589,0.7208223,2.929375,0.2570276,0.6182645,2.993719,0.5292231,0.6157861,2.978215,0.7615172,0.6280541,2.933691,0.8378812,0.6287453,2.901715,-0.04224136,0.2081009,2.971982,-0.01479303,-0.3090919,3.010961,0.01268293,-0.7155845,2.995657,-0.03324439,-0.7761843,2.957973,0.1258075,0.1987456,2.958588,0.08191957,-0.3212917,3.005072,0.09362935,-0.7147281,3.001416,0.1189137,-0.7718681,2.947138,921,Make-the-letter-C,
38741199.6954,0.04563062,0.2892033,2.970129,0.05050908,0.3551166,2.992148,0.06535134,0.6934789,2.980253,0.06034062,0.8635147,2.928376,-0.1260767,0.6388968,3.021276,-0.3635045,0.6470296,3.008393,-0.5922603,0.6694769,2.947467,-0.6596695,0.7139286,2.929182,0.2568128,0.6176546,2.993811,0.5278768,0.6079591,2.978464,0.759672,0.6129958,2.928609,0.8360357,0.6136869,2.896633,-0.04252076,0.207615,2.971779,-0.01479211,-0.3097626,3.011026,0.01281922,-0.7153955,2.995385,-0.04424561,-0.7755035,2.95715,0.1254786,0.1981922,2.958179,0.0829186,-0.3217913,3.005157,0.09254083,-0.7141562,3.001048,0.1188104,-0.7726686,2.94633,921,Make-the-letter-C,
38741234.6974,0.04544296,0.2886921,2.969858,0.05037663,0.3547486,2.992092,0.06530996,0.6934829,2.980333,0.06038634,0.8640155,2.928931,-0.1262251,0.6383543,3.021749,-0.3607538,0.6388576,3.008813,-0.5910158,0.6372219,2.949956,-0.6576684,0.6828898,2.931901,0.2568129,0.6161708,2.99414,0.5206234,0.5921928,2.973851,0.7530106,0.5903309,2.927699,0.8293731,0.591022,2.895724,-0.04281192,0.2069544,2.971246,-0.01596721,-0.3104093,3.01116,0.01292108,-0.7153202,2.994831,-0.0414021,-0.7765641,2.956487,0.1252995,0.1976474,2.957884,0.08259066,-0.3212555,3.004975,0.0923894,-0.7140849,3.001024,0.106131,-0.7712499,2.949323,921,Make-the-letter-C,
38741267.6993,0.04435643,0.2880457,2.969919,0.04931681,0.3540583,2.992665,0.06376079,0.6933852,2.982435,0.06054082,0.8635131,2.929858,-0.1261924,0.6377906,3.022185,-0.3850056,0.6146412,3.001622,-0.6161087,0.601463,2.936219,-0.719169,0.5933177,2.91305,0.2571703,0.6142288,2.994262,0.5219976,0.5763397,2.97074,0.7511415,0.5482906,2.914993,0.8275036,0.5489817,2.883018,-0.04402949,0.2064018,2.97097,-0.01625795,-0.3103963,3.010911,0.01100776,-0.7128087,2.993217,-0.05874652,-0.7755482,2.955929,0.1242533,0.19679,2.957722,0.08279935,-0.3204145,3.004684,0.09204017,-0.7140365,3.00097,0.1115454,-0.7704227,2.948594,921,Make-the-letter-C,
38741298.7011,0.04418538,0.28641,2.969726,0.04914934,0.3527893,2.992998,0.06352017,0.6932701,2.982965,0.06059742,0.8635132,2.931242,-0.126389,0.634653,3.023489,-0.3920498,0.5969376,3.001054,-0.616256,0.5652073,2.925797,-0.722273,0.5299408,2.91789,0.2569825,0.6118845,2.995468,0.5172151,0.5606372,2.964973,0.7442791,0.5066838,2.898137,0.8206408,0.5073748,2.866162,-0.04426437,0.204623,2.970279,-0.01626848,-0.3113011,3.010795,0.01119528,-0.7128903,2.993133,-0.04585318,-0.7756444,2.959116,0.1242941,0.1953624,2.95757,0.08271695,-0.3204367,3.004548,0.09073516,-0.7134808,3.00038,0.1213986,-0.7722149,2.957999,921,Make-the-letter-C,
