Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
54468903.3412,0.01256051,0.2298307,3.295963,0.008721224,0.2919443,3.359343,-0.003163747,0.6670507,3.370368,-0.008365966,0.8660886,3.358388,-0.208947,0.5764827,3.376659,-0.5008217,0.5512099,3.352286,-0.7186978,0.4555359,3.300006,-0.7377794,0.4608741,3.284788,0.2052586,0.5618504,3.384529,0.5259882,0.5458152,3.410733,0.7597956,0.4952502,3.424053,0.8605999,0.50425,3.417192,-0.074525,0.13846,3.273826,-0.0858602,-0.4262503,3.318274,-0.09064179,-0.7995812,3.324538,-0.1134254,-0.9151936,3.25085,0.1053269,0.1389669,3.280873,0.1124416,-0.4131438,3.317281,0.117645,-0.8113384,3.340781,0.1258003,-0.9048745,3.286011,934,Touch-your-toes,
54468930.3427,0.01219661,0.2271621,3.294889,0.008019685,0.2892651,3.358427,-0.002558465,0.665427,3.370305,-0.008965727,0.8648015,3.356522,-0.2086864,0.5666802,3.370471,-0.4964842,0.5367753,3.34857,-0.7186787,0.4505796,3.298717,-0.7390634,0.4518577,3.282305,0.2038293,0.5593592,3.383514,0.5203824,0.5360577,3.408613,0.7529884,0.481757,3.424794,0.8537939,0.4907569,3.417933,-0.07513419,0.1359327,3.272405,-0.08561218,-0.426957,3.318798,-0.09071606,-0.8016906,3.322129,-0.1148539,-0.9164562,3.247553,0.1049759,0.1370867,3.280049,0.112585,-0.4127185,3.317318,0.1163119,-0.8071775,3.337327,0.1257263,-0.9033013,3.284972,934,Touch-your-toes,
54468960.3445,0.01197912,0.2261717,3.294483,0.007756178,0.2883401,3.358,-0.00275665,0.665004,3.369848,-0.009599775,0.8637074,3.354087,-0.2087534,0.5649813,3.370128,-0.491233,0.5172434,3.347675,-0.7113078,0.4095938,3.275725,-0.7881032,0.3841292,3.248957,0.2031445,0.5598949,3.383722,0.516606,0.5156931,3.404768,0.7484794,0.4515578,3.40183,0.8492854,0.4605577,3.394969,-0.07514796,0.1350502,3.272126,-0.08561353,-0.4269761,3.318819,-0.09070663,-0.8013653,3.320583,-0.1125745,-0.9206808,3.252751,0.1046978,0.1363782,3.279735,0.1125789,-0.4127187,3.317289,0.1169364,-0.8068613,3.336825,0.1262226,-0.9016787,3.283771,934,Touch-your-toes,
54468992.3463,0.01157837,0.2242682,3.293927,0.00728343,0.2865402,3.3574,-0.003097192,0.6638319,3.369077,-0.00908958,0.8609781,3.350091,-0.2088264,0.5629405,3.37001,-0.4893985,0.5026007,3.342953,-0.697834,0.3875601,3.291391,-0.7839131,0.3440688,3.259943,0.2021608,0.5569764,3.383732,0.5102542,0.5029777,3.398851,0.7240976,0.3921003,3.383643,0.8249046,0.4011004,3.376781,-0.07561819,0.1335038,3.271146,-0.08521322,-0.4273015,3.319411,-0.090389,-0.8026435,3.320789,-0.1130694,-0.9202415,3.250276,0.1044584,0.1341381,3.279827,0.112699,-0.4132816,3.318017,0.1177442,-0.8069071,3.338229,0.1262244,-0.9016734,3.283781,934,Touch-your-toes,
54469030.3485,0.01143235,0.2230406,3.293947,0.00698252,0.285274,3.357408,-0.003553125,0.6625771,3.368989,-0.009803479,0.8595716,3.346541,-0.2083882,0.5605656,3.369137,-0.4807058,0.4759046,3.339221,-0.6868339,0.3552394,3.27799,-0.7790154,0.3225613,3.251064,0.2023034,0.5556887,3.383706,0.4984983,0.4809144,3.386506,0.7180833,0.3819171,3.37393,0.809062,0.3370491,3.373817,-0.07537997,0.1321589,3.271067,-0.08453377,-0.428314,3.320166,-0.09039931,-0.8026189,3.320774,-0.1133426,-0.9199879,3.249965,0.1041162,0.1329583,3.279954,0.1129048,-0.4136714,3.318008,0.1175017,-0.8069313,3.338853,0.1261309,-0.9019202,3.283465,934,Touch-your-toes,
54469060.3502,0.01250894,0.2215413,3.294051,0.008108664,0.2839855,3.357322,-0.003246495,0.6607739,3.367388,-0.01010452,0.8575323,3.341832,-0.2088659,0.5579863,3.368743,-0.4809559,0.4626118,3.33567,-0.6774017,0.3282931,3.283448,-0.7313647,0.2848051,3.254832,0.2011675,0.5537549,3.381672,0.4950781,0.4515654,3.373775,0.7166452,0.3601442,3.382832,0.8099085,0.3202762,3.384712,-0.07363889,0.1297045,3.271818,-0.08458129,-0.4284612,3.320125,-0.08977507,-0.803853,3.318616,-0.1138985,-0.9203047,3.249394,0.1051401,0.1320946,3.280149,0.1130054,-0.4135237,3.318067,0.1182232,-0.8058672,3.339845,0.1259519,-0.9019602,3.28286,934,Touch-your-toes,
54469093.3521,0.01290953,0.2212155,3.294297,0.008142864,0.2835487,3.357484,-0.00288439,0.6588888,3.366848,-0.01012858,0.8572951,3.341585,-0.2095305,0.5540568,3.366799,-0.4821231,0.4329824,3.339788,-0.6774765,0.2966209,3.289263,-0.7323856,0.2543553,3.260607,0.2038169,0.5523168,3.382996,0.4953085,0.4428328,3.370898,0.6962671,0.3100489,3.352879,0.7896274,0.2705863,3.357162,-0.07327516,0.128734,3.271795,-0.08476338,-0.4284344,3.320286,-0.08927791,-0.8033869,3.319203,-0.1147726,-0.9186824,3.2459,0.1062902,0.13113,3.281068,0.1131478,-0.4124572,3.318966,0.1180353,-0.8042331,3.337466,0.1243166,-0.9023986,3.281087,934,Touch-your-toes,
54469118.3535,0.01248002,0.2203507,3.294496,0.007749612,0.2827308,3.357544,-0.003024381,0.6575471,3.365861,-0.009950299,0.8546791,3.33527,-0.2102762,0.5518609,3.36607,-0.4778551,0.4160615,3.331108,-0.6633437,0.2665612,3.280572,-0.7476535,0.2141645,3.25961,0.2036965,0.55075,3.382458,0.4330439,0.4317383,3.374661,0.6876407,0.2709205,3.347978,0.7740272,0.2178273,3.351362,-0.07430615,0.127499,3.272427,-0.08511969,-0.427855,3.320059,-0.08934432,-0.803334,3.319349,-0.1148099,-0.918579,3.245955,0.1059741,0.1300245,3.281242,0.1130226,-0.413629,3.31979,0.1177409,-0.8062726,3.339991,0.1253363,-0.9021933,3.280974,934,Touch-your-toes,
54469196.3536,0.012314,0.2197061,3.294219,0.007410615,0.2823816,3.356879,-0.001766174,0.6531408,3.358867,-0.01149228,0.8527274,3.330101,-0.2105912,0.549408,3.364118,-0.4710951,0.4033018,3.326813,-0.6524343,0.2470809,3.284748,-0.6784006,0.2054958,3.253637,0.203909,0.5498866,3.382558,0.4633647,0.4086051,3.36295,0.6756785,0.2533723,3.340608,0.7569225,0.194098,3.354005,-0.07487998,0.1265721,3.272632,-0.0833599,-0.4295438,3.32298,-0.08945532,-0.8030442,3.320677,-0.116188,-0.9177243,3.246849,0.105857,0.1291778,3.281071,0.1134124,-0.4134442,3.319701,0.1177878,-0.8063654,3.340115,0.1253907,-0.902254,3.280768,934,Touch-your-toes,
54469196.3536,0.01186965,0.218243,3.294523,0.006659685,0.281039,3.356829,-0.002363869,0.6515605,3.357411,-0.01002445,0.8490778,3.324491,-0.2106754,0.5436479,3.36041,-0.4559599,0.3917282,3.32334,-0.6263931,0.2081048,3.284768,-0.6767222,0.1623596,3.241181,0.2047361,0.5479831,3.38202,0.4672514,0.3956274,3.361925,0.6399208,0.2289276,3.326438,0.7168732,0.1629947,3.331495,-0.07597979,0.1238983,3.274334,-0.0832706,-0.4310832,3.325177,-0.08927929,-0.8016212,3.323937,-0.1137729,-0.9168514,3.250186,0.1056888,0.1277106,3.281284,0.1139328,-0.4132898,3.320016,0.1180842,-0.8067554,3.342009,0.1231323,-0.9032682,3.28232,934,Touch-your-toes,
54469227.5537,0.01185722,0.2162002,3.294667,0.006430217,0.2790114,3.356679,-0.003030348,0.6495135,3.356377,-0.008392975,0.8459266,3.317272,-0.2101937,0.5390419,3.357935,-0.4506413,0.3775796,3.318737,-0.608506,0.1962092,3.289304,-0.6615486,0.146725,3.248352,0.2064714,0.5454948,3.381023,0.4447133,0.3765889,3.367301,0.6205264,0.2136184,3.328773,0.6906817,0.1403773,3.331914,-0.07624171,0.1210453,3.274468,-0.08286884,-0.4311732,3.326182,-0.08941809,-0.8021442,3.322229,-0.1122329,-0.9204673,3.252973,0.1062225,0.1254343,3.281974,0.1141029,-0.412911,3.32043,0.1182412,-0.8057725,3.342491,0.1152991,-0.9069604,3.288156,934,Touch-your-toes,
