Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
54599971.9886,0.06290371,0.2380015,3.052454,0.06515624,0.3008485,3.112918,0.07533367,0.6669071,3.109093,0.0709269,0.8709728,3.102099,-0.1406719,0.5730306,3.121505,-0.4029646,0.4888429,3.096926,-0.6201733,0.3833486,3.049128,-0.7141678,0.3482451,3.024956,0.2881171,0.5606381,3.117723,0.550238,0.4616876,3.122166,0.7658962,0.3516413,3.109509,0.8374427,0.3760192,3.119799,-0.03251028,0.1448315,3.03852,-0.03189822,-0.4298545,3.090014,-0.009798358,-0.8276705,3.095284,-0.02172273,-0.9096928,3.039431,0.1528238,0.1412071,3.034936,0.1430846,-0.4329478,3.085016,0.1246146,-0.8234774,3.102167,0.1367666,-0.911833,3.053362,934,Run-in-place-as-fast-as-you-can,
54600003.9904,0.06299148,0.2359578,3.052468,0.06502263,0.2990879,3.11289,0.0762643,0.6662384,3.108857,0.07082403,0.8707808,3.101345,-0.1385217,0.5679225,3.118955,-0.404337,0.4713453,3.098976,-0.6090518,0.3456428,3.053947,-0.6956578,0.2919912,3.037443,0.2883184,0.5589674,3.118966,0.5399714,0.4339778,3.124158,0.7598749,0.3036475,3.10403,0.8314212,0.3280253,3.11432,-0.03243646,0.1432587,3.038043,-0.03186951,-0.429052,3.08935,-0.01207268,-0.8204473,3.099114,-0.0223383,-0.9073289,3.038767,0.1524259,0.1391476,3.035788,0.1434411,-0.432844,3.084773,0.1245496,-0.8235919,3.101903,0.1365003,-0.9116651,3.051994,934,Run-in-place-as-fast-as-you-can,
54600036.9923,0.06302208,0.2329891,3.052306,0.06487957,0.2966228,3.113031,0.0758903,0.6659196,3.110136,0.07074546,0.870636,3.101315,-0.1396827,0.5614609,3.117499,-0.3847766,0.4277512,3.102571,-0.5849476,0.2960054,3.053166,-0.6314357,0.250687,3.01856,0.287367,0.5555994,3.118661,0.5328634,0.4157448,3.116812,0.7220807,0.265525,3.086079,0.8054062,0.2046273,3.086051,-0.03230023,0.1404225,3.03699,-0.03440661,-0.424669,3.087768,-0.01127819,-0.8209597,3.099371,-0.02239929,-0.9072402,3.039019,0.152675,0.1362037,3.035776,0.1423917,-0.4352473,3.085619,0.1244303,-0.823341,3.100915,0.1319569,-0.9111682,3.052348,934,Run-in-place-as-fast-as-you-can,
54600067.9941,0.06283899,0.2296648,3.052135,0.06391785,0.293956,3.112962,0.07513894,0.6656933,3.110395,0.070962,0.870416,3.101055,-0.138792,0.5527259,3.111974,-0.3767083,0.4148213,3.097034,-0.557027,0.2545553,3.061671,-0.6321427,0.1916321,3.029255,0.2875925,0.5529458,3.118893,0.5210744,0.388124,3.11414,0.7039223,0.223429,3.087142,0.7879583,0.1640482,3.079121,-0.03204551,0.1366402,3.036121,-0.03504316,-0.4245007,3.087447,-0.0111912,-0.8219471,3.099231,-0.0220648,-0.9067946,3.039313,0.152686,0.1333539,3.036155,0.1424159,-0.4353026,3.085452,0.1244077,-0.8231308,3.100913,0.1322353,-0.9107603,3.052414,934,Run-in-place-as-fast-as-you-can,
54600103.9962,0.0627917,0.2254208,3.052385,0.06394511,0.2901687,3.113221,0.07576674,0.664669,3.110672,0.070604,0.8683405,3.098891,-0.1391208,0.5470017,3.110584,-0.356347,0.3861744,3.101812,-0.5211519,0.2092734,3.074051,-0.5711485,0.1537905,3.046646,0.2870604,0.5501887,3.119158,0.5045347,0.3670964,3.110504,0.6689016,0.1796597,3.08217,0.7439455,0.1089412,3.077603,-0.03224467,0.1325226,3.035822,-0.03725352,-0.4212001,3.085715,-0.01104247,-0.8219389,3.099337,-0.02184105,-0.906787,3.039307,0.1522232,0.1292402,3.037126,0.1422221,-0.4355408,3.085266,0.125191,-0.8240229,3.100036,0.1326646,-0.9110953,3.050523,934,Run-in-place-as-fast-as-you-can,
54600136.998,0.06269751,0.2230664,3.052218,0.06343488,0.2881387,3.113106,0.07415479,0.6641842,3.110882,0.07039039,0.8683742,3.098928,-0.1387889,0.5449054,3.109832,-0.3431521,0.3641121,3.096155,-0.4996963,0.1794573,3.077003,-0.5515299,0.09425689,3.050383,0.2848894,0.5489917,3.119596,0.4818304,0.3437477,3.102828,0.6390567,0.1175245,3.080009,0.7102274,0.04530147,3.060695,-0.0316727,0.1305152,3.035554,-0.03712815,-0.4208602,3.08507,-0.01098312,-0.8219869,3.099229,-0.02233027,-0.9067417,3.039376,0.1522278,0.1282507,3.037226,0.1419898,-0.4359716,3.085105,0.1250572,-0.8240442,3.099526,0.1324016,-0.9109957,3.050325,934,Run-in-place-as-fast-as-you-can,
54600168.9999,0.06312199,0.2174607,3.051497,0.06367662,0.2835706,3.11241,0.07336604,0.6635558,3.110491,0.06911615,0.8685878,3.099723,-0.1371832,0.5425606,3.107129,-0.3332418,0.3295474,3.096448,-0.4606962,0.1237571,3.076273,-0.5071617,0.03910356,3.056325,0.275373,0.5466762,3.115206,0.4725796,0.3014369,3.103142,0.596724,0.08636475,3.075632,0.657867,0.003431611,3.069408,-0.02982526,0.1267051,3.034724,-0.03760931,-0.4199021,3.083809,-0.01231043,-0.8232263,3.098642,-0.02322711,-0.9073125,3.039921,0.1520678,0.1263431,3.037577,0.1420202,-0.4367862,3.084962,0.1249806,-0.8239777,3.099487,0.1330287,-0.9107383,3.050074,934,Run-in-place-as-fast-as-you-can,
54600204.0019,0.06300187,0.2149481,3.052217,0.06332446,0.2809764,3.113173,0.0700201,0.6617234,3.111753,0.06778157,0.8679352,3.09919,-0.1365748,0.5404109,3.105712,-0.3196441,0.3048577,3.093375,-0.4197333,0.08447714,3.072357,-0.4692221,-0.0059046,3.066242,0.2708695,0.544232,3.11242,0.4537942,0.2827092,3.106016,0.5594419,0.03792103,3.06444,0.5996657,-0.02738187,3.06038,-0.02888758,0.125104,3.035204,-0.0375923,-0.4192874,3.082819,-0.0123438,-0.8230782,3.097806,-0.023261,-0.9072278,3.039784,0.1517884,0.1247591,3.038585,0.1419592,-0.4373671,3.084903,0.1253297,-0.8240709,3.099355,0.1338093,-0.9109496,3.049891,934,Run-in-place-as-fast-as-you-can,
54600236.0037,0.06221801,0.2122927,3.052555,0.06220831,0.2785442,3.113376,0.06824439,0.6604267,3.111242,0.06462181,0.86648,3.098217,-0.1364537,0.5370414,3.102696,-0.3016988,0.2868109,3.08995,-0.3856829,0.05862322,3.063265,-0.4031279,-0.02409336,3.047094,0.2685598,0.5438713,3.110991,0.4219954,0.2637118,3.106338,0.5098723,0.02254506,3.063107,0.5483863,-0.06366867,3.061121,-0.02883315,0.1230943,3.035611,-0.03766135,-0.4187773,3.08098,-0.01197637,-0.8232234,3.09795,-0.02330363,-0.9068971,3.039388,0.1507728,0.1226926,3.039454,0.142073,-0.4376611,3.084844,0.1255015,-0.8243144,3.09956,0.1349733,-0.9115753,3.051772,934,Run-in-place-as-fast-as-you-can,
54600269.0056,0.06138997,0.210707,3.052794,0.06149629,0.2770664,3.113655,0.06712271,0.6599075,3.111647,0.06045001,0.864939,3.097253,-0.1362969,0.5352108,3.100573,-0.2741584,0.2721725,3.090761,-0.3480531,0.02217148,3.068444,-0.3748758,-0.04657248,3.049055,0.2643693,0.5439636,3.107834,0.3895426,0.2550995,3.107454,0.4600374,0.003998935,3.070961,0.491068,-0.0921097,3.049619,-0.02890988,0.122397,3.035851,-0.03703904,-0.4194773,3.079264,-0.01228395,-0.8236745,3.097405,-0.02349667,-0.9077322,3.040454,0.1494701,0.1215364,3.039815,0.1421062,-0.4376393,3.084036,0.1253726,-0.8243309,3.099572,0.1352221,-0.9116499,3.051969,934,Run-in-place-as-fast-as-you-can,
