Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
54741487.3743,0.05544569,0.1983757,3.256287,0.05742564,0.2634433,3.320405,0.06462889,0.6551505,3.336626,0.04656764,0.8676648,3.332471,-0.1481019,0.5253138,3.322452,-0.2432378,0.2440385,3.278204,-0.2790933,0.00263302,3.215878,-0.2618847,-0.07164712,3.208703,0.2565425,0.5299777,3.320133,0.3490444,0.2479209,3.300196,0.3830689,4.97346E-05,3.241813,0.4004247,-0.09660394,3.228536,-0.03804045,0.1071264,3.237656,-0.03335983,-0.4328121,3.283603,-0.004319695,-0.8363265,3.294568,-0.02945427,-0.9200922,3.237394,0.1453972,0.1097445,3.237116,0.149371,-0.4316571,3.266385,0.1230716,-0.8258677,3.290247,0.1370409,-0.9179046,3.228497,934,Draw-a-square,
54741524.3764,0.05511764,0.198132,3.255349,0.05702599,0.2632154,3.319377,0.06448743,0.6548171,3.335231,0.04564063,0.8672273,3.332327,-0.1479991,0.5255755,3.321755,-0.232014,0.234118,3.275204,-0.2544526,-0.01057529,3.216587,-0.2530585,-0.08500618,3.198614,0.2566332,0.530014,3.320071,0.3382833,0.2365089,3.303583,0.3379209,-0.001389861,3.241402,0.3319107,-0.05915767,3.213542,-0.03839587,0.1070999,3.236082,-0.03353013,-0.4336352,3.283947,-0.005921515,-0.8394605,3.293098,-0.02894298,-0.9210955,3.236764,0.1450677,0.109514,3.236794,0.1492802,-0.431522,3.264876,0.1226909,-0.8248776,3.289371,0.1373191,-0.917976,3.228395,934,Draw-a-square,
54741554.3781,0.05536151,0.1977967,3.255079,0.05736654,0.2630944,3.319154,0.0642109,0.6554945,3.334787,0.04508183,0.8675374,3.330654,-0.1475025,0.5263711,3.321239,-0.2234968,0.2307296,3.274148,-0.228362,-0.01296683,3.217191,-0.2201772,-0.09531518,3.196931,0.254762,0.5298758,3.317819,0.3335833,0.2359914,3.305098,0.3161946,-0.006572804,3.234816,0.3146987,-0.1066192,3.220859,-0.03775945,0.1068456,3.235788,-0.03314566,-0.4339676,3.283514,-0.006889506,-0.8397386,3.292228,-0.02893027,-0.9210191,3.236789,0.1451276,0.1095719,3.236783,0.1451993,-0.4307873,3.264486,0.1221813,-0.8234527,3.289477,0.1363624,-0.91776,3.230086,934,Draw-a-square,
54741586.3799,0.0556825,0.197956,3.254723,0.0575934,0.263447,3.318688,0.06354431,0.6559271,3.332867,0.04464827,0.8657224,3.32927,-0.147577,0.5262253,3.320946,-0.219189,0.2331642,3.279574,-0.214448,-0.005597621,3.222203,-0.2015002,-0.1002163,3.182013,0.2552408,0.5295998,3.317508,0.3295107,0.2355352,3.307136,0.3096421,0.0007705986,3.234609,0.3098177,-0.09517904,3.221916,-0.03733069,0.1068972,3.235277,-0.03423937,-0.4330143,3.28279,-0.006069998,-0.8383284,3.292845,-0.02825702,-0.9204726,3.235964,0.1456796,0.1097679,3.236793,0.1455622,-0.4305696,3.263695,0.1222529,-0.8233927,3.289721,0.1367724,-0.9179208,3.230074,934,Draw-a-square,
54741616.3817,0.05593878,0.1987306,3.254491,0.05746858,0.2642025,3.318354,0.06306262,0.6563944,3.331823,0.04418437,0.8664473,3.329068,-0.1473978,0.5265006,3.320568,-0.2128684,0.2519072,3.291273,-0.2133714,0.01519775,3.22346,-0.2004236,-0.07942072,3.18327,0.2586414,0.5302644,3.319125,0.3278649,0.2388953,3.310192,0.3026105,0.005058691,3.236025,0.2861518,-0.06529257,3.210631,-0.03725217,0.1073869,3.235096,-0.03319701,-0.4329724,3.281624,-0.006324376,-0.8387772,3.292555,-0.01868704,-0.9214452,3.236571,0.146314,0.1102373,3.236819,0.1455446,-0.4325736,3.264229,0.120567,-0.8250934,3.290523,0.136291,-0.9185848,3.229327,934,Draw-a-square,
54741647.5817,0.05557393,0.1984274,3.25375,0.05709136,0.264001,3.317569,0.06264465,0.6566505,3.331081,0.04360969,0.8660288,3.32935,-0.1473883,0.5268975,3.320312,-0.21243,0.252739,3.292276,-0.2122135,0.01610065,3.224144,-0.1992657,-0.07851771,3.183953,0.2583155,0.5300129,3.31868,0.3272624,0.2375974,3.31077,0.2984055,0.005156741,3.232878,0.2901891,-0.06631434,3.206622,-0.03762291,0.1071923,3.234636,-0.03312483,-0.433429,3.281041,-0.008440646,-0.835978,3.29338,-0.02673582,-0.9208218,3.234637,0.1460849,0.1101422,3.236181,0.1453197,-0.4325897,3.26408,0.1199065,-0.824683,3.291122,0.1359591,-0.9182125,3.228231,934,Draw-a-square,
54741678.7818,0.05514929,0.1985797,3.253188,0.05648214,0.2642862,3.316834,0.06129275,0.656772,3.329405,0.04171656,0.8650087,3.32872,-0.147233,0.5272371,3.319957,-0.2132957,0.2499015,3.294458,-0.2134609,0.01366845,3.224557,-0.2005132,-0.08094929,3.184366,0.2583078,0.5301347,3.318617,0.3273483,0.2377476,3.310474,0.2987648,-0.007065336,3.213734,0.2901646,-0.0794692,3.19031,-0.03804741,0.1075171,3.233901,-0.03313147,-0.4340889,3.281011,-0.006896764,-0.837692,3.294149,-0.02605503,-0.9208608,3.23532,0.1458826,0.1102198,3.236048,0.1449623,-0.4325895,3.263802,0.1196504,-0.8256238,3.289996,0.1365489,-0.9185778,3.229963,934,Draw-a-square,
54741722.3834,0.05404373,0.1982256,3.252052,0.05544133,0.2641613,3.315582,0.05950872,0.6574862,3.327689,0.04047064,0.8652423,3.328348,-0.1476444,0.5272588,3.319831,-0.2139844,0.2464938,3.294532,-0.2162108,0.009432584,3.228354,-0.2007727,-0.04583212,3.192559,0.2557673,0.5306688,3.317258,0.3268674,0.2336203,3.304509,0.3031327,-0.005018007,3.203896,0.3010469,-0.1023867,3.16853,-0.03872297,0.1075872,3.232848,-0.03356233,-0.4339286,3.280433,-0.006911219,-0.837703,3.29426,-0.02328665,-0.9200772,3.234866,0.1446885,0.1099686,3.23543,0.1448755,-0.4326485,3.263494,0.1192942,-0.8242604,3.291365,0.1364215,-0.9181406,3.232246,934,Draw-a-square,
54741754.3852,0.05299499,0.198184,3.251209,0.0545898,0.2640389,3.31491,0.05945851,0.6574847,3.32768,0.04019005,0.8649784,3.32847,-0.1478181,0.5271849,3.319642,-0.2184053,0.2409825,3.296944,-0.2188148,0.004519567,3.228038,-0.2072936,-0.04880645,3.202554,0.2560224,0.5307859,3.317375,0.3612034,0.2846169,3.29391,0.3113921,0.03637725,3.153666,0.298428,-0.06129581,3.121605,-0.04031738,0.1075274,3.231749,-0.03382828,-0.4340871,3.280192,-0.006774162,-0.8378423,3.294332,-0.02701312,-0.9205406,3.237183,0.1434733,0.1096851,3.234279,0.1441756,-0.4368942,3.262501,0.1195072,-0.8257768,3.288308,0.1365602,-0.9195892,3.229722,934,Draw-a-square,
54741786.3871,0.04926239,0.198001,3.250319,0.05143977,0.2637,3.314079,0.05862387,0.6571007,3.327459,0.03966509,0.8646213,3.328593,-0.1491924,0.5279676,3.319795,-0.2239198,0.2422604,3.297291,-0.2275851,0.005310521,3.230686,-0.2133244,-0.06503245,3.203971,0.256068,0.5306987,3.317258,0.3805487,0.2872135,3.267975,0.3149204,0.09136739,3.113738,0.2927613,0.004391469,3.067569,-0.04607192,0.1081452,3.231188,-0.03404214,-0.4344311,3.27985,-0.006693329,-0.8377933,3.294283,-0.02716553,-0.9201702,3.237944,0.1396661,0.1079646,3.232692,0.1446193,-0.4359725,3.26177,0.1198426,-0.8276039,3.287051,0.1356234,-0.9208202,3.229749,934,Draw-a-square,
