Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
54754703.1259,0.03365676,0.211053,3.26737,0.0431748,0.2742543,3.333431,0.03526243,0.6705076,3.369793,0.005338428,0.8670615,3.376702,-0.1587595,0.534766,3.363955,-0.2331438,0.251715,3.346807,-0.2384766,0.01460655,3.281335,-0.2443283,-0.05429153,3.280746,0.2176924,0.5676221,3.305607,0.3725043,0.6732209,3.122613,0.2665739,0.8440102,2.928103,0.2398065,0.9134814,2.86844,-0.05205724,0.1217866,3.265071,-0.03510006,-0.435159,3.287768,-0.006922328,-0.8389333,3.295677,-0.02936342,-0.9217935,3.240449,0.1168875,0.1315255,3.22827,0.1432878,-0.4359319,3.267797,0.125108,-0.8224663,3.291945,0.1380181,-0.9209898,3.227942,934,Draw-a-triangle,
54754736.1277,0.03262253,0.2110172,3.268089,0.04197252,0.2739668,3.334429,0.03488743,0.6705234,3.372718,0.004488779,0.8670022,3.377801,-0.1625512,0.5339899,3.368644,-0.2338136,0.2460725,3.34993,-0.2349515,0.006751027,3.287027,-0.2420243,-0.0721008,3.280128,0.2198684,0.5481284,3.306394,0.3564373,0.6816373,3.087436,0.2425618,0.8113379,2.896894,0.2155347,0.8760217,2.844625,-0.05341142,0.1216218,3.265293,-0.03448844,-0.4345672,3.287457,-0.005680163,-0.838963,3.294933,-0.01876646,-0.9210722,3.238302,0.1162261,0.130953,3.228545,0.1436566,-0.4349856,3.267474,0.1245305,-0.8225783,3.291657,0.1381318,-0.9210025,3.227674,934,Draw-a-triangle,
54754771.1297,0.03241194,0.2104026,3.268475,0.04176778,0.2732354,3.334992,0.03493826,0.6701688,3.374482,0.003615183,0.867799,3.378317,-0.1637515,0.531213,3.36919,-0.2343367,0.2483604,3.350541,-0.2396932,0.01117691,3.285426,-0.2458191,-0.05142424,3.281723,0.2174851,0.539578,3.305843,0.3104385,0.657249,3.062297,0.2093031,0.7749357,2.861117,0.183235,0.8145348,2.8285,-0.05364598,0.1210549,3.265531,-0.03450764,-0.4343839,3.28715,-0.005677698,-0.8392497,3.294968,-0.02485615,-0.9212757,3.238574,0.116168,0.1303093,3.228589,0.1432324,-0.434258,3.267473,0.1239301,-0.8226054,3.29174,0.1382295,-0.9203463,3.228031,934,Draw-a-triangle,
54754814.1322,0.03382368,0.2074434,3.268671,0.04369963,0.2704765,3.335403,0.03656752,0.6685348,3.37593,0.004625432,0.8670816,3.378569,-0.1487151,0.5341138,3.368493,-0.2345048,0.250267,3.35246,-0.2401497,0.01328427,3.286444,-0.2463259,-0.05111746,3.28239,0.2172965,0.535809,3.302448,0.3143811,0.6104091,3.064054,0.1745577,0.69936,2.872188,0.1386934,0.7385594,2.823887,-0.05133556,0.1204783,3.264843,-0.03503183,-0.4342341,3.287236,-0.005797196,-0.8388397,3.294204,-0.02786719,-0.9215696,3.238609,0.116453,0.1290179,3.22948,0.1469858,-0.4247609,3.264426,0.1243353,-0.8225365,3.292136,0.138172,-0.9199447,3.228533,934,Draw-a-triangle,
54754831.7323,0.03307435,0.2063856,3.269459,0.04342427,0.2692899,3.336321,0.03668742,0.6675839,3.378133,0.003206555,0.8664616,3.379229,-0.150065,0.5331886,3.369334,-0.2346971,0.2505566,3.352495,-0.2386169,0.01325276,3.287829,-0.2316206,-0.08312578,3.250165,0.2094681,0.5363601,3.302431,0.3020126,0.5964832,3.057428,0.1249938,0.6325633,2.880834,0.0884702,0.6382772,2.83115,-0.0515987,0.1198948,3.265566,-0.03419449,-0.4307204,3.285065,-0.006048986,-0.8397902,3.294344,-0.03223597,-0.921411,3.240732,0.115426,0.1290096,3.230002,0.1463514,-0.4250497,3.264439,0.1240797,-0.8226243,3.292147,0.1383422,-0.9198722,3.229589,934,Draw-a-triangle,
54754862.9324,0.03124044,0.2018906,3.268837,0.04114833,0.2660321,3.335873,0.03115603,0.6674321,3.37717,0.002322801,0.8669396,3.379395,-0.1565369,0.5298666,3.371464,-0.2341364,0.2508399,3.353644,-0.2384575,0.01405561,3.286607,-0.2296255,-0.05537596,3.257734,0.2069622,0.5212415,3.301458,0.3046366,0.5555902,3.053105,0.09027399,0.5683822,2.925614,0.06193895,0.5755616,2.866612,-0.05290299,0.1147324,3.264996,-0.03355263,-0.4325817,3.285772,-0.005893578,-0.8405376,3.294566,-0.0236122,-0.9221283,3.24003,0.1145014,0.124245,3.229453,0.143395,-0.433902,3.268341,0.1243434,-0.8250827,3.290594,0.1386015,-0.9201992,3.229515,934,Draw-a-triangle,
54754894.1325,0.03045916,0.2016664,3.270155,0.0398427,0.2652702,3.337725,0.03071042,0.6677902,3.383263,0.001854013,0.8676368,3.380383,-0.1644522,0.5283369,3.379609,-0.2341046,0.251134,3.353673,-0.2386533,0.01439215,3.286471,-0.2296638,-0.08303922,3.252076,0.2483231,0.482726,3.293765,0.2905072,0.5044734,3.02689,0.05407323,0.5272569,2.963169,0.03455862,0.5327805,2.89899,-0.06006338,0.1083237,3.270101,-0.03295356,-0.4330464,3.286711,-0.005352508,-0.8402018,3.295349,-0.01834117,-0.9203685,3.236544,0.116718,0.118587,3.226829,0.1435596,-0.4341004,3.26848,0.1245447,-0.8254137,3.290621,0.1379873,-0.9206283,3.228261,934,Draw-a-triangle,
54754925.3325,0.02821505,0.187114,3.269893,0.04513763,0.2553516,3.336054,0.03273155,0.6672351,3.382278,0.001507844,0.8666843,3.379511,-0.1657357,0.5289164,3.380213,-0.2337263,0.2513777,3.352924,-0.2383306,0.01495865,3.284298,-0.2273428,-0.08051189,3.245293,0.1731347,0.5248784,3.276008,0.3093071,0.4943349,3.048623,0.01622308,0.4973368,3.027463,-0.0748089,0.4744502,2.983348,-0.05876277,0.1027676,3.27013,-0.03263745,-0.4349738,3.288029,-0.003517494,-0.8477486,3.29525,-0.02468464,-0.9267039,3.241772,0.1116955,0.1119219,3.228093,0.1452845,-0.4333288,3.269171,0.124276,-0.8259924,3.289846,0.1379518,-0.9208599,3.228397,934,Draw-a-triangle,
54754956.5326,0.03198111,0.1929425,3.272159,0.04345289,0.2580399,3.338239,0.03265007,0.6666178,3.381701,0.00194482,0.8664187,3.37898,-0.1658935,0.5306916,3.379699,-0.233481,0.2513043,3.351388,-0.238206,0.01554801,3.279943,-0.2272775,-0.07959864,3.240138,0.1913232,0.5981287,3.315984,0.2450663,0.4742668,3.085485,0.007378563,0.4841177,3.023573,-0.09035133,0.4579751,3.000721,-0.05164936,0.1055185,3.275756,-0.03299891,-0.4349763,3.288352,-0.003657934,-0.8481947,3.295327,-0.02642612,-0.9267796,3.241962,0.1151101,0.1181428,3.227352,0.1466217,-0.4322197,3.271585,0.1255567,-0.8224385,3.292866,0.1390658,-0.9202584,3.227648,934,Draw-a-triangle,
54755003.3326,0.0321964,0.1926187,3.272321,0.04770798,0.2580067,3.337404,0.0330109,0.6654298,3.380745,0.001960397,0.8664562,3.378971,-0.1689577,0.5343428,3.38311,-0.2327349,0.2512645,3.351542,-0.2253819,-0.003397464,3.264859,-0.2192533,-0.09691323,3.220431,0.1883024,0.5562696,3.277775,0.2230364,0.4442764,3.036446,-0.07909496,0.44528,3.040932,-0.1433797,0.4329821,3.001023,-0.05123367,0.1046587,3.275942,-0.03241631,-0.4340758,3.28845,-0.002324786,-0.8457695,3.295334,-0.02052367,-0.9258015,3.242368,0.1153205,0.1177378,3.227573,0.1482992,-0.4311127,3.272792,0.1258308,-0.8217184,3.293453,0.1390159,-0.9205745,3.227659,934,Draw-a-triangle,
