Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
54884510.0025,0.06765743,0.2376722,3.252869,0.06977096,0.2989018,3.315989,0.0822982,0.6692718,3.326572,0.07400419,0.8808174,3.331419,-0.1365108,0.5902569,3.332455,-0.3817724,0.6519207,3.314474,-0.6145672,0.620056,3.243114,-0.6891456,0.6292702,3.227885,0.28869,0.5760796,3.331298,0.5685581,0.586992,3.340428,0.8250083,0.5982466,3.342392,0.8984424,0.6158221,3.355706,-0.02760139,0.1464559,3.23325,-0.02166226,-0.4225918,3.269145,0.0008787745,-0.8333396,3.290119,-0.02135441,-0.9171594,3.225156,0.1581526,0.1423575,3.233343,0.1555431,-0.4288034,3.266192,0.1252858,-0.8327386,3.293693,0.1406509,-0.9207309,3.234038,934,Make-the-letter-M,
54884542.0043,0.06752503,0.2372966,3.252608,0.0698135,0.2985508,3.315806,0.08226791,0.6692443,3.326633,0.07479465,0.8823678,3.332407,-0.1375829,0.5892147,3.333356,-0.38183,0.6089377,3.306891,-0.618576,0.599736,3.244409,-0.690686,0.6173488,3.225208,0.2884039,0.5747789,3.331009,0.5656866,0.5770487,3.336985,0.8212528,0.5695612,3.333713,0.8946869,0.5871367,3.347028,-0.02806479,0.1455864,3.233268,-0.02123468,-0.4247702,3.269731,0.001006509,-0.8332713,3.290041,-0.02198602,-0.9172449,3.225417,0.157953,0.1417198,3.232285,0.1553449,-0.4291697,3.265907,0.1244156,-0.8329731,3.292925,0.1413026,-0.9217412,3.23309,934,Make-the-letter-M,
54884578.0064,0.06737025,0.2354238,3.251377,0.06988683,0.2966751,3.314664,0.08249818,0.6683236,3.32617,0.07527064,0.8776683,3.332909,-0.1381848,0.5864108,3.333545,-0.4199302,0.6095594,3.295599,-0.6556203,0.5867113,3.232477,-0.7279108,0.5956205,3.208529,0.2881029,0.565408,3.328821,0.5615414,0.5707394,3.335653,0.8226436,0.5570676,3.33101,0.8960779,0.5746431,3.344325,-0.02861866,0.143438,3.232383,-0.02163827,-0.4246372,3.269418,0.0008907656,-0.8331633,3.289603,-0.02215755,-0.9170533,3.225435,0.1576726,0.1395215,3.230463,0.1553304,-0.4290749,3.265863,0.124797,-0.8328689,3.29306,0.1412321,-0.9212547,3.234077,934,Make-the-letter-M,
54884611.0083,0.06763536,0.2348759,3.250836,0.07008026,0.2961129,3.314193,0.08246395,0.6681269,3.326078,0.07537309,0.8782012,3.332419,-0.1382854,0.5852739,3.333485,-0.4328242,0.6038529,3.288949,-0.6674517,0.5677677,3.228822,-0.7406247,0.5690622,3.205956,0.2881504,0.5646696,3.32891,0.5638062,0.5630096,3.335756,0.8211046,0.5361117,3.321766,0.8945391,0.5536873,3.335081,-0.02847882,0.142811,3.231827,-0.02185939,-0.424465,3.269471,0.001685713,-0.8335953,3.289443,-0.02300908,-0.9166746,3.225166,0.1581314,0.1389552,3.22986,0.1550886,-0.4286699,3.265141,0.1244839,-0.8329991,3.292396,0.1425918,-0.9207637,3.233705,934,Make-the-letter-M,
54884642.01,0.06764774,0.2339276,3.25036,0.07018242,0.2952742,3.313861,0.08287714,0.6679242,3.326289,0.07580571,0.8780574,3.331719,-0.1383722,0.5842645,3.333422,-0.4370596,0.5952822,3.290171,-0.6682141,0.5486158,3.222483,-0.7613847,0.5183685,3.188346,0.2883348,0.561918,3.328491,0.5651326,0.5533584,3.334966,0.8119632,0.5140515,3.318226,0.8853981,0.5316272,3.331541,-0.02867793,0.1417914,3.231227,-0.02035989,-0.4259283,3.269522,-0.0002188021,-0.8301715,3.291405,-0.0240849,-0.9170212,3.225579,0.1579709,0.1379103,3.229281,0.1549014,-0.4289028,3.265215,0.1241518,-0.8330907,3.292843,0.1427535,-0.9215947,3.233067,934,Make-the-letter-M,
54884678.0121,0.06700074,0.2330105,3.249859,0.0697023,0.2944611,3.313426,0.08284875,0.6678258,3.326226,0.07553193,0.8779258,3.330845,-0.1381727,0.5833843,3.333453,-0.4395527,0.582615,3.293579,-0.6666105,0.5232584,3.22108,-0.7373294,0.4952135,3.211528,0.2882789,0.5606548,3.328269,0.5672628,0.5409029,3.329802,0.8067383,0.4957818,3.304916,0.8801733,0.5133575,3.318231,-0.0293717,0.1410819,3.230713,-0.0202024,-0.4269971,3.270293,1.809551E-05,-0.829975,3.291434,-0.02372291,-0.9169985,3.225872,0.1570069,0.1368877,3.228878,0.154815,-0.4291933,3.265337,0.1247643,-0.8330873,3.292521,0.1419736,-0.9218882,3.232141,934,Make-the-letter-M,
54884710.0139,0.06623493,0.2316052,3.249186,0.06916821,0.2932385,3.312869,0.08295269,0.667621,3.326171,0.07550824,0.8797092,3.330618,-0.1378015,0.5825118,3.333082,-0.4561842,0.5603882,3.289812,-0.6831665,0.4995873,3.21853,-0.7511325,0.4643283,3.214486,0.2873788,0.5593829,3.327803,0.5620928,0.5220302,3.32925,0.8037485,0.4728316,3.299096,0.8771838,0.4904073,3.312411,-0.03015353,0.140058,3.230145,-0.02020011,-0.4270079,3.2703,-0.001406018,-0.8297809,3.293003,-0.01991213,-0.9169462,3.227208,0.1559174,0.1359499,3.228321,0.1546256,-0.4293769,3.26563,0.1234397,-0.8319114,3.293888,0.1414657,-0.9216357,3.231967,934,Make-the-letter-M,
54884743.0158,0.06558553,0.2307701,3.248733,0.06860291,0.2923523,3.312335,0.08239341,0.6667638,3.325438,0.07577159,0.8800938,3.33017,-0.1367849,0.579769,3.332908,-0.4569862,0.5540822,3.288427,-0.6727503,0.4656586,3.2101,-0.7662865,0.4275633,3.186415,0.2901356,0.5525753,3.325922,0.5631222,0.5198995,3.329032,0.7983716,0.4549381,3.299622,0.8718075,0.4725141,3.312937,-0.03115116,0.1391068,3.2296,-0.01993312,-0.4280972,3.270966,-0.002054404,-0.8300635,3.292961,-0.01258173,-0.9159324,3.230344,0.1553134,0.1347491,3.227994,0.1531934,-0.4293776,3.26524,0.1227835,-0.8309628,3.29502,0.1396007,-0.9204323,3.233097,934,Make-the-letter-M,
54884779.0179,0.06521797,0.2299514,3.248436,0.06807943,0.2914988,3.311922,0.0809079,0.6654053,3.324228,0.07523377,0.8785943,3.328051,-0.1363366,0.5779223,3.332758,-0.405612,0.5287394,3.300884,-0.6321386,0.4718451,3.223978,-0.6918744,0.4284325,3.203338,0.2903697,0.5514433,3.325974,0.5727734,0.501519,3.325992,0.8009698,0.4231478,3.297395,0.8744059,0.4407238,3.31071,-0.0315714,0.1381008,3.228832,-0.02022621,-0.4283758,3.271363,-0.001698265,-0.8298565,3.293095,-0.01582107,-0.9163266,3.230242,0.1551469,0.1338837,3.228291,0.1529415,-0.4294039,3.265357,0.1228846,-0.8304228,3.295049,0.1399079,-0.9200671,3.232764,934,Make-the-letter-M,
54884811.0197,0.06512881,0.2285275,3.24784,0.06789842,0.290288,3.311539,0.08071073,0.6651739,3.324558,0.07448907,0.8788449,3.327241,-0.1346906,0.5748185,3.332182,-0.4035346,0.5274549,3.300866,-0.6198502,0.4410742,3.221615,-0.6853973,0.401347,3.21955,0.2910771,0.5494319,3.325974,0.5311467,0.4851,3.325855,0.7607357,0.4106798,3.298565,0.8341709,0.4282556,3.311879,-0.03166313,0.1367312,3.228023,-0.02075906,-0.4284676,3.271399,-0.0006620621,-0.8302541,3.291277,-0.0201804,-0.9171311,3.227616,0.1552098,0.1327401,3.227694,0.1527395,-0.4298866,3.265103,0.1226757,-0.8306669,3.294801,0.1406144,-0.9197742,3.232791,934,Make-the-letter-M,
