Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
54943683.7576,0.04977257,0.2297651,3.265135,0.04708452,0.2920519,3.329098,0.04639573,0.6723184,3.347019,0.04597091,0.8701406,3.34951,-0.1616823,0.5835361,3.342461,-0.4690513,0.562103,3.315443,-0.693598,0.5074036,3.234551,-0.7660167,0.4836717,3.226786,0.2627143,0.5663478,3.353327,0.5531952,0.5918109,3.362279,0.7929067,0.5933304,3.365212,0.8691133,0.5994443,3.360402,-0.04254272,0.1385155,3.237326,-0.04944085,-0.4248874,3.281035,-0.0397453,-0.8261562,3.300697,-0.0384629,-0.9116734,3.238528,0.1438968,0.1335762,3.252535,0.1482992,-0.4293672,3.284817,0.1279407,-0.8270507,3.310007,0.1434219,-0.9242439,3.251047,934,Make-the-letter-K,
54943705.7589,0.04983699,0.2294252,3.265224,0.04687222,0.2916,3.32927,0.04630567,0.6720444,3.347906,0.04676651,0.8684536,3.349024,-0.1611643,0.5820585,3.342639,-0.4637986,0.5526119,3.31509,-0.6898223,0.4959636,3.241252,-0.7625853,0.4740396,3.231623,0.2660977,0.5629766,3.355444,0.5449606,0.5806739,3.360561,0.7851925,0.5803095,3.353973,0.8613983,0.5864233,3.349162,-0.04258269,0.1380024,3.236978,-0.04942375,-0.4248971,3.281039,-0.03771482,-0.8265253,3.301586,-0.04029515,-0.911206,3.238608,0.1442059,0.1326074,3.2528,0.1482971,-0.4300007,3.285362,0.1275986,-0.8265483,3.31105,0.1435485,-0.9241815,3.250825,934,Make-the-letter-K,
54943741.7609,0.04986727,0.2291787,3.265237,0.04691503,0.2914431,3.329305,0.04631252,0.6721376,3.347946,0.04844939,0.8724941,3.347924,-0.1599813,0.5773422,3.343665,-0.467823,0.5441683,3.312496,-0.6752805,0.4413698,3.233076,-0.7457908,0.4152249,3.2185,0.2684955,0.5616279,3.357212,0.5523192,0.5698835,3.359649,0.7924927,0.5601259,3.343863,0.8686978,0.5662397,3.339052,-0.0427083,0.1374992,3.236918,-0.04942809,-0.4249964,3.281123,-0.04043333,-0.8266225,3.300661,-0.04038362,-0.9118977,3.239086,0.1443882,0.1321048,3.252774,0.1482573,-0.4297131,3.285699,0.1277291,-0.8263392,3.311155,0.14371,-0.9243274,3.251192,934,Make-the-letter-K,
54943773.7628,0.05020596,0.2282618,3.265162,0.04715053,0.2907136,3.329352,0.04706431,0.6723647,3.348536,0.04854278,0.8717919,3.347909,-0.1606751,0.5662696,3.340039,-0.4204021,0.5192888,3.318343,-0.6427599,0.4504935,3.243496,-0.7078186,0.4123268,3.230143,0.2704902,0.5570214,3.356407,0.550191,0.5519702,3.348607,0.7886314,0.5230315,3.324405,0.8648359,0.5291452,3.319595,-0.04287262,0.1359737,3.236865,-0.04939056,-0.4244601,3.280807,-0.04125338,-0.8265049,3.300513,-0.04012404,-0.911786,3.240483,0.1451431,0.1307195,3.252132,0.1481309,-0.4294448,3.285657,0.1275839,-0.8269068,3.311432,0.1408274,-0.9232049,3.257786,934,Make-the-letter-K,
54943805.7646,0.05016788,0.2274006,3.265049,0.04712368,0.2899577,3.329326,0.04708529,0.6722264,3.348642,0.04907598,0.8725792,3.347821,-0.1606002,0.5661584,3.340094,-0.4179971,0.5144501,3.319455,-0.6344206,0.4313799,3.241081,-0.7033936,0.4001651,3.229423,0.2703233,0.5568736,3.356722,0.554752,0.5372878,3.345154,0.7896558,0.4921387,3.306653,0.8658596,0.4982525,3.301842,-0.04297926,0.1352023,3.236522,-0.04937554,-0.4244195,3.280838,-0.04178473,-0.8262702,3.300168,-0.04096601,-0.9119173,3.240593,0.1450741,0.129982,3.252105,0.1483097,-0.4295923,3.285739,0.1274295,-0.8271174,3.311549,0.1400821,-0.9232774,3.256089,934,Make-the-letter-K,
54943841.7667,0.05035948,0.2258849,3.264853,0.04744486,0.2886781,3.329161,0.04804649,0.6718245,3.3484,0.04968382,0.8722648,3.34809,-0.1603995,0.5654718,3.340067,-0.4169751,0.4939752,3.312043,-0.6350249,0.4159411,3.232852,-0.6989235,0.3742051,3.226332,0.2704145,0.5567406,3.35719,0.5458089,0.5184896,3.3478,0.8088633,0.4598696,3.31513,0.8850665,0.4659832,3.31032,-0.0429221,0.1336793,3.236705,-0.04950555,-0.4244407,3.280926,-0.04170922,-0.826255,3.300037,-0.02398443,-0.9116267,3.246609,0.144909,0.1284354,3.251569,0.1469855,-0.4315523,3.286451,0.1283048,-0.8263363,3.310312,0.1410155,-0.92362,3.25435,934,Make-the-letter-K,
54943864.768,0.05090478,0.2227551,3.264672,0.04792862,0.2861791,3.329154,0.04857241,0.6715316,3.348708,0.04998191,0.873099,3.347091,-0.1600087,0.5609834,3.337605,-0.4652899,0.4632833,3.293097,-0.6645505,0.3410751,3.222247,-0.7189567,0.3316996,3.217645,0.2694818,0.554444,3.356236,0.5483145,0.5116246,3.34721,0.7736883,0.4310387,3.310214,0.8498912,0.4371523,3.305403,-0.04203191,0.1303737,3.236602,-0.04959651,-0.4253951,3.280976,-0.04200909,-0.826175,3.300233,-0.03204103,-0.9138879,3.238415,0.1448351,0.1264205,3.251276,0.1465278,-0.4344997,3.287536,0.1286518,-0.8247271,3.314082,0.1413495,-0.9234263,3.253802,934,Make-the-letter-K,
54943895.968,0.05226506,0.219596,3.264412,0.04890834,0.2834687,3.328877,0.04906368,0.6709546,3.348449,0.05082081,0.8737149,3.346737,-0.1586452,0.5529572,3.334407,-0.4534146,0.4591011,3.292525,-0.6481258,0.3318808,3.217027,-0.7099016,0.3061677,3.199906,0.2697431,0.5508613,3.356107,0.5432624,0.4842488,3.343288,0.7703512,0.4103968,3.300973,0.8465539,0.4165104,3.296163,-0.04004905,0.1264736,3.235662,-0.05019132,-0.425157,3.281201,-0.04209251,-0.8261172,3.30028,-0.03694245,-0.9129133,3.23884,0.1458831,0.1235996,3.251792,0.147164,-0.4328364,3.286972,0.1278877,-0.8239015,3.314467,0.142719,-0.9224955,3.251653,934,Make-the-letter-K,
54943941.5698,0.05249071,0.2188408,3.264084,0.04916997,0.2825711,3.328495,0.04983042,0.6696644,3.347762,0.05023938,0.8729391,3.348857,-0.1584545,0.5495091,3.33343,-0.4169388,0.4374582,3.302591,-0.6208525,0.3259098,3.226488,-0.7135644,0.2840806,3.206621,0.2700807,0.5496566,3.356087,0.5412595,0.4676708,3.340623,0.7807803,0.3606798,3.291901,0.8569829,0.3667934,3.287091,-0.04014077,0.1255639,3.235694,-0.05060435,-0.4261259,3.281708,-0.03805661,-0.8286031,3.298539,-0.04064558,-0.914829,3.238699,0.1463675,0.1228127,3.251026,0.1452042,-0.4363738,3.287172,0.1274284,-0.8242877,3.314769,0.1425531,-0.9228108,3.252327,934,Make-the-letter-K,
54943974.5717,0.05277628,0.2164885,3.263334,0.04915857,0.2804942,3.327691,0.04930611,0.6687016,3.346664,0.05148691,0.874265,3.34637,-0.1567227,0.5453439,3.331206,-0.4098206,0.4313956,3.302113,-0.6007033,0.2977781,3.227588,-0.6884392,0.2444391,3.21354,0.2695011,0.546521,3.355114,0.5359212,0.4535543,3.33633,0.747273,0.3458837,3.282563,0.8234759,0.3519973,3.277753,-0.0398632,0.123584,3.235002,-0.05056021,-0.4263568,3.281683,-0.03832513,-0.8288012,3.298679,-0.04707101,-0.9197072,3.244323,0.1468626,0.1213301,3.250854,0.145986,-0.4352394,3.287238,0.1271295,-0.8246946,3.314559,0.141594,-0.9222804,3.251254,934,Make-the-letter-K,
