Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
54959889.2793,0.05083359,0.230922,3.212844,0.05132087,0.2932224,3.277402,0.05588752,0.67476,3.297395,0.05186017,0.8806974,3.290158,-0.1487538,0.5821653,3.296738,-0.4573088,0.5831755,3.254798,-0.6800079,0.5079715,3.189056,-0.7562069,0.5133893,3.183088,0.2640721,0.5676159,3.297553,0.5492445,0.5792433,3.320466,0.8072303,0.5715258,3.301033,0.8809494,0.5696583,3.280218,-0.04161239,0.1432001,3.189525,-0.0492819,-0.4205105,3.233443,-0.04143988,-0.8114014,3.263084,-0.05117415,-0.9044156,3.194611,0.1406099,0.1367482,3.196022,0.1425238,-0.4224352,3.230074,0.1147113,-0.8260294,3.262051,0.1142975,-0.9124681,3.20313,934,Make-the-letter-P,
54959925.2814,0.05001524,0.2298364,3.212479,0.05059327,0.2922171,3.277135,0.05554115,0.6745297,3.297446,0.0509005,0.8803435,3.289848,-0.1492156,0.5809715,3.296649,-0.4568071,0.5715449,3.256718,-0.6791993,0.4923109,3.19599,-0.75333,0.4658996,3.180688,0.2636321,0.5656444,3.296891,0.5512248,0.5718317,3.318273,0.811797,0.555383,3.297791,0.8855163,0.5535156,3.276976,-0.04235864,0.1422057,3.189286,-0.04958419,-0.4205506,3.233443,-0.04152493,-0.8112686,3.263086,-0.0507255,-0.9045756,3.195134,0.1397244,0.1355859,3.195277,0.1426626,-0.4220088,3.229945,0.1148181,-0.8261099,3.261882,0.1133561,-0.9122145,3.20312,934,Make-the-letter-P,
54959957.2832,0.04926272,0.2285942,3.212432,0.04959718,0.2912031,3.277254,0.05386246,0.6753204,3.298959,0.05089913,0.8803501,3.290035,-0.1497514,0.5788714,3.295687,-0.4604794,0.5620534,3.258751,-0.6839888,0.488254,3.19452,-0.7536164,0.4587987,3.182044,0.2631678,0.5630981,3.297397,0.5545111,0.5625466,3.314346,0.8099079,0.5390074,3.28943,0.8836272,0.53714,3.268615,-0.04291725,0.1410319,3.188825,-0.05016491,-0.4206434,3.233705,-0.04137514,-0.8111988,3.263191,-0.05194444,-0.9044342,3.19475,0.1391353,0.1344668,3.19528,0.1426096,-0.4218887,3.229848,0.1138423,-0.8270375,3.264188,0.1133917,-0.9121915,3.203124,934,Make-the-letter-P,
54959993.2853,0.04799089,0.227588,3.212015,0.04862647,0.2902165,3.276979,0.0536542,0.6749896,3.299085,0.04980709,0.8806913,3.290755,-0.1511073,0.5779018,3.296106,-0.4623013,0.554038,3.254682,-0.6810744,0.4688231,3.187696,-0.7714983,0.4279773,3.157659,0.2624982,0.5610833,3.296542,0.5532572,0.5566567,3.312391,0.8084188,0.5195174,3.288344,0.8821381,0.5176501,3.267529,-0.04485337,0.1394942,3.188554,-0.05065392,-0.421284,3.234008,-0.04213323,-0.8152393,3.262134,-0.05211163,-0.9059064,3.194833,0.1377814,0.1333835,3.194185,0.1427829,-0.4214101,3.229686,0.1142116,-0.8259104,3.263661,0.1144699,-0.9112242,3.20192,934,Make-the-letter-P,
54960025.2871,0.04712655,0.226985,3.211941,0.04765413,0.289376,3.276895,0.05193402,0.6732907,3.298934,0.04863606,0.8808776,3.291681,-0.151729,0.5768959,3.296521,-0.4670382,0.5422602,3.252653,-0.6855654,0.4513848,3.195024,-0.7519584,0.419649,3.173668,0.2625688,0.5598304,3.296167,0.555909,0.5483476,3.3109,0.7917711,0.5020205,3.287843,0.8654903,0.5001532,3.267028,-0.04559076,0.1388506,3.18852,-0.05064166,-0.4215068,3.234067,-0.04138756,-0.8165599,3.262128,-0.05018505,-0.9060396,3.193553,0.1370311,0.1326611,3.193959,0.1428053,-0.4213797,3.229769,0.1153383,-0.8251783,3.262667,0.1101471,-0.9114668,3.200524,934,Make-the-letter-P,
54960058.289,0.04653976,0.2259429,3.211859,0.04693085,0.2883919,3.276886,0.05072812,0.6729493,3.29932,0.04731764,0.8804383,3.292515,-0.1520256,0.5756997,3.296166,-0.4223915,0.518882,3.25938,-0.6525436,0.4639897,3.201409,-0.7133849,0.4190274,3.189242,0.2625245,0.5578859,3.295777,0.5569681,0.5366852,3.307486,0.7905926,0.480875,3.280424,0.8643119,0.4790078,3.259609,-0.04604689,0.1378005,3.188019,-0.05045369,-0.4214204,3.233945,-0.04164174,-0.8176658,3.261496,-0.05039537,-0.9071852,3.194179,0.1366754,0.1315819,3.19412,0.1422348,-0.4243822,3.230459,0.1162014,-0.8278884,3.263629,0.1105759,-0.9119076,3.201634,934,Make-the-letter-P,
54960093.291,0.04577423,0.2240963,3.211127,0.04639218,0.2869576,3.276434,0.05035989,0.6729445,3.299588,0.0463956,0.8793892,3.292196,-0.1520803,0.5743807,3.295755,-0.4448814,0.5143562,3.251274,-0.664403,0.4264052,3.192632,-0.7517163,0.3805991,3.160608,0.2601836,0.554456,3.293614,0.554186,0.52414,3.302524,0.786492,0.463439,3.273753,0.8602121,0.4615717,3.252938,-0.04650341,0.1364002,3.187275,-0.05045444,-0.4214226,3.233949,-0.04163676,-0.8185243,3.261236,-0.04876541,-0.9073314,3.194323,0.1359922,0.1305207,3.193446,0.1420824,-0.4238445,3.230313,0.116746,-0.82688,3.26344,0.1114219,-0.9115686,3.201092,934,Make-the-letter-P,
54960125.2928,0.04536074,0.2225456,3.210784,0.04611853,0.2854609,3.276125,0.05059201,0.6722504,3.299526,0.04447254,0.8774114,3.292553,-0.1523418,0.5718436,3.295261,-0.4487702,0.509431,3.247904,-0.6638162,0.4106643,3.190117,-0.7533921,0.3650234,3.164807,0.2591919,0.5534014,3.293185,0.5580488,0.5083139,3.299222,0.7894232,0.4439105,3.271602,0.863144,0.4420431,3.250787,-0.04684716,0.1350333,3.187402,-0.04932586,-0.4272808,3.23525,-0.04163743,-0.8185784,3.261198,-0.04890695,-0.9074668,3.193365,0.135296,0.1293646,3.19266,0.1405962,-0.4293624,3.232659,0.1163176,-0.8261617,3.262903,0.1089629,-0.9112374,3.201635,934,Make-the-letter-P,
54960157.2947,0.04402597,0.2212115,3.210268,0.04454436,0.2842444,3.275585,0.04903692,0.6718388,3.298973,0.04447982,0.8778264,3.292711,-0.1523759,0.5697585,3.293958,-0.4572461,0.486706,3.242582,-0.6737968,0.3919007,3.183447,-0.7287018,0.341314,3.166189,0.2588667,0.5531299,3.293417,0.5234032,0.493105,3.298997,0.7474185,0.4087547,3.260765,0.8211385,0.4068872,3.23995,-0.04770549,0.1339586,3.187227,-0.04938847,-0.4271093,3.235243,-0.04161069,-0.8193579,3.260964,-0.05035127,-0.9083145,3.192181,0.1338091,0.128241,3.191989,0.1404404,-0.4285939,3.232395,0.1163643,-0.8286209,3.263052,0.1097152,-0.911412,3.20217,934,Make-the-letter-P,
54960193.2967,0.04291917,0.2189685,3.209605,0.04386733,0.2825016,3.275197,0.04918288,0.6717039,3.299236,0.0429258,0.8767229,3.292141,-0.1533337,0.5647135,3.292436,-0.4590186,0.4700659,3.244356,-0.658237,0.3442594,3.181253,-0.7504963,0.2995767,3.16579,0.257554,0.5520942,3.29223,0.5323877,0.4714368,3.296414,0.7743589,0.3599372,3.260267,0.8480795,0.3580698,3.239452,-0.04907895,0.1312966,3.187071,-0.04998123,-0.4272762,3.23527,-0.03845362,-0.8257923,3.258861,-0.05037964,-0.908135,3.19217,0.1322376,0.1265958,3.190463,0.139777,-0.4277131,3.232215,0.1163966,-0.8290465,3.262325,0.11005,-0.9115161,3.202377,934,Make-the-letter-P,
