Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
55060839.2466,0.1034676,0.1988536,3.386601,0.1061067,0.2650863,3.451485,0.1147396,0.6624326,3.469733,0.09598964,0.864364,3.477977,-0.09652357,0.5291812,3.459404,-0.2903538,0.3340484,3.410549,-0.4178239,0.08875679,3.332374,-0.4628641,0.01434026,3.322265,0.3062751,0.5323746,3.454304,0.4852335,0.2997478,3.379508,0.6071319,0.06499691,3.308431,0.6576996,-0.02251805,3.284199,0.0120517,0.1101253,3.370051,0.00664123,-0.4244559,3.405852,0.02668232,-0.8336201,3.4096,0.02062696,-0.9236322,3.353333,0.1907813,0.1099373,3.365553,0.2064509,-0.4333543,3.405792,0.186782,-0.8369194,3.437295,0.2018709,-0.9277027,3.377458,934,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
55060868.2483,0.1030971,0.1977646,3.386205,0.1055785,0.2638994,3.451012,0.1112666,0.6610313,3.469162,0.09579267,0.8640116,3.47695,-0.09669654,0.5292096,3.45943,-0.2826316,0.3205056,3.406846,-0.3947954,0.09477041,3.331609,-0.4488179,0.00676927,3.319748,0.3050824,0.5327896,3.453158,0.4763665,0.2984011,3.383487,0.5896316,0.05578787,3.312022,0.6287343,-0.02431001,3.298453,0.01209522,0.109398,3.369538,0.006735754,-0.4246334,3.405503,0.0266799,-0.8335365,3.409724,0.02093772,-0.9243081,3.356647,0.1905944,0.1090244,3.365443,0.2062829,-0.4335111,3.405288,0.1880177,-0.8366764,3.436166,0.2032629,-0.9286453,3.379921,934,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
55060900.2501,0.1029701,0.1979954,3.386027,0.1054146,0.2640473,3.450812,0.1113579,0.660872,3.468773,0.09593575,0.8643675,3.47601,-0.09698457,0.529252,3.459332,-0.2730011,0.3080221,3.407546,-0.3751837,0.09755812,3.3255,-0.4270089,0.007602833,3.320422,0.306069,0.5332366,3.453623,0.4706764,0.2955654,3.388062,0.5713328,0.04203175,3.3123,0.617662,-0.03427684,3.29898,0.01182855,0.1094831,3.369383,0.006075266,-0.4242116,3.404679,0.02683027,-0.8336405,3.409204,0.01919351,-0.9246036,3.354996,0.1905573,0.1090467,3.365255,0.2059845,-0.4335045,3.404959,0.1885779,-0.8370537,3.436555,0.2031273,-0.9282213,3.379584,934,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
55060933.252,0.102511,0.1973147,3.385552,0.1048977,0.2633967,3.450138,0.1107466,0.6599597,3.467026,0.09520723,0.8640819,3.473824,-0.0972044,0.528785,3.45821,-0.2663807,0.2960296,3.405246,-0.3589457,0.06955099,3.324788,-0.4007154,-0.02375745,3.306013,0.3046136,0.5328323,3.452426,0.4599639,0.2857316,3.393125,0.5597322,0.03674184,3.312216,0.5818887,-0.03920526,3.298624,0.01170585,0.1091456,3.36922,0.006026669,-0.4238791,3.404034,0.02638,-0.8336958,3.409644,0.01869231,-0.9243981,3.355053,0.1898669,0.1085125,3.364897,0.2063181,-0.4332497,3.403832,0.1869709,-0.8368109,3.441786,0.2017348,-0.9266706,3.373462,934,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
55060970.2541,0.101828,0.1958327,3.384363,0.1046559,0.2622108,3.448669,0.1098233,0.6593389,3.463943,0.09506547,0.8639662,3.473797,-0.0971907,0.5287299,3.457906,-0.2532535,0.2899267,3.403771,-0.3431417,0.06105957,3.328149,-0.3853625,-0.03194487,3.308878,0.3020458,0.5304383,3.447934,0.4450969,0.2851982,3.402348,0.5362367,0.0244296,3.311727,0.5703354,-0.04300492,3.297866,0.01120784,0.1081419,3.368004,0.006041393,-0.4232788,3.402637,0.03299204,-0.8385915,3.409959,0.01860816,-0.9256625,3.357248,0.189327,0.1075605,3.364636,0.2065235,-0.4326036,3.402954,0.186212,-0.8396283,3.43829,0.2021207,-0.9293696,3.376468,934,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
55061000.2559,0.1017149,0.1957691,3.384098,0.1046522,0.2622269,3.448355,0.1111769,0.6593803,3.462955,0.09470808,0.8640159,3.473393,-0.09741475,0.5283577,3.456816,-0.2437771,0.2799388,3.400191,-0.329086,0.05416074,3.327266,-0.3317547,-0.02905818,3.310418,0.3014838,0.5312998,3.44707,0.4358771,0.2791911,3.406279,0.5106782,0.02212601,3.315081,0.5330432,-0.05004089,3.295733,0.0110325,0.1080691,3.367971,0.005669711,-0.4220038,3.400162,0.03305378,-0.837534,3.410687,0.0187814,-0.9249438,3.356137,0.1889099,0.1075648,3.363992,0.2065513,-0.4315891,3.400799,0.1864439,-0.8408712,3.439958,0.2030215,-0.9293625,3.375478,934,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
55061033.2577,0.1013651,0.1954311,3.383774,0.1045098,0.261926,3.44815,0.1111866,0.6593707,3.46324,0.09473357,0.8640623,3.473189,-0.09751853,0.5285637,3.456496,-0.2367021,0.2741414,3.397829,-0.3036771,0.04376869,3.323292,-0.3164151,-0.04698606,3.31104,0.3008706,0.5316824,3.446147,0.4236167,0.272446,3.406756,0.4873824,0.01354813,3.317013,0.5076587,-0.06010155,3.290056,0.01068792,0.1078407,3.367488,0.005533341,-0.4221332,3.400061,0.02952201,-0.8368312,3.413172,0.01959852,-0.9246958,3.355699,0.1883324,0.1072565,3.363626,0.2062804,-0.4317012,3.40066,0.1868982,-0.8410236,3.440934,0.2036817,-0.9280103,3.373646,934,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
55061068.2597,0.1010455,0.1963751,3.382899,0.1038226,0.2626067,3.447208,0.1100025,0.6584297,3.461466,0.09503209,0.8642178,3.472323,-0.09836955,0.5288705,3.456658,-0.2229138,0.2660479,3.395727,-0.2749958,0.03402398,3.333326,-0.2894282,-0.05184405,3.315434,0.3045606,0.5315075,3.448231,0.4111545,0.2623289,3.413265,0.4632051,0.01165135,3.328756,0.4784786,-0.05998893,3.305594,0.01011771,0.1081198,3.366132,0.005144458,-0.4218254,3.399195,0.02671076,-0.8359416,3.411102,0.01856422,-0.9240444,3.351971,0.1883742,0.1073888,3.363341,0.2062291,-0.4312626,3.399727,0.1892327,-0.8370541,3.44341,0.2044295,-0.9260976,3.374125,934,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
55061100.2616,0.1009601,0.1962028,3.382459,0.1038815,0.2624521,3.446848,0.1113065,0.6587763,3.461527,0.0948937,0.8644431,3.472223,-0.1008245,0.5282663,3.454651,-0.2070912,0.2397837,3.384636,-0.2487788,0.002314488,3.323603,-0.2516117,-0.07381675,3.313703,0.3023943,0.531444,3.446215,0.4001581,0.2512322,3.413012,0.446155,0.003059904,3.34035,0.4549652,-0.08573222,3.31285,0.009863454,0.1077726,3.36561,0.005137555,-0.4217812,3.398926,0.02756282,-0.8359612,3.411542,0.0172784,-0.923053,3.349236,0.1880279,0.1072652,3.362628,0.2061975,-0.431273,3.399758,0.1880291,-0.836112,3.441023,0.2041674,-0.9262179,3.373327,934,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
55061132.2634,0.1001972,0.1957437,3.381998,0.1032885,0.2619318,3.446278,0.1090467,0.6580627,3.460938,0.09486832,0.8644502,3.471993,-0.1008139,0.5281788,3.453574,-0.2024345,0.2381798,3.384383,-0.2391193,-0.006281777,3.322915,-0.2386672,-0.08189424,3.309333,0.2999353,0.5324887,3.442589,0.3904232,0.2467468,3.41267,0.4169885,-0.007036764,3.353004,0.43307,-0.09536859,3.321091,0.009500224,0.1074788,3.365069,0.004831931,-0.4233556,3.398911,0.0274883,-0.8358752,3.410981,0.01689868,-0.923175,3.348958,0.1873456,0.1071695,3.362523,0.204975,-0.4327417,3.399744,0.1868133,-0.8373351,3.440441,0.2029443,-0.9261122,3.371487,934,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
