Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
55121704.521,0.09114292,0.2312882,3.340352,0.09514922,0.2918768,3.40335,0.09685643,0.6601798,3.413899,0.08722996,0.8602167,3.421891,-0.1223076,0.5715436,3.436901,-0.3752677,0.5657551,3.409569,-0.6282698,0.5079387,3.336071,-0.700949,0.4977549,3.31259,0.3133821,0.5544761,3.409497,0.5917275,0.532774,3.394505,0.8328401,0.4999065,3.355453,0.9077424,0.4851856,3.344954,-0.004720944,0.1361395,3.325423,-0.00135306,-0.4190532,3.358391,0.01313738,-0.8208333,3.390679,0.01587096,-0.9182706,3.333241,0.1839682,0.1339251,3.31497,0.192717,-0.4238751,3.346878,0.1780717,-0.8235057,3.396353,0.1907459,-0.9162936,3.345824,934,Swim,
55121732.5226,0.09118005,0.230633,3.340192,0.09509377,0.2913181,3.403239,0.09699167,0.6600898,3.413951,0.08727325,0.8601727,3.421947,-0.1224844,0.5702041,3.436543,-0.3751253,0.5509509,3.403867,-0.629885,0.4679386,3.338736,-0.6886679,0.4302574,3.306147,0.3134723,0.5531491,3.410041,0.5712191,0.514262,3.398345,0.8279842,0.4531085,3.359764,0.9028894,0.4384147,3.349247,-0.004701337,0.135152,3.325452,-0.001539116,-0.4193327,3.358472,0.0145531,-0.8219033,3.389941,0.01359787,-0.918018,3.331789,0.1839795,0.1333246,3.314601,0.1925854,-0.4240105,3.347315,0.1780924,-0.8257632,3.396703,0.1918738,-0.9165983,3.345484,934,Swim,
55121768.5247,0.09118069,0.2291817,3.340053,0.09480133,0.289798,3.403193,0.09596077,0.6587987,3.414593,0.08696106,0.8595107,3.421687,-0.1219459,0.5672616,3.436013,-0.3844674,0.5278879,3.394698,-0.6308792,0.4476693,3.336455,-0.6987886,0.4190788,3.313911,0.313269,0.5521539,3.410879,0.588937,0.5004988,3.388596,0.8194507,0.4173037,3.341752,0.8943511,0.4025881,3.33123,-0.00429191,0.1337227,3.324825,-0.001958758,-0.4194941,3.358531,0.0144751,-0.82237,3.390524,0.01156546,-0.9175881,3.332592,0.1840704,0.1324037,3.314763,0.1918549,-0.4254839,3.348624,0.1770538,-0.8291614,3.395684,0.1920325,-0.9166482,3.345357,934,Swim,
55121800.5265,0.0914956,0.2272089,3.339592,0.09501469,0.2885576,3.402896,0.09779014,0.6597671,3.414705,0.08693894,0.8594899,3.421666,-0.1201229,0.5652262,3.433946,-0.3790712,0.5086349,3.395829,-0.5909162,0.4024878,3.330792,-0.6671085,0.3926165,3.324907,0.3128834,0.5510713,3.410957,0.5951774,0.4821363,3.386406,0.8037391,0.3771999,3.316141,0.878642,0.3624925,3.305624,-0.00394976,0.1327729,3.324085,-0.002462739,-0.4213361,3.359577,0.0148244,-0.8209229,3.390251,0.01442597,-0.9193623,3.3349,0.1837706,0.130764,3.315074,0.1911718,-0.4272696,3.349703,0.1771782,-0.8291331,3.395706,0.1920583,-0.9168843,3.345846,934,Swim,
55121833.5284,0.09211661,0.218874,3.337773,0.09443676,0.2825756,3.401618,0.09958668,0.6600677,3.414729,0.08674109,0.8574049,3.419904,-0.1017493,0.5559816,3.419721,-0.3746033,0.4734066,3.395994,-0.5897276,0.3785636,3.333108,-0.6463987,0.3428581,3.317239,0.3126657,0.5499721,3.411473,0.6042507,0.4565012,3.37794,0.8067677,0.3330588,3.326613,0.8816701,0.3183515,3.316096,-0.002599528,0.1286033,3.322956,-0.002208573,-0.421144,3.359765,0.01509597,-0.8186042,3.390613,0.00989804,-0.9157847,3.331101,0.1825934,0.1264291,3.314411,0.1906495,-0.428073,3.350284,0.17792,-0.8292127,3.396811,0.191361,-0.9168537,3.348011,934,Swim,
55121868.5304,0.09217715,0.2182457,3.337819,0.09473968,0.2818255,3.401616,0.09963074,0.6600333,3.414721,0.08671831,0.8574179,3.419966,-0.1069252,0.5520834,3.42172,-0.3688381,0.4526939,3.393129,-0.5727221,0.3341932,3.333893,-0.6411386,0.311664,3.330727,0.3120863,0.5481249,3.411943,0.5502493,0.415995,3.382989,0.7921322,0.2858263,3.322641,0.8670344,0.2711191,3.312124,-0.002462344,0.1274189,3.322666,-0.002136288,-0.4215201,3.360092,0.01634231,-0.8197262,3.389689,0.007562256,-0.9159198,3.331509,0.182767,0.1248992,3.314854,0.1896494,-0.4298176,3.352224,0.1778876,-0.8291081,3.396713,0.1921466,-0.9184049,3.349608,934,Swim,
55121900.5322,0.09212763,0.2175464,3.337693,0.09497966,0.280984,3.401523,0.1013188,0.6599104,3.415362,0.08645091,0.8582967,3.420184,-0.10911,0.5510316,3.422742,-0.3573553,0.4203428,3.391882,-0.5510775,0.2844611,3.337167,-0.6364176,0.2264748,3.322248,0.3115425,0.5470232,3.411966,0.545688,0.406486,3.37978,0.7800257,0.2229338,3.306996,0.8552989,0.2187321,3.291071,-0.002730762,0.1264329,3.322118,-0.001681962,-0.4224946,3.360468,0.01468115,-0.8171165,3.391198,0.006209941,-0.9129768,3.332033,0.1824316,0.1235655,3.314753,0.1897686,-0.4299145,3.352403,0.1781573,-0.8283852,3.396734,0.192191,-0.9187862,3.348657,934,Swim,
55121932.5341,0.09220859,0.2159594,3.33743,0.0950391,0.2792589,3.401231,0.1008333,0.6592055,3.415257,0.08627546,0.857367,3.419548,-0.1109352,0.5472637,3.423475,-0.3499877,0.404151,3.397512,-0.5178558,0.2394793,3.334866,-0.6011209,0.180031,3.314843,0.31098,0.5454443,3.412231,0.5378641,0.3837571,3.367928,0.7474762,0.1959381,3.299682,0.827333,0.14235,3.302356,-0.002333729,0.1238082,3.321034,-0.001666796,-0.4225077,3.360457,0.0134159,-0.8159357,3.391098,0.004292438,-0.9116509,3.32865,0.1827208,0.1221368,3.314943,0.1896881,-0.4299351,3.352504,0.1778978,-0.8283566,3.39678,0.1921506,-0.9188105,3.348328,934,Swim,
55121968.5361,0.09207304,0.2092074,3.335675,0.09349754,0.2732822,3.399505,0.09948833,0.6574948,3.414068,0.08627564,0.8570112,3.418649,-0.1028043,0.5397751,3.416339,-0.3296612,0.3829757,3.397543,-0.4850816,0.194272,3.341736,-0.5414265,0.1393337,3.329525,0.3104399,0.5422819,3.414476,0.5205644,0.366628,3.365882,0.692735,0.1584459,3.307568,0.7750901,0.09463917,3.303736,-0.001030222,0.1192379,3.319113,-0.001960034,-0.4227092,3.360638,0.0140139,-0.8169181,3.391062,0.01487997,-0.9155127,3.333832,0.1821712,0.118102,3.314754,0.188565,-0.43058,3.353023,0.1770218,-0.8252367,3.396246,0.1922587,-0.9185178,3.348631,934,Swim,
55122000.538,0.09161469,0.2071742,3.334733,0.09331613,0.2714759,3.398614,0.09934357,0.6572605,3.413669,0.08591483,0.8569156,3.416061,-0.1033658,0.5384938,3.416214,-0.2993179,0.3444044,3.388823,-0.46193,0.1279499,3.342038,-0.533789,0.05242984,3.343346,0.3057303,0.5391335,3.41244,0.5047693,0.3064042,3.363191,0.6489421,0.1095222,3.315246,0.7204864,0.03712336,3.292695,-0.001042995,0.1179747,3.318158,-0.002519553,-0.4230872,3.360641,0.01434024,-0.8157529,3.394023,0.01155572,-0.9158796,3.332886,0.1813128,0.1164369,3.314271,0.187911,-0.4316032,3.353853,0.1771508,-0.825251,3.396006,0.1922381,-0.9176016,3.348753,934,Swim,
