Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
55160308.1126,-0.05206729,0.2334689,3.392679,-0.05205134,0.2954812,3.456251,-0.0441643,0.6727979,3.471935,-0.04470352,0.8700123,3.471407,-0.2532773,0.5742258,3.48048,-0.5299457,0.5560926,3.451264,-0.7571799,0.5031775,3.380579,-0.8170977,0.4680345,3.347059,0.1607054,0.5677242,3.489065,0.483191,0.555043,3.476844,0.7211964,0.5248663,3.461612,0.7964616,0.5416913,3.460718,-0.1436573,0.142701,3.372575,-0.1509887,-0.4501414,3.425479,-0.1448755,-0.8411765,3.424014,-0.1488146,-0.9265243,3.363503,0.03622257,0.1413811,3.374117,0.01321275,-0.4420733,3.42958,-0.02486411,-0.8433629,3.466596,0.009374684,-0.9302625,3.3943,934,Kick-a-ball-as-far-as-you-can,
55160340.1144,-0.05199243,0.2329097,3.392657,-0.05212782,0.2948143,3.456206,-0.04484413,0.6713495,3.471363,-0.04556538,0.8691693,3.471063,-0.2540814,0.5722929,3.481484,-0.530967,0.5486258,3.448595,-0.7488438,0.4748558,3.365628,-0.8191273,0.4465422,3.351233,0.160346,0.5659462,3.49069,0.4814727,0.5483407,3.475713,0.7184626,0.5112234,3.456943,0.7937272,0.5280482,3.456049,-0.1434737,0.1419113,3.372694,-0.1509798,-0.4506852,3.425867,-0.1461488,-0.8336765,3.424458,-0.1493016,-0.9274155,3.364474,0.03641031,0.1408809,3.374021,0.0141337,-0.4403495,3.429011,-0.02470637,-0.8453858,3.465955,0.007837647,-0.9295684,3.397259,934,Kick-a-ball-as-far-as-you-can,
55160377.1165,-0.05200151,0.2326245,3.39267,-0.0521033,0.2942452,3.456245,-0.04548387,0.6694498,3.471583,-0.04611343,0.8693654,3.471272,-0.2540029,0.5715531,3.483428,-0.5290347,0.5430305,3.447107,-0.7421601,0.453206,3.368528,-0.8339548,0.4083595,3.347287,0.1604045,0.5630432,3.491453,0.4018318,0.513898,3.477541,0.6628871,0.4897252,3.452093,0.7381516,0.5065501,3.451199,-0.1433859,0.1415617,3.372395,-0.1507572,-0.4505729,3.425916,-0.1457164,-0.8364497,3.423301,-0.1495814,-0.9273327,3.364129,0.03642707,0.1406218,3.374198,0.01438917,-0.4401711,3.42908,-0.02465246,-0.8474755,3.464021,0.01171312,-0.929746,3.394553,934,Kick-a-ball-as-far-as-you-can,
55160408.1183,-0.0512117,0.2298129,3.393031,-0.05154701,0.2914397,3.456728,-0.04586369,0.6674186,3.472383,-0.04632424,0.8674955,3.471228,-0.2536477,0.5683991,3.483476,-0.5315047,0.5288589,3.445612,-0.7430528,0.4324468,3.371563,-0.8029547,0.4031867,3.345533,0.1602227,0.5615608,3.491849,0.4020229,0.5088997,3.477807,0.6658714,0.4615282,3.444815,0.7411355,0.4783528,3.443921,-0.1422791,0.1386473,3.372412,-0.1506987,-0.4512269,3.426529,-0.1456548,-0.8369692,3.423057,-0.1496358,-0.9274447,3.364501,0.03738007,0.1385611,3.374628,0.01431425,-0.4405976,3.429145,-0.02424556,-0.8475025,3.461884,0.01079559,-0.9297204,3.393694,934,Kick-a-ball-as-far-as-you-can,
55160440.1201,-0.05118061,0.2276949,3.393979,-0.05169532,0.289172,3.457937,-0.04561733,0.6660109,3.4755,-0.04549681,0.8661476,3.470574,-0.2543486,0.5670733,3.484343,-0.5239671,0.5129343,3.454148,-0.7351428,0.4100112,3.371698,-0.8130462,0.3702487,3.336599,0.159149,0.5594704,3.49405,0.4009677,0.4991289,3.47935,0.6706963,0.4311388,3.437578,0.74596,0.4479634,3.436684,-0.142159,0.1372573,3.372637,-0.1509863,-0.4507509,3.426274,-0.1448283,-0.8384922,3.423034,-0.1496531,-0.927449,3.364603,0.03727209,0.1361852,3.375718,0.01428131,-0.4406635,3.429346,-0.02341737,-0.8467231,3.46245,0.01381644,-0.9296466,3.390381,934,Kick-a-ball-as-far-as-you-can,
55160476.1222,-0.05112745,0.2261124,3.394215,-0.05158354,0.287713,3.458323,-0.04554099,0.6654189,3.476454,-0.04546694,0.8652921,3.468987,-0.2548105,0.5656272,3.485432,-0.5092845,0.5062844,3.459792,-0.721298,0.3991504,3.366374,-0.8081335,0.3494417,3.336759,0.1590109,0.556596,3.49436,0.3997139,0.4793633,3.478665,0.6639518,0.413933,3.434695,0.7392154,0.4307576,3.433801,-0.1420884,0.1359952,3.372693,-0.1501857,-0.4506911,3.426461,-0.1447624,-0.8384126,3.423036,-0.1499074,-0.9271536,3.363534,0.03733278,0.1341527,3.375759,0.01356427,-0.443194,3.430166,-0.02519562,-0.8450226,3.460343,0.01375099,-0.9292449,3.38988,934,Kick-a-ball-as-far-as-you-can,
55160509.1241,-0.05142982,0.222875,3.395061,-0.05217603,0.2849125,3.459321,-0.04560586,0.6644715,3.47787,-0.0460295,0.8645404,3.468835,-0.2517939,0.5609892,3.484016,-0.5247843,0.4654629,3.431555,-0.7322095,0.3581255,3.361879,-0.8222358,0.3157349,3.330468,0.1596037,0.5543244,3.495973,0.4694508,0.4583034,3.455518,0.6852304,0.3562276,3.416698,0.7604939,0.3730522,3.415805,-0.1420029,0.133835,3.373281,-0.1497979,-0.4513809,3.428671,-0.1442704,-0.8424625,3.421952,-0.1493046,-0.9272733,3.363345,0.03664774,0.1313381,3.376521,0.01393273,-0.4444616,3.431049,-0.02669686,-0.8464758,3.461479,0.01205057,-0.9301966,3.393877,934,Kick-a-ball-as-far-as-you-can,
55160540.1259,-0.05195648,0.2222148,3.395998,-0.05254183,0.2842436,3.460305,-0.04543761,0.6641122,3.479082,-0.04625579,0.8640409,3.467975,-0.252397,0.5591862,3.484345,-0.524495,0.4584399,3.434522,-0.7275217,0.3425678,3.365762,-0.8050271,0.2808875,3.332947,0.1598438,0.5534194,3.496156,0.3832888,0.4470083,3.473391,0.654097,0.3604279,3.422449,0.7293607,0.3772525,3.421556,-0.1430082,0.1329845,3.374094,-0.1497889,-0.4513611,3.428646,-0.1440962,-0.8432629,3.423051,-0.1499708,-0.9270859,3.363248,0.03617064,0.1302976,3.377714,0.01415596,-0.4440287,3.431183,-0.0278455,-0.8460839,3.460519,0.009550458,-0.9297641,3.39378,934,Kick-a-ball-as-far-as-you-can,
55160576.1279,-0.05180211,0.2219309,3.396851,-0.05245002,0.2839901,3.461146,-0.0448613,0.6640517,3.479835,-0.04598157,0.863878,3.467808,-0.2527852,0.5574029,3.483962,-0.5203168,0.440299,3.438463,-0.7077494,0.3017492,3.366824,-0.7964221,0.2551601,3.337582,0.1604671,0.5521669,3.496906,0.3896157,0.4381182,3.474517,0.6584441,0.3046539,3.414642,0.733708,0.3214785,3.413748,-0.1430082,0.1326515,3.374316,-0.1497653,-0.4513805,3.428704,-0.1479895,-0.8414522,3.424067,-0.1494534,-0.9268057,3.363359,0.03643708,0.1295838,3.379872,0.0138715,-0.4440351,3.43129,-0.02675766,-0.8465099,3.464003,0.009693507,-0.9294886,3.3939,934,Kick-a-ball-as-far-as-you-can,
55160608.1297,-0.0507415,0.2208611,3.398198,-0.05217147,0.28307,3.462132,-0.04396881,0.662243,3.47918,-0.0456884,0.8623484,3.467238,-0.252616,0.5498879,3.48066,-0.5124335,0.4288833,3.437927,-0.7007053,0.2851679,3.367134,-0.7810621,0.2262391,3.336171,0.1617468,0.5504042,3.500189,0.3930367,0.420116,3.47371,0.6203465,0.2925381,3.418918,0.6956106,0.3093627,3.418025,-0.1418343,0.1308663,3.375487,-0.150153,-0.451632,3.428942,-0.1466225,-0.8437917,3.423908,-0.149427,-0.926802,3.363806,0.03793933,0.1281323,3.382679,0.01233752,-0.4455105,3.431681,-0.02688432,-0.8467954,3.464945,0.00933204,-0.9292301,3.393601,934,Kick-a-ball-as-far-as-you-can,
