Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
55266098.2752,0.03695895,0.2224035,3.468617,0.03737757,0.2849821,3.533686,0.0356613,0.6667705,3.55434,0.03426588,0.86779,3.565658,-0.1712787,0.562199,3.556193,-0.4785443,0.4881814,3.519062,-0.6897286,0.3763725,3.480448,-0.7595344,0.3449401,3.469865,0.2371217,0.5570339,3.550507,0.5339596,0.4788153,3.522571,0.7550795,0.3925688,3.471237,0.8469177,0.3555963,3.437595,-0.05005483,0.1320309,3.445483,-0.05014535,-0.4387144,3.492114,-0.04124577,-0.8374318,3.507562,-0.03787456,-0.9268076,3.447419,0.1249822,0.1329907,3.450294,0.1366287,-0.4314315,3.481185,0.1247973,-0.8215941,3.518648,0.1149238,-0.9156686,3.473572,934,Climb-and-imaginary-ladder,
55266123.2767,0.03685568,0.2208693,3.468017,0.03700672,0.2834584,3.533064,0.03532514,0.666325,3.554111,0.03432721,0.8681124,3.566443,-0.1701207,0.5573527,3.553664,-0.4738021,0.468706,3.510566,-0.6711063,0.3335607,3.47399,-0.7401948,0.298998,3.476238,0.2369739,0.5567978,3.550441,0.5261531,0.4568579,3.519887,0.7476857,0.3685701,3.476873,0.8393225,0.3311881,3.443134,-0.04995534,0.1305935,3.445052,-0.05097548,-0.4387093,3.491703,-0.04134892,-0.8371721,3.508759,-0.04527526,-0.9275706,3.437685,0.1248226,0.132241,3.44993,0.1375736,-0.4316824,3.481765,0.1251579,-0.8223711,3.518553,0.1295227,-0.9138653,3.477235,934,Climb-and-imaginary-ladder,
55266156.2785,0.03685192,0.2207063,3.467912,0.03694911,0.2832612,3.532884,0.03522823,0.6660445,3.553598,0.03379926,0.8687739,3.568662,-0.1712156,0.5563295,3.553693,-0.4104955,0.4391095,3.520361,-0.6179782,0.3244874,3.467086,-0.6870667,0.2899247,3.469334,0.2378847,0.5549768,3.550598,0.5245984,0.4347006,3.514014,0.7269771,0.3122998,3.457638,0.81863,0.2750103,3.423841,-0.05014422,0.1299315,3.444774,-0.0511385,-0.438277,3.491581,-0.03996138,-0.8377552,3.508146,-0.05051234,-0.9296414,3.435753,0.124945,0.1317774,3.449889,0.1372083,-0.4335215,3.482302,0.1251442,-0.8243523,3.518486,0.1314595,-0.9126762,3.476802,934,Climb-and-imaginary-ladder,
55266187.2803,0.03730782,0.218641,3.467088,0.03667445,0.2818734,3.532153,0.03547006,0.6665362,3.55315,0.03407831,0.8691115,3.569492,-0.1664398,0.5503435,3.54635,-0.4015919,0.4317357,3.528407,-0.5946132,0.294584,3.473608,-0.6723625,0.2260969,3.459544,0.2377147,0.5532334,3.549215,0.5221682,0.4155535,3.502475,0.7140893,0.2628551,3.442449,0.8019715,0.2067076,3.434872,-0.04958814,0.1286299,3.443811,-0.05121551,-0.4377031,3.490654,-0.0397878,-0.8390643,3.50883,-0.06009812,-0.9304807,3.427225,0.1250789,0.13051,3.449927,0.1376,-0.4348313,3.483528,0.1251027,-0.8190352,3.518379,0.1351507,-0.9125746,3.476932,934,Climb-and-imaginary-ladder,
55266223.2824,0.0374441,0.2137936,3.465064,0.0366374,0.2776101,3.530187,0.03632109,0.6657146,3.552159,0.03417527,0.8690645,3.570072,-0.1646542,0.5469273,3.542369,-0.3939991,0.4073249,3.530103,-0.5753409,0.2535978,3.481377,-0.6386963,0.192576,3.462073,0.2376878,0.548941,3.548053,0.5102385,0.3957502,3.492651,0.6951489,0.2123613,3.432116,0.7681538,0.1597824,3.424215,-0.04993389,0.1244801,3.441189,-0.05151573,-0.437841,3.490913,-0.03978145,-0.8388582,3.508827,-0.05224086,-0.9306031,3.425314,0.1251009,0.1264526,3.449186,0.1382734,-0.4348642,3.483476,0.1257786,-0.8248935,3.515655,0.1468466,-0.9247971,3.468541,934,Climb-and-imaginary-ladder,
55266255.2842,0.03786574,0.2108178,3.464733,0.03657615,0.275355,3.529902,0.03625688,0.6657143,3.552141,0.03424563,0.8689684,3.570422,-0.1631303,0.5430236,3.538249,-0.3855842,0.3937724,3.528527,-0.5513567,0.222703,3.483351,-0.6150762,0.1420884,3.463994,0.23805,0.5433605,3.545713,0.4957656,0.3559344,3.486865,0.6754395,0.185969,3.438401,0.7410092,0.1078807,3.415241,-0.04957579,0.1217121,3.439821,-0.04973906,-0.4362722,3.490403,-0.0394378,-0.8384019,3.511988,-0.04869452,-0.9284183,3.429112,0.1260343,0.1230657,3.450144,0.1384899,-0.4359618,3.483804,0.1258246,-0.8249508,3.515592,0.1437604,-0.9202635,3.469656,934,Climb-and-imaginary-ladder,
55266292.2863,0.03735525,0.208793,3.463987,0.03606503,0.2735004,3.529074,0.03562384,0.6653175,3.551259,0.03400568,0.8696071,3.571691,-0.1633221,0.5409244,3.53691,-0.3700317,0.3775464,3.5254,-0.508076,0.1844853,3.474004,-0.5720996,0.1028328,3.46105,0.2385528,0.5416319,3.544126,0.4903772,0.3468916,3.486475,0.6290672,0.1524527,3.446643,0.6954542,0.07944623,3.412048,-0.05018046,0.1194102,3.439144,-0.0521703,-0.4372217,3.489847,-0.04043808,-0.8411497,3.509077,-0.06300247,-0.9279817,3.425975,0.1256977,0.1208795,3.449481,0.1390555,-0.4360857,3.48352,0.1256753,-0.8262686,3.515446,0.1408435,-0.9187768,3.471499,934,Climb-and-imaginary-ladder,
55266323.2881,0.0371456,0.2082472,3.463507,0.0356149,0.2729762,3.528575,0.03576755,0.6652614,3.55082,0.03390987,0.8695443,3.571684,-0.1621599,0.5388614,3.53305,-0.3645091,0.3503592,3.517168,-0.4909307,0.1395951,3.473295,-0.5547399,0.05683864,3.469542,0.2397043,0.539115,3.542532,0.4507414,0.3338917,3.497263,0.6008827,0.1384866,3.452322,0.6534111,0.05186824,3.426392,-0.05062373,0.1188496,3.438321,-0.05212953,-0.4380458,3.48988,-0.03965415,-0.8394779,3.512219,-0.06254869,-0.9279586,3.426064,0.1254873,0.1202533,3.449244,0.1392751,-0.4355322,3.483057,0.1240006,-0.8275537,3.514012,0.1398899,-0.9168494,3.472084,934,Climb-and-imaginary-ladder,
55266355.2899,0.03721821,0.2050734,3.463059,0.03438954,0.2705234,3.528154,0.03550452,0.6651981,3.550716,0.03370406,0.8684411,3.57116,-0.1556417,0.5346452,3.523264,-0.3522196,0.3164871,3.514274,-0.4758696,0.1117918,3.477597,-0.5235346,0.01874238,3.47548,0.2392733,0.5390761,3.542089,0.4325877,0.323702,3.508361,0.578185,0.08129451,3.434171,0.6433384,0.0009382069,3.418922,-0.05012381,0.1173172,3.43782,-0.05217882,-0.437998,3.489945,-0.03985601,-0.838908,3.512504,-0.05336395,-0.9268504,3.432667,0.1253239,0.1184922,3.449521,0.1391519,-0.4357683,3.483215,0.1231781,-0.8256888,3.515425,0.1375471,-0.9147813,3.472187,934,Climb-and-imaginary-ladder,
55266391.292,0.03776852,0.2026768,3.463068,0.03479346,0.2685544,3.528087,0.03462702,0.6648394,3.55032,0.03367115,0.8684412,3.571133,-0.1554863,0.5343181,3.522957,-0.3222852,0.3112024,3.515616,-0.4394606,0.08097889,3.462235,-0.4816439,-0.01097087,3.456642,0.2366179,0.5381742,3.540304,0.4213331,0.3115478,3.513888,0.5603109,0.07018537,3.436137,0.6000015,-0.02150758,3.440183,-0.04891662,0.1153899,3.437983,-0.0546478,-0.4368299,3.487912,-0.04105234,-0.838568,3.509492,-0.05334601,-0.9263387,3.432689,0.1256844,0.1173314,3.449859,0.1390927,-0.4354946,3.482412,0.1232814,-0.8259393,3.515412,0.1360507,-0.9148692,3.474885,934,Climb-and-imaginary-ladder,
