Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
60099308.3568,-0.0463987,0.3383367,3.129704,-0.05004769,0.4117187,3.161349,-0.05202117,0.7923277,3.153541,-0.03744434,0.9710976,3.098771,-0.23747,0.6887639,3.147162,-0.4112602,0.461328,3.160691,-0.5640301,0.298324,3.068432,-0.6165993,0.2119047,3.025811,0.135144,0.7037842,3.180408,0.3405559,0.5006061,3.164335,0.5168093,0.3364595,3.037313,0.5806448,0.2496133,2.995937,-0.1286267,0.256998,3.117559,-0.1472748,-0.2905477,3.153717,-0.1451563,-0.6685643,3.183753,-0.1681894,-0.7417745,3.110142,0.03805732,0.2536296,3.127151,0.06652804,-0.280385,3.173254,0.06877764,-0.6795576,3.190714,0.08217823,-0.7481818,3.138382,970,Bend-your-other-knee-while-raising-your-leg,
60099344.3588,-0.04634087,0.3370746,3.130666,-0.0502024,0.4103591,3.16331,-0.05191449,0.7918264,3.155334,-0.0372308,0.9712742,3.099455,-0.235199,0.6863528,3.145602,-0.4023076,0.4570403,3.163681,-0.5442317,0.2564382,3.061683,-0.5963078,0.1655577,3.028846,0.134813,0.7030199,3.180701,0.3245557,0.4837674,3.169148,0.4899299,0.2929719,3.046018,0.5491654,0.2084204,3.009165,-0.1283771,0.2563329,3.11767,-0.1473745,-0.2903796,3.153434,-0.1454585,-0.6687231,3.183203,-0.1740799,-0.7460527,3.111161,0.03766681,0.2523136,3.129265,0.06660236,-0.2788689,3.173372,0.07024774,-0.6788644,3.188522,0.08162102,-0.7471114,3.135227,970,Bend-your-other-knee-while-raising-your-leg,
60099377.3607,-0.0461482,0.3357496,3.131418,-0.05023478,0.4090702,3.164975,-0.05185289,0.7915479,3.156678,-0.03668576,0.9709268,3.099407,-0.2345566,0.686538,3.14514,-0.389443,0.4482566,3.164358,-0.5208623,0.2380111,3.069185,-0.5532051,0.1416688,3.027677,0.1354458,0.6862305,3.180314,0.3175806,0.4515651,3.166724,0.476402,0.27329,3.047462,0.5258057,0.1810817,3.014179,-0.1279195,0.2553355,3.118376,-0.147526,-0.2911762,3.154186,-0.1455096,-0.6686583,3.183393,-0.1694473,-0.7437973,3.116322,0.03760632,0.2509718,3.129802,0.06642979,-0.2813055,3.174677,0.0708773,-0.6785938,3.186043,0.07874396,-0.7459093,3.130963,970,Bend-your-other-knee-while-raising-your-leg,
60099410.3626,-0.04592436,0.3352066,3.132333,-0.05044159,0.4082577,3.167104,-0.0517267,0.7914313,3.159885,-0.03633928,0.97085,3.099793,-0.2330852,0.6857781,3.144269,-0.3751024,0.4380099,3.170622,-0.4911096,0.2182468,3.070235,-0.5236663,0.1158769,3.047602,0.1336549,0.6894954,3.18337,0.2990172,0.4372128,3.17092,0.4425718,0.2352436,3.053444,0.4938358,0.1502003,3.026658,-0.1270324,0.2551116,3.119168,-0.1474693,-0.2910894,3.154464,-0.1460642,-0.6685277,3.183462,-0.1686011,-0.7426529,3.116292,0.03731818,0.2508457,3.13052,0.06613387,-0.2794055,3.175399,0.06999743,-0.678492,3.185994,0.07945003,-0.74621,3.131664,970,Bend-your-other-knee-while-raising-your-leg,
60099444.3645,-0.0459538,0.3346581,3.132522,-0.05074462,0.4077105,3.168267,-0.05209405,0.7916221,3.160702,-0.03635953,0.9720857,3.101841,-0.2322302,0.6846994,3.144148,-0.3551041,0.4205084,3.173967,-0.4453675,0.1921989,3.06771,-0.4665473,0.08709601,3.044085,0.1327395,0.6915659,3.184883,0.2719995,0.4278014,3.174123,0.409255,0.2298457,3.068994,0.4442589,0.1303096,3.038652,-0.1268617,0.2547758,3.119167,-0.147978,-0.2955232,3.155591,-0.1459273,-0.66914,3.182587,-0.1693538,-0.7469224,3.11044,0.0371748,0.2506204,3.130705,0.06601306,-0.2788892,3.175572,0.07026252,-0.6796898,3.187313,0.103692,-0.7568164,3.163636,970,Bend-your-other-knee-while-raising-your-leg,
60099477.3664,-0.04525569,0.3319651,3.133006,-0.05047425,0.4055173,3.169786,-0.05239205,0.7914088,3.161734,-0.0363874,0.9725254,3.102651,-0.2307003,0.6834483,3.142764,-0.3432843,0.4114119,3.172637,-0.4216487,0.1738049,3.070065,-0.4283879,0.07009927,3.041149,0.1312587,0.6904773,3.184015,0.2478333,0.4209635,3.177871,0.3734227,0.1619162,3.059788,0.4034249,0.0877595,3.046168,-0.1255783,0.2529694,3.119319,-0.1482514,-0.295152,3.155609,-0.1463588,-0.6678417,3.182732,-0.1704845,-0.7426815,3.109244,0.03738738,0.2493732,3.131088,0.06602976,-0.2785094,3.17589,0.06716173,-0.6781449,3.184463,0.08323636,-0.7442687,3.12973,970,Bend-your-other-knee-while-raising-your-leg,
60099509.3683,-0.04506679,0.3319317,3.133125,-0.05059093,0.4053834,3.170657,-0.05206215,0.791343,3.161746,-0.03644175,0.9726953,3.102652,-0.230473,0.6835156,3.142375,-0.3262251,0.3949068,3.175226,-0.3713058,0.1508215,3.071486,-0.3796535,0.04800101,3.033915,0.1305963,0.693229,3.186375,0.2216663,0.4096643,3.186008,0.3205283,0.1492754,3.055142,0.3409353,0.06946505,3.044054,-0.1248677,0.2529786,3.119365,-0.1484809,-0.2957903,3.155633,-0.1468995,-0.6691952,3.181561,-0.1783583,-0.7519631,3.103334,0.03734012,0.2493348,3.131423,0.06576006,-0.278512,3.176052,0.06696842,-0.6782342,3.184706,0.08196504,-0.7455144,3.131088,970,Bend-your-other-knee-while-raising-your-leg,
60099544.3703,-0.04483631,0.3289899,3.133101,-0.05036613,0.4029468,3.171673,-0.05194896,0.7911266,3.162512,-0.03639771,0.9728003,3.102741,-0.2300515,0.683557,3.142247,-0.3154111,0.3932581,3.174643,-0.3329794,0.1317722,3.067991,-0.3258061,0.03452016,3.048158,0.1288415,0.6932355,3.185026,0.2041044,0.4018741,3.18707,0.2605873,0.1390426,3.066674,0.2735357,0.04414663,3.054755,-0.1240619,0.2507913,3.119612,-0.1485362,-0.2957244,3.155793,-0.1465399,-0.668855,3.182031,-0.1776558,-0.7511689,3.103192,0.0369547,0.247731,3.130989,0.06616219,-0.2794081,3.176558,0.06694575,-0.6778002,3.185365,0.08113645,-0.7453799,3.131906,970,Bend-your-other-knee-while-raising-your-leg,
60099576.3721,-0.04452391,0.3276532,3.132923,-0.05001156,0.4017195,3.172413,-0.05195392,0.7910313,3.162847,-0.03658846,0.9732341,3.10404,-0.2297283,0.6837266,3.142572,-0.2996927,0.3949942,3.173937,-0.305879,0.1360694,3.074173,-0.2875847,0.05819493,3.060548,0.1261463,0.6903138,3.182814,0.1902171,0.4009872,3.190826,0.1965612,0.1280215,3.095594,0.2034686,0.0357067,3.065438,-0.1233199,0.2499229,3.119296,-0.1488582,-0.2946361,3.155807,-0.1463,-0.6684921,3.18253,-0.1724672,-0.7467819,3.11079,0.03687106,0.2468549,3.130877,0.06583034,-0.2792481,3.176988,0.06726864,-0.6777273,3.185126,0.0806848,-0.7456837,3.131948,970,Bend-your-other-knee-while-raising-your-leg,
60099608.3739,-0.04317329,0.3280724,3.132236,-0.04918094,0.4017072,3.17283,-0.05158195,0.7908891,3.163453,-0.03629655,0.9732102,3.105754,-0.2283466,0.684711,3.142803,-0.2863985,0.3975288,3.17072,-0.2788731,0.1763732,3.072522,-0.2690841,0.09733177,3.056992,0.1254114,0.6917106,3.18397,0.1698771,0.4149824,3.187955,0.1723208,0.1711763,3.103949,0.1792282,0.07886149,3.073793,-0.1201652,0.2508034,3.116943,-0.1493208,-0.2968729,3.155985,-0.1468987,-0.6686796,3.182779,-0.1712616,-0.746644,3.110642,0.03773452,0.2476451,3.130586,0.06611227,-0.2777671,3.177558,0.06798618,-0.6774051,3.185302,0.08089922,-0.7455923,3.132296,970,Bend-your-other-knee-while-raising-your-leg,
