Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
60204699.452,-0.01353982,0.341487,3.062628,-0.01526689,0.4100474,3.10527,-0.02147267,0.7778394,3.095289,-0.02416996,0.953941,3.030206,-0.2174918,0.6890326,3.108907,-0.4589604,0.5161971,3.097763,-0.649776,0.398401,3.007863,-0.7277352,0.3282133,2.976632,0.1727307,0.7030475,3.113604,0.4284803,0.5629721,3.075378,0.6307773,0.4797896,2.968233,0.741937,0.4253859,2.924241,-0.09802517,0.2548299,3.051683,-0.126949,-0.2869799,3.107659,-0.1265506,-0.6797271,3.151697,-0.1695458,-0.7512835,3.091182,0.07426181,0.2544408,3.054753,0.09446961,-0.2985316,3.097526,0.1215299,-0.6806597,3.12805,0.1588445,-0.7458104,3.059976,970,Put-your-hands-on-your-hips-and-twist,
60204724.4535,-0.01381814,0.3396567,3.062699,-0.01562287,0.408341,3.106128,-0.02206026,0.7772366,3.09568,-0.0238208,0.9532591,3.029732,-0.217266,0.6862804,3.108961,-0.4509096,0.493473,3.094339,-0.6368444,0.3670407,3.006256,-0.6813931,0.3012382,2.983409,0.1699479,0.7005377,3.11381,0.4145097,0.5433096,3.077632,0.6294625,0.4583092,2.962109,0.7315015,0.400591,2.919328,-0.09776048,0.2532876,3.052138,-0.1287671,-0.2904891,3.107385,-0.126928,-0.6801408,3.151637,-0.1697091,-0.7519255,3.090636,0.0737244,0.2534638,3.054424,0.0946105,-0.2984933,3.097697,0.1216135,-0.6804187,3.127014,0.162808,-0.7474257,3.065555,970,Put-your-hands-on-your-hips-and-twist,
60204756.4553,-0.01433605,0.3378408,3.063605,-0.01612389,0.406868,3.107452,-0.02239583,0.7769999,3.095858,-0.0236056,0.9525503,3.027723,-0.2167321,0.6824357,3.109014,-0.4385117,0.484004,3.094362,-0.6122691,0.3354831,3.018913,-0.6906768,0.2694815,2.980493,0.1693009,0.7002182,3.114292,0.4145942,0.54223,3.074746,0.6187323,0.4195414,2.950182,0.7103575,0.3475474,2.925105,-0.09788454,0.2512492,3.053907,-0.1294784,-0.2956381,3.10907,-0.126872,-0.6851734,3.154505,-0.1692556,-0.7525229,3.091151,0.07291652,0.2522128,3.0549,0.0948428,-0.2988963,3.097841,0.1217271,-0.6805727,3.127017,0.1621479,-0.7467773,3.066063,970,Put-your-hands-on-your-hips-and-twist,
60204791.4573,-0.01471162,0.3346909,3.064545,-0.01617989,0.4045123,3.108561,-0.02257896,0.7768771,3.095827,-0.02355313,0.952667,3.027661,-0.216548,0.6805365,3.109337,-0.4319494,0.4705057,3.092795,-0.59623,0.3117856,3.016765,-0.6592586,0.2300752,2.980271,0.1647987,0.691493,3.111012,0.4085775,0.5326918,3.068685,0.60773,0.3962582,2.943374,0.6837814,0.3276435,2.908384,-0.09788999,0.2487586,3.055435,-0.1291131,-0.295384,3.109141,-0.1290918,-0.6857625,3.151991,-0.1682414,-0.752996,3.09294,0.07222963,0.2499883,3.055639,0.09499149,-0.2989658,3.098085,0.120932,-0.6805089,3.126813,0.1619853,-0.7464124,3.064623,970,Put-your-hands-on-your-hips-and-twist,
60204824.4592,-0.01469423,0.3334078,3.065107,-0.01607075,0.4032299,3.109341,-0.02249688,0.7760965,3.095688,-0.02360074,0.9526517,3.026862,-0.2167675,0.6775693,3.109351,-0.3951416,0.4658842,3.105175,-0.5561806,0.3067085,3.022119,-0.6180443,0.2213656,2.992596,0.164243,0.6911488,3.110729,0.3970952,0.5181707,3.074337,0.5715522,0.3614178,2.942051,0.6594085,0.2891465,2.916032,-0.09770394,0.2472551,3.056849,-0.128494,-0.2943779,3.108532,-0.1289607,-0.6855249,3.15207,-0.1708288,-0.7517508,3.09328,0.07198776,0.2490088,3.055913,0.09522481,-0.2996949,3.098345,0.1214437,-0.6808558,3.126509,0.1614514,-0.7458599,3.062724,970,Put-your-hands-on-your-hips-and-twist,
60204857.4611,-0.01435508,0.3307777,3.065155,-0.01564401,0.4010968,3.109664,-0.02242413,0.7759655,3.095665,-0.02315496,0.9528991,3.026355,-0.2165077,0.6768942,3.109482,-0.3821689,0.4564372,3.103591,-0.532939,0.2870597,3.021641,-0.5863458,0.1989158,2.984756,0.1633196,0.6883094,3.109648,0.3828193,0.4983377,3.072826,0.5589388,0.350468,2.939497,0.6429842,0.2597746,2.910869,-0.09723154,0.2453413,3.056708,-0.1284506,-0.294593,3.108727,-0.1284226,-0.6855203,3.151328,-0.1691383,-0.7522168,3.09354,0.07195631,0.2466831,3.056333,0.09503987,-0.2997998,3.098408,0.1210028,-0.6806005,3.126911,0.1611983,-0.7457609,3.062697,970,Put-your-hands-on-your-hips-and-twist,
60204891.463,-0.014053,0.3299653,3.065339,-0.01543576,0.4001696,3.110082,-0.02254744,0.7751385,3.095699,-0.02203659,0.9502102,3.024332,-0.2157118,0.675786,3.108861,-0.3663536,0.4378973,3.101817,-0.5187505,0.2548108,3.011651,-0.5686677,0.1643395,2.97744,0.1635621,0.6875873,3.109426,0.3691982,0.4837869,3.076809,0.5303829,0.3030397,2.926725,0.601216,0.2243109,2.892059,-0.09663215,0.2444872,3.057064,-0.1277749,-0.2961221,3.10977,-0.1290866,-0.6859633,3.151359,-0.1649846,-0.7526164,3.092275,0.07212091,0.2459716,3.056437,0.09505378,-0.3001519,3.098316,0.1211777,-0.6810541,3.125291,0.1582921,-0.7437911,3.061646,970,Put-your-hands-on-your-hips-and-twist,
60204924.4649,-0.01323552,0.3281641,3.065587,-0.01490047,0.3985537,3.110722,-0.02326087,0.7745655,3.096582,-0.02160444,0.9495603,3.022895,-0.2153025,0.6747198,3.108654,-0.3585489,0.4316177,3.104032,-0.4968504,0.2351264,3.007466,-0.5445567,0.1420573,2.97513,0.1629824,0.6861592,3.108823,0.3512314,0.4627491,3.073509,0.5063347,0.2852705,2.933479,0.5631938,0.1995062,2.896131,-0.09530213,0.2428851,3.056943,-0.1279313,-0.2956239,3.109232,-0.1277002,-0.687876,3.154328,-0.1661112,-0.7521763,3.091113,0.07292157,0.2445692,3.056788,0.09552644,-0.299173,3.09829,0.1217494,-0.6795429,3.125157,0.1583384,-0.7439273,3.061381,970,Put-your-hands-on-your-hips-and-twist,
60204956.4667,-0.01315079,0.3279037,3.065705,-0.01486238,0.3981244,3.111127,-0.02379381,0.7736589,3.096817,-0.02150278,0.948386,3.021351,-0.2152452,0.674112,3.108606,-0.3476902,0.419956,3.101487,-0.4610963,0.2110691,2.99932,-0.5014415,0.1192631,2.972782,0.1626956,0.6861409,3.108846,0.3415804,0.4521726,3.075855,0.469746,0.2512535,2.93142,0.5230792,0.1643822,2.891508,-0.09492695,0.2425579,3.057281,-0.1278473,-0.2958401,3.109447,-0.1277109,-0.6878362,3.154017,-0.166018,-0.7525654,3.091443,0.07293394,0.2444532,3.056792,0.09529198,-0.2986262,3.097738,0.1217493,-0.6795428,3.125156,0.1575374,-0.744277,3.061527,970,Put-your-hands-on-your-hips-and-twist,
60204991.4687,-0.01295187,0.3270565,3.065651,-0.01456293,0.3973752,3.111296,-0.02382333,0.7735827,3.096747,-0.02079512,0.9467309,3.019851,-0.2152121,0.6737566,3.10854,-0.316366,0.4139498,3.105715,-0.4254864,0.2091143,3.000797,-0.4419642,0.113139,2.950782,0.1613486,0.684926,3.107384,0.3241542,0.4302406,3.076196,0.4372743,0.2143729,2.942533,0.4795698,0.1371597,2.908779,-0.09466308,0.2421449,3.057082,-0.1271129,-0.2933786,3.109759,-0.127571,-0.6826386,3.15185,-0.1667815,-0.7521309,3.091009,0.07304832,0.2436115,3.057049,0.0954345,-0.2987936,3.097646,0.1203649,-0.6814737,3.132372,0.1578816,-0.7440971,3.061423,970,Put-your-hands-on-your-hips-and-twist,
