Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
60241737.3592,0.04581409,0.3759867,3.122233,0.04280092,0.4463921,3.132885,0.02976007,0.803129,3.127628,0.03396763,0.9753231,3.091889,-0.1545804,0.7192075,3.146179,-0.4358703,0.7001047,3.134281,-0.6589849,0.7697441,3.089339,-0.7360287,0.7875343,3.075317,0.2370957,0.7253892,3.157977,0.5221985,0.7221989,3.179005,0.7504648,0.7797852,3.15334,0.8130471,0.7828815,3.103113,-0.03591052,0.2881538,3.115026,-0.07098571,-0.2859583,3.146924,-0.07619051,-0.6778184,3.173635,-0.1056127,-0.743476,3.101704,0.1330941,0.2870718,3.122701,0.1089104,-0.2949035,3.174645,0.08981185,-0.6791401,3.172965,0.1100336,-0.7500198,3.103984,970,Do-a-forward-lunge,
60241763.3607,0.04403403,0.3758063,3.122743,0.04102473,0.4462414,3.134364,0.02833859,0.8033204,3.128859,0.03162466,0.9790364,3.09758,-0.1567574,0.7199816,3.147418,-0.4394123,0.700607,3.134945,-0.6630442,0.7705828,3.09502,-0.7405352,0.7862997,3.080992,0.235135,0.7250375,3.159629,0.5207981,0.7214459,3.18051,0.7488843,0.7802429,3.157972,0.8114657,0.7833393,3.107746,-0.03754653,0.2881774,3.114874,-0.07329312,-0.2863467,3.148198,-0.07642046,-0.6778125,3.173522,-0.1061642,-0.7438772,3.100605,0.1312888,0.2866946,3.123301,0.1074247,-0.3000628,3.175066,0.09098144,-0.679349,3.172712,0.1069687,-0.7526374,3.097166,970,Do-a-forward-lunge,
60241795.3626,0.04206461,0.3757802,3.123411,0.03906916,0.446225,3.135942,0.02673365,0.8035319,3.130069,0.03106567,0.979478,3.09805,-0.1594407,0.7202355,3.148653,-0.4424918,0.7011927,3.136063,-0.6658226,0.7719476,3.095639,-0.7434425,0.7868943,3.081489,0.2316985,0.7242627,3.160866,0.5200211,0.7207693,3.182591,0.7480791,0.7794607,3.158541,0.8106596,0.7825571,3.108316,-0.03948309,0.2881121,3.114934,-0.075527,-0.2861595,3.150447,-0.07577126,-0.6775459,3.173695,-0.106288,-0.7443073,3.099316,0.1293649,0.286918,3.124093,0.1058891,-0.2953914,3.175396,0.09149207,-0.6776655,3.174611,0.1079551,-0.7401521,3.117316,970,Do-a-forward-lunge,
60241831.3646,0.04118447,0.3754961,3.123716,0.03824563,0.446051,3.136888,0.02645163,0.8037705,3.130199,0.02988405,0.9814267,3.09982,-0.1602215,0.7198677,3.148433,-0.4432098,0.7010294,3.136736,-0.6666853,0.7701414,3.093266,-0.7444236,0.7842405,3.078904,0.2303912,0.7247928,3.162375,0.5178858,0.7194689,3.183606,0.7530065,0.7782591,3.15697,0.815586,0.7813554,3.106745,-0.04032335,0.2877294,3.114928,-0.07624393,-0.2890013,3.152008,-0.07669042,-0.677871,3.173837,-0.1063709,-0.7455789,3.098892,0.1281851,0.2867926,3.124712,0.1055908,-0.2952128,3.175192,0.0917328,-0.6771848,3.17405,0.1074435,-0.7421371,3.111366,970,Do-a-forward-lunge,
60241863.3664,0.03747226,0.374681,3.123998,0.03483328,0.4454188,3.137471,0.02441607,0.8036776,3.12934,0.02853346,0.9824682,3.101828,-0.1624985,0.7197253,3.148877,-0.4463993,0.7006893,3.136748,-0.6694976,0.7704458,3.091928,-0.7472906,0.7841154,3.077453,0.2285817,0.7248067,3.163287,0.5154922,0.7183126,3.184159,0.7550624,0.7782251,3.156105,0.8176411,0.7813213,3.105881,-0.04463566,0.2870257,3.115258,-0.07625155,-0.2892183,3.152295,-0.07645626,-0.6780781,3.174252,-0.1063517,-0.7456285,3.098922,0.1244587,0.2857546,3.125299,0.1043883,-0.2958947,3.17559,0.08996315,-0.6796179,3.173299,0.1163977,-0.7503422,3.11846,970,Do-a-forward-lunge,
60241895.3683,0.0346043,0.3748106,3.124353,0.0318919,0.4455453,3.138053,0.02173905,0.8036796,3.128757,0.02660002,0.9820465,3.101694,-0.1645515,0.7193336,3.148832,-0.4479881,0.7002116,3.137094,-0.6711297,0.7686021,3.08957,-0.7489817,0.781844,3.075022,0.2257747,0.7244085,3.164637,0.5152284,0.7180355,3.184182,0.7481136,0.7741952,3.156595,0.8106912,0.7772914,3.106371,-0.04726381,0.2871532,3.115454,-0.07762513,-0.2889593,3.152218,-0.07639086,-0.6777228,3.174448,-0.1063288,-0.7457052,3.09886,0.1214138,0.2860997,3.126033,0.1043801,-0.2952156,3.1754,0.08625412,-0.6772186,3.175709,0.1162348,-0.7499286,3.117991,970,Do-a-forward-lunge,
60241931.3703,0.0332265,0.3743819,3.124561,0.03049355,0.4453093,3.138582,0.02037577,0.8044817,3.128975,0.02570409,0.9824803,3.101026,-0.1674356,0.7185214,3.147777,-0.4497375,0.7002374,3.137664,-0.672523,0.7686023,3.087742,-0.7503994,0.7817039,3.073204,0.2243925,0.7237519,3.164758,0.5150095,0.7178436,3.184194,0.755259,0.7752467,3.152564,0.8178359,0.7783429,3.102342,-0.0488743,0.286639,3.115509,-0.07786591,-0.2886696,3.15251,-0.07645008,-0.6774244,3.174715,-0.1062886,-0.7442322,3.101475,0.1202333,0.2855655,3.126285,0.1027826,-0.2942094,3.175501,0.0870783,-0.6764911,3.174604,0.1154663,-0.7493373,3.113475,970,Do-a-forward-lunge,
60241963.3722,0.03021837,0.3740073,3.124969,0.02714785,0.4450838,3.1395,0.01577622,0.8055788,3.130235,0.02411896,0.9832299,3.101512,-0.1701518,0.7179836,3.14743,-0.4515984,0.7002274,3.137733,-0.6741285,0.7693012,3.087575,-0.7520158,0.7823385,3.073042,0.2216557,0.7247901,3.165752,0.5111765,0.7163705,3.183268,0.7589186,0.7766696,3.148078,0.8214946,0.7797658,3.097857,-0.05192384,0.2863287,3.115701,-0.0783307,-0.2896729,3.153827,-0.07636969,-0.677418,3.174711,-0.105934,-0.744627,3.101315,0.1179067,0.2851609,3.126526,0.10253,-0.2946814,3.175402,0.08770399,-0.6764955,3.174099,0.1114849,-0.7486387,3.105349,970,Do-a-forward-lunge,
60241995.374,0.02821988,0.3739703,3.125741,0.02549213,0.4449762,3.140645,0.01545213,0.8052681,3.131099,0.02144767,0.9818391,3.103062,-0.1737182,0.7178186,3.147799,-0.4520223,0.7001864,3.137452,-0.6749008,0.7673492,3.085834,-0.7528144,0.7801857,3.07127,0.2200711,0.7246338,3.166383,0.5089989,0.7156726,3.183221,0.7374711,0.771822,3.154614,0.8000461,0.774918,3.104393,-0.05470342,0.2860129,3.116021,-0.07831357,-0.2896489,3.154141,-0.0768676,-0.6770244,3.175372,-0.1059219,-0.74439,3.100974,0.1156285,0.2848743,3.127524,0.1014657,-0.2952631,3.175445,0.08625062,-0.676354,3.173839,0.1108838,-0.7484018,3.105193,970,Do-a-forward-lunge,
60242031.3761,0.02737577,0.3741609,3.125674,0.02459372,0.4451833,3.140993,0.01485642,0.8056982,3.131434,0.01902366,0.9814758,3.103157,-0.1748541,0.7176007,3.147694,-0.453722,0.69947,3.136817,-0.6775138,0.7612981,3.081571,-0.7554689,0.773853,3.066989,0.2187436,0.725157,3.167503,0.5080664,0.7153983,3.18241,0.7366611,0.7710952,3.153985,0.7992355,0.7741911,3.103764,-0.05575595,0.2861308,3.115742,-0.07883418,-0.2896127,3.154305,-0.07776772,-0.6766582,3.175313,-0.1059668,-0.744395,3.101126,0.1149609,0.2850527,3.127437,0.1000156,-0.2935562,3.175242,0.08672607,-0.6749015,3.174512,0.1173221,-0.7435452,3.13057,970,Do-a-forward-lunge,
