Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
60281341.8141,-0.0482292,0.3440065,3.105457,-0.05215379,0.4169277,3.136179,-0.05536493,0.7949139,3.130315,-0.04454837,0.9678876,3.076012,-0.2341895,0.6962929,3.128322,-0.4528219,0.4720744,3.119374,-0.6218759,0.3291207,3.022394,-0.6981715,0.2526331,3.005424,0.1310254,0.7051002,3.162902,0.3433532,0.5082187,3.13622,0.5766651,0.3455897,3.002797,0.6489326,0.295256,2.992738,-0.1287103,0.2634444,3.093171,-0.1326582,-0.3244699,3.16143,-0.1069556,-0.702211,3.200713,-0.145478,-0.7466385,3.137739,0.03433357,0.2609389,3.103276,0.03648941,-0.3405358,3.152311,0.03468034,-0.7070736,3.16685,0.0606147,-0.763135,3.068383,970,Lift-your-leg-to-the-other-side,
60281371.8158,-0.04759173,0.34329,3.104604,-0.05163503,0.4160439,3.13644,-0.05485182,0.794508,3.130122,-0.04477517,0.9671361,3.072971,-0.2339566,0.696114,3.127627,-0.4144236,0.4665945,3.127479,-0.6050553,0.3031515,3.022881,-0.6666737,0.2166956,2.996653,0.1305798,0.704279,3.162475,0.3375636,0.4988018,3.137742,0.5214189,0.3505377,3.025209,0.6162295,0.2539203,2.982249,-0.1278481,0.2625186,3.091749,-0.131976,-0.3250629,3.161051,-0.1078549,-0.70252,3.202913,-0.1465072,-0.7478579,3.141011,0.03482214,0.2606329,3.102722,0.0381633,-0.3346073,3.15034,0.03561283,-0.7073551,3.16787,0.06172699,-0.7613157,3.069879,970,Lift-your-leg-to-the-other-side,
60281407.8179,-0.04765671,0.3426286,3.103812,-0.05184675,0.4153653,3.136794,-0.05532834,0.7945218,3.129987,-0.04480639,0.967651,3.069112,-0.2339644,0.6959651,3.127336,-0.410251,0.4626036,3.129211,-0.5668805,0.2882861,3.03244,-0.6386293,0.2132473,2.99808,0.1302969,0.70232,3.161545,0.3307733,0.4886929,3.138874,0.5089466,0.3378834,3.023825,0.6088023,0.2421934,2.978739,-0.1279318,0.2617178,3.090061,-0.1323275,-0.3249894,3.160377,-0.107822,-0.7024887,3.202857,-0.1455185,-0.7457147,3.138322,0.03501475,0.2599958,3.102287,0.03831663,-0.332948,3.149306,0.0354909,-0.7065477,3.167109,0.05999083,-0.7593266,3.077408,970,Lift-your-leg-to-the-other-side,
60281440.8198,-0.04732949,0.3422277,3.103348,-0.05164869,0.4147636,3.137295,-0.05507657,0.7939234,3.129882,-0.04495709,0.9665409,3.068169,-0.2338391,0.6956278,3.126672,-0.3929541,0.4537947,3.13008,-0.5500475,0.2737623,3.036957,-0.6002828,0.1864612,2.994364,0.1297638,0.7019222,3.161283,0.324002,0.4792089,3.140145,0.5011677,0.2831308,3.007833,0.568969,0.1998106,2.987339,-0.1274154,0.2611754,3.088757,-0.1321978,-0.3249978,3.159607,-0.1075096,-0.7025338,3.202761,-0.1455858,-0.7473567,3.138077,0.0352505,0.2598556,3.102222,0.03795997,-0.3315582,3.14748,0.03536074,-0.7067127,3.16726,0.06527281,-0.7578609,3.088611,970,Lift-your-leg-to-the-other-side,
60281471.8215,-0.046708,0.3413139,3.101911,-0.05122854,0.4137715,3.137144,-0.05497419,0.7937846,3.129842,-0.04507764,0.9668733,3.067401,-0.2335906,0.6952349,3.125682,-0.3857365,0.4467822,3.128484,-0.5211523,0.233795,3.027603,-0.5687286,0.1456077,2.983795,0.1288381,0.6995031,3.16007,0.3131895,0.461419,3.14449,0.4839337,0.2620877,3.010686,0.5290883,0.1704781,2.985577,-0.1265555,0.2604082,3.086565,-0.1320624,-0.3249428,3.159251,-0.1076697,-0.702472,3.202781,-0.1453101,-0.747249,3.138071,0.03582705,0.2592348,3.101126,0.03800897,-0.3308336,3.145797,0.03649405,-0.7052103,3.165504,0.06415988,-0.757831,3.087396,970,Lift-your-leg-to-the-other-side,
60281508.8237,-0.04663114,0.3409713,3.100672,-0.05138928,0.4131774,3.136962,-0.05490203,0.7932485,3.129429,-0.04492323,0.9690214,3.066125,-0.2332139,0.694095,3.123818,-0.3715857,0.4309822,3.126483,-0.5037997,0.2266063,3.030729,-0.5457673,0.1336629,2.991229,0.1283615,0.698231,3.159732,0.2988868,0.438144,3.141638,0.4555922,0.220755,3.017473,0.4953171,0.1451889,2.993175,-0.1262651,0.2603988,3.084721,-0.1318962,-0.3260501,3.158702,-0.1096304,-0.7011999,3.200313,-0.145257,-0.748375,3.135695,0.03578216,0.2589189,3.100224,0.03818559,-0.3307926,3.145118,0.03640181,-0.7048575,3.165322,0.06368151,-0.7561683,3.085018,970,Lift-your-leg-to-the-other-side,
60281540.8255,-0.04607993,0.3404642,3.099726,-0.05097638,0.4124345,3.137149,-0.05457436,0.7925152,3.129442,-0.04459964,0.9641082,3.062598,-0.2330246,0.693472,3.12354,-0.3595955,0.4234408,3.12876,-0.4580694,0.2037799,3.045421,-0.4977748,0.1080327,3.010547,0.1278501,0.6977339,3.159345,0.2840454,0.4226146,3.142481,0.428534,0.2005379,3.020215,0.4543947,0.1208465,3.00204,-0.1254624,0.2601025,3.083515,-0.132043,-0.3272069,3.157772,-0.1094384,-0.7013932,3.200427,-0.1447229,-0.7492863,3.134579,0.03621575,0.2585999,3.099272,0.03827731,-0.3308452,3.144386,0.03719682,-0.7042937,3.165357,0.06378857,-0.7568693,3.090092,970,Lift-your-leg-to-the-other-side,
60281570.8272,-0.04619117,0.3396959,3.098335,-0.05111356,0.41164,3.13695,-0.05439622,0.7925099,3.129208,-0.04475195,0.9643015,3.062844,-0.2322685,0.6933632,3.122551,-0.3438176,0.4156086,3.132678,-0.4321591,0.1531646,3.014968,-0.4488212,0.06922095,2.991981,0.1260473,0.6965787,3.158244,0.2560286,0.4169005,3.150803,0.3951986,0.1637036,3.023875,0.4159787,0.08783129,3.005293,-0.1254256,0.2598183,3.082242,-0.1320099,-0.3270034,3.156726,-0.1098647,-0.7017344,3.200149,-0.1382819,-0.7496305,3.134733,0.03580139,0.2584316,3.097957,0.03732795,-0.3282135,3.141712,0.03639192,-0.7060402,3.168466,0.08420724,-0.7665153,3.130554,970,Lift-your-leg-to-the-other-side,
60281609.8294,-0.04622585,0.339368,3.096566,-0.05113767,0.4111006,3.136705,-0.05402816,0.7924368,3.129242,-0.04519852,0.9632757,3.062082,-0.2312902,0.6934811,3.122184,-0.3296064,0.4060374,3.128094,-0.4089118,0.138976,3.010095,-0.4116085,0.04095228,2.983178,0.1236417,0.6970423,3.157663,0.2376049,0.4184432,3.156032,0.3409366,0.15572,3.036851,0.3597757,0.08038327,3.014421,-0.1248368,0.260375,3.080198,-0.1323532,-0.3252721,3.154531,-0.1130432,-0.6966827,3.194824,-0.1413237,-0.7494032,3.133168,0.03466594,0.2589487,3.095258,0.03772639,-0.3262442,3.137807,0.03711212,-0.7027931,3.166764,0.05995519,-0.7510816,3.094201,970,Lift-your-leg-to-the-other-side,
60281639.8311,-0.0459957,0.3381332,3.094907,-0.05119884,0.4098294,3.136888,-0.053665,0.7921391,3.130274,-0.04527993,0.9627708,3.061597,-0.2299353,0.6937335,3.121554,-0.3102986,0.3996531,3.131518,-0.3528824,0.119737,3.021928,-0.3612116,0.01539228,2.990663,0.1230964,0.697046,3.158254,0.2164379,0.4153006,3.160988,0.2896206,0.1443117,3.031125,0.2985995,0.06490781,3.018958,-0.1237903,0.2595588,3.07801,-0.1322346,-0.325161,3.153587,-0.1128248,-0.6967383,3.195016,-0.1421567,-0.7496836,3.134049,0.03414858,0.2583909,3.093183,0.03761949,-0.3264796,3.136221,0.03793397,-0.7023906,3.165021,0.05913544,-0.7530267,3.091672,970,Lift-your-leg-to-the-other-side,
