Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
60637825.0468,-0.1209052,0.3740862,3.117537,-0.121805,0.4433171,3.120841,-0.1280754,0.7893938,3.115571,-0.1347616,0.9553466,3.057666,-0.3298295,0.7227346,3.155091,-0.5785962,0.6928783,3.157067,-0.8240699,0.7114217,3.091755,-0.9011859,0.7316259,3.073319,0.06638417,0.7302487,3.152251,0.3494337,0.7296224,3.128002,0.5937674,0.7876115,3.042857,0.6687214,0.8044523,3.014692,-0.2059502,0.2824636,3.112719,-0.1825942,-0.2893017,3.168995,-0.154406,-0.7041742,3.177337,-0.2080977,-0.7523857,3.117055,-0.03357827,0.2871283,3.11713,-0.03962876,-0.2928955,3.154842,-0.05034473,-0.6945138,3.175495,-0.03548542,-0.7490184,3.112972,970,Throw-a-ball-with-your-other-arm,
60637857.0486,-0.1208194,0.3723782,3.11716,-0.1216994,0.4421302,3.121479,-0.1277011,0.7896195,3.116374,-0.1347069,0.9551355,3.0578,-0.3290887,0.7219456,3.155197,-0.5954288,0.6822366,3.149068,-0.8233745,0.6978096,3.089305,-0.906135,0.7018065,3.068374,0.0664582,0.7290698,3.151905,0.3476604,0.7190228,3.124696,0.5851932,0.7567598,3.043074,0.6601477,0.7735572,3.014889,-0.2058276,0.2812172,3.112137,-0.1827287,-0.2902157,3.169155,-0.1551112,-0.7036921,3.177691,-0.2085403,-0.752183,3.117371,-0.03359554,0.2856197,3.11643,-0.03940257,-0.2960782,3.155909,-0.04740586,-0.6934674,3.174955,-0.03434553,-0.7493333,3.112089,970,Throw-a-ball-with-your-other-arm,
60637893.0507,-0.1210302,0.3716233,3.116918,-0.1218932,0.4414749,3.122112,-0.1277508,0.7895909,3.116863,-0.13456,0.9550856,3.058293,-0.3278233,0.7183807,3.15482,-0.5997058,0.6724815,3.146346,-0.8275096,0.6692382,3.083405,-0.9336976,0.6568484,3.054676,0.06696224,0.7270848,3.152152,0.3416525,0.704853,3.120675,0.5813506,0.740549,3.036826,0.6563026,0.757374,3.008647,-0.2060737,0.2807405,3.111718,-0.1841841,-0.2848869,3.168417,-0.1548863,-0.703593,3.177711,-0.207274,-0.7511125,3.117008,-0.03374458,0.2846132,3.115969,-0.03941238,-0.2962816,3.156147,-0.05114748,-0.6931098,3.174435,-0.03317799,-0.7484976,3.11268,970,Throw-a-ball-with-your-other-arm,
60637926.0526,-0.1209438,0.3707902,3.116819,-0.1217518,0.4406506,3.122977,-0.1270058,0.7892793,3.118203,-0.1337835,0.9550378,3.060266,-0.3270176,0.7160386,3.154894,-0.5974879,0.666641,3.146395,-0.8295708,0.6367656,3.080812,-0.9065087,0.648801,3.055701,0.06798414,0.725556,3.152171,0.3396461,0.6951516,3.117717,0.5612869,0.69429,3.031569,0.6362367,0.7111132,3.003384,-0.2061266,0.2799818,3.11141,-0.183505,-0.2881526,3.168764,-0.1552313,-0.702947,3.177588,-0.2093001,-0.7505,3.117051,-0.03361318,0.2834748,3.115554,-0.04059471,-0.290652,3.15523,-0.05442276,-0.6923739,3.173818,-0.03174368,-0.7485334,3.110413,970,Throw-a-ball-with-your-other-arm,
60637958.0544,-0.1204684,0.3683376,3.116724,-0.1209355,0.4384521,3.124188,-0.1233782,0.7887612,3.120691,-0.133045,0.9553934,3.06077,-0.3259375,0.7137765,3.155353,-0.6050368,0.6433789,3.145326,-0.8288018,0.6060815,3.077992,-0.9028012,0.6311412,3.053691,0.06881936,0.7229529,3.151553,0.3354479,0.6785828,3.113898,0.5583681,0.6867903,3.032338,0.6333154,0.703613,3.004154,-0.2062573,0.2778872,3.111449,-0.1803524,-0.2977004,3.1708,-0.1557494,-0.7043937,3.178197,-0.1892003,-0.7518843,3.11898,-0.03336234,0.2810494,3.114486,-0.04073813,-0.2993804,3.155965,-0.04955439,-0.6933068,3.175451,-0.03129559,-0.748245,3.11278,970,Throw-a-ball-with-your-other-arm,
60637993.0564,-0.1198724,0.3662287,3.116529,-0.1202202,0.4366278,3.125199,-0.122168,0.7885962,3.121503,-0.1324746,0.9559793,3.061359,-0.3238504,0.7098089,3.155216,-0.5724553,0.6199175,3.154478,-0.797006,0.5886277,3.08198,-0.8959966,0.5501881,3.050723,0.06901143,0.7218222,3.151684,0.3330879,0.6640658,3.109472,0.5529678,0.6594408,3.018214,0.6443168,0.6351389,2.960608,-0.2058364,0.2766393,3.11106,-0.1817591,-0.2946631,3.170504,-0.1564562,-0.7025615,3.178916,-0.2011402,-0.7511243,3.12218,-0.03310267,0.2790776,3.114103,-0.04009417,-0.2932768,3.155462,-0.04958003,-0.6932765,3.175634,-0.03038632,-0.7490073,3.10853,970,Throw-a-ball-with-your-other-arm,
60638024.0582,-0.1198415,0.3639778,3.11645,-0.1199994,0.4344276,3.126385,-0.1212983,0.7875724,3.122735,-0.1317811,0.9558126,3.061709,-0.3235848,0.7086443,3.155595,-0.5666072,0.6086714,3.15836,-0.7939733,0.5418136,3.073944,-0.8691753,0.5491097,3.042547,0.06896551,0.7182783,3.151593,0.3262723,0.650973,3.108877,0.5453223,0.6477239,3.015212,0.6349554,0.6235923,2.954902,-0.2058782,0.2749144,3.110815,-0.1815377,-0.2948952,3.170506,-0.1581116,-0.7013483,3.178413,-0.1876828,-0.7518205,3.120053,-0.0333625,0.2766398,3.113565,-0.03984239,-0.2939612,3.155569,-0.04693463,-0.6872613,3.176165,-0.0307017,-0.7490489,3.107969,970,Throw-a-ball-with-your-other-arm,
60638057.0601,-0.119824,0.3587986,3.116433,-0.1197082,0.4299417,3.127672,-0.1202137,0.7864573,3.123765,-0.1315968,0.9548789,3.061698,-0.3212774,0.7063567,3.154667,-0.558413,0.594905,3.162332,-0.7916687,0.5266243,3.071859,-0.8863015,0.4723628,3.053037,0.06819288,0.7150928,3.151503,0.3335396,0.627378,3.101829,0.545429,0.605282,2.993097,0.6122511,0.5982406,2.95358,-0.2056405,0.2713991,3.110908,-0.180543,-0.297377,3.171362,-0.1590201,-0.7008203,3.178326,-0.1955632,-0.7550738,3.109827,-0.03416077,0.2728423,3.112917,-0.03968422,-0.2986248,3.156672,-0.04800787,-0.692199,3.174519,-0.03211832,-0.7502249,3.107519,970,Throw-a-ball-with-your-other-arm,
60638093.0621,-0.1198876,0.3570861,3.116248,-0.1196995,0.4280343,3.128531,-0.1193943,0.7849127,3.124154,-0.1315169,0.9551861,3.061739,-0.3182845,0.7042718,3.153494,-0.5514235,0.5746908,3.163748,-0.7569384,0.4930076,3.076102,-0.8274558,0.4724412,3.051257,0.06823747,0.7115142,3.152292,0.3373358,0.6045324,3.102522,0.53812,0.5629175,2.977458,0.604394,0.5139202,2.922649,-0.2056846,0.2703226,3.110607,-0.1815777,-0.2958542,3.170602,-0.1581681,-0.7006478,3.177603,-0.1984009,-0.7480354,3.118787,-0.03448535,0.2714847,3.11277,-0.04056272,-0.290434,3.154484,-0.04805655,-0.6921529,3.174529,-0.03112533,-0.7496722,3.108091,970,Throw-a-ball-with-your-other-arm,
60638125.064,-0.1202983,0.3535483,3.116406,-0.1199478,0.4253388,3.129746,-0.1191093,0.784907,3.12475,-0.1305905,0.9545735,3.062745,-0.314724,0.6999435,3.152006,-0.5561783,0.5427315,3.166669,-0.7682474,0.446372,3.082317,-0.8506179,0.3738356,3.067866,0.06790431,0.7092286,3.151967,0.3076949,0.5817138,3.109471,0.5059944,0.5273299,2.980634,0.5875835,0.4953224,2.919703,-0.2057418,0.2678733,3.11112,-0.1816563,-0.29627,3.170333,-0.1577385,-0.701862,3.175574,-0.2054765,-0.7492626,3.116755,-0.03551478,0.2686386,3.112187,-0.04061825,-0.3059737,3.155949,-0.04706157,-0.692877,3.173452,-0.02673747,-0.7531649,3.101497,970,Throw-a-ball-with-your-other-arm,
