Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
60888731.0036,-0.03549855,0.3496938,2.953277,-0.03755729,0.4199697,2.983617,-0.04758653,0.7849719,2.971087,-0.03892012,0.9589466,2.935608,-0.242349,0.7043921,2.991923,-0.5077912,0.6564686,2.96381,-0.7349637,0.6726881,2.88201,-0.812875,0.6686904,2.848964,0.159917,0.7056779,2.994359,0.448929,0.6743537,2.953542,0.6675386,0.6953563,2.848529,0.7471463,0.6949217,2.819535,-0.1211391,0.2608125,2.943237,-0.1344599,-0.3006205,2.983862,-0.1224635,-0.6891456,2.99494,-0.1568963,-0.7629325,2.930366,0.05466175,0.2579844,2.950131,0.0591442,-0.3080371,2.983951,0.05892082,-0.6911019,3.018577,0.09379727,-0.7550509,2.938641,970,Make-the-letter-Y,
60888764.0055,-0.03571018,0.3486692,2.95382,-0.03782705,0.418957,2.984797,-0.04828725,0.7851446,2.973812,-0.03834493,0.9582764,2.935843,-0.2430186,0.7027516,2.9927,-0.5123842,0.6417989,2.960507,-0.7431313,0.6392007,2.872836,-0.8385363,0.6273172,2.85317,0.1590703,0.704442,2.995146,0.4474512,0.6566854,2.949227,0.6671733,0.6810452,2.84784,0.74678,0.6806107,2.818847,-0.1211226,0.2599911,2.943368,-0.1343629,-0.3007884,2.984117,-0.1227895,-0.6885577,2.995422,-0.155334,-0.761741,2.931202,0.05440097,0.257109,2.950508,0.05875066,-0.3077063,2.983865,0.05831697,-0.6892698,3.018227,0.09359755,-0.7547146,2.939174,970,Make-the-letter-Y,
60888795.0073,-0.03580471,0.3471041,2.954447,-0.03794706,0.4174308,2.98616,-0.04823364,0.784427,2.975746,-0.03803729,0.9574684,2.935857,-0.2424323,0.7009239,2.993634,-0.5086344,0.6329411,2.957723,-0.740302,0.6119397,2.865596,-0.8360913,0.6057845,2.841098,0.1582687,0.70384,2.996422,0.4449249,0.6442428,2.946745,0.6594777,0.6396953,2.830348,0.7390837,0.6392608,2.801356,-0.1210014,0.2588903,2.943802,-0.1348486,-0.3018614,2.984626,-0.1228864,-0.6884993,2.995214,-0.1554929,-0.7632728,2.934057,0.05415282,0.2561912,2.950688,0.05740617,-0.3090315,2.984093,0.05858745,-0.6886477,3.018482,0.09304046,-0.7539075,2.940367,970,Make-the-letter-Y,
60888831.0094,-0.03553903,0.3460626,2.954782,-0.03766486,0.4161403,2.987565,-0.04595275,0.7836448,2.979141,-0.03777452,0.9573185,2.935927,-0.2422473,0.6999809,2.99432,-0.5081153,0.6049007,2.958186,-0.739643,0.5731348,2.86748,-0.8272225,0.5746369,2.831205,0.1573034,0.7013988,2.998682,0.4396725,0.6198422,2.942835,0.6540059,0.617464,2.825897,0.7463045,0.6008373,2.759992,-0.1208298,0.2581277,2.943862,-0.1346468,-0.3028484,2.985406,-0.12263,-0.6890708,2.99455,-0.156724,-0.7638043,2.933073,0.05414536,0.2554916,2.950687,0.05760375,-0.3095197,2.984157,0.05905603,-0.6884165,3.018583,0.09195021,-0.7537425,2.941376,970,Make-the-letter-Y,
60888863.0112,-0.03554135,0.3450702,2.955034,-0.03749412,0.4150601,2.988983,-0.0444335,0.7834932,2.981629,-0.03743068,0.9577749,2.937157,-0.2416531,0.6985713,2.995684,-0.505214,0.5883942,2.960895,-0.7321685,0.5415144,2.863892,-0.8328289,0.5050598,2.822928,0.1558987,0.6991952,2.999624,0.416169,0.6007041,2.943903,0.6269557,0.5789943,2.821974,0.7010165,0.5719218,2.77299,-0.1208349,0.2576877,2.943851,-0.1352131,-0.3017973,2.985079,-0.1221729,-0.6887006,2.995438,-0.153266,-0.7608374,2.934367,0.05380383,0.2548024,2.950659,0.05754219,-0.3094764,2.98424,0.05914589,-0.6884179,3.01858,0.09200613,-0.75416,2.942185,970,Make-the-letter-Y,
60888895.013,-0.03536377,0.3422213,2.955586,-0.03708002,0.4122879,2.990689,-0.04370464,0.7818835,2.982846,-0.03738781,0.9570487,2.937547,-0.2413695,0.6968391,2.997613,-0.4913755,0.5722252,2.962195,-0.728463,0.4934239,2.853611,-0.8351876,0.4657506,2.824016,0.153517,0.6952939,3.000103,0.4117111,0.5878357,2.945537,0.6197846,0.5399746,2.826851,0.7100633,0.4932155,2.762061,-0.1204219,0.2556991,2.944293,-0.1353081,-0.3015223,2.985274,-0.1221527,-0.6885281,2.99565,-0.1534994,-0.759918,2.935163,0.05334539,0.2526847,2.9507,0.05764246,-0.3086866,2.984362,0.05920781,-0.688228,3.018714,0.09198334,-0.7536988,2.942254,970,Make-the-letter-Y,
60888931.0151,-0.03540833,0.3374801,2.956146,-0.03711052,0.4088152,2.992408,-0.04353438,0.7819464,2.984075,-0.03697315,0.9567228,2.937971,-0.2366678,0.6925441,2.997858,-0.4816197,0.5552415,2.965553,-0.6827623,0.4680407,2.859599,-0.7762405,0.4337774,2.813288,0.152622,0.6929723,3.001243,0.384764,0.5753655,2.938191,0.5804096,0.4945203,2.815848,0.6838034,0.4626953,2.754298,-0.1199186,0.25334,2.944587,-0.1354402,-0.3008862,2.985716,-0.122356,-0.6883143,2.995739,-0.1536763,-0.7595561,2.935437,0.05237339,0.2491306,2.950846,0.05729759,-0.3093668,2.984679,0.05828662,-0.6893912,3.018852,0.09140273,-0.7540182,2.942243,970,Make-the-letter-Y,
60888963.0169,-0.03567923,0.3359451,2.956343,-0.0370901,0.4072858,2.993777,-0.04167567,0.7818814,2.986011,-0.03649472,0.9562314,2.938589,-0.2349162,0.6903831,2.99854,-0.4781205,0.5301662,2.964983,-0.6982113,0.4225034,2.842533,-0.7866041,0.3519641,2.82379,0.1518507,0.6919734,3.001913,0.3822105,0.5733286,2.937412,0.57195,0.4781447,2.809805,0.6556538,0.4078477,2.749309,-0.1200659,0.2523696,2.944813,-0.1356103,-0.3006145,2.985999,-0.1222043,-0.6881556,2.995789,-0.1527714,-0.758705,2.935453,0.05131941,0.2478942,2.950625,0.05691858,-0.3091498,2.985245,0.05899183,-0.6888817,3.018612,0.0914935,-0.7539653,2.942279,970,Make-the-letter-Y,
60888995.0187,-0.03537632,0.3340739,2.957115,-0.03682055,0.4053259,2.995915,-0.04153778,0.7817247,2.988737,-0.03634002,0.9557389,2.938679,-0.2334559,0.6883631,2.999018,-0.4687632,0.5175977,2.966889,-0.6472892,0.396879,2.852432,-0.7419927,0.3238739,2.817597,0.1513613,0.6916288,3.002738,0.3775782,0.5071937,2.941476,0.5715797,0.4316032,2.812519,0.6289383,0.3374288,2.729876,-0.119511,0.2508466,2.945495,-0.13578,-0.3007218,2.986528,-0.1223699,-0.6878333,2.995692,-0.1521305,-0.7582954,2.933644,0.05131694,0.2468064,2.950889,0.05655617,-0.3095331,2.985549,0.05848772,-0.6886976,3.018751,0.0930949,-0.7550579,2.939219,970,Make-the-letter-Y,
60889031.0208,-0.03500625,0.3319138,2.958001,-0.0367071,0.403426,2.997676,-0.04180343,0.7814793,2.989057,-0.03637135,0.955767,2.939442,-0.232083,0.6859936,2.998584,-0.455232,0.4868113,2.968011,-0.6279869,0.3624059,2.848051,-0.6958906,0.2894292,2.813933,0.1494408,0.6906888,3.003371,0.373463,0.5183248,2.930121,0.5240254,0.3782008,2.796655,0.592737,0.2984999,2.730697,-0.1182367,0.2489228,2.946831,-0.1354538,-0.3011729,2.987552,-0.1225415,-0.6877629,2.995683,-0.1525579,-0.7591615,2.934361,0.05119109,0.24579,2.951426,0.05623605,-0.3111793,2.986164,0.05831047,-0.6895427,3.018781,0.09370098,-0.7557626,2.938053,970,Make-the-letter-Y,
