Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
61031350.7515,-0.129256,0.3627646,2.916167,-0.1321674,0.4322127,2.936513,-0.1384853,0.7847999,2.920171,-0.1343331,0.9588537,2.887638,-0.3374196,0.705812,2.938465,-0.6100516,0.7140527,2.898529,-0.8263081,0.7907586,2.832293,-0.9046574,0.815877,2.81828,0.05846711,0.7141252,2.9647,0.332104,0.7356181,2.95329,0.5635908,0.8337032,2.902092,0.6381493,0.8546326,2.853724,-0.2139968,0.272704,2.906,-0.1960423,-0.3001573,2.960312,-0.1663771,-0.7058864,2.966837,-0.1960353,-0.7654626,2.911179,-0.04115393,0.274201,2.917654,-0.0600921,-0.3107455,2.965882,-0.05882102,-0.7006566,2.974782,-0.03714022,-0.7634431,2.917082,970,Make-the-letter-T,
61031381.7533,-0.1294555,0.3626817,2.915894,-0.1322713,0.4321627,2.935912,-0.1383945,0.784864,2.920072,-0.1341935,0.9590652,2.887343,-0.3375854,0.7059405,2.938278,-0.6097289,0.7141828,2.898052,-0.8261675,0.7907143,2.832326,-0.9033176,0.8180951,2.816081,0.05836513,0.7141085,2.964334,0.33327,0.7361004,2.952664,0.5644523,0.8326524,2.899863,0.6389457,0.8543146,2.852902,-0.2142621,0.2726341,2.905776,-0.1966259,-0.2999632,2.960116,-0.1660819,-0.7060194,2.966717,-0.1950902,-0.7650131,2.910106,-0.0414273,0.2740766,2.917289,-0.06049006,-0.3108772,2.965693,-0.06138646,-0.7008894,2.973732,-0.03077394,-0.7654707,2.920252,970,Make-the-letter-T,
61031418.7554,-0.1296118,0.3625693,2.91548,-0.1323095,0.4320446,2.935132,-0.1377737,0.7845564,2.919469,-0.1339454,0.9594107,2.88684,-0.3376468,0.705977,2.937953,-0.6088548,0.7144257,2.897602,-0.8256403,0.7905149,2.832697,-0.9025056,0.8185595,2.816242,0.05820998,0.7142099,2.963842,0.3314014,0.7348748,2.952287,0.5645676,0.8320305,2.899926,0.63923,0.8538898,2.853311,-0.2145132,0.2726038,2.905396,-0.1967362,-0.2997808,2.95993,-0.1662345,-0.7058676,2.966712,-0.192306,-0.7650257,2.908859,-0.0416994,0.2739294,2.916893,-0.06023703,-0.3102296,2.965282,-0.05849989,-0.7000058,2.97408,-0.03397232,-0.7629687,2.919502,970,Make-the-letter-T,
61031450.7572,-0.1297422,0.362591,2.915273,-0.1323875,0.4320949,2.934609,-0.137546,0.7847508,2.919221,-0.1335685,0.9593951,2.886756,-0.3375285,0.7062427,2.937621,-0.6067904,0.7143209,2.8963,-0.8240761,0.7900276,2.833011,-0.9004761,0.8187459,2.815584,0.05831344,0.7141866,2.963816,0.3309852,0.7342911,2.95166,0.5647418,0.8314635,2.899676,0.6394812,0.8535886,2.853353,-0.2146829,0.2726473,2.905156,-0.1968374,-0.2998801,2.959852,-0.1662437,-0.705936,2.966707,-0.1945718,-0.7654328,2.910282,-0.04191542,0.2739148,2.916739,-0.06034695,-0.3103291,2.965334,-0.05999035,-0.7006286,2.973732,-0.03533108,-0.7632149,2.918951,970,Make-the-letter-T,
61031481.759,-0.1298355,0.362701,2.914947,-0.1324436,0.4322389,2.93405,-0.137563,0.785169,2.919103,-0.1328415,0.9585918,2.885804,-0.3374332,0.706486,2.937306,-0.6066218,0.714144,2.895489,-0.8238883,0.7902392,2.832728,-0.900138,0.8192118,2.815072,0.05841947,0.7141244,2.96329,0.328745,0.7325755,2.949853,0.5645032,0.8311667,2.899736,0.6417115,0.8458307,2.862772,-0.2148234,0.2728645,2.904731,-0.196801,-0.2999696,2.959794,-0.1671011,-0.7066108,2.966707,-0.1954194,-0.7654739,2.909619,-0.04197844,0.2739735,2.916443,-0.06140272,-0.3095045,2.964963,-0.06273968,-0.6996109,2.973624,-0.03557403,-0.7628191,2.918973,970,Make-the-letter-T,
61031519.7612,-0.1299195,0.3626128,2.914764,-0.1324681,0.4321822,2.933721,-0.1373618,0.7852358,2.919171,-0.1321247,0.9583732,2.885186,-0.3372267,0.7065846,2.936833,-0.6062921,0.7141659,2.895194,-0.8233573,0.790284,2.831568,-0.8994763,0.8194935,2.813745,0.05876923,0.7139418,2.962929,0.3286771,0.7322433,2.949617,0.5646925,0.8303658,2.899049,0.641699,0.8441136,2.863127,-0.2149733,0.2728133,2.904388,-0.1969332,-0.2998334,2.959718,-0.1670914,-0.7066044,2.96673,-0.1971157,-0.7663378,2.911448,-0.04216388,0.2737632,2.916241,-0.06148152,-0.3095818,2.964919,-0.06194429,-0.6995165,2.973421,-0.04882853,-0.7643588,2.913787,970,Make-the-letter-T,
61031550.7629,-0.1299094,0.3626732,2.914549,-0.1324454,0.4322128,2.93342,-0.1372027,0.7852609,2.919276,-0.1320295,0.9582565,2.884563,-0.3367836,0.7065694,2.936221,-0.606079,0.7140535,2.894743,-0.8224308,0.7914886,2.830037,-0.8984563,0.8209048,2.812161,0.05898752,0.7137483,2.962579,0.328175,0.7316915,2.948603,0.5641303,0.8293782,2.898557,0.6422054,0.8416247,2.866413,-0.2149384,0.2730064,2.903728,-0.1970582,-0.299354,2.959466,-0.1671029,-0.70656,2.966732,-0.195231,-0.766134,2.910295,-0.04219035,0.2737996,2.916145,-0.06109431,-0.3087769,2.964589,-0.05895526,-0.6992948,2.973641,-0.04822608,-0.7637981,2.913701,970,Make-the-letter-T,
61031581.7647,-0.1300381,0.3626316,2.914255,-0.1325407,0.4321975,2.933098,-0.1371726,0.7854217,2.919319,-0.1311391,0.9565479,2.883083,-0.3368056,0.7066678,2.935748,-0.6059335,0.7137992,2.893345,-0.822159,0.7917001,2.82882,-0.898046,0.8213001,2.810666,0.05933893,0.7133462,2.962372,0.3277826,0.7307814,2.948604,0.563822,0.8287296,2.898592,0.6433894,0.841273,2.86726,-0.2151468,0.2729673,2.903234,-0.1970959,-0.2994411,2.959432,-0.1671585,-0.7062401,2.966449,-0.1972575,-0.7651826,2.910368,-0.04233742,0.2736214,2.915846,-0.06120912,-0.3088659,2.964569,-0.05823781,-0.6990271,2.973795,-0.04460796,-0.7638565,2.912325,970,Make-the-letter-T,
61031619.7669,-0.1299972,0.3626647,2.914171,-0.1325151,0.4322238,2.932973,-0.1367323,0.7856588,2.919578,-0.1303521,0.956033,2.883097,-0.3364573,0.7065827,2.935192,-0.6051205,0.7135116,2.892537,-0.8212894,0.7915866,2.828043,-0.8970911,0.8213121,2.809745,0.06005736,0.7136251,2.962618,0.3279879,0.7303302,2.94807,0.5639676,0.8282163,2.898632,0.6453273,0.8408817,2.868127,-0.2150955,0.2730132,2.902862,-0.1977623,-0.2985657,2.958771,-0.1671024,-0.7062612,2.967078,-0.1987696,-0.7653524,2.912028,-0.04233365,0.2736169,2.915842,-0.06106781,-0.3086137,2.964231,-0.05765129,-0.6991232,2.973467,-0.04477292,-0.7638943,2.912407,970,Make-the-letter-T,
61031650.7687,-0.1299826,0.3627025,2.91404,-0.1325267,0.4322699,2.932867,-0.1368469,0.7862283,2.919848,-0.1299519,0.9560179,2.882592,-0.3363243,0.7065628,2.93493,-0.6057992,0.7143323,2.890902,-0.8222836,0.7911997,2.825903,-0.8980325,0.8210365,2.807572,0.06024896,0.7136959,2.962654,0.3322503,0.7302071,2.946525,0.5662918,0.8253016,2.898052,0.6450723,0.8407297,2.868465,-0.2150218,0.2730928,2.902552,-0.1982586,-0.2995512,2.958313,-0.1677521,-0.7069483,2.967561,-0.1977902,-0.767219,2.91288,-0.04231445,0.2736096,2.915753,-0.06133404,-0.3090017,2.963919,-0.05769794,-0.699124,2.973504,-0.04498925,-0.7637324,2.91254,970,Make-the-letter-T,
