Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
61049937.8146,-0.1208899,0.3628635,2.889341,-0.1248952,0.4294934,2.919743,-0.1315628,0.7772724,2.907505,-0.127178,0.9531968,2.857148,-0.334021,0.6991256,2.913524,-0.6145989,0.6490293,2.8594,-0.8369195,0.6501725,2.767863,-0.9115411,0.6756713,2.74086,0.07151967,0.7037696,2.944495,0.352544,0.6772202,2.901033,0.5779715,0.69765,2.800278,0.6409215,0.7306173,2.75671,-0.2064193,0.2708381,2.87174,-0.1838283,-0.300799,2.931934,-0.1533431,-0.7022491,2.929036,-0.1551145,-0.7683322,2.873684,-0.03088457,0.2716745,2.892878,-0.05603192,-0.3013938,2.928616,-0.06278344,-0.6951933,2.938928,-0.06912944,-0.7628424,2.885851,970,Make-the-letter-X,
61049969.8165,-0.1204624,0.361167,2.889951,-0.1246954,0.4280632,2.920877,-0.1317697,0.777258,2.909557,-0.1270031,0.952808,2.856964,-0.3327853,0.6974908,2.913812,-0.6082597,0.6267677,2.862372,-0.8296328,0.6206481,2.76837,-0.9058596,0.6290993,2.735727,0.07042719,0.7013575,2.94528,0.347754,0.6564451,2.897932,0.5753911,0.6784024,2.795002,0.6383398,0.7113692,2.751434,-0.2057779,0.2698016,2.871904,-0.1841062,-0.3006071,2.931938,-0.1534228,-0.7022222,2.929028,-0.1609253,-0.773846,2.881618,-0.03064835,0.2708499,2.893224,-0.05602329,-0.3014036,2.928618,-0.06307663,-0.695219,2.939048,-0.0387271,-0.7598536,2.88744,970,Make-the-letter-X,
61050001.8183,-0.1206194,0.3596263,2.890563,-0.1248257,0.4266861,2.921975,-0.1312795,0.7768758,2.910697,-0.1264637,0.9518196,2.857319,-0.3321936,0.6961988,2.914378,-0.6036957,0.617382,2.862188,-0.823779,0.577927,2.774427,-0.9041201,0.5676011,2.754781,0.06963366,0.6987391,2.946386,0.3431022,0.6472545,2.895849,0.5726367,0.6581358,2.790415,0.6355842,0.6911018,2.746848,-0.2057366,0.2685952,2.872352,-0.1841094,-0.3006483,2.931945,-0.1535411,-0.7023419,2.928905,-0.160221,-0.7731899,2.880222,-0.03117571,0.2697899,2.893624,-0.05600434,-0.3014096,2.92866,-0.06208683,-0.6952715,2.938474,-0.07874817,-0.7598107,2.883783,970,Make-the-letter-X,
61050037.8203,-0.1204633,0.3581365,2.890983,-0.1247303,0.425445,2.922826,-0.1313349,0.7767229,2.911268,-0.1247889,0.9484521,2.857618,-0.3311276,0.6945524,2.915343,-0.5948792,0.6042376,2.862266,-0.8141359,0.5569912,2.776679,-0.8935773,0.5589911,2.751538,0.06908749,0.6975789,2.946944,0.3298005,0.6302795,2.896096,0.5690661,0.6327252,2.786939,0.6421736,0.6163014,2.750435,-0.2052297,0.267381,2.872658,-0.1840527,-0.3006207,2.931926,-0.1533562,-0.7025683,2.92856,-0.1521751,-0.7708582,2.87594,-0.03125557,0.2689383,2.893922,-0.05605389,-0.3014494,2.928646,-0.06352541,-0.6959468,2.937562,-0.02040467,-0.7598906,2.899019,970,Make-the-letter-X,
61050071.8223,-0.1207294,0.3564669,2.89142,-0.1248585,0.4240681,2.923709,-0.1309826,0.776595,2.912069,-0.1246628,0.9484777,2.85785,-0.3303299,0.6924979,2.916205,-0.5920421,0.5892797,2.861925,-0.8085049,0.5282058,2.778348,-0.8850283,0.5010522,2.759542,0.06808411,0.6961103,2.947345,0.3187088,0.6219268,2.897667,0.5658906,0.6149541,2.787348,0.6409383,0.6105578,2.751357,-0.2053403,0.2663549,2.873031,-0.1840108,-0.3010913,2.932558,-0.154215,-0.7029468,2.928727,-0.09750263,-0.7771836,2.885504,-0.03189314,0.2676477,2.894177,-0.05612116,-0.3017817,2.929107,-0.06418111,-0.6958922,2.937777,-0.03499816,-0.7647023,2.894798,970,Make-the-letter-X,
61050101.824,-0.1209042,0.3547112,2.892188,-0.1250252,0.422696,2.924883,-0.1309941,0.7768584,2.913205,-0.1244997,0.9479907,2.857546,-0.3288148,0.6898882,2.9167,-0.5874338,0.5750504,2.865634,-0.8032748,0.5164436,2.778073,-0.8806692,0.4933177,2.757535,0.06799984,0.6954137,2.947835,0.3140105,0.6109022,2.899074,0.5647919,0.5997393,2.785329,0.6400666,0.5896413,2.751003,-0.2053248,0.2649152,2.873864,-0.1841595,-0.3012292,2.932925,-0.1542476,-0.7028477,2.928668,-0.1578667,-0.7649914,2.869015,-0.03227358,0.2663227,2.894676,-0.05621239,-0.3024844,2.929477,-0.06428206,-0.6959423,2.937786,-0.05452599,-0.7650325,2.887141,970,Make-the-letter-X,
61050138.8261,-0.121769,0.3521254,2.89249,-0.1257725,0.4204722,2.925724,-0.131078,0.7765138,2.913987,-0.1241228,0.9476738,2.857122,-0.3281353,0.6886612,2.917152,-0.5839703,0.5631143,2.870106,-0.7944083,0.4890423,2.78084,-0.8729454,0.4817156,2.753925,0.06740427,0.6924709,2.948269,0.3134823,0.6055938,2.898955,0.5608405,0.5845321,2.783044,0.6366056,0.5752213,2.749591,-0.2059224,0.263266,2.873977,-0.1842847,-0.3014599,2.9333,-0.1543135,-0.703613,2.928841,-0.1619748,-0.7672286,2.871156,-0.03367752,0.2634327,2.894988,-0.05656023,-0.3027237,2.929923,-0.06530531,-0.6970184,2.937495,-0.06276307,-0.7655384,2.885229,970,Make-the-letter-X,
61050169.8279,-0.1225152,0.3496863,2.892931,-0.1262098,0.4184432,2.926558,-0.1306212,0.7762334,2.91451,-0.1236725,0.946308,2.855658,-0.327462,0.6874816,2.917738,-0.5815574,0.5562745,2.872545,-0.7868054,0.472219,2.77949,-0.8624192,0.453829,2.749654,0.0659494,0.6880368,2.947886,0.3067987,0.5998081,2.900705,0.554559,0.5761623,2.785323,0.6304066,0.5665522,2.752148,-0.2064593,0.2617745,2.874366,-0.1846033,-0.3013548,2.933643,-0.1544188,-0.703612,2.928875,-0.1615285,-0.7682731,2.872295,-0.03532403,0.2608461,2.895524,-0.05710537,-0.3031513,2.930448,-0.06523493,-0.6971202,2.938087,-0.06360175,-0.7654652,2.885559,970,Make-the-letter-X,
61050205.83,-0.1231331,0.3475199,2.893615,-0.1268942,0.4159884,2.927523,-0.1309581,0.773736,2.914973,-0.123547,0.9458604,2.855169,-0.326697,0.6868144,2.918069,-0.577759,0.5427187,2.876225,-0.7822332,0.4576204,2.782274,-0.8581056,0.4379025,2.753988,0.06541295,0.6869535,2.948323,0.3244991,0.5806531,2.895313,0.5539476,0.5607591,2.785782,0.6298879,0.5513197,2.752774,-0.2068239,0.2602158,2.87502,-0.1847893,-0.3013546,2.934084,-0.1541689,-0.7035731,2.928838,-0.1597597,-0.7672231,2.870957,-0.03622898,0.2589505,2.896453,-0.05742411,-0.3032815,2.930534,-0.06525945,-0.6971322,2.937906,-0.07328436,-0.7634574,2.883415,970,Make-the-letter-X,
61050237.8318,-0.1237255,0.3457509,2.894232,-0.1273626,0.4142855,2.92839,-0.130778,0.7728035,2.915518,-0.1234357,0.9458302,2.855173,-0.3259401,0.6858034,2.918498,-0.5734696,0.5337008,2.8788,-0.7761436,0.4452297,2.783921,-0.8434497,0.4138863,2.75255,0.06491338,0.6861964,2.948506,0.3234274,0.5803148,2.895505,0.5644907,0.529679,2.774663,0.6718587,0.4977571,2.761745,-0.2072406,0.2588453,2.875673,-0.1852785,-0.3010181,2.934582,-0.1536837,-0.7037359,2.929055,-0.1619325,-0.7682708,2.872486,-0.03730461,0.2574107,2.897142,-0.0574346,-0.3033137,2.930532,-0.06597515,-0.6970413,2.938035,-0.07298623,-0.7632608,2.883275,970,Make-the-letter-X,
