Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
39430393.7901,-0.1352714,0.2467072,2.757199,-0.1397393,0.3061211,2.814204,-0.1551293,0.6550074,2.809661,-0.1385693,0.833833,2.780831,-0.3379304,0.553978,2.803805,-0.589728,0.5503336,2.767745,-0.8023968,0.5899528,2.678177,-0.8753732,0.6029627,2.649538,0.04286574,0.5611433,2.813361,0.2978563,0.5579181,2.802234,0.518034,0.5884931,2.73259,0.5952268,0.5795555,2.715966,-0.2140582,0.1594851,2.739707,-0.238744,-0.3602302,2.78041,-0.2621215,-0.7475677,2.832572,-0.295505,-0.8269526,2.794494,-0.04785443,0.1650368,2.747402,-0.007565566,-0.359681,2.774063,0.02345221,-0.7446201,2.808152,0.05297479,-0.8191195,2.760305,976,Raise-your-hand,
39430427.792,-0.135234,0.2466324,2.757196,-0.1397506,0.3060925,2.814186,-0.1550657,0.6549708,2.809494,-0.1383942,0.8341861,2.780267,-0.3374441,0.5536793,2.803256,-0.5880165,0.5424892,2.764973,-0.8017029,0.5706724,2.673192,-0.8756526,0.5818737,2.646351,0.0427048,0.5611194,2.813178,0.299845,0.5462422,2.80211,0.5184495,0.5779023,2.727145,0.5957907,0.5691209,2.711156,-0.2140062,0.1594423,2.739748,-0.2388339,-0.3604106,2.780444,-0.2621512,-0.7475426,2.832464,-0.2957939,-0.8272128,2.795096,-0.04785502,0.165035,2.747403,-0.007230355,-0.360523,2.775063,0.0233959,-0.7446805,2.808094,0.05301614,-0.818855,2.759271,976,Raise-your-hand,
39430461.7939,-0.1351222,0.2460132,2.757118,-0.1398693,0.3057459,2.814112,-0.1551513,0.6550319,2.809438,-0.1384341,0.8343673,2.780216,-0.3359609,0.5508042,2.801461,-0.5833367,0.5282418,2.764529,-0.7944074,0.5470469,2.663358,-0.8687376,0.5581023,2.637537,0.04243877,0.5606813,2.812983,0.2956759,0.5299132,2.80307,0.5152777,0.5464283,2.725771,0.5926976,0.5376409,2.710187,-0.2138127,0.1590729,2.739632,-0.2387614,-0.3605581,2.780524,-0.262007,-0.7477531,2.831985,-0.2964989,-0.8282104,2.796082,-0.04783123,0.1647372,2.747468,-0.007311051,-0.3605894,2.775397,0.02364297,-0.7444766,2.80789,0.05295303,-0.8186457,2.759004,976,Raise-your-hand,
39430495.7959,-0.1350951,0.2457025,2.757128,-0.1398453,0.3055988,2.814107,-0.1552263,0.6551329,2.809381,-0.1387228,0.8344501,2.7803,-0.3356507,0.5496902,2.800944,-0.582497,0.517655,2.762043,-0.790333,0.4774207,2.66037,-0.8125631,0.5162045,2.65384,0.04189083,0.5597651,2.812345,0.2957266,0.5183104,2.80207,0.5140386,0.5095748,2.719036,0.59148,0.5007938,2.703564,-0.2137454,0.1589251,2.739631,-0.2387812,-0.3603845,2.780556,-0.2618916,-0.7471707,2.832288,-0.2948994,-0.8262641,2.793245,-0.04785603,0.1645409,2.74756,-0.007288179,-0.3583374,2.775072,0.0236865,-0.7446492,2.809432,0.05271003,-0.8176194,2.759364,976,Raise-your-hand,
39430535.7982,-0.1350266,0.2447938,2.757095,-0.139699,0.3049462,2.814081,-0.1551604,0.6550951,2.809381,-0.1391337,0.8344322,2.780703,-0.3350521,0.5471369,2.800319,-0.5841012,0.4974461,2.759332,-0.7916101,0.4555995,2.657649,-0.8320395,0.484407,2.642415,0.04079582,0.558241,2.81143,0.2943326,0.5014591,2.799059,0.5105596,0.4793529,2.71255,0.588003,0.4705724,2.697097,-0.2136558,0.1583491,2.739649,-0.2387693,-0.3603515,2.780605,-0.2618753,-0.7476392,2.832184,-0.2949975,-0.8271244,2.794819,-0.04793983,0.16412,2.747567,-0.007302132,-0.3589208,2.775411,0.02358672,-0.7444896,2.809358,0.05274034,-0.8175926,2.75917,976,Raise-your-hand,
39430553.3983,-0.1347689,0.2435796,2.756975,-0.1396567,0.3040351,2.813914,-0.1554038,0.6549258,2.809089,-0.1395397,0.8349676,2.781095,-0.3340988,0.5440681,2.799138,-0.5903431,0.4726254,2.751983,-0.7973111,0.4230308,2.653109,-0.8856497,0.404487,2.594724,0.04003456,0.5569535,2.811165,0.2904383,0.4821059,2.799752,0.5034699,0.4534951,2.706391,0.5741535,0.4471785,2.670651,-0.2130454,0.1572624,2.739189,-0.2385302,-0.3616163,2.781741,-0.2618309,-0.7475234,2.832164,-0.2950252,-0.827262,2.794417,-0.04784939,0.1633833,2.747973,-0.007451961,-0.3587408,2.775305,0.02368555,-0.744207,2.80921,0.05249794,-0.8175332,2.759229,976,Raise-your-hand,
39430584.5984,-0.1347177,0.2415024,2.756601,-0.1396519,0.3024466,2.813596,-0.1553932,0.6548767,2.809043,-0.1402995,0.8351881,2.781237,-0.3330304,0.5401917,2.797346,-0.5851659,0.4608038,2.754072,-0.7827671,0.382381,2.654622,-0.8000403,0.3977362,2.63431,0.03881732,0.5555144,2.810128,0.2847484,0.4675931,2.799477,0.4940325,0.4186758,2.706068,0.594501,0.3875053,2.65648,-0.2126534,0.1557261,2.739134,-0.2385641,-0.3615735,2.781764,-0.2619862,-0.7476742,2.832361,-0.2940788,-0.8263577,2.792002,-0.04823372,0.1622051,2.747607,-0.007247019,-0.3590224,2.775414,0.02363564,-0.7441225,2.80936,0.05250917,-0.8175728,2.759119,976,Raise-your-hand,
39430615.7984,-0.1343174,0.2389173,2.7567,-0.1393333,0.300656,2.813619,-0.1553033,0.6549322,2.808963,-0.1405453,0.835115,2.781289,-0.3319244,0.5382234,2.796565,-0.5733716,0.4466873,2.757397,-0.7719042,0.3750179,2.654264,-0.7980859,0.3720745,2.628731,0.0376371,0.554428,2.809664,0.2755212,0.4594643,2.801241,0.4831598,0.4053582,2.706893,0.5291936,0.3773989,2.68035,-0.2118282,0.1539254,2.739366,-0.2385482,-0.3614942,2.781737,-0.2620316,-0.7475979,2.832664,-0.2940468,-0.8262047,2.791903,-0.04849342,0.1604891,2.747957,-0.007274955,-0.3612114,2.776925,0.02358421,-0.7447627,2.808233,0.05267676,-0.8179506,2.759234,976,Raise-your-hand,
39430646.9985,-0.1342168,0.2374029,2.756217,-0.1393083,0.299483,2.813153,-0.1554993,0.6550637,2.808561,-0.1405508,0.835622,2.780881,-0.3311923,0.5368024,2.796178,-0.5654986,0.4344646,2.761389,-0.7568728,0.3483943,2.655399,-0.7963818,0.3472055,2.6248,0.03688665,0.553223,2.809311,0.2692521,0.457459,2.801517,0.4724559,0.3895271,2.706348,0.5641576,0.3317854,2.649538,-0.2113441,0.1527237,2.739136,-0.2385561,-0.3613325,2.781806,-0.2615469,-0.7482527,2.833235,-0.2941105,-0.825859,2.791119,-0.04868176,0.1594597,2.747605,-0.007348639,-0.3612269,2.776932,0.02399992,-0.7446063,2.810146,0.05160154,-0.8185325,2.761486,976,Raise-your-hand,
39430694.1995,-0.1341851,0.2358169,2.755805,-0.1390996,0.2982063,2.812717,-0.1554979,0.6550906,2.808098,-0.1406839,0.8361412,2.780827,-0.3304907,0.5352679,2.795773,-0.5641102,0.4230449,2.760573,-0.750257,0.3278842,2.652837,-0.800664,0.3095844,2.610886,0.03504147,0.5511099,2.807513,0.2579992,0.434533,2.803301,0.4581796,0.3629391,2.703889,0.5345012,0.3260556,2.660169,-0.2110661,0.151643,2.739083,-0.2383067,-0.3615549,2.78235,-0.2614263,-0.7482188,2.833636,-0.2942021,-0.8257152,2.791593,-0.04896503,0.1584683,2.747268,-0.007163312,-0.3612604,2.777215,0.02406595,-0.7446439,2.80927,0.05246224,-0.8192162,2.761741,976,Raise-your-hand,
