Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
39607317.1244,-0.06741176,0.2401729,2.653951,-0.06958928,0.3010521,2.712413,-0.08480162,0.6617563,2.716761,-0.0892465,0.8407395,2.686777,-0.2721031,0.5394691,2.707036,-0.4976298,0.4965187,2.678638,-0.7023738,0.5166307,2.566139,-0.7743034,0.5270998,2.53087,0.10685,0.5549241,2.705042,0.3863419,0.5071925,2.682792,0.5993215,0.5342492,2.591755,0.6791259,0.5217832,2.589961,-0.1473149,0.1528717,2.639441,-0.1449971,-0.3727123,2.665668,-0.1283381,-0.7527801,2.703425,-0.147098,-0.8259585,2.663002,0.01911702,0.1600034,2.638358,0.0309014,-0.3746094,2.669654,0.02350844,-0.7485136,2.693103,0.04844422,-0.8300059,2.66038,976,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
39607353.1265,-0.06728032,0.2402245,2.654235,-0.06942929,0.3011243,2.712718,-0.08475792,0.6618697,2.717083,-0.08914927,0.8407916,2.686944,-0.2721924,0.5391822,2.707622,-0.5042596,0.492864,2.677369,-0.7087619,0.514609,2.564716,-0.7807756,0.524792,2.529538,0.1067278,0.5550064,2.70535,0.3935628,0.5067536,2.680569,0.6062771,0.5375297,2.590199,0.6860894,0.5251201,2.58841,-0.1471486,0.1528996,2.639717,-0.1450701,-0.3727,2.665698,-0.1280022,-0.7530513,2.703269,-0.1249261,-0.8294842,2.668893,0.01926813,0.1600743,2.638608,0.03104993,-0.3760329,2.670331,0.02380421,-0.7521252,2.691744,0.05054884,-0.8302239,2.659806,976,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
39607386.1284,-0.0672773,0.2402477,2.654329,-0.06939469,0.3011825,2.712835,-0.08473347,0.6622584,2.717307,-0.08924925,0.8409116,2.687037,-0.272319,0.5389205,2.707867,-0.5046012,0.4926813,2.677559,-0.709414,0.5145285,2.565576,-0.7814186,0.5246589,2.530366,0.1065368,0.5550318,2.705405,0.390209,0.5060924,2.68223,0.60271,0.5377877,2.591644,0.682525,0.5254014,2.589858,-0.1471388,0.1529139,2.639802,-0.1449943,-0.3726313,2.665804,-0.1280006,-0.7530544,2.703264,-0.1353086,-0.8279209,2.666034,0.01926889,0.1601209,2.638704,0.03095002,-0.3754367,2.670223,0.02348296,-0.7534333,2.691358,0.05046011,-0.8297679,2.65917,976,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
39607417.1301,-0.0672549,0.2403264,2.65458,-0.06938688,0.3012669,2.713089,-0.08474694,0.6622649,2.717479,-0.08954333,0.8405496,2.687417,-0.2724333,0.5386465,2.70814,-0.5074481,0.4918328,2.676912,-0.711889,0.5147098,2.564391,-0.7838939,0.5248324,2.529181,0.1063401,0.5552443,2.705788,0.3842438,0.5059553,2.684982,0.596583,0.5376145,2.593936,0.6764005,0.5252509,2.592154,-0.1471117,0.1529719,2.639982,-0.1449749,-0.3725606,2.665935,-0.1280169,-0.7532092,2.703196,-0.1396899,-0.8275579,2.665235,0.01932063,0.1602123,2.638998,0.03079037,-0.3755953,2.670398,0.02355831,-0.7546642,2.691328,0.05103968,-0.8288844,2.656707,976,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
39607454.1322,-0.06706142,0.2402932,2.655044,-0.06926107,0.3013186,2.713479,-0.08476416,0.6623197,2.71756,-0.08958955,0.8407139,2.687554,-0.2723988,0.5385349,2.708328,-0.5021378,0.4912123,2.680146,-0.7069238,0.5134726,2.568204,-0.7789381,0.5235713,2.53301,0.10619,0.5553345,2.706055,0.3846872,0.5065603,2.686189,0.596586,0.5429467,2.596026,0.6764085,0.5306194,2.594259,-0.1468292,0.152924,2.640426,-0.144931,-0.3727494,2.666214,-0.1280486,-0.753328,2.703029,-0.1355854,-0.8294231,2.665805,0.01959781,0.1602619,2.639748,0.03121572,-0.377103,2.671199,0.02277453,-0.7559023,2.691014,0.05106479,-0.8290807,2.656785,976,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
39607501.1349,-0.06699671,0.2403888,2.65544,-0.06919144,0.3014485,2.713909,-0.08476039,0.6626183,2.718063,-0.08973727,0.8410037,2.687142,-0.2724685,0.5381715,2.708569,-0.5030686,0.4912814,2.679813,-0.7080045,0.5133951,2.568155,-0.7800193,0.5234858,2.53296,0.1058322,0.5555599,2.706292,0.3843436,0.5070893,2.686946,0.5965866,0.5422122,2.597152,0.6764089,0.5298902,2.595381,-0.1467098,0.1529575,2.640746,-0.1447458,-0.372551,2.666275,-0.1287676,-0.7525699,2.703227,-0.1411628,-0.8291841,2.668252,0.01963109,0.1605354,2.640234,0.03102441,-0.376334,2.67123,0.02435465,-0.7499926,2.693257,0.05155871,-0.8284662,2.65572,976,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
39607518.7351,-0.06691067,0.2403426,2.655723,-0.06916545,0.3014435,2.714148,-0.08474642,0.6626063,2.718093,-0.08975932,0.8401917,2.687445,-0.2725298,0.5379903,2.708768,-0.5043294,0.4914362,2.679639,-0.709159,0.5134491,2.567738,-0.7818177,0.5209956,2.533239,0.1056157,0.5555859,2.706837,0.3840086,0.5076782,2.687819,0.5960845,0.5430806,2.597692,0.6759068,0.5307648,2.59592,-0.146622,0.1529039,2.64092,-0.1447133,-0.3725078,2.666386,-0.1286757,-0.7525628,2.70298,-0.143738,-0.8289086,2.667135,0.01975753,0.160502,2.640774,0.03105652,-0.3763103,2.671378,0.02405947,-0.7555348,2.690926,0.0403373,-0.8318872,2.658072,976,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
39607553.9354,-0.06679907,0.2403752,2.656134,-0.06911624,0.3014902,2.714491,-0.08488233,0.662523,2.718196,-0.08961163,0.8399178,2.687483,-0.2726299,0.5377719,2.709368,-0.5070603,0.4910364,2.67838,-0.7119446,0.5140375,2.566823,-0.7847173,0.5206631,2.532377,0.1055793,0.5558273,2.707515,0.3835618,0.5081753,2.688807,0.5963961,0.543285,2.600689,0.6762188,0.5309771,2.598914,-0.1464283,0.1528979,2.641348,-0.1449313,-0.3726288,2.666757,-0.1287127,-0.7526308,2.702926,-0.1440323,-0.8290257,2.667325,0.01996071,0.1605133,2.641281,0.03085065,-0.3761868,2.671388,0.0228032,-0.7519495,2.691907,0.04505728,-0.8298191,2.656081,976,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
39607585.9372,-0.06670959,0.2406697,2.656643,-0.0689983,0.3017766,2.714942,-0.08487205,0.6625405,2.7183,-0.08982027,0.8400657,2.687584,-0.2728885,0.5377247,2.710154,-0.5070551,0.4910327,2.678387,-0.7119377,0.5137269,2.566757,-0.7849203,0.51828,2.532421,0.1053612,0.5560389,2.707989,0.3831793,0.5086358,2.690231,0.5954273,0.5438391,2.600497,0.6752494,0.5315332,2.598722,-0.1462942,0.1531108,2.641866,-0.1448766,-0.372601,2.66681,-0.1286266,-0.7527936,2.703078,-0.1446396,-0.8294619,2.667769,0.02004278,0.1608606,2.641819,0.03083509,-0.3760643,2.671455,0.02466946,-0.7563266,2.690309,0.04702438,-0.830141,2.655859,976,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
39607617.939,-0.06645596,0.2407802,2.657337,-0.06884491,0.3018492,2.715652,-0.08522891,0.6624691,2.719136,-0.09008929,0.8388332,2.687298,-0.2729276,0.537592,2.710468,-0.5071691,0.4909208,2.678254,-0.7124127,0.507229,2.56611,-0.7830381,0.518149,2.528443,0.1053685,0.5561311,2.708367,0.38286,0.5089801,2.691209,0.5948848,0.5453209,2.60139,0.6747062,0.5330172,2.599614,-0.1459628,0.1531675,2.642274,-0.1447979,-0.3725076,2.666916,-0.1287447,-0.7535117,2.702842,-0.1386786,-0.8310151,2.669181,0.02046205,0.1609847,2.642775,0.03086401,-0.3761759,2.67154,0.02421196,-0.7571414,2.689601,0.04705125,-0.8301176,2.65581,976,Swipe-across-an-imaginary-screen-in-front-of-you-from-right-to-left,
