Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
39694880.8134,-0.0723251,0.2399253,2.613113,-0.07681494,0.3020359,2.668128,-0.08849917,0.6538597,2.652656,-0.09092595,0.8315439,2.617964,-0.2783298,0.5420405,2.650516,-0.5463363,0.5263152,2.62409,-0.7539473,0.5812208,2.536402,-0.8260375,0.5906705,2.501317,0.1065332,0.5584965,2.666226,0.4036673,0.5575545,2.669602,0.6161346,0.6160993,2.601042,0.696275,0.6231726,2.594351,-0.1533428,0.150068,2.599301,-0.1388347,-0.3926457,2.639966,-0.1003527,-0.7632114,2.672663,-0.1413227,-0.8318962,2.614338,0.01592509,0.1576356,2.604849,-0.007194417,-0.3959115,2.640617,-0.02507927,-0.7605025,2.676677,4.021358E-05,-0.8225219,2.627992,976,Fly-like-an-airplane,
39694911.8152,-0.07258179,0.2403037,2.613231,-0.07711163,0.3023873,2.668287,-0.08912852,0.6541218,2.653001,-0.0905244,0.8323762,2.618896,-0.2787842,0.5423567,2.650789,-0.5452144,0.5272824,2.622801,-0.7532206,0.5814416,2.535673,-0.8257508,0.5906147,2.501434,0.1065074,0.55861,2.666385,0.4035322,0.5576903,2.668947,0.6163336,0.6140065,2.599348,0.696479,0.621092,2.592741,-0.1537271,0.1504227,2.599457,-0.1379566,-0.3926019,2.639853,-0.1006253,-0.7625179,2.673923,-0.1400588,-0.8298092,2.617826,0.01585702,0.1578543,2.604837,-0.00730883,-0.3942359,2.63994,-0.02333408,-0.7587487,2.67736,-0.002470586,-0.8229562,2.627022,976,Fly-like-an-airplane,
39694950.8174,-0.07265905,0.2405646,2.613265,-0.0771722,0.3026397,2.668333,-0.08920525,0.6542454,2.653029,-0.09029006,0.8329752,2.619503,-0.2791713,0.5429742,2.651263,-0.5459006,0.5277743,2.622047,-0.7533334,0.5825632,2.533765,-0.8262883,0.5915102,2.50038,0.1064132,0.5590801,2.666682,0.4035059,0.5577289,2.667196,0.617317,0.6099924,2.597507,0.6974648,0.6170638,2.590927,-0.153863,0.1506991,2.599425,-0.1387856,-0.3927328,2.63956,-0.1001089,-0.7625139,2.674469,-0.1415845,-0.832005,2.61786,0.01582244,0.1580323,2.604892,-0.007237045,-0.3939841,2.639585,-0.02301627,-0.7585335,2.677324,-0.002415279,-0.8226094,2.626741,976,Fly-like-an-airplane,
39694980.8191,-0.07310277,0.2410391,2.613242,-0.07765917,0.3030635,2.668393,-0.08983815,0.6548069,2.653608,-0.0901563,0.8350552,2.621881,-0.2792882,0.5432158,2.651321,-0.5443342,0.5287387,2.621377,-0.7516695,0.5827747,2.532272,-0.8249665,0.5916732,2.499633,0.1063909,0.5592834,2.666904,0.4034735,0.5571516,2.665489,0.6175202,0.6093687,2.596664,0.6388856,0.5971524,2.594778,-0.1543947,0.1511659,2.59919,-0.1401013,-0.3928006,2.639502,-0.1003106,-0.7642701,2.67337,-0.1416392,-0.8327367,2.618202,0.01541741,0.1585246,2.60484,-0.006629102,-0.3933083,2.639439,-0.02123357,-0.7579135,2.677674,0.00357556,-0.821849,2.62756,976,Fly-like-an-airplane,
39695012.821,-0.07310601,0.2410783,2.61326,-0.07768216,0.3030807,2.668427,-0.09014857,0.6547889,2.653785,-0.09043422,0.8348114,2.622835,-0.279373,0.5432884,2.651376,-0.5436794,0.5292107,2.620671,-0.751224,0.5823351,2.531491,-0.824703,0.5913441,2.499296,0.106339,0.5594227,2.666966,0.4031787,0.5568532,2.66396,0.6184801,0.6079634,2.599148,0.6396679,0.5968308,2.594118,-0.1543914,0.1511796,2.599186,-0.1398864,-0.3927621,2.639284,-0.100391,-0.7630469,2.673596,-0.1417349,-0.8328098,2.618549,0.01545283,0.1586013,2.604862,-0.006511893,-0.393134,2.639149,-0.02163791,-0.7575713,2.677619,0.0001653093,-0.8218943,2.626169,976,Fly-like-an-airplane,
39695047.823,-0.07315203,0.2411253,2.613281,-0.07773857,0.3030779,2.668489,-0.09027269,0.6549011,2.654339,-0.09090489,0.8351936,2.623942,-0.2795525,0.5435456,2.651572,-0.5442919,0.5294976,2.619776,-0.7517699,0.5825369,2.530348,-0.8253876,0.5916127,2.498491,0.1061476,0.5594833,2.667136,0.4037791,0.5562559,2.662813,0.6190411,0.6052964,2.595834,0.6391609,0.5954652,2.594646,-0.1544432,0.1512668,2.599147,-0.1401055,-0.392778,2.639202,-0.09956995,-0.7636812,2.673353,-0.1423164,-0.8331599,2.618384,0.01538611,0.1586582,2.604859,-0.006524948,-0.393084,2.638992,-0.02213619,-0.7580991,2.677341,-0.002954259,-0.8224862,2.624763,976,Fly-like-an-airplane,
39695079.8248,-0.07327225,0.241304,2.613264,-0.07793034,0.3032623,2.668502,-0.09086838,0.6552272,2.65453,-0.09124129,0.83549,2.624317,-0.2799393,0.5438037,2.651715,-0.5445669,0.5297849,2.619113,-0.7522572,0.5825954,2.530107,-0.8259166,0.5916821,2.498351,0.1059898,0.5596687,2.667377,0.4036414,0.5561482,2.662102,0.6194619,0.6002235,2.593067,0.6365235,0.5914713,2.595892,-0.1545399,0.1514511,2.599061,-0.1397897,-0.3925897,2.638868,-0.09958694,-0.7637368,2.673562,-0.1407416,-0.8317559,2.619697,0.01533962,0.1587583,2.604836,-0.00640495,-0.3929407,2.638642,-0.022212,-0.7584563,2.677127,-0.01243999,-0.8243906,2.627167,976,Fly-like-an-airplane,
39695103.8262,-0.07334123,0.241296,2.613247,-0.07808435,0.3032033,2.668512,-0.09193683,0.6553664,2.655011,-0.09153598,0.8356505,2.6248,-0.2800012,0.5438096,2.651712,-0.5439911,0.530049,2.618679,-0.7516833,0.5824851,2.529412,-0.8254372,0.5916014,2.497885,0.1058265,0.5597413,2.667413,0.4036145,0.5559514,2.661642,0.6196465,0.5996546,2.593138,0.6343112,0.5895764,2.597146,-0.1545664,0.1514607,2.599034,-0.1406898,-0.3920709,2.638222,-0.1007959,-0.7624259,2.673852,-0.1409952,-0.8312604,2.621028,0.01531686,0.1587624,2.60478,-0.006347212,-0.3929031,2.638126,-0.0222734,-0.7580459,2.676757,-0.008400458,-0.8235804,2.627014,976,Fly-like-an-airplane,
39695135.0262,-0.07341003,0.2413871,2.613185,-0.07815731,0.303247,2.6685,-0.09208172,0.6555219,2.655354,-0.09160256,0.8358324,2.625081,-0.2802604,0.5439411,2.651834,-0.5439093,0.530096,2.618311,-0.7515453,0.5826597,2.528975,-0.8253574,0.5917672,2.497583,0.1056269,0.5597708,2.667516,0.4038562,0.5557532,2.661081,0.6202397,0.5993257,2.593877,0.6519525,0.5907692,2.594534,-0.1546287,0.1515525,2.598966,-0.1404015,-0.3919913,2.6381,-0.1005225,-0.7631068,2.674,-0.1410356,-0.8310096,2.622412,0.01522094,0.1589614,2.604456,-0.006438173,-0.3928993,2.638027,-0.02258154,-0.7591816,2.677058,-0.007213961,-0.8236946,2.627455,976,Fly-like-an-airplane,
39695166.2263,-0.07345583,0.2413815,2.613092,-0.07820076,0.3032313,2.668462,-0.09213369,0.6556327,2.655488,-0.09209812,0.8360677,2.62586,-0.2803669,0.5439772,2.651853,-0.5443704,0.5300622,2.61791,-0.7517695,0.5829088,2.528117,-0.8256393,0.5920254,2.496864,0.1054007,0.5598256,2.667584,0.4040545,0.5556574,2.660611,0.6210275,0.5996783,2.596248,0.6260835,0.5813987,2.595221,-0.15471,0.1516283,2.59864,-0.1392315,-0.3922589,2.637654,-0.1003868,-0.763074,2.674008,-0.1401396,-0.8301315,2.622122,0.01518366,0.1589414,2.604358,-0.004767567,-0.3905467,2.636379,-0.02253687,-0.7593912,2.67622,-0.006921748,-0.82319,2.626755,976,Fly-like-an-airplane,
