Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
39770160.0283,-0.0732936,0.2464674,2.908742,-0.07879136,0.306013,2.965627,-0.08540889,0.6559249,2.96324,-0.07209566,0.8254461,2.914935,-0.2653477,0.5601546,2.94822,-0.5090566,0.5201101,2.951041,-0.7332866,0.5525227,2.849538,-0.8176407,0.5685379,2.817799,0.1094573,0.5696881,2.974066,0.3752393,0.5327867,2.995524,0.5919285,0.5616123,2.928584,0.671422,0.5593673,2.917741,-0.1528593,0.1614171,2.890675,-0.1486638,-0.3858477,2.928489,-0.1294489,-0.7653151,2.956335,-0.1675769,-0.8357612,2.915969,0.01228268,0.1651585,2.899657,-0.004072912,-0.3734012,2.928843,-0.05034022,-0.7657439,2.961365,-0.06804143,-0.8369576,2.933551,976,Kick-a-ball-with-the-other-leg,
39770196.0304,-0.07282899,0.2464437,2.908543,-0.07838362,0.305979,2.96557,-0.08566465,0.6562245,2.963576,-0.07290263,0.8254333,2.915501,-0.2660158,0.5599837,2.948911,-0.5100162,0.5176035,2.951204,-0.7336951,0.5520083,2.849224,-0.8156967,0.56665,2.8173,0.1089666,0.5694628,2.973742,0.3740794,0.5315024,2.995988,0.5904418,0.5615993,2.928424,0.6699451,0.559365,2.917656,-0.15215,0.1612416,2.890343,-0.1469493,-0.3857349,2.927373,-0.1294493,-0.7653169,2.956336,-0.1670373,-0.8352361,2.914842,0.01300702,0.1652962,2.899131,-0.004281068,-0.3727965,2.928154,-0.05008126,-0.7657557,2.961392,-0.01578457,-0.8215552,2.91454,976,Kick-a-ball-with-the-other-leg,
39770228.0322,-0.07248849,0.2463319,2.908229,-0.07813067,0.3059051,2.965406,-0.08573164,0.6564521,2.963691,-0.07662614,0.8274679,2.917322,-0.266104,0.5598612,2.949068,-0.5107771,0.5158459,2.951424,-0.735785,0.5468345,2.844933,-0.8238885,0.5589134,2.798434,0.1088657,0.5695549,2.973725,0.374389,0.5307378,2.996126,0.5910547,0.5601559,2.929419,0.6705731,0.5578612,2.91878,-0.1517408,0.1610731,2.890128,-0.1475905,-0.3855916,2.926124,-0.1280353,-0.7641112,2.956238,-0.1671547,-0.8352432,2.914715,0.01346319,0.1652773,2.898256,-0.003635744,-0.3733855,2.928084,-0.04931023,-0.7659768,2.961884,-0.00772707,-0.822374,2.908789,976,Kick-a-ball-with-the-other-leg,
39770260.0341,-0.07221524,0.2461853,2.907974,-0.07801638,0.3057662,2.965311,-0.08613045,0.6569705,2.964338,-0.07801174,0.8280474,2.917536,-0.2662778,0.5591406,2.948938,-0.50957,0.5130263,2.951162,-0.738771,0.5434672,2.84391,-0.8267506,0.5571706,2.796853,0.1087036,0.5697135,2.973911,0.3744822,0.5294416,2.996246,0.5917011,0.5578756,2.931306,0.6608882,0.5472174,2.892049,-0.1513398,0.160784,2.889708,-0.1481334,-0.3847004,2.925084,-0.1283673,-0.7639118,2.955923,-0.1673789,-0.8352373,2.914501,0.01388015,0.1652543,2.897707,-0.002008993,-0.3719902,2.926749,-0.05031425,-0.7659862,2.961473,-0.02688231,-0.8267807,2.917733,976,Kick-a-ball-with-the-other-leg,
39770295.0361,-0.07189948,0.2458902,2.907701,-0.07774904,0.305592,2.965181,-0.08647758,0.6572522,2.964478,-0.07907555,0.8277388,2.917234,-0.2663637,0.5587936,2.948885,-0.507934,0.50985,2.949581,-0.7367752,0.5365686,2.843873,-0.825332,0.5523505,2.796221,0.1077973,0.5694799,2.973086,0.3736045,0.5281085,2.99639,0.5901914,0.5568869,2.929012,0.6578148,0.5451502,2.887408,-0.1507221,0.1604991,2.889258,-0.1491787,-0.3849552,2.924469,-0.128369,-0.7639989,2.955858,-0.1669956,-0.8350251,2.914059,0.01408511,0.1651395,2.897491,-0.002207457,-0.3720179,2.926434,-0.05093827,-0.7660492,2.96172,-0.02757359,-0.8266937,2.917738,976,Kick-a-ball-with-the-other-leg,
39770328.0379,-0.07144722,0.2453545,2.907219,-0.07749141,0.3052095,2.9649,-0.08665838,0.657371,2.964608,-0.08028312,0.8277323,2.917791,-0.266309,0.5569226,2.948206,-0.5061882,0.5056076,2.946949,-0.7421271,0.5216602,2.839325,-0.8262349,0.5283105,2.794779,0.1073996,0.5694947,2.972933,0.3734282,0.5253865,2.995071,0.5909879,0.5264683,2.899479,0.6568023,0.5136997,2.855355,-0.1499892,0.1599061,2.888786,-0.1481238,-0.3844844,2.924215,-0.1275121,-0.763719,2.955856,-0.1666345,-0.8345314,2.91344,0.01444291,0.1649152,2.896799,-0.002362712,-0.3718979,2.926244,-0.05318393,-0.7672745,2.96263,-0.009648164,-0.8234732,2.915697,976,Kick-a-ball-with-the-other-leg,
39770359.0397,-0.07114013,0.2448617,2.906799,-0.07725545,0.304876,2.964593,-0.08668062,0.6575833,2.964571,-0.08100771,0.8282763,2.918225,-0.2660761,0.5547763,2.947648,-0.5059724,0.5028009,2.945215,-0.7403044,0.5063087,2.836899,-0.8306473,0.5103077,2.794949,0.1071625,0.569213,2.97279,0.3727855,0.5195869,2.994267,0.5912431,0.5228438,2.898198,0.6570573,0.5100752,2.854074,-0.1495975,0.1594114,2.888289,-0.1487256,-0.3846192,2.923966,-0.1285083,-0.7636653,2.955968,-0.1674404,-0.8347797,2.914356,0.01460896,0.1646656,2.896488,-0.002632207,-0.3723514,2.926272,-0.05213911,-0.7665566,2.962519,-0.01565142,-0.8220904,2.91869,976,Kick-a-ball-with-the-other-leg,
39770396.0418,-0.07101654,0.2440537,2.906598,-0.07697991,0.3042409,2.964549,-0.08676229,0.6577528,2.965302,-0.08121839,0.8281567,2.918271,-0.2658611,0.5529521,2.947255,-0.5068907,0.4936418,2.94296,-0.7404358,0.4902282,2.834256,-0.8123023,0.4850039,2.788965,0.1053169,0.5666057,2.97102,0.3704225,0.5112547,2.990692,0.5898179,0.5102422,2.891932,0.6556317,0.4974736,2.847808,-0.1493838,0.1588126,2.887887,-0.1487261,-0.3846105,2.923937,-0.1282333,-0.7628368,2.955311,-0.1669365,-0.8339721,2.914227,0.0145662,0.1643571,2.896363,-0.002739879,-0.3721285,2.925886,-0.05272379,-0.7652324,2.962073,-0.01685576,-0.8225383,2.918019,976,Kick-a-ball-with-the-other-leg,
39770427.0436,-0.07096463,0.2433851,2.906344,-0.07691664,0.3036117,2.964383,-0.08688798,0.6575934,2.965485,-0.08132483,0.8281605,2.918292,-0.2656079,0.5515504,2.947035,-0.5074307,0.4817626,2.9362,-0.7319211,0.4657654,2.828761,-0.7999735,0.4645896,2.786232,0.1051931,0.5661631,2.970896,0.3667361,0.4993547,2.986349,0.5735137,0.475849,2.887044,0.6393265,0.4630808,2.842921,-0.1492753,0.1582092,2.887742,-0.1466422,-0.3852343,2.924364,-0.1281668,-0.7619311,2.954755,-0.1656312,-0.8328026,2.913052,0.01452865,0.1638896,2.895867,-0.001189157,-0.371282,2.925331,-0.05178608,-0.7642076,2.961978,-0.005767816,-0.8246239,2.911216,976,Kick-a-ball-with-the-other-leg,
39770459.0454,-0.07116242,0.2424697,2.906131,-0.07690267,0.3028834,2.964322,-0.08672437,0.6576684,2.966116,-0.081967,0.8282466,2.918909,-0.2658226,0.5497263,2.946862,-0.5081819,0.4708238,2.933397,-0.738865,0.4260615,2.811573,-0.8213869,0.4208745,2.766953,0.1046681,0.5656483,2.970388,0.3639199,0.485267,2.982714,0.5692855,0.4505266,2.883834,0.6350979,0.4377583,2.839711,-0.1495547,0.157188,2.887729,-0.1470367,-0.3852583,2.924506,-0.1281813,-0.7619336,2.954683,-0.1426389,-0.8329922,2.907726,0.01408348,0.1632495,2.895158,-0.001300157,-0.371564,2.925336,-0.05090784,-0.7633581,2.961538,-0.002825554,-0.8244981,2.908855,976,Kick-a-ball-with-the-other-leg,
39770496.0476,-0.0714146,0.2412996,2.905826,-0.07699511,0.3019748,2.964134,-0.08677239,0.6576835,2.966211,-0.08209503,0.828187,2.918993,-0.2659174,0.5479372,2.946743,-0.5067294,0.4563499,2.930156,-0.7254407,0.4118446,2.807247,-0.7850528,0.4028719,2.754267,0.1041183,0.5655405,2.970037,0.3468468,0.4748197,2.977662,0.549639,0.4235587,2.880994,0.6154505,0.4107906,2.836872,-0.1497015,0.1558893,2.887765,-0.1462926,-0.3865232,2.925225,-0.1288977,-0.762493,2.954322,-0.1473907,-0.8340542,2.909001,0.01357701,0.1625482,2.894463,-0.002590954,-0.3737785,2.926241,-0.05059501,-0.7629545,2.961905,-0.002822232,-0.824585,2.908945,976,Kick-a-ball-with-the-other-leg,
