Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
48565446.0563,-0.05635036,-0.1581343,3.037488,-0.06355257,-0.1109792,3.082866,-0.06792685,0.1677602,3.090289,-0.08523815,0.3102165,3.094187,-0.1911481,0.07115515,3.069041,-0.3952535,0.005147746,3.003,-0.5466,-0.07703611,2.975615,-0.6106829,-0.059657,2.947533,0.08367131,0.09900089,3.113261,0.2667182,0.04305954,3.090247,0.4254867,-0.03015489,3.055439,0.4653329,-0.06153623,3.02671,-0.1145058,-0.2208922,3.016271,-0.09663148,-0.5565969,3.099547,-0.07176833,-0.8540107,3.044056,-0.04937151,-0.9067035,2.996742,0.006152303,-0.2176136,3.035216,-0.03003108,-0.5714847,3.07243,-0.004265756,-0.8455939,3.037877,-0.01527304,-0.9087154,2.995839,103,Wave-your-hand,
48565465.0574,-0.05718228,-0.1589639,3.037594,-0.06414618,-0.1117832,3.083022,-0.06761077,0.1674019,3.090808,-0.08496666,0.309107,3.09334,-0.1911063,0.07073614,3.069225,-0.3533541,-0.008113857,3.016148,-0.5056502,-0.08382432,2.973679,-0.5712147,-0.09680307,2.946619,0.08249448,0.0969639,3.11294,0.2668186,0.02845753,3.086406,0.4171236,-0.08625945,3.037683,0.4634229,-0.1209209,2.997156,-0.1153154,-0.221653,3.015802,-0.0971998,-0.557423,3.099842,-0.07268163,-0.8547843,3.04395,-0.05397185,-0.9117235,3.00379,0.004284507,-0.2188442,3.035837,-0.03029903,-0.5720702,3.07249,-0.005796768,-0.84971,3.036419,-0.01840965,-0.9096615,2.994131,103,Wave-your-hand,
48565493.059,-0.05748583,-0.1633827,3.036168,-0.0648654,-0.115571,3.081459,-0.06860443,0.1664584,3.0892,-0.08483091,0.3091343,3.093257,-0.1880683,0.07086736,3.068512,-0.3511124,-0.01215608,3.016912,-0.4933411,-0.1206259,2.985991,-0.5631795,-0.1170185,2.96842,0.08199726,0.09555341,3.112689,0.2484908,0.01397082,3.088687,0.4030778,-0.1318731,3.056813,0.4419619,-0.1524332,3.026719,-0.1147635,-0.2238612,3.015154,-0.09750304,-0.5596441,3.099823,-0.07377331,-0.8563755,3.043387,-0.05288164,-0.9111869,2.998387,0.003487354,-0.2223347,3.034777,-0.03056966,-0.5734286,3.072943,-0.006426712,-0.8505664,3.036428,-0.01764968,-0.9092118,2.993304,103,Wave-your-hand,
48565529.0611,-0.05828724,-0.1639182,3.036152,-0.06509668,-0.1164526,3.081534,-0.07060722,0.1644289,3.089248,-0.08486852,0.3090117,3.093155,-0.1879853,0.0705243,3.068568,-0.3477476,-0.03362368,3.017717,-0.4847988,-0.1384124,2.986416,-0.5555503,-0.1417478,2.972896,0.07696836,0.08546484,3.104579,0.2380439,0.001740587,3.080726,0.3451826,-0.1329435,3.052512,0.3934469,-0.1758429,3.02042,-0.1148915,-0.2240266,3.015372,-0.09791593,-0.5601345,3.100498,-0.0736777,-0.857408,3.043668,-0.05035463,-0.9124481,2.998735,0.001831982,-0.2226541,3.03413,-0.02929509,-0.5763432,3.073283,-0.005876792,-0.8526183,3.036262,-0.009082915,-0.9098432,2.996192,103,Wave-your-hand,
48565561.0629,-0.05834464,-0.1683172,3.035392,-0.06543408,-0.1202348,3.080798,-0.07094932,0.1636375,3.0889,-0.08370284,0.3082573,3.092882,-0.1867166,0.06788248,3.067617,-0.3354211,-0.05259818,3.020708,-0.478999,-0.1714226,2.983636,-0.5163855,-0.203657,2.963545,0.0769082,0.08428631,3.104831,0.2269563,-0.02182459,3.077148,0.3497722,-0.1748719,3.056892,0.3865716,-0.2278246,3.024625,-0.1146045,-0.2279511,3.014337,-0.09787552,-0.5613886,3.100904,-0.06714527,-0.8596723,3.044374,-0.04861763,-0.9143584,3.000265,0.001881747,-0.2265659,3.0339,-0.02809565,-0.580905,3.072542,-0.005217319,-0.8567692,3.035067,-0.01036632,-0.9099065,2.996064,103,Wave-your-hand,
48565593.0647,-0.05793288,-0.1719875,3.035151,-0.06525943,-0.1228464,3.08052,-0.07093837,0.1636944,3.088759,-0.08359431,0.3083847,3.092977,-0.1869133,0.06578504,3.067133,-0.3304071,-0.08415795,3.026893,-0.4675835,-0.2113224,2.991487,-0.5123257,-0.23884,3.000604,0.07793713,0.08140187,3.105206,0.2294894,-0.07296459,3.081272,0.3324639,-0.2114626,3.058842,0.3697607,-0.260506,3.021343,-0.114384,-0.232098,3.014207,-0.09736402,-0.5631186,3.100338,-0.06855804,-0.858246,3.045561,-0.05024748,-0.916164,3.003963,0.002876944,-0.2314591,3.033717,-0.02588447,-0.5856848,3.073605,-0.003472624,-0.8611881,3.035702,-0.007481766,-0.9125338,2.998129,103,Wave-your-hand,
48565629.0668,-0.05778641,-0.1732568,3.033869,-0.06519885,-0.1243113,3.07938,-0.07065081,0.1630513,3.08855,-0.08454116,0.3086334,3.093215,-0.185861,0.06061242,3.065191,-0.3206909,-0.08798379,3.028105,-0.4085358,-0.2365439,3.005701,-0.4739582,-0.2658305,2.997598,0.07904717,0.07788582,3.104669,0.225341,-0.07447394,3.081427,0.2994946,-0.2283955,3.043633,0.3165724,-0.2748826,3.024811,-0.114426,-0.233653,3.012461,-0.09725267,-0.5637031,3.099654,-0.06920832,-0.8581173,3.045601,-0.04216616,-0.9182361,3.006387,0.003149155,-0.232585,3.032257,-0.02586146,-0.5856475,3.073591,-0.00346883,-0.8611473,3.035658,-0.00682352,-0.9113567,2.996524,103,Wave-your-hand,
48565661.0686,-0.05819139,-0.1764693,3.032714,-0.0656739,-0.1274069,3.078378,-0.07064451,0.1620236,3.088385,-0.08364817,0.3100131,3.093057,-0.1832713,0.05669782,3.062559,-0.311049,-0.1061886,3.031924,-0.4063388,-0.2502984,3.012457,-0.4659039,-0.2895853,3.001815,0.07725794,0.0738131,3.102514,0.2089544,-0.08488715,3.077166,0.2887974,-0.2513578,3.036115,0.3125425,-0.3053829,3.02434,-0.1144322,-0.2351274,3.011947,-0.09730106,-0.5640799,3.09947,-0.07001817,-0.8575822,3.045836,-0.04105046,-0.9175771,3.002346,0.002343359,-0.2345594,3.031038,-0.02646986,-0.58547,3.073731,-0.004205223,-0.8609617,3.035719,-0.003378732,-0.9113424,2.996675,103,Wave-your-hand,
48565693.0704,-0.05764489,-0.1785152,3.032157,-0.0645858,-0.1294798,3.078038,-0.06826766,0.1606541,3.089045,-0.08334626,0.3092387,3.092572,-0.1830669,0.05440406,3.063112,-0.30542,-0.1075787,3.032543,-0.3986704,-0.2529734,3.012424,-0.4469174,-0.2883802,3.006023,0.07721031,0.06769757,3.100334,0.20285,-0.08589102,3.076053,0.2792427,-0.252344,3.037024,0.3019812,-0.3062737,3.020344,-0.1140376,-0.2374755,3.010429,-0.09873863,-0.5660824,3.099053,-0.07028621,-0.8575145,3.045829,-0.03927677,-0.9180214,3.003066,0.002545561,-0.2365925,3.030824,-0.02693748,-0.5858642,3.073424,-0.007355136,-0.8604814,3.036276,-0.004629811,-0.912971,3.000214,103,Wave-your-hand,
48565729.0725,-0.05762458,-0.1817328,3.030281,-0.06472801,-0.1324528,3.076297,-0.06826773,0.159691,3.088223,-0.08331534,0.3091947,3.092536,-0.1799985,0.04979794,3.061312,-0.3023651,-0.1077067,3.030824,-0.3952712,-0.253287,3.010257,-0.4447221,-0.2901365,3.003399,0.07709995,0.06747972,3.100213,0.1987454,-0.08729118,3.074849,0.2746722,-0.2488042,3.032065,0.3012068,-0.3062537,3.017672,-0.113768,-0.2397747,3.00897,-0.09866661,-0.566344,3.098899,-0.07159094,-0.8555999,3.046175,-0.03924107,-0.9172106,2.99913,0.002238896,-0.2387471,3.029173,-0.02715003,-0.5859929,3.073166,-0.009290813,-0.8602352,3.03623,-0.003587172,-0.9138268,3.001019,103,Wave-your-hand,
