Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
48657228.28,-0.02297617,-0.1537663,3.114433,-0.02770083,-0.1064943,3.159271,-0.02289055,0.1719829,3.157471,-0.03495742,0.3268164,3.149143,-0.1603035,0.0850277,3.123873,-0.3931423,0.1007153,3.087248,-0.5661918,0.1016365,3.057507,-0.6130593,0.1029363,3.034233,0.1229024,0.0984527,3.160882,0.3405624,0.1434223,3.106035,0.5111442,0.1648498,3.067807,0.5790516,0.1763931,3.051355,-0.08478488,-0.217044,3.092161,-0.0426153,-0.5702492,3.152057,-0.06753429,-0.8209098,3.140034,-0.05078529,-0.890765,3.090019,0.03834438,-0.2197773,3.115644,-0.04362363,-0.5771675,3.157262,-0.03523096,-0.8565968,3.135496,-0.0400356,-0.901929,3.086551,103,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
48657260.2818,-0.0248207,-0.1553797,3.113626,-0.03005122,-0.1079954,3.158468,-0.02879612,0.1707612,3.156512,-0.03833831,0.3238768,3.149283,-0.1601852,0.0856889,3.124072,-0.39406,0.1007588,3.087345,-0.5665441,0.09974993,3.052923,-0.6146569,0.1031324,3.032582,0.1224274,0.09827972,3.160964,0.3406399,0.1435058,3.106235,0.5115222,0.1626599,3.068162,0.579897,0.1696125,3.051072,-0.08552329,-0.2177544,3.092017,-0.04430846,-0.5681825,3.150966,-0.07753935,-0.8466692,3.130357,-0.04550118,-0.8987988,3.090014,0.03681042,-0.2207591,3.114426,-0.04362205,-0.5764269,3.156411,-0.03414141,-0.8553419,3.137056,-0.03821957,-0.900523,3.088265,103,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
48657292.2837,-0.02489085,-0.1553656,3.113484,-0.03008236,-0.108062,3.158413,-0.02840195,0.171276,3.157395,-0.03780399,0.3234579,3.148359,-0.1598535,0.086576,3.12453,-0.3944618,0.1005244,3.087745,-0.5667465,0.09065513,3.053874,-0.5966178,0.09921316,3.033659,0.1224733,0.09830955,3.161271,0.3402832,0.1395092,3.10896,0.5106298,0.1568897,3.066608,0.5789998,0.1622525,3.048908,-0.08564156,-0.2176959,3.091792,-0.04431793,-0.5683602,3.151073,-0.06654698,-0.8412521,3.133267,-0.04811979,-0.8992328,3.089772,0.03661868,-0.2206132,3.113881,-0.04397576,-0.5762557,3.156355,-0.03422658,-0.8554302,3.136904,-0.0380643,-0.9004538,3.090605,103,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
48657328.2857,-0.0252357,-0.1545468,3.113062,-0.03000838,-0.1074352,3.158252,-0.0283202,0.1720272,3.158369,-0.03720243,0.3231846,3.148353,-0.1616646,0.08748046,3.127225,-0.3822241,0.09363405,3.088968,-0.5543137,0.07569671,3.058814,-0.5990953,0.07771295,3.054909,0.1222177,0.09710632,3.161175,0.3351505,0.1271679,3.111077,0.5049279,0.109317,3.065998,0.5730088,0.117645,3.048318,-0.08624259,-0.2169411,3.091028,-0.04433558,-0.5668708,3.15069,-0.06741324,-0.8255428,3.136854,-0.04909842,-0.8974563,3.090441,0.03636548,-0.2197715,3.113064,-0.04424833,-0.5760118,3.155827,-0.0335752,-0.8559883,3.134699,-0.03753963,-0.9022644,3.089664,103,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
48657360.2876,-0.02548652,-0.1551336,3.112739,-0.03019391,-0.1078873,3.157987,-0.02808573,0.1716847,3.158152,-0.03698052,0.3238513,3.149848,-0.1615576,0.08753674,3.127598,-0.3738284,0.08562772,3.08863,-0.5444298,0.05359381,3.064472,-0.5933244,0.05307031,3.055853,0.1226885,0.09583472,3.161461,0.3400951,0.1114849,3.111773,0.5072695,0.08448607,3.060405,0.5748431,0.07226659,3.043021,-0.08672737,-0.2176111,3.09049,-0.0446245,-0.5681046,3.15045,-0.06591251,-0.7979411,3.152345,-0.05344348,-0.871697,3.106884,0.03609977,-0.220673,3.112802,-0.04447785,-0.5743643,3.154245,-0.0312498,-0.858025,3.13961,-0.03373645,-0.9011613,3.091454,103,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
48657392.2894,-0.02558852,-0.1556983,3.11208,-0.03024686,-0.1083301,3.157651,-0.02698002,0.1717218,3.158958,-0.03750283,0.3241184,3.151797,-0.1624576,0.0866206,3.128049,-0.3672085,0.05892872,3.089115,-0.5313418,0.006713707,3.052831,-0.5908691,-0.0004202109,3.046234,0.1208065,0.09138304,3.161726,0.3361345,0.07918456,3.112048,0.4956595,0.02504496,3.057147,0.5470841,0.02009488,3.048653,-0.0872376,-0.2182132,3.089286,-0.04438185,-0.5680129,3.150449,-0.06638038,-0.7977651,3.152469,-0.05450075,-0.871412,3.106664,0.03598686,-0.2213238,3.111868,-0.04161918,-0.5730493,3.153573,-0.03033105,-0.8584042,3.136769,-0.03058804,-0.9015608,3.088563,103,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
48657428.2914,-0.02733002,-0.1557308,3.111125,-0.03205658,-0.1086392,3.157011,-0.02910638,0.1715328,3.160295,-0.03655435,0.323926,3.154992,-0.1628098,0.08620448,3.12781,-0.3548042,0.03951151,3.083951,-0.5042424,-0.04441969,3.042469,-0.5201764,-0.04674003,3.027098,0.1165118,0.09179594,3.161795,0.3108738,0.04652211,3.115378,0.4705188,-0.007532343,3.060815,0.5322711,-0.0367673,3.042109,-0.08808987,-0.2179525,3.088489,-0.04467297,-0.5672865,3.150384,-0.06838863,-0.7966875,3.154053,-0.05263169,-0.8719228,3.112156,0.03291979,-0.2201293,3.10993,-0.04221039,-0.5720194,3.152717,-0.03026954,-0.8585948,3.136784,-0.00945051,-0.9142652,3.111204,103,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
48657460.2933,-0.02895387,-0.1563877,3.110551,-0.03314996,-0.1092553,3.156657,-0.02982511,0.1714069,3.1606,-0.03671841,0.3231932,3.154484,-0.164214,0.08513413,3.130512,-0.3301551,0.003397248,3.08056,-0.474494,-0.08810734,3.036437,-0.5295545,-0.1217315,3.007167,0.1128335,0.08542445,3.160438,0.2836413,0.0207257,3.113747,0.4366701,-0.05165344,3.062154,0.4791641,-0.07484205,3.039333,-0.08913533,-0.2181102,3.088428,-0.04468611,-0.5676636,3.150455,-0.05812842,-0.8602332,3.128583,-0.04454211,-0.9087926,3.088037,0.03071278,-0.220541,3.108515,-0.04235718,-0.5719982,3.152722,-0.03054978,-0.8587499,3.137055,-0.02654967,-0.9090168,3.096512,103,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
48657492.2951,-0.03226619,-0.1634903,3.108573,-0.03609068,-0.1151939,3.155384,-0.03266142,0.1699905,3.161732,-0.03712641,0.3221366,3.158681,-0.1663782,0.07941288,3.129319,-0.3246124,-0.01146612,3.075348,-0.4401464,-0.1401178,3.044297,-0.4828083,-0.1579447,3.015241,0.1076414,0.08064455,3.156837,0.2812838,0.01319123,3.113514,0.4088556,-0.1006972,3.05952,0.4661803,-0.1349063,3.035782,-0.09222413,-0.223711,3.087602,-0.04473759,-0.5676426,3.150352,-0.06026732,-0.8589523,3.129619,-0.04513429,-0.9064547,3.08838,0.02862052,-0.2252561,3.105706,-0.04242636,-0.5718097,3.152552,-0.03103193,-0.8575783,3.136642,-0.02645802,-0.9059489,3.093915,103,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
48657528.2972,-0.03254903,-0.1639566,3.108275,-0.03653651,-0.1159217,3.155162,-0.03375503,0.1691293,3.162827,-0.036197,0.3207624,3.161566,-0.1687378,0.07416155,3.127886,-0.3057501,-0.02850913,3.073222,-0.4055156,-0.1657816,3.023449,-0.4491954,-0.201343,3.003865,0.1053419,0.07939324,3.156618,0.2664589,-0.002126728,3.112435,0.4089526,-0.1574461,3.041847,0.452255,-0.1853946,3.032588,-0.09250653,-0.2244767,3.087039,-0.04443988,-0.5666564,3.150025,-0.06433668,-0.8587752,3.129851,-0.04094985,-0.9063961,3.092815,0.02835786,-0.2254108,3.10533,-0.04399638,-0.5704472,3.152256,-0.04721987,-0.8101828,3.150457,-0.03261907,-0.8847768,3.107034,103,Swipe-across-an-imaginary-screen-in-front-of-you-from-left-to-right,
