Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
48852138.7599,0.08210311,-0.1674619,3.330372,0.07311291,-0.1218268,3.376866,0.06918144,0.1601348,3.384902,0.05084744,0.3215025,3.379289,-0.06525015,0.07624716,3.339655,-0.2644485,0.1379753,3.276215,-0.4213271,0.1599044,3.200669,-0.4890271,0.1820579,3.20729,0.2085971,0.1108867,3.392599,0.3896351,0.2098515,3.358324,0.546082,0.2678246,3.309726,0.6099681,0.2982831,3.299298,0.02559815,-0.2327956,3.302238,0.03029417,-0.5775775,3.337722,0.02034537,-0.8363495,3.316205,0.02868344,-0.9072735,3.265437,0.1441987,-0.2296696,3.332896,0.1036028,-0.572001,3.340486,0.1287473,-0.8095876,3.334586,0.1110217,-0.8844413,3.28642,103,Draw-the-letter-A,
48852170.7618,0.08214101,-0.1674533,3.330373,0.07314686,-0.1216241,3.376877,0.0669799,0.1615275,3.383753,0.04820237,0.3226089,3.379675,-0.06697574,0.07723034,3.339997,-0.265056,0.1356068,3.27786,-0.424699,0.1478269,3.206676,-0.4808731,0.1507654,3.215496,0.2085865,0.110898,3.392576,0.4202004,0.2017596,3.348658,0.5765508,0.2600121,3.300082,0.6440835,0.2774983,3.284224,0.02582818,-0.2328508,3.302752,0.03200871,-0.5770521,3.337269,0.02448805,-0.8374816,3.317761,0.02917073,-0.9075038,3.265403,0.1445799,-0.229583,3.332657,0.1098463,-0.5761459,3.340818,0.1236923,-0.819762,3.334182,0.1163357,-0.8945559,3.283295,103,Draw-the-letter-A,
48852202.7636,0.0831937,-0.1694362,3.330514,0.07439257,-0.1235012,3.3771,0.0685779,0.1584352,3.384341,0.04714153,0.322547,3.379638,-0.06851373,0.07550812,3.340937,-0.2640116,0.1134308,3.286306,-0.4215339,0.1290162,3.210473,-0.4771768,0.1324488,3.206198,0.2084861,0.1069683,3.391745,0.4231724,0.1904093,3.348173,0.5852714,0.2223518,3.292935,0.6514512,0.2468043,3.281085,0.02627063,-0.2353968,3.302786,0.03242572,-0.5771301,3.337071,0.01191759,-0.8447517,3.301145,0.02718919,-0.9095224,3.267929,0.1462765,-0.2315744,3.332768,0.1093398,-0.5765163,3.341249,0.125815,-0.8212367,3.335104,0.1188244,-0.8974462,3.286306,103,Draw-the-letter-A,
48852238.7656,0.08350869,-0.1732735,3.329922,0.07420117,-0.1261315,3.376665,0.06843369,0.1582437,3.384358,0.04621244,0.3209483,3.38397,-0.0666274,0.07283757,3.339417,-0.2648494,0.1048944,3.284529,-0.4212412,0.09193906,3.20545,-0.4736929,0.08409294,3.213507,0.2096524,0.104112,3.392359,0.4299225,0.1706234,3.34636,0.5938888,0.1967253,3.294288,0.66197,0.1985896,3.272385,0.02642369,-0.2384127,3.302508,0.03195516,-0.5779484,3.337561,0.003622261,-0.8415535,3.303804,0.02716528,-0.9102831,3.26842,0.1468107,-0.2348,3.332109,0.1073938,-0.5801005,3.341649,0.1258796,-0.8215777,3.335314,0.1219641,-0.8965827,3.284352,103,Draw-the-letter-A,
48852271.7675,0.08361005,-0.1740342,3.329667,0.07393176,-0.1266463,3.376493,0.06545383,0.159449,3.384979,0.042651,0.3226029,3.390324,-0.06429125,0.06918392,3.338189,-0.264011,0.08984455,3.280063,-0.426434,0.06595452,3.221066,-0.4783786,0.06758004,3.211299,0.2101579,0.1007347,3.392128,0.4367342,0.1341142,3.337471,0.6034974,0.152585,3.293301,0.6676618,0.1714743,3.267912,0.02692188,-0.2390258,3.301847,0.03061118,-0.5768523,3.336828,0.00416821,-0.8423785,3.302192,0.02724944,-0.9102355,3.268318,0.1470499,-0.2355181,3.332145,0.1060188,-0.5805606,3.340597,0.1234919,-0.8234361,3.332945,0.1210002,-0.8979608,3.281192,103,Draw-the-letter-A,
48852302.7693,0.08336084,-0.1758976,3.329159,0.07413786,-0.1284761,3.376065,0.06906644,0.1567972,3.384815,0.04384128,0.3225989,3.391717,-0.06331199,0.06628175,3.33803,-0.260351,0.05402339,3.276581,-0.4136876,0.01946935,3.198083,-0.4659643,0.01166304,3.199662,0.2105584,0.09782068,3.391402,0.4381728,0.1236909,3.337135,0.6044291,0.1020807,3.292311,0.6737019,0.104892,3.274653,0.02606538,-0.2409637,3.300931,0.03036332,-0.5772471,3.336816,0.005608882,-0.8424039,3.302238,0.02847301,-0.9102851,3.268526,0.1463716,-0.237281,3.331891,0.1051635,-0.5801418,3.340522,0.1242951,-0.827628,3.326405,0.1021017,-0.9025437,3.280212,103,Draw-the-letter-A,
48852338.7714,0.08081946,-0.1806119,3.327281,0.07182945,-0.1321965,3.374501,0.0670642,0.1566391,3.384241,0.04353609,0.3229018,3.390527,-0.06314659,0.06485289,3.337651,-0.2592457,0.03281895,3.277803,-0.4064345,-0.01842644,3.196284,-0.4576976,-0.03136287,3.195283,0.2100876,0.09271771,3.389421,0.4389603,0.08689883,3.334211,0.6003213,0.04977854,3.280314,0.6659862,0.04921501,3.261496,0.02380506,-0.2441414,3.299919,0.03095635,-0.5782533,3.337036,0.01957227,-0.840854,3.312615,0.02856983,-0.9102039,3.268444,0.1440226,-0.2419657,3.329545,0.1050146,-0.5811236,3.341383,0.1232597,-0.8257557,3.328226,0.1144002,-0.9006183,3.277668,103,Draw-the-letter-A,
48852371.7732,0.08035512,-0.186546,3.324967,0.07145063,-0.1378076,3.372583,0.06670148,0.1546402,3.38416,0.04303018,0.3223881,3.391285,-0.06040442,0.05875197,3.33783,-0.2528408,0.007344117,3.281494,-0.398234,-0.05592532,3.206313,-0.4465891,-0.07722231,3.204204,0.2090728,0.08543316,3.388205,0.3971224,0.06116379,3.343897,0.5567361,0.01240307,3.295487,0.6242943,0.005075462,3.273114,0.02339493,-0.2478443,3.298909,0.03124268,-0.579202,3.336628,0.01599388,-0.8409658,3.309375,0.03199599,-0.9101691,3.267107,0.1432104,-0.2465882,3.32622,0.1097421,-0.5829661,3.342056,0.1233793,-0.8254162,3.328499,0.1185159,-0.9018693,3.279811,103,Draw-the-letter-A,
48852403.7751,0.08113254,-0.1883058,3.3238,0.07229333,-0.1396836,3.371409,0.06773358,0.1531658,3.383404,0.04305315,0.3224679,3.391268,-0.06355637,0.05598103,3.336467,-0.2546381,-0.004961481,3.282538,-0.3974666,-0.09144648,3.213528,-0.4489099,-0.1163673,3.212142,0.2099486,0.08130357,3.387322,0.4304402,0.02283936,3.326791,0.5869521,-0.0401615,3.287747,0.6471775,-0.06903103,3.262098,0.02345734,-0.2516662,3.29708,0.03272754,-0.5860125,3.33835,0.01566718,-0.84015,3.310247,0.03201329,-0.9100141,3.266934,0.1447571,-0.2492976,3.324373,0.1075429,-0.5848899,3.343749,0.119998,-0.8201995,3.33076,0.1081512,-0.8957825,3.281908,103,Draw-the-letter-A,
48852438.7771,0.08134672,-0.1923262,3.322181,0.07292538,-0.1429496,3.370126,0.06855635,0.1527109,3.383177,0.04356861,0.3222063,3.391806,-0.06336384,0.05558741,3.336037,-0.2500391,-0.01164631,3.282938,-0.3731744,-0.1140297,3.211798,-0.439357,-0.1375553,3.1982,0.2083101,0.07689107,3.384263,0.428152,0.01288759,3.329179,0.5785546,-0.06098962,3.283899,0.6424297,-0.08310162,3.260458,0.02323336,-0.2547128,3.295689,0.03512944,-0.5904252,3.340081,0.02157909,-0.8382767,3.312477,0.03209604,-0.9093952,3.265918,0.1445453,-0.2524212,3.323046,0.1050909,-0.5878863,3.344621,0.1197089,-0.8209552,3.331061,0.1066631,-0.8962098,3.282005,103,Draw-the-letter-A,
