Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
48893414.5173,0.04828867,-0.1630152,3.328034,0.04923147,-0.119721,3.378417,0.05142115,0.1618656,3.40571,0.0436498,0.324055,3.402017,-0.09429927,0.07789855,3.381449,-0.2900767,0.130895,3.309765,-0.449113,0.147164,3.238981,-0.4956725,0.1650747,3.221401,0.1720719,0.1025948,3.384484,0.3034769,0.1910034,3.2282,0.4285928,0.2444972,3.073397,0.4781088,0.2774821,3.035668,-0.008765819,-0.2218707,3.310139,-0.006014813,-0.5792642,3.363396,-0.03332195,-0.8423755,3.351802,-0.00594952,-0.9098565,3.295217,0.1050362,-0.2212854,3.3176,0.09304003,-0.5758832,3.352691,0.1218424,-0.8008752,3.347344,0.1312544,-0.8797396,3.300475,103,Draw-the-letter-X,
48893451.5194,0.04846465,-0.164066,3.328872,0.04815872,-0.1213874,3.379611,0.05033098,0.1609597,3.411809,0.04357042,0.3221563,3.397455,-0.09415144,0.07694859,3.379196,-0.2872245,0.1055519,3.308465,-0.4457912,0.1222329,3.236555,-0.4705915,0.1092822,3.225142,0.1730536,0.09725777,3.389188,0.3032636,0.1602447,3.238427,0.4192858,0.1967238,3.107583,0.4550773,0.204604,3.061793,-0.008739917,-0.2229284,3.309181,-0.005061735,-0.5771284,3.361566,-0.04052074,-0.8224568,3.354383,-0.01186198,-0.8949322,3.30508,0.1056209,-0.222838,3.319368,0.0901442,-0.5727631,3.350564,0.1154863,-0.8117854,3.336248,0.1302129,-0.8906792,3.290821,103,Draw-the-letter-X,
48893482.5212,0.05224351,-0.1712747,3.330122,0.05122364,-0.1261701,3.380765,0.05096533,0.1609706,3.411754,0.04372941,0.3221005,3.397683,-0.09402264,0.07382071,3.378537,-0.2825138,0.09126395,3.31007,-0.4460291,0.06900334,3.255562,-0.4937758,0.05632855,3.236662,0.1727852,0.09351138,3.387914,0.3084458,0.1299639,3.238716,0.4323563,0.1532286,3.112589,0.4858491,0.1556027,3.066004,-0.005078085,-0.2305479,3.308716,-0.006637046,-0.5790401,3.360282,-0.03597455,-0.833235,3.345132,-0.01116917,-0.9063776,3.294737,0.1098545,-0.2296015,3.32162,0.0905477,-0.5729449,3.350649,0.1153226,-0.8115565,3.332402,0.1303385,-0.8915045,3.288956,103,Draw-the-letter-X,
48893514.523,0.05133913,-0.1724013,3.330501,0.05033688,-0.1273408,3.381387,0.05046794,0.1609965,3.413277,0.041952,0.3227718,3.401323,-0.09291066,0.06717105,3.37622,-0.2823302,0.04565389,3.3078,-0.4417918,0.02068036,3.241319,-0.4592239,0.02148907,3.238236,0.1720085,0.08834254,3.386662,0.3273928,0.1187974,3.22241,0.464779,0.1018905,3.091747,0.5416675,0.1145261,3.043609,-0.005640259,-0.2312637,3.308659,-0.004977184,-0.5798695,3.360921,-0.03941353,-0.8449276,3.344989,-0.01435606,-0.9134687,3.290735,0.1086663,-0.2303973,3.321828,0.09327891,-0.5796426,3.354501,0.1163482,-0.8170996,3.331043,0.1324765,-0.8966353,3.287235,103,Draw-the-letter-X,
48893551.5251,0.05050786,-0.18051,3.329403,0.05011449,-0.132772,3.380728,0.05064543,0.1614419,3.413111,0.04165218,0.3233925,3.402044,-0.09372085,0.05983935,3.375903,-0.2807982,0.03291204,3.309084,-0.4304582,-0.02767638,3.242764,-0.47002,-0.03748203,3.223285,0.1672987,0.08253577,3.385354,0.3112116,0.07150964,3.252839,0.4795793,0.04862054,3.088433,0.5665438,0.04660218,3.055743,-0.007138392,-0.2392185,3.307064,-0.006602298,-0.5814978,3.362628,-0.03872028,-0.8460208,3.344806,-0.01098932,-0.9147399,3.290894,0.1081152,-0.2357107,3.321535,0.09431748,-0.5787728,3.353645,0.1158569,-0.8188274,3.330011,0.1326478,-0.8982031,3.286159,103,Draw-the-letter-X,
48893582.5269,0.05073545,-0.1805812,3.329889,0.05071125,-0.1327092,3.381013,0.04822087,0.1601915,3.410406,0.0394407,0.3216973,3.406293,-0.0974198,0.05689779,3.378536,-0.2763884,0.01247139,3.31391,-0.4281141,-0.05192791,3.258661,-0.4598114,-0.06035661,3.238789,0.1650779,0.07910466,3.383908,0.3250216,0.03808788,3.217164,0.4810722,0.002407461,3.106774,0.5426211,-0.0137291,3.073949,-0.005690932,-0.2399899,3.309742,-0.006729334,-0.5815604,3.362468,-0.03661763,-0.8444331,3.345969,-0.01145634,-0.9141464,3.29108,0.108243,-0.2357465,3.321601,0.09454408,-0.578695,3.353417,0.1156059,-0.816979,3.330452,0.1319919,-0.8962973,3.286339,103,Draw-the-letter-X,
48893614.5287,0.04982301,-0.1827516,3.330275,0.05016358,-0.1348296,3.381384,0.04822472,0.1601838,3.410424,0.03881921,0.3215546,3.406858,-0.09646366,0.05002204,3.376632,-0.2766067,0.004017774,3.311694,-0.4257414,-0.07342066,3.270973,-0.4489447,-0.06764025,3.239931,0.1654205,0.07596557,3.381144,0.327257,0.03278931,3.217,0.4797912,-0.02460534,3.119971,0.5496155,-0.05103606,3.089006,-0.006819438,-0.2423265,3.310514,-0.007475293,-0.5822835,3.363638,-0.03616275,-0.8420185,3.350935,-0.006608518,-0.9128502,3.299791,0.1070565,-0.2380567,3.321342,0.09506846,-0.5798855,3.352275,0.1180722,-0.8253802,3.328286,0.1338132,-0.9043258,3.283274,103,Draw-the-letter-X,
48893651.5309,0.05001302,-0.1829127,3.33013,0.05012765,-0.1344518,3.381101,0.04214537,0.1598917,3.40359,0.03883492,0.3214777,3.407002,-0.0965246,0.05003474,3.376649,-0.2766393,0.0002205039,3.312819,-0.4266847,-0.07493848,3.270847,-0.4860467,-0.1078306,3.248133,0.1661205,0.07406379,3.380045,0.3272457,0.02977692,3.21505,0.4768566,-0.02802062,3.119169,0.5417004,-0.05649082,3.082996,-0.006276481,-0.2427939,3.310704,-0.005334194,-0.5818273,3.362092,-0.03496062,-0.847773,3.353281,-0.006010491,-0.9154927,3.29776,0.1079867,-0.2385002,3.320887,0.09363935,-0.5806094,3.352574,0.1181792,-0.8258646,3.328084,0.1353328,-0.9064245,3.286583,103,Draw-the-letter-X,
48893682.5326,0.04869044,-0.1879094,3.329467,0.04903949,-0.1386729,3.379919,0.04274496,0.1595832,3.401981,0.03680579,0.322281,3.403654,-0.09655552,0.04947219,3.37563,-0.2761513,-0.001584679,3.313508,-0.4288267,-0.0727751,3.275253,-0.4773053,-0.08136716,3.255912,0.1627892,0.07219274,3.377809,0.3265752,0.02731984,3.213116,0.475899,-0.03317015,3.123134,0.5410879,-0.05885337,3.084643,-0.007765509,-0.246228,3.310528,-0.004999992,-0.5821044,3.36194,-0.03452027,-0.8471769,3.353129,-0.005687851,-0.9147404,3.297355,0.1066885,-0.2429458,3.321121,0.09380525,-0.5812032,3.353053,0.1183437,-0.8253213,3.327716,0.1346706,-0.9051786,3.284552,103,Draw-the-letter-X,
48893714.5345,0.04665373,-0.1835905,3.33009,0.04721145,-0.1356821,3.380181,0.04220573,0.1600784,3.401808,0.03673751,0.3231534,3.402838,-0.09662701,0.05020962,3.375762,-0.2766519,0.000201751,3.312624,-0.4316714,-0.06725415,3.278428,-0.4993697,-0.0795172,3.258716,0.1627624,0.07307336,3.377685,0.3231958,0.03074248,3.220485,0.4711293,-0.02841809,3.13301,0.5350925,-0.05178609,3.094955,-0.009430993,-0.2424394,3.311922,-0.004462132,-0.5815616,3.362406,-0.03392734,-0.845476,3.355906,-0.006824845,-0.9126148,3.298766,0.1042011,-0.2384435,3.320929,0.09405667,-0.580898,3.35273,0.1200254,-0.8274471,3.331254,0.134815,-0.9054216,3.28426,103,Draw-the-letter-X,
