Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
49035209.6145,0.07747757,-0.1882172,3.358578,0.07274588,-0.1348663,3.40243,0.06904186,0.1617891,3.390875,0.07280086,0.3301711,3.415949,-0.06459628,0.07698136,3.378334,-0.2831201,0.1129472,3.339231,-0.4530769,0.1048013,3.320908,-0.5059816,0.1045267,3.324737,0.2211659,0.09660218,3.406126,0.441489,0.1636939,3.377515,0.6095606,0.1809381,3.344957,0.6436369,0.2021881,3.338798,0.01694204,-0.2512639,3.343795,0.02035614,-0.5927631,3.377299,-0.03060164,-0.8109083,3.341131,-0.02362866,-0.8440191,3.265086,0.1415586,-0.2524503,3.357635,0.1052874,-0.5911952,3.385285,0.1422444,-0.8123475,3.373965,0.1560155,-0.8898715,3.319538,103,Touch-your-toes,
49035238.6162,0.07705954,-0.1890823,3.358767,0.07241518,-0.1364145,3.402841,0.06698262,0.1581805,3.393293,0.0700912,0.3309675,3.414604,-0.06762091,0.07858653,3.380173,-0.2818091,0.09546116,3.342212,-0.451407,0.08027223,3.334048,-0.5032011,0.06890351,3.332696,0.2206159,0.09537409,3.405602,0.440205,0.1382517,3.368994,0.6103398,0.1306772,3.357821,0.6747725,0.1575847,3.341246,0.01626097,-0.2526911,3.343697,0.02006778,-0.5926656,3.377069,-0.02444348,-0.8337826,3.345719,-0.04784065,-0.9041554,3.290802,0.1413737,-0.2538929,3.357624,0.1062838,-0.5902518,3.385085,0.1422433,-0.8112088,3.379615,0.1556096,-0.8869035,3.322574,103,Touch-your-toes,
49035269.618,0.07622244,-0.191184,3.359308,0.07103005,-0.1384412,3.403553,0.0680536,0.1572717,3.395734,0.06852541,0.3304938,3.413585,-0.06486765,0.0711749,3.372983,-0.277578,0.08334287,3.341328,-0.4436999,0.04711086,3.339869,-0.5065604,0.0127026,3.335985,0.2197865,0.09277258,3.40465,0.4429536,0.1161205,3.359964,0.6121318,0.1034724,3.333879,0.6775885,0.1277245,3.317214,0.0158709,-0.2537955,3.343618,0.02096815,-0.5927976,3.377656,-0.00756979,-0.8170066,3.348257,-0.04127072,-0.8889723,3.294899,0.1392808,-0.2563626,3.358319,0.1061485,-0.5920008,3.383542,0.1392677,-0.8135943,3.375192,0.1553308,-0.8897979,3.319543,103,Touch-your-toes,
49035301.6198,0.07552198,-0.1946582,3.35984,0.07026167,-0.1410712,3.404089,0.0680845,0.1571414,3.395887,0.06722592,0.330668,3.41338,-0.06447785,0.06878589,3.372137,-0.2692488,0.05147436,3.34099,-0.4272459,-0.008995917,3.310216,-0.49022,-0.04001974,3.295302,0.219312,0.09040424,3.405105,0.4434242,0.09563197,3.365583,0.6070723,0.0597589,3.32381,0.6592477,0.07429767,3.310936,0.01506331,-0.2585742,3.342953,0.01998977,-0.5935327,3.378903,-0.03645554,-0.8107577,3.360293,-0.04571775,-0.8844151,3.299872,0.1383835,-0.2590563,3.359759,0.1062304,-0.5918362,3.38327,0.1390911,-0.8135824,3.372853,0.1561977,-0.8911849,3.319495,103,Touch-your-toes,
49035337.6219,0.0744047,-0.2040075,3.360957,0.06747401,-0.1484885,3.404723,0.06489147,0.155591,3.395132,0.06646822,0.3307782,3.412868,-0.06333971,0.05865745,3.364277,-0.2701661,0.0185716,3.349684,-0.4230146,-0.05038709,3.308742,-0.4713894,-0.07213449,3.307846,0.2173021,0.08608837,3.404765,0.4316204,0.06244498,3.358213,0.5933927,0.01369205,3.32566,0.6631247,0.01978867,3.30982,0.01535262,-0.2682896,3.342796,0.02108358,-0.5958448,3.37953,-0.03688921,-0.812685,3.359126,0.0002669096,-0.8839414,3.307128,0.1373754,-0.2667901,3.363088,0.1044046,-0.5848047,3.384189,0.1389696,-0.8109215,3.373852,0.1557245,-0.8890092,3.321094,103,Touch-your-toes,
49035369.6237,0.07395366,-0.2044137,3.360595,0.06789838,-0.1491985,3.404699,0.06347823,0.1551608,3.396815,0.06512018,0.3308972,3.411945,-0.06810801,0.05857173,3.369204,-0.2689277,0.00387506,3.343588,-0.422354,-0.06892323,3.319563,-0.4727108,-0.1196127,3.312821,0.2145633,0.08432903,3.403309,0.4203019,0.04001812,3.367302,0.5747879,-0.01581658,3.311174,0.645252,-0.02295395,3.299575,0.01458294,-0.2690201,3.342113,0.02098069,-0.5965997,3.379115,-0.03733747,-0.8133491,3.356528,0.000287693,-0.885618,3.306295,0.1370663,-0.2671855,3.362313,0.104556,-0.5872705,3.384514,0.1380826,-0.8089846,3.372609,0.1555784,-0.8882994,3.321965,103,Touch-your-toes,
49035402.6256,0.07187615,-0.2032594,3.360859,0.06681111,-0.1484335,3.405103,0.06143941,0.1551551,3.396973,0.06407647,0.3306467,3.40994,-0.07382298,0.06385756,3.375802,-0.2662367,-0.007279761,3.343778,-0.4059754,-0.1034066,3.317199,-0.4138789,-0.1065327,3.330053,0.2119863,0.08337568,3.402741,0.422421,0.02837045,3.365932,0.5760098,-0.03867501,3.324427,0.6443474,-0.04270804,3.302876,0.01256584,-0.2676239,3.343585,0.02010226,-0.5965965,3.377956,-0.02989264,-0.8347973,3.339659,0.01114818,-0.9066724,3.291583,0.1345883,-0.2660558,3.361388,0.1033791,-0.5894936,3.383595,0.1380316,-0.8110619,3.37103,0.1555912,-0.8899312,3.319717,103,Touch-your-toes,
49035448.6282,0.07061843,-0.2067868,3.359698,0.06583226,-0.1517793,3.404296,0.05928851,0.1539532,3.397093,0.06405938,0.3305554,3.409713,-0.07373853,0.06292452,3.377195,-0.2637179,-0.01417268,3.34356,-0.4024522,-0.111575,3.31594,-0.4626005,-0.150696,3.317517,0.2010413,0.0750362,3.398778,0.4164638,0.01565925,3.35541,0.5691858,-0.05478422,3.317431,0.6371324,-0.06583152,3.297134,0.01236698,-0.2685718,3.343404,0.02056707,-0.5951954,3.377232,-0.02401618,-0.8147346,3.341336,-0.04307815,-0.8953215,3.293335,0.1329963,-0.2687078,3.359469,0.1040347,-0.5909965,3.384007,0.1329329,-0.8134763,3.368984,0.1549299,-0.8917591,3.318489,103,Touch-your-toes,
49035466.2284,0.06945287,-0.206106,3.359437,0.06475227,-0.1515129,3.404183,0.05454946,0.1529789,3.39791,0.06324655,0.330694,3.410603,-0.07579122,0.0652428,3.381759,-0.2623577,-0.01758847,3.343429,-0.3893543,-0.1297643,3.315123,-0.4526747,-0.1635474,3.315023,0.2006249,0.07490063,3.400395,0.413751,0.01233214,3.355491,0.5678836,-0.05520267,3.318101,0.6354064,-0.07006195,3.298849,0.01179888,-0.2680553,3.343579,0.0210955,-0.5953062,3.378045,-0.02534357,-0.8146685,3.345985,-0.04541853,-0.8939923,3.296322,0.1316112,-0.2679728,3.358142,0.1055008,-0.5949001,3.384602,0.1354264,-0.817206,3.370642,0.1569343,-0.8960403,3.320799,103,Touch-your-toes,
49035497.4284,0.06894826,-0.2069887,3.359261,0.06385372,-0.1526426,3.404134,0.05167553,0.1521817,3.398839,0.06167392,0.3304628,3.410153,-0.07590351,0.06080333,3.380588,-0.261839,-0.01831353,3.341772,-0.4054248,-0.1080739,3.312392,-0.4645729,-0.1487222,3.312376,0.1954069,0.07228018,3.39965,0.3990097,0.01244184,3.356806,0.5539117,-0.05233192,3.317085,0.6222908,-0.06736376,3.301301,0.0118537,-0.2680916,3.34365,0.02191652,-0.5818262,3.375839,-0.02411735,-0.8014047,3.347254,-0.0431472,-0.8832427,3.301405,0.1307188,-0.2686887,3.357398,0.1088853,-0.5935691,3.384608,0.1361723,-0.8180184,3.370412,0.1573711,-0.8969798,3.320639,103,Touch-your-toes,
