Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
39570173.1406,-0.01433577,-0.2810754,3.043612,-0.01989998,-0.2350858,3.084101,-0.01579112,0.02408115,3.074654,0.0008472501,0.1685725,3.074483,-0.1430001,-0.03760703,3.060956,-0.3395299,-0.04001175,2.982205,-0.477703,-0.05293092,2.910938,-0.4945743,-0.07463072,2.909536,0.1216652,-0.02744972,3.100163,0.2679352,0.01061685,2.991798,0.4060765,-0.01977753,2.887028,0.4533619,-0.0405647,2.861396,-0.07432087,-0.3377602,3.030628,-0.09334487,-0.6385902,3.049903,-0.1031748,-0.8458845,3.04135,-0.09413152,-0.8712056,2.979579,0.04681041,-0.3438885,3.040076,0.03947959,-0.638823,3.0503,0.05931608,-0.8482705,3.042825,0.06835938,-0.8735916,2.981054,106,Raise-your-arm-to-one-side,
39570196.1419,-0.01337078,-0.2850018,3.044105,-0.01903681,-0.2381647,3.084591,-0.01560539,0.02370479,3.074972,0.0003965782,0.1677915,3.070394,-0.1419336,-0.0394232,3.061394,-0.338529,-0.0411319,2.982806,-0.4760348,-0.05830517,2.911064,-0.5338273,-0.0774943,2.88648,0.1214569,-0.03513725,3.099123,0.2742501,-0.005580765,2.988544,0.4008718,-0.02466814,2.889589,0.4369129,-0.04591248,2.863982,-0.07295632,-0.3407047,3.030645,-0.09251188,-0.6409889,3.049272,-0.1034161,-0.8458916,3.040908,-0.09448434,-0.8712458,2.979133,0.04717579,-0.3472953,3.041197,0.0404583,-0.641325,3.052111,0.05966915,-0.848692,3.042377,0.06860089,-0.8740462,2.980602,106,Raise-your-arm-to-one-side,
39570228.1438,-0.01353588,-0.2864726,3.044706,-0.01925408,-0.2393912,3.085051,-0.01716223,0.02317021,3.074826,-0.0007184108,0.1680535,3.07063,-0.141763,-0.04024001,3.061121,-0.3381193,-0.04001698,2.98168,-0.4753183,-0.05976222,2.910009,-0.478932,-0.07176509,2.904728,0.1204251,-0.03590143,3.097608,0.2734984,-0.008434661,2.988338,0.4021266,-0.02782245,2.88738,0.4390444,-0.04818964,2.862364,-0.07249749,-0.3421573,3.031609,-0.09304449,-0.6417553,3.04969,-0.1035253,-0.8458902,3.04084,-0.09483718,-0.8712857,2.979044,0.04693028,-0.3482196,3.04188,0.04029074,-0.6415796,3.052185,0.05944151,-0.848301,3.042055,0.0681296,-0.8736966,2.98026,106,Raise-your-arm-to-one-side,
39570263.1458,-0.01320626,-0.2875757,3.045068,-0.01878118,-0.240384,3.085418,-0.01709753,0.02291677,3.075024,-0.0008028315,0.1696779,3.07051,-0.1415263,-0.04123014,3.061177,-0.3374608,-0.03902058,2.980377,-0.4751126,-0.06018555,2.910199,-0.4792883,-0.07350506,2.903227,0.1205756,-0.03693879,3.096286,0.262761,-0.008207852,2.98744,0.402104,-0.02784992,2.887446,0.4396217,-0.0484938,2.861368,-0.07197326,-0.3434236,3.032197,-0.09259585,-0.6422984,3.050214,-0.1031812,-0.845858,3.041475,-0.09480011,-0.8712695,2.979642,0.04714425,-0.3491036,3.042166,0.04012205,-0.6418665,3.05243,0.05967645,-0.8484554,3.041597,0.06805751,-0.873867,2.979764,106,Raise-your-arm-to-one-side,
39570295.1476,-0.01309957,-0.2883165,3.045123,-0.01866103,-0.24119,3.085499,-0.01708184,0.02235337,3.075247,-0.002220427,0.1697453,3.070406,-0.1408193,-0.04299028,3.060867,-0.3366411,-0.03852494,2.979805,-0.4737911,-0.0591555,2.908293,-0.4755923,-0.07156242,2.903075,0.1202094,-0.03723002,3.095852,0.2631227,-0.009373285,2.98664,0.3978103,-0.02613004,2.887788,0.4385336,-0.04801649,2.860819,-0.07158937,-0.344596,3.032374,-0.091807,-0.6425635,3.049631,-0.1031988,-0.8458871,3.04115,-0.09485713,-0.8712902,2.979306,0.04712446,-0.3491583,3.042173,0.04033243,-0.6416889,3.052301,0.05954687,-0.8483216,3.041962,0.0678885,-0.8737246,2.980118,106,Raise-your-arm-to-one-side,
39570327.1494,-0.01322726,-0.2900717,3.045275,-0.01881467,-0.2429956,3.085801,-0.01703717,0.02120192,3.07655,-0.001093004,0.1646249,3.070234,-0.1402857,-0.04547487,3.059971,-0.336207,-0.03875689,2.979416,-0.4716277,-0.06676423,2.906979,-0.5072149,-0.08924259,2.882812,0.1197104,-0.03874379,3.095381,0.2627788,-0.009264471,2.984898,0.4015911,-0.03257494,2.882102,0.4496985,-0.05622489,2.855443,-0.07146599,-0.3461425,3.032316,-0.09159821,-0.6432742,3.049613,-0.1031592,-0.8458316,3.041171,-0.09471972,-0.871173,2.979314,0.04670748,-0.3502946,3.042275,0.04098728,-0.6424182,3.052411,0.05937208,-0.8490512,3.043032,0.06781159,-0.8743926,2.981174,106,Raise-your-arm-to-one-side,
39570364.1515,-0.01325201,-0.2909228,3.045203,-0.01862261,-0.2439466,3.085894,-0.01654175,0.02055145,3.077893,-0.003600019,0.1675435,3.071707,-0.1402561,-0.04558028,3.060198,-0.3367696,-0.0422466,2.981282,-0.465585,-0.09744576,2.91314,-0.4790733,-0.0907934,2.891396,0.119223,-0.03983502,3.094365,0.2650568,-0.02452797,2.986982,0.3962487,-0.04663939,2.882895,0.4399781,-0.06217153,2.856388,-0.07146098,-0.3466532,3.032092,-0.09063274,-0.6445375,3.050165,-0.1031655,-0.8458301,3.04117,-0.09496386,-0.8710964,2.979248,0.04645704,-0.3511939,3.042118,0.04064256,-0.6434551,3.052258,0.05932066,-0.8489586,3.04282,0.06752235,-0.8742248,2.980898,106,Raise-your-arm-to-one-side,
39570396.1534,-0.01304605,-0.2930445,3.045068,-0.01828315,-0.2459456,3.086104,-0.01679308,0.01994869,3.080088,-0.003994917,0.1670827,3.071733,-0.1391807,-0.04741074,3.060773,-0.3316061,-0.05216924,2.980867,-0.4543363,-0.1181941,2.91086,-0.4783038,-0.1092491,2.895643,0.1182593,-0.04209384,3.093171,0.2667139,-0.03852294,2.989175,0.4079146,-0.09839752,2.853082,0.4547179,-0.1265457,2.833508,-0.07082272,-0.3481173,3.031803,-0.08887681,-0.6459318,3.050385,-0.1030031,-0.8458478,3.041099,-0.09513559,-0.8709937,2.979083,0.04626907,-0.3524798,3.041736,0.04085553,-0.6437573,3.052208,0.0593325,-0.8489767,3.042707,0.06719998,-0.8741226,2.980691,106,Raise-your-arm-to-one-side,
39570427.1551,-0.01301627,-0.2967044,3.044283,-0.01828219,-0.2490697,3.085411,-0.01677335,0.01944702,3.079853,-0.006318264,0.1659935,3.073013,-0.1382181,-0.0516502,3.059893,-0.3032185,-0.05686111,2.983398,-0.4241113,-0.1353896,2.926135,-0.4584095,-0.1585765,2.898403,0.1180079,-0.04386868,3.092761,0.2637424,-0.05147788,2.979571,0.4000006,-0.1432988,2.859634,0.4395523,-0.1632764,2.851894,-0.07039195,-0.3528077,3.03043,-0.08831069,-0.6487218,3.048646,-0.103227,-0.8467762,3.040291,-0.0952993,-0.8719177,2.978279,0.0459611,-0.3548692,3.04152,0.04049161,-0.6456427,3.052111,0.05938204,-0.8489065,3.042817,0.06730972,-0.8740479,2.980805,106,Raise-your-arm-to-one-side,
39570463.1572,-0.01232154,-0.2997763,3.044034,-0.01762891,-0.2523927,3.085509,-0.01655002,0.01691355,3.081866,-0.007112194,0.1658642,3.073383,-0.1384597,-0.05850331,3.059845,-0.2904939,-0.0752397,2.983136,-0.3973116,-0.1767371,2.931277,-0.4338959,-0.1952183,2.905278,0.118399,-0.04793859,3.093054,0.2668161,-0.1013124,2.964752,0.3790993,-0.1732184,2.873096,0.4224732,-0.2265778,2.835152,-0.06939983,-0.3571087,3.02929,-0.08699225,-0.6495881,3.048448,-0.1029683,-0.8464558,3.040031,-0.09508311,-0.8714783,2.977963,0.04659629,-0.3575681,3.041181,0.04095544,-0.6470678,3.052603,0.05942526,-0.8488861,3.042861,0.06731042,-0.8739086,2.980793,106,Raise-your-arm-to-one-side,
