Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
39659727.2325,0.008740712,-0.2938487,3.116723,0.008880252,-0.2480036,3.159728,0.02260188,0.0167283,3.159805,0.02912294,0.1670517,3.127813,-0.1236474,-0.04966049,3.141795,-0.2952727,-0.0524117,3.126071,-0.4291007,-0.1248503,3.100063,-0.4832904,-0.1348088,3.087892,0.1589414,-0.05248915,3.156968,0.296047,-0.04302616,3.042146,0.4379167,-0.0881897,2.954794,0.4957091,-0.1173315,2.928774,-0.05753921,-0.3566679,3.101934,-0.08650281,-0.6464805,3.128493,-0.1083391,-0.8494339,3.112929,-0.1045709,-0.8737872,3.051454,0.06964801,-0.3567336,3.109298,0.07155079,-0.6380606,3.103595,0.08832738,-0.8540729,3.112303,0.09581722,-0.9024804,3.083971,106,Put-your-hands-on-your-hips-and-twist,
39659759.2344,0.009787789,-0.2980629,3.116923,0.009898078,-0.2518244,3.160126,0.02391684,0.01550463,3.161218,0.02900843,0.1677878,3.130509,-0.1234875,-0.05299602,3.142615,-0.2898149,-0.05919683,3.114281,-0.4288377,-0.1286653,3.098401,-0.4864395,-0.1459448,3.087256,0.1577766,-0.05656148,3.158505,0.3143128,-0.03297879,3.036312,0.4507973,-0.1148552,2.948294,0.4951149,-0.1258108,2.93174,-0.05650178,-0.3604827,3.101664,-0.08713062,-0.6492652,3.127218,-0.1083573,-0.8494065,3.112972,-0.104392,-0.8737268,3.0515,0.07027958,-0.3600323,3.10971,0.07067765,-0.6420006,3.104332,0.08775504,-0.8547499,3.112617,0.09554727,-0.9038782,3.084444,106,Put-your-hands-on-your-hips-and-twist,
39659791.2362,0.00952906,-0.3003376,3.1185,0.009420449,-0.2540065,3.161675,0.02277455,0.01432293,3.162871,0.02961113,0.1678301,3.132505,-0.1236215,-0.05712676,3.141843,-0.2947579,-0.07511216,3.107326,-0.4334424,-0.1396621,3.095634,-0.4821614,-0.1623674,3.088729,0.1576234,-0.05733662,3.158801,0.3060653,-0.05451599,3.040079,0.4400132,-0.1168725,2.957018,0.4939408,-0.1347293,2.93256,-0.05652919,-0.3630309,3.103317,-0.08725539,-0.6513111,3.127798,-0.1083301,-0.8490509,3.11311,-0.1042606,-0.8733732,3.05165,0.07023608,-0.3622147,3.111437,0.07029045,-0.643379,3.105194,0.0875916,-0.8549206,3.112495,0.09524968,-0.9043358,3.084441,106,Put-your-hands-on-your-hips-and-twist,
39659827.2383,0.009571734,-0.3006797,3.119115,0.009590306,-0.2542236,3.162126,0.02340488,0.01426829,3.162883,0.02915576,0.1696542,3.132337,-0.1234276,-0.05768938,3.142159,-0.2942774,-0.07857385,3.105168,-0.4305617,-0.1479439,3.090849,-0.4689126,-0.1675788,3.079433,0.1577349,-0.05744892,3.158901,0.3004794,-0.06279591,3.04993,0.4349805,-0.1199576,2.95628,0.4824007,-0.143422,2.932036,-0.05660906,-0.3633037,3.104371,-0.08731434,-0.6527352,3.127881,-0.1082247,-0.8493824,3.114528,-0.1042182,-0.8737352,3.053081,0.07013433,-0.3628774,3.112308,0.06997134,-0.6434083,3.105955,0.08687618,-0.854036,3.112126,0.0951253,-0.9041345,3.083522,106,Put-your-hands-on-your-hips-and-twist,
39659859.2401,0.009858344,-0.3043716,3.121495,0.009992921,-0.2572484,3.16429,0.02402264,0.01336083,3.163969,0.03010421,0.1685401,3.134338,-0.1231497,-0.05928009,3.142276,-0.294634,-0.08115573,3.105088,-0.420981,-0.1623692,3.065722,-0.4501862,-0.1756868,3.056735,0.1571573,-0.05935929,3.158883,0.3010117,-0.06969519,3.047704,0.4353478,-0.1238409,2.95437,0.4833839,-0.1471595,2.928027,-0.05607597,-0.3666905,3.107851,-0.08674103,-0.653577,3.127408,-0.108405,-0.8492513,3.114461,-0.10441,-0.8736877,3.053051,0.07002456,-0.3661841,3.114101,0.0699723,-0.645146,3.107002,0.08707112,-0.8538525,3.11248,0.0945368,-0.9046707,3.08947,106,Put-your-hands-on-your-hips-and-twist,
39659891.2419,0.009537719,-0.3052367,3.122993,0.009792631,-0.2581262,3.165766,0.02544091,0.01276344,3.165819,0.03009649,0.1685387,3.134342,-0.1226839,-0.06234729,3.141613,-0.2724657,-0.07461751,3.092745,-0.4088268,-0.1586104,3.071475,-0.4562553,-0.1812063,3.055129,0.157045,-0.06080268,3.159443,0.3102717,-0.07649352,3.040282,0.4360417,-0.1287851,2.953843,0.4890922,-0.1604098,2.917475,-0.0564488,-0.3671433,3.108666,-0.08746488,-0.6544689,3.127606,-0.1088576,-0.8495303,3.114686,-0.1046513,-0.8739566,3.053291,0.06910855,-0.3675548,3.11677,0.06982764,-0.6451721,3.107167,0.08711907,-0.8538336,3.112367,0.09437208,-0.9039019,3.087714,106,Put-your-hands-on-your-hips-and-twist,
39659927.244,0.009397501,-0.3051516,3.12368,0.009787518,-0.2580568,3.16637,0.02594706,0.01279282,3.16624,0.03133143,0.1703241,3.137023,-0.1227616,-0.06201695,3.14245,-0.2903889,-0.1174013,3.097922,-0.4322561,-0.1715501,3.069091,-0.4836737,-0.1945554,3.038713,0.1584611,-0.06345659,3.159737,0.3093552,-0.07588581,3.041623,0.4313087,-0.132025,2.95795,0.4854699,-0.1625682,2.919444,-0.05696125,-0.3669999,3.109428,-0.08746477,-0.6543801,3.127819,-0.1089264,-0.8496057,3.114966,-0.1047523,-0.8740471,3.053573,0.0690027,-0.3679045,3.117578,0.0697094,-0.6452388,3.10749,0.08737856,-0.8542025,3.112375,0.09383214,-0.9038834,3.086732,106,Put-your-hands-on-your-hips-and-twist,
39659959.2458,0.00917748,-0.3061926,3.124767,0.009520225,-0.2590418,3.167507,0.02609559,0.01239647,3.167534,0.03143749,0.1693543,3.13782,-0.1224802,-0.06285074,3.142426,-0.2914526,-0.1179729,3.095733,-0.4306894,-0.1780355,3.06525,-0.4788525,-0.1990619,3.028714,0.15793,-0.06432167,3.160498,0.2971799,-0.08775611,3.039641,0.4289375,-0.1352274,2.961331,0.4857568,-0.1657751,2.924458,-0.0571451,-0.3678116,3.110372,-0.08744967,-0.6543546,3.127869,-0.1090639,-0.8496481,3.114789,-0.1047111,-0.874088,3.053405,0.06872893,-0.3686419,3.118537,0.06970518,-0.6454926,3.107786,0.08779388,-0.8552932,3.112552,0.09404119,-0.9048573,3.086629,106,Put-your-hands-on-your-hips-and-twist,
39659991.2476,0.009196417,-0.3069968,3.125758,0.009471398,-0.2600043,3.168636,0.02652569,0.01159004,3.169524,0.03328757,0.169631,3.140326,-0.1213325,-0.06398894,3.142705,-0.291426,-0.1191491,3.093806,-0.4270374,-0.1874435,3.064887,-0.4355438,-0.1984559,3.041971,0.1592332,-0.06791855,3.16132,0.29068,-0.09496772,3.04196,0.4259536,-0.1408844,2.960729,0.4802485,-0.1725494,2.925549,-0.05717975,-0.3681931,3.110843,-0.08754373,-0.6545047,3.127995,-0.1090641,-0.8494669,3.114655,-0.1045088,-0.8738602,3.053272,0.06873274,-0.3698412,3.119835,0.06982597,-0.6460879,3.108078,0.08800073,-0.8550247,3.112345,0.09354476,-0.9038599,3.084504,106,Put-your-hands-on-your-hips-and-twist,
39660027.2497,0.00933657,-0.3077203,3.12693,0.009882417,-0.2606821,3.16973,0.02660799,0.01099961,3.170034,0.03349523,0.1696272,3.14113,-0.1203219,-0.06398954,3.144819,-0.2822856,-0.1300812,3.092256,-0.4095328,-0.2106668,3.055195,-0.4284943,-0.2153175,3.042566,0.1596439,-0.06969608,3.161043,0.2990164,-0.1157497,3.0393,0.4202197,-0.1746471,2.943707,0.4723388,-0.2146921,2.899221,-0.05705455,-0.3687404,3.112148,-0.08751024,-0.6544871,3.127978,-0.1089194,-0.8492907,3.114617,-0.1048046,-0.8737111,3.053218,0.06893341,-0.3707777,3.121149,0.06982085,-0.6466385,3.108232,0.08801276,-0.8549087,3.112116,0.09349699,-0.9037773,3.084164,106,Put-your-hands-on-your-hips-and-twist,
