Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
39707678.1648,0.0192262,-0.2883077,3.121755,0.01927811,-0.2457254,3.163734,0.02210519,0.005146226,3.160814,0.02226099,0.1577897,3.129547,-0.1079953,-0.07217047,3.146789,-0.2535453,-0.1535707,3.084227,-0.3725033,-0.2518795,3.036852,-0.4113449,-0.2710996,3.018346,0.1539616,-0.05687616,3.151284,0.2797859,-0.08236602,3.026884,0.4067237,-0.1331344,2.895523,0.4476592,-0.1581753,2.875091,-0.04048854,-0.3493886,3.108671,-0.0700476,-0.6404685,3.120983,-0.105741,-0.8481302,3.124806,-0.1048689,-0.8719671,3.064651,0.07905138,-0.3443046,3.116801,0.064815,-0.6221173,3.076944,0.01539779,-0.8481237,3.101283,0.04039007,-0.8952591,3.058853,106,Lift-your-leg-to-the-other-side,
39707711.1667,0.01932699,-0.2885,3.121724,0.01902617,-0.2459891,3.163674,0.0221983,0.004081817,3.160492,0.02221115,0.1572941,3.129074,-0.108219,-0.07299431,3.146449,-0.2497321,-0.1731813,3.085468,-0.3485876,-0.2802301,3.024794,-0.3898913,-0.3229257,3.00164,0.1553571,-0.05814352,3.153489,0.2802603,-0.1007521,3.025477,0.3972217,-0.177209,2.911692,0.4336622,-0.2004495,2.876019,-0.04025172,-0.3499741,3.107886,-0.07034724,-0.6406236,3.120651,-0.10367,-0.8468525,3.124254,-0.102217,-0.8706918,3.064115,0.07910503,-0.3449831,3.117133,0.06472583,-0.6229028,3.077298,0.01638635,-0.8491716,3.100434,0.0411007,-0.8958007,3.059223,106,Lift-your-leg-to-the-other-side,
39707743.1685,0.02056767,-0.2902429,3.12149,0.02003704,-0.2474389,3.163552,0.02274473,0.003796692,3.160732,0.02258233,0.1565962,3.129057,-0.1070009,-0.07492109,3.145706,-0.2390324,-0.1883862,3.081627,-0.3058991,-0.3180473,3.021468,-0.3509991,-0.3595481,3.003895,0.1564367,-0.06085349,3.15343,0.2743147,-0.1187945,3.022655,0.3805916,-0.2281899,2.937685,0.4135874,-0.2634983,2.894003,-0.03884163,-0.3516276,3.107008,-0.07257655,-0.6413265,3.118916,-0.1040523,-0.8468872,3.123871,-0.1024199,-0.8707123,3.063734,0.0799802,-0.3465634,3.11708,0.06537425,-0.625001,3.076047,0.01783634,-0.8486516,3.100669,0.04237316,-0.8955314,3.058577,106,Lift-your-leg-to-the-other-side,
39707778.1705,0.02236465,-0.29166,3.120011,0.02101704,-0.248848,3.162598,0.02289795,0.003294813,3.16135,0.02305262,0.1558677,3.128344,-0.1054944,-0.07596086,3.144111,-0.2228952,-0.2170818,3.09,-0.2764301,-0.3551828,3.036902,-0.2916085,-0.3836076,3.000388,0.1581255,-0.0645965,3.154057,0.2715964,-0.1519635,3.01779,0.3448905,-0.2789845,2.949746,0.3764781,-0.3216261,2.914396,-0.035766,-0.3532199,3.102739,-0.07248427,-0.6416473,3.11776,-0.1041834,-0.8471064,3.123983,-0.1019699,-0.8708301,3.063828,0.08175242,-0.3480546,3.115976,0.06590044,-0.6259753,3.075837,0.01773478,-0.8485402,3.100492,0.04287295,-0.8953536,3.058311,106,Lift-your-leg-to-the-other-side,
39707811.1724,0.0228216,-0.2943866,3.118922,0.02023922,-0.2513222,3.16163,0.02292413,0.0026282,3.161389,0.02310358,0.1554177,3.12787,-0.1030035,-0.07989859,3.135989,-0.2078632,-0.220428,3.086886,-0.2619087,-0.3621833,3.049108,-0.2777502,-0.4137025,3.015033,0.1576549,-0.06748845,3.154505,0.2691436,-0.205205,3.029444,0.3215386,-0.3348288,2.939869,0.3606091,-0.3847179,2.932737,-0.0349529,-0.3556636,3.099992,-0.07371397,-0.6441576,3.115014,-0.1042725,-0.8471567,3.123922,-0.1001663,-0.870831,3.063849,0.08174296,-0.3505162,3.116123,0.06657372,-0.6271498,3.075629,0.01887728,-0.8493595,3.1004,0.04276047,-0.8953796,3.057842,106,Lift-your-leg-to-the-other-side,
39707843.1742,0.02296004,-0.2976167,3.117414,0.02012237,-0.2542719,3.160341,0.0224444,0.001710804,3.161325,0.02347725,0.1553673,3.126307,-0.1022459,-0.08064266,3.134725,-0.2017918,-0.2248694,3.084239,-0.2491025,-0.3703938,3.055085,-0.2663669,-0.4242323,3.025584,0.1565453,-0.07156989,3.153615,0.2585699,-0.2083875,3.027287,0.3000865,-0.3437377,2.955938,0.3133302,-0.400969,2.931116,-0.0344953,-0.3573728,3.098533,-0.07457718,-0.6465847,3.111839,-0.1042026,-0.8472229,3.123815,-0.09985735,-0.870846,3.063742,0.08152758,-0.3535407,3.115005,0.06681084,-0.6290765,3.075811,0.01949055,-0.8496603,3.099975,0.04278446,-0.8953729,3.05787,106,Lift-your-leg-to-the-other-side,
39707878.1762,0.02176654,-0.3004707,3.116068,0.01926451,-0.2567115,3.159239,0.02248825,0.00136558,3.161304,0.02459919,0.155349,3.124289,-0.1028685,-0.08429189,3.13096,-0.1983261,-0.2264859,3.083053,-0.245621,-0.3724388,3.057508,-0.2637167,-0.4246535,3.02567,0.1534541,-0.0746548,3.150147,0.2524682,-0.2111816,3.026314,0.3011668,-0.3460316,2.959318,0.3077349,-0.3831476,2.965448,-0.03539197,-0.3587178,3.097724,-0.07516659,-0.646126,3.1093,-0.103393,-0.8470395,3.12238,-0.09896966,-0.8706277,3.062297,0.07936767,-0.3568776,3.113087,0.06594818,-0.6302271,3.077219,0.01851989,-0.8494169,3.099732,0.04308757,-0.8950622,3.057797,106,Lift-your-leg-to-the-other-side,
39707910.1781,0.02117342,-0.3006386,3.115869,0.0189375,-0.2568873,3.158993,0.02277096,0.0009405058,3.160759,0.02536,0.1588927,3.120655,-0.1032348,-0.08363492,3.130683,-0.1966555,-0.2265272,3.081421,-0.2467637,-0.3714443,3.055001,-0.2639998,-0.4242973,3.023736,0.1535732,-0.07587033,3.149077,0.2523108,-0.2114069,3.026267,0.3013969,-0.3460707,2.959161,0.3085853,-0.383014,2.951712,-0.03673143,-0.3589867,3.097598,-0.07564763,-0.6465732,3.109048,-0.1037018,-0.8456712,3.119985,-0.09938675,-0.8692747,3.059903,0.07856122,-0.3572277,3.11284,0.06604941,-0.6305204,3.077826,0.02118669,-0.8486201,3.099562,0.04363324,-0.8948185,3.057805,106,Lift-your-leg-to-the-other-side,
39707943.18,0.02100081,-0.3007828,3.115479,0.01836022,-0.2570541,3.158443,0.02261547,0.0005020667,3.15984,0.02534642,0.1577723,3.11728,-0.1027406,-0.08350794,3.128274,-0.1949444,-0.2232776,3.075894,-0.2475717,-0.3676709,3.053231,-0.2597163,-0.3946938,2.995808,0.153465,-0.07586592,3.149296,0.2520032,-0.2117616,3.025019,0.302757,-0.3456354,2.957511,0.3099572,-0.3799756,2.946383,-0.03688018,-0.3590407,3.097371,-0.07577103,-0.6465513,3.109092,-0.1036814,-0.8456448,3.119923,-0.09875468,-0.8692665,3.059899,0.07838877,-0.3572641,3.112512,0.06659498,-0.6303087,3.078573,0.0227422,-0.847624,3.099216,0.04375229,-0.894705,3.057573,106,Lift-your-leg-to-the-other-side,
39707978.182,0.02087728,-0.3010105,3.115233,0.01803611,-0.2572632,3.158119,0.02225152,0.0004502713,3.159363,0.02580683,0.1569645,3.115216,-0.1022578,-0.08350782,3.127044,-0.1952554,-0.2218189,3.072803,-0.2568879,-0.356829,3.020732,-0.2717407,-0.4036748,2.980068,0.1530717,-0.07534664,3.149209,0.2487718,-0.2016922,3.022143,0.3048027,-0.3304639,2.948211,0.3221504,-0.3760091,2.940118,-0.03686701,-0.3592998,3.097147,-0.07543474,-0.6460394,3.109111,-0.1037004,-0.8455431,3.119704,-0.09851924,-0.8691742,3.059708,0.07823647,-0.3572328,3.112411,0.06680414,-0.630297,3.078317,0.01685967,-0.8471825,3.099166,0.04365881,-0.8942798,3.057829,106,Lift-your-leg-to-the-other-side,
