Timestamp,HipCenterX,HipCenterY,HipCenterZ,SpineX,SpineY,SpineZ,ShoulderCenterX,ShoulderCenterY,ShoulderCenterZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,User-ID,Action,
39757935.0264,-0.08736145,-0.2504368,3.113581,-0.09190106,-0.2109239,3.154555,-0.08388756,0.02431246,3.150695,-0.07016673,0.1648489,3.15614,-0.2246227,-0.03133393,3.125042,-0.4157639,0.05189849,3.091294,-0.5475755,0.05125427,3.000632,-0.5760357,0.05961174,3.011573,0.0495046,-0.007678872,3.16654,0.2040856,0.10937,3.108582,0.3132616,0.1833258,3.018008,0.3628969,0.1795548,2.996263,-0.150752,-0.3104102,3.090283,-0.1658553,-0.6171902,3.093502,-0.1634827,-0.8569167,3.082098,-0.1550921,-0.8807403,3.022362,-0.02505161,-0.314841,3.116317,-0.03093943,-0.6175,3.110285,-0.00681776,-0.8494765,3.135961,0.009554416,-0.8949807,3.109494,106,Jump,
39757968.0282,-0.08261876,-0.2524539,3.116233,-0.08867984,-0.2121334,3.15689,-0.08221271,0.02511791,3.15238,-0.06747416,0.1655468,3.156933,-0.2125048,-0.03599176,3.124699,-0.4080631,0.0258771,3.064891,-0.5493044,0.03284248,2.99263,-0.5744447,0.02736286,2.987966,0.05993309,-0.007497423,3.172968,0.2086947,0.09130739,3.104828,0.3242983,0.1372055,3.00309,0.3777505,0.1483926,2.978261,-0.1430927,-0.3133024,3.092407,-0.1639904,-0.6175476,3.095046,-0.1620809,-0.8573422,3.081826,-0.1523854,-0.8812237,3.02231,-0.02118108,-0.3168918,3.119698,-0.02865162,-0.6159319,3.111547,-0.006831463,-0.8494195,3.136082,0.01099698,-0.8943524,3.10958,106,Jump,
39757999.03,-0.07245518,-0.2561991,3.12295,-0.07894769,-0.2149337,3.163398,-0.07249855,0.02587954,3.157863,-0.0590538,0.1686313,3.162369,-0.2041572,-0.04163433,3.12202,-0.3993936,-0.007597543,3.035809,-0.5402639,-0.02327154,2.96429,-0.5668103,-0.01987646,2.957453,0.06973107,-0.01010583,3.174639,0.2329761,0.06753411,3.090085,0.3569245,0.09612787,2.992307,0.3912924,0.09752444,2.970899,-0.1324158,-0.318849,3.096322,-0.1573338,-0.6215954,3.10106,-0.1622917,-0.8614484,3.081072,-0.1518185,-0.8854359,3.021729,-0.01150888,-0.3216444,3.130028,-0.0253697,-0.6167738,3.116715,-0.006519854,-0.8486137,3.136856,0.01182104,-0.8928818,3.109593,106,Jump,
39758031.0318,-0.06556322,-0.2620433,3.12756,-0.07229149,-0.2203839,3.168194,-0.05983661,0.02381935,3.16542,-0.05655524,0.1679175,3.163968,-0.1954267,-0.04607945,3.121109,-0.3946012,-0.04177047,3.044204,-0.5181946,-0.1016641,2.963376,-0.5164739,-0.1000467,2.973601,0.07843468,-0.01843334,3.181391,0.2394272,0.03786734,3.088065,0.3717577,0.03534772,2.998283,0.3940576,0.03487925,2.964801,-0.1263867,-0.3239514,3.098362,-0.1542826,-0.6249649,3.103188,-0.1624723,-0.864069,3.080896,-0.1503333,-0.8880027,3.021848,-0.006519679,-0.3277104,3.136019,-0.0183811,-0.6196103,3.123857,-0.006246318,-0.8488612,3.136988,0.01377152,-0.88941,3.105453,106,Jump,
39758067.0339,-0.06143823,-0.2678686,3.131317,-0.06981753,-0.225275,3.171532,-0.05968364,0.02154882,3.167468,-0.05021278,0.1649781,3.165177,-0.1898211,-0.05061726,3.123029,-0.3835829,-0.08172103,3.037444,-0.4869848,-0.1945603,3.00663,-0.5214521,-0.2321734,2.999763,0.08049484,-0.02887469,3.18816,0.2173416,-0.01018734,3.085869,0.3831727,-0.05038483,2.985641,0.4030282,-0.05987655,2.968374,-0.1213053,-0.3292282,3.101645,-0.1510105,-0.6285748,3.105054,-0.1622172,-0.8638518,3.080428,-0.1487394,-0.887875,3.021711,-0.001931334,-0.3328063,3.14056,-0.01543693,-0.6253844,3.128637,-0.005647885,-0.8495631,3.137488,0.01361041,-0.890183,3.105127,106,Jump,
39758098.0357,-0.05453482,-0.2761695,3.138899,-0.06469411,-0.2321701,3.178308,-0.05737292,0.01861451,3.171084,-0.03141247,0.1619212,3.16914,-0.1833261,-0.05806261,3.125573,-0.3590204,-0.1350884,3.054016,-0.4448769,-0.2568046,3.003026,-0.4734958,-0.2973767,2.989433,0.08601192,-0.04403633,3.197633,0.2170795,-0.02272398,3.084757,0.3678644,-0.1355345,2.984034,0.3833329,-0.1444506,2.973529,-0.1125368,-0.3380989,3.110511,-0.1487094,-0.6292831,3.104987,-0.1625294,-0.864404,3.080174,-0.1473673,-0.8886437,3.021959,0.004806643,-0.3401957,3.148638,-0.01208298,-0.6265265,3.134192,-0.003419114,-0.8492379,3.138742,0.01315035,-0.8916394,3.10765,106,Jump,
39758130.0375,-0.04858546,-0.2846981,3.143339,-0.05790782,-0.2397962,3.182716,-0.04834737,0.01420576,3.174679,-0.02741767,0.1607464,3.169162,-0.1764375,-0.06672776,3.125592,-0.3235791,-0.1750505,3.057481,-0.4076607,-0.2963238,3.00175,-0.4141256,-0.3125927,2.990959,0.08924109,-0.05222575,3.195066,0.2191935,-0.1029821,3.0915,0.3326694,-0.1935927,3.005005,0.3766309,-0.2313315,2.976319,-0.1070527,-0.3460057,3.115733,-0.1439901,-0.6324312,3.106779,-0.162795,-0.8634297,3.079776,-0.1479646,-0.8877932,3.021526,0.009153183,-0.3468956,3.152711,-0.007729539,-0.6308408,3.138057,-0.003400422,-0.8504407,3.140282,0.01279351,-0.8927795,3.108906,106,Jump,
39758168.0397,-0.04657964,-0.2924477,3.149289,-0.05567426,-0.2463393,3.188209,-0.04340789,0.01058037,3.178559,-0.0229472,0.1602956,3.169237,-0.171303,-0.07156675,3.128576,-0.29887,-0.1819377,3.064931,-0.363897,-0.319308,3.005054,-0.3884848,-0.355328,2.988075,0.09161711,-0.06386854,3.199081,0.2195521,-0.102838,3.091055,0.3152437,-0.2495362,2.999318,0.355491,-0.2962557,2.984943,-0.1053941,-0.351817,3.123304,-0.1425176,-0.6335307,3.107206,-0.1619525,-0.8608601,3.079101,-0.1465856,-0.8854276,3.021075,0.01026057,-0.3544716,3.158238,-0.004676159,-0.6343217,3.142391,-0.001550292,-0.8527926,3.141989,0.01391535,-0.8939346,3.108708,106,Jump,
39758198.0414,-0.04544371,-0.2995476,3.154875,-0.05307497,-0.25178,3.193121,-0.04022935,0.00882262,3.180457,-0.01866441,0.1600214,3.167587,-0.1644873,-0.07293396,3.132776,-0.2875196,-0.1818981,3.067758,-0.3619283,-0.3254341,3.004354,-0.3813401,-0.3652714,2.989295,0.09468393,-0.07102312,3.1944,0.2293718,-0.1792257,3.085712,0.3105334,-0.2804998,2.991806,0.3653336,-0.3363859,2.977534,-0.1042569,-0.3565461,3.134845,-0.1416116,-0.6340569,3.107299,-0.162119,-0.8608937,3.07885,-0.1482452,-0.885735,3.020562,0.01055519,-0.3612232,3.161336,-0.001172731,-0.6387563,3.148554,0.0005142764,-0.8553305,3.140777,0.01496468,-0.8964785,3.107049,106,Jump,
39758231.0433,-0.04350768,-0.301773,3.160418,-0.05051908,-0.2531521,3.197393,-0.03810012,0.008563605,3.181686,-0.007636621,0.1572964,3.165107,-0.1592654,-0.07355792,3.136714,-0.2828337,-0.180517,3.067805,-0.3608417,-0.328068,3.005678,-0.3773263,-0.3692499,2.990752,0.09554462,-0.0717316,3.194046,0.2269789,-0.1793464,3.086258,0.3047244,-0.2895311,3.000792,0.3099851,-0.3230626,2.984517,-0.1016036,-0.3581103,3.144085,-0.1384296,-0.6352533,3.113406,-0.1616605,-0.8609911,3.078583,-0.1484966,-0.8861133,3.020251,0.01192761,-0.362615,3.16595,-0.0001050159,-0.6389917,3.153316,0.0004540076,-0.85648,3.139697,0.01600811,-0.8984197,3.107467,106,Jump,
